,Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
9,1980,SIA/MP/MIN/36932/2015,,"project Udaipur Flag  Stone  Quarry at Khasra no. 4 Village – Udaipur, Tehsil – Panna & District – Panna.
Mr.Ashok kumar shivhare, S/o Shri Jagdev Prasad shivhare  Res. – Mohan niwas panna ,Tehsil-Panna, District – Panna",DHEERAJ ASSOCIATE MINING,Delisted,EC,
0,1981,SIA/MP/MIN/34961/2015,4944/2016,Anantkhedi Stone mine,SRANIK KOTHARI,TransferToDEIAA,EC,
1,1982,SIA/MP/MIN/33111/2015,4892/2016,Mudgudi Metal Stone Quarry,MS PRAGATI INDIA STONE CRUSHER,TransferToDEIAA,EC,
2,1983,SIA/MP/MIN/54794/2016,,BASAD SAND MINING AT VILL - BASAD TH - NEPANAGAR DISST - BURHANPUR MP LESSEE  A D AGRO FOODS PVT LTD INDORE MP,SAINIK FOODS PVT LTD,EC Granted - Processed offline,EC,
3,1984,SIA/MP/MIN/35992/2015,,"4.00  Hectare Nigehara Fireclay Quarry (Existing)
Of
Deoraj Paroha S/o Shri Tulsiram Paroha At Vill.- Nigehara, Teh.- Murwara, Dist.- Katni (M.P.)",DEORAJ PAROHA,Delisted,EC,
4,1985,SIA/MP/MIN/37801/1900,,Piplyakamin Murram Quarry Lease of Shri Altab Khan,SHRI ALTAB KHAN,Delisted,EC,
5,1986,SIA/MP/MIN/36235/2015,,"Katamal Dolomite mining quarry, Area- 1.42 Ha, Tehsil & Dist- Mandla",VIDYA BAI SONI,Delisted,EC,
6,1987,SIA/MP/MIN/36254/2015,,"Kapuri Stone Quarry
Mining Project: -Category ‘B2’
Area: 0.405 Hectare
Khasra No. 376/2/Gha, 377, 378, 392
Vill. – Kapuri, Tehsil- Sehore,
District- Sehore (Madhya Pradesh)",SURAJ SINGH AT VILLAGE KAPOORI TEHSIL AND DISTRICT SEHORE,Delisted,EC,
7,1988,SIA/MP/MIN/49020/2016,,Khudgaon Metal Stone Quarry Of Shri Shailendra Singh Solanki S/o Shri Yashwant Singh Solanki,SHAILENDRA SINGH SOLANKI,Delisted,EC,
8,1989,SIA/MP/MIN/32211/2018,,barhakheda stone deposite,MINOR MINERALS,Awaiting EC,EC,
