,Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
2,3392,SIA/UP/MIN/40217/2019,5012,"Proposed building stone (sandstone) mine, at Gata No. /Araji No. 188 mi, Lease Area: 0.809 ha. (2.0 Acres) at Village - Lahaura, Tehsil- Chunar, District- Mirzapur, Uttar Pradesh of  M/s Om Sai Construction",MS  OM SAI  CONSTRUCTION,EC Granted,EC,
3,3393,SIA/UP/MIN/50489/2019,,"“Building Stone (Khanda, Gitti & Boulder) Mine",AMRIT KAUR,WithdrawEC,EC,
4,3394,SIA/UP/MIN/202170/2021,6232,SHRI RAJESH KUMAR SUREKA,SHRI RAJESH KUMAR SUREKA,Delisted,EC,
5,3395,SIA/UP/MIN/199072/2021,6211,"Proposed “Soil Excavation” Project at Gata No.– 4, Village- Meerpur, Tehsil- Farrukhabad, District- Farrukhabad, Uttar Pradesh",SHRI BHUPENDRA SINGH,EC Granted,EC,
6,3396,SIA/UP/MIN/209684/2021,6324,RBM (Mixed Form) Mining Project,MS CHAUDHARY ENTERPRISES AND CONSTRUCTION,EC Granted,EC,
7,3397,SIA/UP/MIS/247032/2021,6793,"Environment Clearance of Proposed Residential Project under “PunarVikasYojna” for M/s Shravan Oil & Rice Mills at Plot no. 11 & 11A Aishbagh Road, Lucknow, Uttar Pradesh",M/S CHANDRA TECHNO BUILD INDIA LLP.,EC Granted,EC,
8,3398,SIA/UP/MIN/47746/2019,,,SHISHIR PANDEY,WithdrawEC,EC,
9,3399,SIA/UP/MIN/407496/2022,7383-6330,"Khanda, Gitti & Boulder Mining Project",TAUSEEF AHMED S/O LATE SUAIB AHMED,EC Granted,EC,
10,3400,SIA/UP/MIS/136706/2020,5472,Proposed Institutional Building,M/S ENPRO TELECOM (P) LTD.,Delisted,EC,
1,3401,SIA/UP/MIS/283225/2022,7214,"Proposed Group Housing Project on Khasra No. 197m, 209m, 210m, 211m, 212m, 214m, 215m, at Village makanpur, Ramprastha Greens, Vaishali Extension, Tehsil & Dist.- Ghaziabad, Uttar Pradesh.",RAMPRASTHA REAL ESTATE PRIVATE LIMITED,EC Granted,EC,
2,3402,SIA/UP/MIN/403471/2022,7289,"Building Stone Gitti/  Boulder (Sand Stone), Mine   Araji number-30/73, Area- 1.2545 ha,  Village –Sukrit,   Tehsil –Robertsganj, District-Sonbhadra, Uttar Pradesh",RAVINDRA MISHRA,EC Granted,EC,
3,3403,SIA/UP/MIN/406606/2022,7355-6031,"Building Stone (Khanda/ Boulder/Khanda) Sand Stone mine at Araji No./Gata No.- 174, Khand No.–B/2, Area 1.619 ha. (4.00Acres) at Village – Bangaliya, Tehsil- Meja, District- Prayagraj, Uttar Pradesh of Smt Saroj Singh",SMT. SAROJ SINGH,EC Granted,EC,
4,3404,SIA/UP/MIN/46086/2019,,"Rama Himmatpur (Gata No. 160, 163, 244, 65, 36 ) soil brick mining project.",M/S MAHARAJA BRICK FIELD...,Delisted,EC,
5,3405,SIA/UP/MIN/40822/2019,4987,Soil Mining Project,MAA VINDYAWASHINI BUILDERS,EC Granted,EC,
6,3406,SIA/UP/MIN/42424/2019,5035,M/s Maa Shitala Stone,M/S MAA SHITALA STONE,EC Granted,EC,
7,3407,SIA/UP/MIS/184160/2020,6019,"Commercial Development Project ‘Ithum’s 73’ at Plot No-04, Sector 73, Noida, Uttar Pradesh by M/s Sifal Infotech Pvt. Ltd.",MS SIFAL INFOTECH PVT LTD,EC Granted,EC,
8,3408,SIA/UP/MIN/30524/2018,4618,"Jatajuwa stone (granite, khanda, gitti, boulder mining project",CHAMPION GROUP OF COMPANY,Delisted,EC,
9,3409,SIA/UP/MIN/143635/2020,5592,Ordinary Sand,SHRI SATISH S/O  DHARMPAL,Delisted,EC,
10,3410,SIA/UP/MIN/25608/2018,4237,"Sand/Morrum Mining having lease area 20.242 ha (50.01 acre) along River Betwa in Gata No. 1396ga, Khand No – 04, at Village – Bhedikhurd, Tehsil- Kalpi, District- Jalaun, U. P. of Sri Anand Kumar Gupta",SRI ANAND KUMAR GUPTA,EC Granted,EC,
1,3411,SIA/UP/MIN/29998/2018,4578,Sadimadanpur sand/morrum mine on Yamuna river,ESTEEM INFRABUILD PRIVATE LIMITED,EC Granted,EC,
