,Proposal.No.,File_No,Proposal Name,State,District,Tehsil,Date_1,Date_2,Category,Company,Status,Link,Timeline
1531,SIA/UP/MIN/72243/2018,3983,"Extraction of Sand/Morrum from River bed of Yamuna at Khand No. 5  Area 8.00 ha. (19.76 Acres) at Village – Naudiha, Amilia, Tehsil- Bara, District- Allahabad, Uttar Pradesh M/s Friends Group of Builder and Developers.",Uttar Pradesh,PRAYAGRAJ,Bara,Date of Submission for EC: 12 Jan 2018 ,Date of Ec Granted : 12 Feb 2018,Non-Coal Mining,M/S FRIENDS GROUP OF BUILDER AND DEVELOPERS,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Uttar%20Pradesh&pno=SIA/UP/MIN/72243/2018&pid=42006,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIN/72243/2018&type=EC&ID=42006
1532,SIA/UP/MIN/28461/2018,4424,"Proposed River Bed Sand/Morrum Mining having lease area 17.00 ha (42.00 acre) along River Ken in Gata No 62 and 63/1 (Block No – 29) at Village – Khapatiha Kalan, Tehsil- Pailani, District- Banda, U. P. of M/s Jai Shakti Realcon Pvt. Ltd",Uttar Pradesh,Banda,Banda,Date of Submission for EC: 18 Jan 2019 ,Date of Ec Granted : 09 Mar 2019,Non-Coal Mining,M/S JAI SHAKTI REALCON PRIVATE LIMITED,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Uttar%20Pradesh&pno=SIA/UP/MIN/28461/2018&pid=51904,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIN/28461/2018&type=EC&ID=51904
1533,SIA/UP/MIN/75345/2018,4340,MORAM MINING AT YAMUNA RIVER BED ,Uttar Pradesh,Kaushambi,Chail,Date of Submission for EC: 15 Jun 2018 ,Date of Ec Granted : 26 Oct 2018,Non-Coal Mining,MANISHOJHA,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Uttar%20Pradesh&pno=SIA/UP/MIN/75345/2018&pid=44479,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIN/75345/2018&type=EC&ID=44479
1534,SIA/UP/MIN/72556/2018,4044,"Sand/Morrum from river bed of Yamuna, at Zone No/Gata No/Khand No. 15/45 and 15/46, Area 24.28 ha. (60.00 Acres) at Village - Mahewa, Tehsil- Manjhanpur, District- Kaushambi, Uttar Pradesh of M/s Bharat Earth Movers",Uttar Pradesh,Kaushambi,Manjhanpur,Date of Submission for TOR: ,Date of Submission for EC: 05 Feb 2018 ,Non-Coal Mining,M/S BHARAT EARTH MOVERS,Rejection Letter Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Uttar%20Pradesh&pno=SIA/UP/MIN/72556/2018&pid=42192,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIN/72556/2018&type=EC&ID=42192
1535,SIA/UP/NCP/25513/2010,,Govt College banda,Uttar Pradesh,Banda,Naraini,Date of Submission for TOR: ,Date of Submission for EC: 28 Apr 2018 ,INFRA-1,PRINCIPAL MEDICAL COLLEGE,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Uttar%20Pradesh&pno=SIA/UP/NCP/25513/2010&pid=43656,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/NCP/25513/2010&type=EC&ID=43656
1536,SIA/UP/MIN/439613/2023,8067-7568,"“Granite Gitti, Khanda / Boulders” Project at Gata No./ Khand No.- 1078 / 18, Village- Gonda, Tehsil- Karwi, District- Chitrakoot, U.P. (Applied Area : 0.810 ha.) ",Uttar Pradesh,,,Date of Submission for EC: 09 Aug 2023 ,Date of Ec Granted : 20 Nov 2023,Non-Coal Mining,BRIJESH GARG,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Uttar%20Pradesh&pno=SIA/UP/MIN/439613/2023&pid=223767,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIN/439613/2023&type=EC&ID=223767
1537,SIA/UP/MIN/75143/2018,4321,Sand/ Morrum,Uttar Pradesh,Jalaun,Orai,Date of Submission for EC: 24 May 2018 ,Date of Ec Granted : 20 Aug 2018,Non-Coal Mining,ENVIRONMENTAL RESEARCH AND ANALYSIS,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Uttar%20Pradesh&pno=SIA/UP/MIN/75143/2018&pid=44279,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIN/75143/2018&type=EC&ID=44279
1538,SIA/UP/MIN/427467/2023,7816,Chandlevakalan Building Stone (Sand Stone) Mining project,Uttar Pradesh,,,Date of Submission for EC: 28 Apr 2023 ,Date of Ec Granted : 09 Oct 2023,Non-Coal Mining,DEVENDRA SINGH,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Uttar%20Pradesh&pno=SIA/UP/MIN/427467/2023&pid=219142,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIN/427467/2023&type=EC&ID=219142
1539,SIA/UP/MIN/402772/2022,7286,"Ordinary earth mine, Village- Gehndwer, Tehsil- Nawabganj, District Barabanki, (Gata no. 179 Area- 0.78 ha.) developed by Pratap Singh.",Uttar Pradesh,Barabanki,,Date of Submission for EC: 12 Oct 2022 ,Date of Ec Granted : 22 Feb 2023,Non-Coal Mining,PRATAP SINGH,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Uttar%20Pradesh&pno=SIA/UP/MIN/402772/2022&pid=211423,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIN/402772/2022&type=EC&ID=211423
1540,SIA/UP/INFRA2/439467/2023,8432,Commercial Project “The Crown”,Uttar Pradesh,,,Date of Submission for TOR: ,Date of Submission for EC: 03 Nov 2023 ,INFRA-2, ABHIMANYU INFRADEVELOPERS PRIVATE LIMITED,Deferred by SEIAA,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Uttar%20Pradesh&pno=SIA/UP/INFRA2/439467/2023&pid=227708,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/INFRA2/439467/2023&type=EC&ID=227708
