,Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
2738,SIA/UP/MIN/153040/2020,5659,Uttar Pradesh,PRAYAGRAJ,Meja,Date of Submission for EC: 11 May 2020 ,Date of Ec Granted : 05 Oct 2020,Non-Coal Mining,M/S  MAHIP CONSTRUCTION/88944,EC Granted
2739,SIA/UP/NCP/73224/2018,4101,Uttar Pradesh,Gautam Buddha Nagar,Gautam Buddha Nagar,Date of Submission for EC: 27 Feb 2018 ,Date of Ec Granted : 11 Jul 2018,INFRA-1,M/S MART PROMOTERS PVT. LTD.,EC Granted
2740,SIA/UP/MIN/163122/2020,5725,Uttar Pradesh,Kannauj,Chhibramau,Date of Submission for TOR: ,Date of Submission for EC: 12 Jul 2020 ,Non-Coal Mining,PRASHANT TRIPATHI,Delisted
2741,SIA/UP/MIN/70159/2020,6808-6024,Uttar Pradesh,Jhansi,Garautha,Date of Submission for EC: 27 Dec 2021 ,Date of Ec Granted : 06 May 2023,Non-Coal Mining,SMT RACHNA KHATRI,EC Granted
2742,SIA/UP/MIN/177771/2020,5936,Uttar Pradesh,Rampur,Rampur,Date of Submission for EC: 07 Oct 2020 ,Date of Ec Granted : 30 Dec 2020,Non-Coal Mining,SMT AJALI KAPOOR,EC Granted
2743,SIA/UP/MIN/29419/2018,4512,Uttar Pradesh,Jalaun,Kalpi,Date of Submission for EC: 05 Oct 2018 ,Date of Ec Granted : 24 Nov 2018,Non-Coal Mining,MS EUREKA MINES AND MINERALS LLP,EC Granted
2744,SIA/UP/MIN/81641/2018,4530,Uttar Pradesh,Banda,Banda,Date of Submission for EC: 12 Oct 2018 ,Date of Ec Granted : 08 Feb 2019,Non-Coal Mining,M/S NEW EOAN ASSOCIATES,EC Granted
2745,SIA/UP/MIN/78133/2018,,Uttar Pradesh,PRAYAGRAJ,Soraon,Date of Submission for TOR: ,Date of Submission for EC: 06 Sep 2018 ,Non-Coal Mining,M/S GANGA BRICK FIELD,WithdrawEC
2746,SIA/UP/MIN/75846/2018,,Uttar Pradesh,Agra,Agra,Date of Submission for TOR: ,Date of Submission for EC: 18 Jul 2018 ,Non-Coal Mining,PROJECT PROPONENT,Delisted
2747,SIA/UP/MIN/128796/2019,5371,Uttar Pradesh,Mathura,Mat,Date of Submission for EC: 11 Jan 2020 ,Date of Ec Granted : 16 Mar 2020,Non-Coal Mining,M/S JAY DURGA ENT UDHYOG,EC Granted
2748,SIA/UP/MIN/187120/2020,6026,Uttar Pradesh,Mahoba,Mahoba,Date of Submission for EC: 08 Dec 2020 ,Date of Ec Granted : 15 Jan 2021,Non-Coal Mining,MS ADARSH STONE MILL,EC Granted
2749,SIA/UP/MIS/190060/2020,6071,Uttar Pradesh,Gautam Buddha Nagar,Gautam Buddha Nagar,Date of Submission for EC: 26 Dec 2020 ,Date of Ec Granted : 15 Jan 2021,INFRA-2,M/S NETMAGIC IT SERVICES PRIVATE LIMITED,EC Granted
2750,SIA/UP/MIN/137717/2020,,Uttar Pradesh,Mirzapur,Chunar,Date of Submission for TOR: ,Date of Submission for EC: 20 Jan 2020 ,Non-Coal Mining,M/S KAKA ENT UDYOG,Delisted
2751,SIA/UP/MIN/32986/2019,4719,Uttar Pradesh,Chitrakoot,Karwi,Date of Submission for EC: 07 Nov 2019 ,Date of Ec Granted : 08 Feb 2020,Non-Coal Mining,A K S,EC Granted
2752,SIA/UP/MIN/130688/2019,,Uttar Pradesh,Aligarh,Iglas,Date of Submission for TOR: ,Date of Submission for EC: 13 Dec 2019 ,Non-Coal Mining,RAM ENT UDYOG,Delisted
2753,SIA/UP/MIS/131568/2019,5319,Uttar Pradesh,Lucknow,Lucknow,Date of Submission for EC: 16 Dec 2019 ,Date of Ec Granted : 15 Oct 2020,INFRA-2,DIRECTOR,EC Granted
2754,SIA/UP/MIN/132147/2019,5333,Uttar Pradesh,Sultanpur,Sultanpur,Date of Submission for EC: 18 Dec 2019 ,Date of Ec Granted : 11 Mar 2020,Non-Coal Mining,M/S AMAN BRICK FIELD,EC Granted
