,index,project_number,file_number,project_name,company,proposal_status,project_type
619,,SIA/WB/MIS/47884/2018,EN/T-II-1/039/2018,Shilpakanan Housing Board,SHILPAKANAN HOUSING PROJECT OF WEST BENGAL HOUSING BOARD,WithdrawEC,EC
620,,SIA/WB/MIS/48035/2019,EN/T-II-1/005/2020,"Expansion of Existing Common Bio-Medical Waste Treatment Facility at Mouza Mangalpur, Touzi No. 19, Manbhum, Dag No. 457(P), 458(P), JL No. 22, Ranigunj P.O. & P.S., Paschim Bardhaman District.",MEDICARE ENVIRONMENTAL MANAGEMENT PVT. LTD.,Delisted,EC
621,,SIA/WB/MIS/48330/2018,,Shilpakanan Housing Project,SHILPAKANAN HOUSING PROJECT OF WEST BENGAL HOUSING BOARD,Delisted,EC
622,,SIA/WB/MIS/49324/2017,EN/T-II-1/088/2018,"Proposed Multistoried (G+10) Housing Complex For “Akanksha” at Plot No.- DB-2, Premises no.-07-0300, In Action Area- ID, New Town, Rajar Hat, Kolkata by Govt. of West Bengal, Office of the Executive E",GOVERNMENT OF WEST BENGAL OFFICE OF THE EXECUTIVE ENGINEER NEW TOWN CONSTRUCTION DIVISION II HOUSING DIRECTORATE,EC Granted,EC
623,,SIA/WB/MIS/49651/2019,EN/T-II-1/029/2019,Fortis Hospital,INTERNATIONAL HOSPITAL LIMITED,EC Granted,EC
624,,SIA/WB/MIS/50005/2018,EN/T-II-1/085/2018,Rosedale Garden - Housing Complex,ROSEDALE DEVELOPERS PVT LTD,Delisted,EC
625,,SIA/WB/MIS/50515/2018,EN/T-II-1/090/2018,Diamond City North,M/S ALCOVE CONSTRUCTION PVT. LTD. & OTHERS,Delisted,EC
626,,SIA/WB/MIS/50615/2020,,Genexx Square,HASTERA CREDIT PRIVATE LTD.,WithdrawEC,EC
627,,SIA/WB/MIS/50946/2018,EN/T-II-1/103/2018,Synthesis Business Park,BENGAL SHRACHI HOUSING DEVELOPMENT CO LTD,ADS by SEAC,EC
628,,SIA/WB/MIS/51512/2018,,Elita Garden Vista,ELITA GARDEN VISTA PROJECT PVT LTD,Delisted,EC
629,,SIA/WB/MIS/51607/2019,EN/T-II-1/048/2019,Merlin Uttara,MERLIN PROJECTS LIMITED,Delisted,EC
630,,SIA/WB/MIS/52176/2018,,M/s. RVD Waste Tech Private Limited (RVDWTPL),M/S. RVD WASTE TECH PVT. LTD.,Pending at PP due to eds,EC
631,,SIA/WB/MIS/52197/2018,EN/T-II-1/107/2018,M/s. RVD Waste Tech Private Limited,M/S. RVD WASTE TECH PVT. LTD.,EC Granted,EC
632,,SIA/WB/MIS/53963/2013,EN/T-II-1/015/2013,Genexx Square,HASTERA CREDIT PRIVATE LTD.,EC Granted,EC
633,,SIA/WB/MIS/54310/2019,EN/T-II-1/050/2017,Expansion of “JAGANNATH GUPTA INSTITUTE OF MEDICAL SCIENCES & HOSPITAL” – (A unit of Urmila Devi Jagannath Gupta Charitable Trust) from 350 Beds to 750 Beds,JAGANNATH GUPTA INSTITUTE OF MEDICAL SCIENCES AND HOSPITAL A UNIT OF URMILA DEVI JAGANNATH GUPTA CHARITABLE TRUST,EC Granted,EC
634,,SIA/WB/MIS/54814/2018,EN/T-II-1/045/2018,Sri Chaitanya Chandrodaya Mandir and Indian Educational and Cultural Centre,ISKCON INTERNATIONAL SOCIETY FOR KRISHNA CONSCIOUSNESS,EC Granted,EC
635,,SIA/WB/MIS/55424/2020,EN/T-II-1/018/2020,Common Bio Medical Waste Treatment Facility proposed by M/S SNG Envirosolutions Private Limited,M/S SNG ENVIROSOLUTIONS PRIVATE LIMITED,WithdrawEC,EC
636,,SIA/WB/MIS/55503/2019,EN/T-II-1/004/2019,Expansion of Residential Complex by Ganesh Tracom Pvt. Ltd. & Others,GANESH TRACOM PVT LTD AND OTHERS,EC Granted,EC
637,,SIA/WB/MIS/59721/2020,EN/T-II-1/007/2008,Expansion of Shopping Mall by CESC Limited,CESC LIMITED,EC Granted,EC
638,,SIA/WB/MIS/60250/2018,,RESIDENTIAL COMPLEX,BENGAL DCL HOUSING DEVELOPMENT COMPANY LIMITED,Pending at PP due to eds,EC
639,,SIA/WB/MIS/61427/2005,,"Proposed Expansion of “UNIWORLD CITY” at Plot No. IIIB/2, Premises No. 52 3333 MAR, Rajarhat, New Town, Kolkata, West Bengal",BENGAL UNITECH UNIVERSAL INFRASTRUCTURE PVT. LTD.,Delisted,EC
640,,SIA/WB/MIS/65723/2019,,"Proposed Expansion of  Tata Consultancy Services Limited, New Town, Rajarhat, Kolkata",TATA CONSULTANCY SERVICES,WithdrawEC,EC
641,,SIA/WB/MIS/70062/2019,EN/T-II-1/047/2015,Residential Complex by Devaloke Developers Ltd.,DEVALOKE DEVELOPERS LIMITED,EC Granted,EC
642,,SIA/WB/MIS/70155/2020,EN/T-II-1/019/2020,"MASS HOUSING PROJECT ""SHUKHOBRISHTI""",BENGAL SHAPOORJI HOUSING DEVELOPMENT PRIVATE LIMITED,EC Granted,EC
643,,SIA/WB/NCP/63326/2019,EN/T-II-1/056/2019,Proposed Common Biomedical Waste Treatment Facility  (CBWTF),GREENTECH ENVIRON MANAGEMENT PVT LTD,EC Granted,EC
644,,SIA/WB/NCP/67068/2019,EN/T-II-1/051/2019,"Setting up a Common Bio-Medical Waste Treatment and Disposal Facility (CBWTF) by M/s. RVD Waste Tech Pvt. Ltd. (RVDWTPL) at Plot No. L.R. 184 & R.S. 141, Mouza: Rahimpur, P.S: Gazole, District: Malda, West Bengal.",M/S. RVD WASTE TECH PVT. LTD.,EC Granted,EC
645,,SIA/WB/NCP/71257/2017,,South City Retreat,BASERA LAND PVT LTD AND FOUR OTHERS,Delisted,EC
646,,SIA/WB/NCP/78706/2021,EN/T-II-1/162/2021,EXPANSION OF CALCUTTA LEATHER COMPLEX (CLC),KOLKATA METROPOLITAN DEVELOPMENT AUTHORITY,EC Granted,EC
