,index,project_number,file_number,project_name,company,proposal_status,project_type
506,,SIA/WB/MIS/102904/2019,EN/T-II-1/043/2019,RESIDENTIAL COMPLEX,MAGNOLIA INFRASTRUCTURE DEVELOPMENT LIMITED,Delisted,EC
507,,SIA/WB/MIS/103146/2019,EN/T-II-1/037/2019,‘THE 102’ (Proposed B+G+15 Storied Housing Complex),PS VINAYAK COMPLEX LLP,Delisted,EC
508,,SIA/WB/MIS/103207/2019,,GARMENT STITCHING AND MARKETING UNIT,ALOK NIWAS PRIVATE LIMITED,Delisted,EC
509,,SIA/WB/MIS/103968/2019,,Merlin Urvan,MERLIN PROJECTS LTD.,Delisted,EC
510,,SIA/WB/MIS/104002/2019,EN/T-II-1/050/2019,Flipkart Big Box,INSTA KART SERVICES PVT LTD (A FLIPKART GROUP COMPANY),Delisted,EC
511,,SIA/WB/MIS/104276/2019,EN/T-II-1/055/2019,Housing Complex,SWADESHI PESTICIDES PROP.: THERMOFRIZ INSULATIONS LIMITED,Delisted,EC
512,,SIA/WB/MIS/104318/2019,EN/T-II-1/044/2019,Residential Complex,ASIATIC BOARD MILLS PVT. LTD.,WithdrawEC,EC
513,,SIA/WB/MIS/104978/2019,EN/T-II-1/067/2019,“INFOSYS” - IT / ITES building along with M.L.C.P. building and service block,INFOSYS LTD,EC Granted,EC
514,,SIA/WB/MIS/105360/2019,EN/T-II-1/053/2019,MODIFICATION AND EXPANSION OF RESIDENTIAL COMPLEX,DISPLAY VINIMAY PRIVATE LIMITED,WithdrawEC,EC
515,,SIA/WB/MIS/105375/2019,EN/T-II-1/061/2019,Residential Complex,PALMVIEW PROMOTERS PRIVATE LIMITED & 37 OTHERS,Delisted,EC
516,,SIA/WB/MIS/105457/2019,EN/T-II-1/046/2019,PS OBSCURA,BENGAL JUNEJA LEATHER COMPLEX LTD,Delisted,EC
517,,SIA/WB/MIS/105643/2019,EN/T-II-1/047/2019,IDEAL UNIQUE  CENTRE,IDEAL UNIQUE REALTORS PVT LTD,EC Granted,EC
518,,SIA/WB/MIS/107017/2019,EN/T-II-1/062/2019,UPABAN,RAGHABPUR PROJECTS LLP,EC Granted,EC
519,,SIA/WB/MIS/107866/2019,EN/T-II-1/069/2019,Commercial Building for Trading (Business) and other Allied purposes,SRPM HAAT LLP,WithdrawEC,EC
520,,SIA/WB/MIS/109212/2019,EN/T-II-1/097/2018,PS Magnum,PS MAGNUM,EC Granted,EC
521,,SIA/WB/MIS/109511/2019,EN/T-II-1/064/2019,Residential Complex,A & J MAIN & CO (ENGINEERS) PVT. LTD.,EC Granted,EC
522,,SIA/WB/MIS/110347/2019,EN/T-II-1/074/2019,Proposed Shopping and Entertainment Complex for Chandras’ Green Project Limited.,M/S CHANDRAS’ GREEN PROJECT LIMITED,Delisted,EC
523,,SIA/WB/MIS/111590/2019,EN/T-II-1/063/2019,Residential Complex,ASIATIC BOARD MILLS PVT. LTD.,EC Granted,EC
524,,SIA/WB/MIS/116328/2019,EN/T-II-1/070/2019,PS GARMENT TRADE PARK,HOWRAH HAAT DEVELOPERS PVT. LTD. & RAJESHWARI ENCLAVE PVT. LTD.,EC Granted,EC
525,,SIA/WB/MIS/117505/2019,EN/T-II-1/164/2021,Peerless Hospitex Hospital & Research Center,PEERLESS HOSPITEX HOSPITAL AND RESEARCH CENTER LIMITED,EC Granted,EC
526,,SIA/WB/MIS/120061/2019,EN/T-II-1/047/2018,Residential Complex by Brisk Sales Pvt. Ltd. & Others,BRISK SALES PRIVATE LIMITED AND OTHERS,Delisted,EC
527,,SIA/WB/MIS/125827/2019,,Residential Complex “Merlin Elements”,MERLIN GANGES PROJECTS,Delisted,EC
528,,SIA/WB/MIS/126176/2019,,Housing Complex,M/S. FORT BUILDERS,Delisted,EC
529,,SIA/WB/MIS/127579/2019,,Information Technology Office Building,DELTA PV PRIVATE LIMITED,WithdrawEC,EC
530,,SIA/WB/MIS/129378/2019,EN/T-II-1/082/2019,223C Maniktala Main Road,SHREE KRISHNA REALCON,WithdrawEC,EC
531,,SIA/WB/MIS/130506/2019,EN/T-II-1/011/2020,Commercial Cum Office Complex Of LICI,M/S. LIFE INSURANCE CORPORATION OF INDIA,Delisted,EC
532,,SIA/WB/MIS/131041/2019,EN/T-II-1/083/2019,RESIDENTIAL PROJECT,SMART VANIJYA PRIVATE LIMITED,Rejection Letter Granted,EC
533,,SIA/WB/MIS/133120/2019,EN/T-II-1/01/2020,IABA EWS Housing,IABA HOUSING PRIVATE LIMITED,WithdrawEC,EC
534,,SIA/WB/MIS/133862/2019,,Proposed Tamluk Medical College on the premises of Purba Medinipur District Hospital at Tamralipta Municipality,PURBA MEDINIPUR DISTRICT HOSPITAL,Delisted,EC
