,Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
7,417,SIA/KL/MIN/169552/2020,1497/EC1/2019/SEIAA,Granite Building Stone Quarry of M/s MSL Granite (P) Limited.(Conversion- ToR to EC),GRANITE BUILDING STONE QUARRY OF MR NIZAMUDEEN MANAGING DIRECTOR MSL GRANITES PVT LTD,Rejection Letter Granted,EC,
8,418,SIA/KL/MIN/72952/2022,,Granite building stone quarry of M/s Deccan Rocks,GRANITE BUILDING STONE QUARRY OF M/S DECCAN ROCKS,WithdrawEC,EC,
9,419,SIA/KL/MIN/193415/2021,,chaliyar river  basin kadavu 17,CHALIYAR RIVER BASIN,Delisted,EC,
10,420,SIA/KL/MIN/193455/2021,,Chaliyar river basin Kadavu  20,CHALIYAR RIVER BASIN,Delisted,EC,
1,421,SIA/KL/MIN/130760/2019,1723/EC3/2020/SEIAA,"Mr K V Vincent, Managing Partner,M/s Bharath Rock Product Kuzhappilly House Vellarappilly P O Ernakulam District",K   V   VINCENT,Delisted,EC,
2,422,SIA/KL/MIN/169720/2020,1433/EC1/2019/SEIAA,Granite Building Stone Quarry of Mr. Muhammed Saleem.V (Conversion ToR to EC),BUILDING STONE QUARRY OF MR MUHAMMED SALEEM V,EC Granted,EC,
3,423,SIA/KL/MIN/264160/2022,1348/EC2/2019/SEIAA,GRANITE BUIULDING STONE QUARRY OF MR. MOIDU K,GRANITE BUILDING STONE QUARRY OF MOIDU K,EC Granted,EC,
4,424,SIA/KL/MIN/277649/2022,2105/EC6/2022/SEIAA,GRANITE BUILDINGSTONE QUARRY OF ARIF,ARIF,Delisted,EC,
5,425,SIA/KL/MIS/105062/2019,1381/EC2/2019/SEIAA,Environmen,"GOVT. GENERAL HOSPITAL, KOTTAYAM",EC Granted - Processed offline,EC,
6,426,SIA/KL/MIS/119987/2019,1468/EC3/2019/SEIAA,Proposed s,SAMANA HEALTH CARE SERVICES LLP,Delisted,EC,
7,427,SIA/KL/MIN/137709/2020,1650/EC4/2020/SEIAA,Granite Building Stone Quarry of Mr.Thayyullathil Chambolan Sreedharan,BUILDING STONE QUARRY OF MR SREEDHARAN T C,EC Granted,EC,
8,428,SIA/KL/MIN/145890/2020,1430/EC3/2019/SEIAA,Granite Building Stone Quarry of Mr. P.M. Moitheen,BUILDING STONE QUARRY OF  MR P M MOITHEEN,Rejection Letter Granted,EC,
9,429,SIA/KL/MIN/148539/2020,,Building Stone Quarry of Mr. Abraham Sebastian,BUILDING STONE QUARRY OF DR ABRAHAM SEBASTIAN,WithdrawEC,EC,
10,430,SIA/KL/MIN/273393/2022,2045/EC6/2022/SEIAA,K.Noushad,NOUSHAD KARUTHEDETH,Delisted,EC,
1,431,SIA/KL/MIN/184720/2020,,Chaliyar River Basin Kadavu 01,CHALIYAR RIVER BASIN,Delisted,EC,
2,432,SIA/KL/MIS/105731/2019,1384/EC2/2019/SEIAA,Samana Hap,SAMANA HEALTH CARE SERVICES LLP,WithdrawEC,EC,
3,433,SIA/KL/MIN/188469/2020,1868/EC4/2020/SEIAA,LATERITE BUILDING STONE QUARRY OF RIYAS N K,LATERITE BUILDING STONE QUARRY OF RIYAS N K,Delisted,EC,
4,434,SIA/KL/MIN/142587/2020,1665/EC2/2020/SEIAA,Building Stone Quarry of Mr K.V Bhaskaran,GRANITE BUILDING STONE QUARRY OF MR KV BHASKARAN,EC Granted,EC,
5,435,SIA/KL/MIN/142685/2020,,Muhammed Iqbal,MUHAMMEDIQBAL.,Delisted,EC,
6,436,SIA/KL/MIN/140559/2020,1792/EC2/2020/SEIAA,BABU V N,BABU V N,Delisted,EC,
7,437,SIA/KL/MIN/140622/2020,1722/EC3/2020/SEIAA,BUILDING STONE QUARRY OF MR JOY,JOY ARAKUZHA,EC Granted,EC,
8,438,SIA/KL/MIN/166510/2020,1811/EC3/2020/SEIAA,"Building Stone Mine ( Quarry, Minor Mineral Mining ) project of M/s Chattupara Granites Private Limited at Survey Nos.734/1B-32, 734/1B-34-3, 734/1B-34-4 of Kalloorkkad Village, Muvattupuzha Taluk, Ernakulam District, Kerala in an area of 0.9700 hect",M/S CHATTUPARA GRANITES PRIVATE LIMITED,EC Granted,EC,
9,439,SIA/KL/MIN/274565/2022,2054/EC2/2022/SEIAA,LATERITE BUILDING STONE QUARRY  OF MR. GOVINDAN. K 0.0971 Ha IN BELUR VILLAGE VELLARIKKUND TALUK KASARAGOD DISTRICT,KEKKADAVAN GOVINDAN,Pending at PP due to eds,EC,
10,440,SIA/KL/MIN/185939/2020,,chaliyar River Basin Kadavu 03A,CHALIYAR RIVER BASIN,Delisted,EC,
1,441,SIA/KL/MIN/203074/2021,1899/EC4/2021/SEIAA,Proposed expansion of existing Building Stone Minor Mineral Mining (Quarry) project of M/s Sri Lakshmi Stone Crusher  with total mine lease area of 4.8875 ha.,SRI LAKSHMI STONE CRUSHER,Rejection Letter Granted,EC,
2,442,SIA/KL/MIN/193489/2021,,chaliyar river basin kadavu 22,CHALIYAR RIVER BASIN,Delisted,EC,
3,443,SIA/KL/MIN/181216/2020,,Bharathapuzha River Basin Kadavu 7,BHARATHAPUZHA RIVER BASIN,Delisted,EC,
4,444,SIA/KL/MIN/44927/2019,1210(A)/EC2/2019/SEIAA,Environmen,H AND P GRANITES,EC Granted,EC,
5,445,SIA/KL/MIN/140382/2020,1674/EC2/2020/SEIAA,Granite Stone Quarry of Aishwarya Granites,GRANITE STONE QUARRY OF AISHWARYA GRANITES,EC Granted,EC,
6,446,SIA/KL/MIN/155091/2020,1816/EC6/2020/SEIAA,"Granite Building Stone Quarry Owned by Amala Granite, Parlikkad, Thrissur",AMALAGRANITEPRODUCTS,EC Granted,EC,
7,447,SIA/KL/MIN/166371/2020,1758/EC4/2020/SEIAA,Granite Building Stone Quarry of MA Granites,M/S MA GRANITES,ADS by SEAC,EC,
8,448,SIA/KL/MIN/176603/2020,,Santhosh Govindan,SANTHOSH GOVINDAN,Delisted,EC,
9,449,SIA/KL/MIN/81144/2019,1421/EC1/2019/SEIAA,Granite Building Stone Quarry of Ms. Malabar Blue Metals,BUILDING STONE QUARRY OF M/S MALABAR BLUE METALS,EC Granted,EC,
10,450,SIA/KL/MIS/284787/2022,2099/EC6/2022/SEIAA,Environmental Clearance for the Proposed Expansion of Commercial Complex Project (“Ozone Mall”) to be developed by   M/s Inoa Properties & Developers LLP,INOA PROPERTIES & DEVELOPERS LLP,EC Granted,EC,
1,451,SIA/KL/MIN/234374/2021,2028/EC3/2022/SEIAA,MATHEW PM,MATHEW P M,EC Granted,EC,
2,452,SIA/KL/MIS/137528/2020,1623/EC4/2019/SEIAA,"Proposed expansion of Government General Hospital, Kozhikode",GOVERNMENT GENERAL HOSPITAL,EC Granted,EC,
3,453,SIA/KL/MIN/163826/2020,1837/EC6/2020/SEIAA,Granite Building Stone Quarry Owned by Shaukathali AK,GRANITE BUILDING STONE QUARRY OWNED BY SHAUKATHALI AK,EC Granted,EC,
4,454,SIA/KL/MIN/156417/2020,,Building Stone Quarry of M/s Green Rock Crushers and Mines Pvt Ltd,M/S GREEN ROCK CRUSHERS AND MINES PVT LTD,Delisted,EC,
5,455,SIA/KL/MIN/52716/2020,1654/EC6/2020/SEIAA,Granite Building Stone Quarry of Mr. Sajeer Moyin,SAJEER MOYIN,Agenda Uploaded by SEAC,EC,
6,456,SIA/KL/MIN/136866/2020,1719/EC3/2020/SEIAA,Granite Building Stone Quarry of M/s. Kadanadu Granites,M/S. KADANDU GRANITES,Rejection Letter Granted,EC,
7,457,SIA/KL/MIN/158734/2020,1768/EC6/2020/SEIAA,Granite Building Stone Quarry of Rasheedali Kottakkaran,RASHEEDALI KOTTAKKARAN QUARRY,Request for withdraw,EC,
8,458,SIA/KL/MIN/158328/2020,1424/EC1/2019/SEIAA,Granite Building Stone Quarry of Mr.Sasidharan .N (Conversion- ToR to EC),BUILDING STONE QUARRY OF MR SASIDHARAN N,EC Granted,EC,
9,459,SIA/KL/MIN/159437/2020,1766/EC6/2020/SEIAA,Granite Building Stone Quarry owned by Abas Mines,GRANITE BUILDING STONE OF M/S ABAS MINES,Agenda Uploaded by SEAC,EC,
10,460,SIA/KL/MIN/258433/2022,2063/EC3/2022/SEIAA,SHIJO T PAUL,SHIJO PAUL,Agenda Uploaded by SEIAA,EC,
1,461,SIA/KL/NCP/83033/2018,1193/EC1/2018/SEIAA,"M/s Calicut Landmark Builders & Developers (India) Pvt. Ltd. proposes a mixed use development project at Village Pantheerankavu, Olavanna Panchayat, Kozhikode Taluk & District, Kerala",CALICUT LANDMARK BUILDERS & DEVELOPERS (INDIA) PVT. LTD.,EC Granted - Processed offline,EC,
2,462,SIA/KL/NCP/63451/2017,,Environmental Clearance for Expansion of Existing Hospital campus Project developed by M/s St. Gregorios International Cancer Care Centre,ST. GREGORIOS INTERNATIONAL CANCER CARE CENTRE,WithdrawEC,EC,
3,463,SIA/KL/MIN/62889/2017,,BUILDING STONE QUARRY OF MR SHAJITH V.P,BUILDING STONE QUARRY OF MR SHAJITH VP AT VALAYAM VILLAGE VADAKARA TALUK KOZHIKODE DISTRICT,WithdrawEC,EC,
4,464,SIA/KL/MIN/85061/2018,1195/EC2/2018/SEIAA,"Stone Quarry project of M/s Kizhakethalackal Rocks at
Elappara Village, Peermade Taluk, Idukki District, Kerala for area of 12.4408 ha",KIZHAKETHALACKAL ROCKS,EC Granted - Processed offline,EC,
5,465,SIA/KL/MIS/275257/2022,,Nest HiTek Park Pvt Ltd,NEST HI-TEK PARK PRIVATE LIMITED,Delisted,EC,
6,466,SIA/KL/MIN/191025/2021,1955/EC1/2022/SEIAA,Laterite Building Stone Quarry of NOUFAL POOKATH,LATERITE BUILDING STONE QUARRY OF NOUFAL POOKATH,EC Granted,EC,
7,467,SIA/KL/MIN/45189/2019,1739/EC4/2019/SEIAA,Granite Bu,K V N ENGINEERING AND CONSTRUCTIONS,EC Granted,EC,
8,468,SIA/KL/MIN/156220/2020,1762/EC3/2020/SEIAA,Mr Sreekumar Chenketh Joint General Manager South Indian Bank,SREEKUMAR,Rejected - Processed offline,EC,
9,469,SIA/KL/MIN/229494/2021,2029/EC6/2022/SEIAA,JIMMY JOSE,JIMMY JOSE,Rejection Letter Granted,EC,
10,470,SIA/KL/MIN/39962/2019,1450/EC3/2019/SEIAA,GRANITE BU,BUILDING STONE QUARRY OF MR JOHNSON GEORGE KOODARANJI VILLAGE THAMARASSERY TALUK,EC Granted - Processed offline,EC,
1,471,SIA/KL/MIN/420653/2023,2349/EC4/2023/SEIAA,LATERITE BUILDING STONE QUARRY OF Mr. MANOJ. M,MAVILA MANOJ,Agenda Uploaded by SEAC,EC,
2,472,SIA/KL/NCP/33260/2015,,"Proposed Shopping Mall project at Ollur Village, Thrissur, Kerala of M/s HiLite Mall (Thrissur) LLP.",HILITE MALL THRISSUR LLP,Delisted,EC,
3,473,SIA/KL/MIN/437681/2023,2355/EC4/2023/SEIAA,Laterite Building Stone Quarry of Sameena V V,Semeena V,For further consideration(SEAC),EC,
4,474,SIA/KL/MIN/71007/2017,1167/EC/SEIAA/KL/2017,Building Stone Quarry of Mr. Najeeb Hassan.N,BUILDING STONE QUARRY OF MR NAJEEB HASSAN N,Accepted By SEAC - EC ISSUED IN 81 SEIAA,EC,
5,475,SIA/KL/MIN/149660/2020,1682/EC1/2020/SEIAA,GRANITE QUARRY OF MUJEEB PK,MUJEEB PK,EC Granted,EC,
6,476,SIA/KL/MIN/222222/2021,1920/EC4/SEIAA/2021,Granite Building Stone Quarry by Mr. Haridasan,QUARRY OWNED BY HARIDASAN,EC Granted,EC,
7,477,SIA/KL/MIN/280078/2022,2083/EC2/2022/SEIAA,LATERITE BUILDING STONE QUARRY OF Mr. BALAKRISHNA POOJARY,BALAKRISHNA POOJARY,EC Granted,EC,
8,478,SIA/KL/MIN/32032/2019,,Quarry (Mi,M G BABU,Under examination of SEIAA - Processed offline,EC,
9,479,SIA/KL/MIN/152995/2020,1681/EC1/2020/SEIAA,Granite Building Stone Quarry of M/s Deepam Granites,GRANITE BUILDING STONE QUARRY OF M/S DEEPAM GRANITES,EC Granted,EC,
10,480,SIA/KL/MIN/153481/2020,,Chaliyar River Basin Project,CHALIYAR RIVER BASIN,Delisted,EC,
1,481,SIA/KL/INFRA2/418741/2023,2236/EC3/2023/SEIAA,"‘Avigna Warehouse/Logistics Park’ at Parakkadavu, Ernakulam.",AVIGNA JEYA PRIVATE LIMITED,EC Granted,EC,
2,482,SIA/KL/MIN/52187/2016,,Building Stone Quarry of Kayyar Aggregates Pvt Ltd,KAYYAR AGGREGATES PRIVATE LIMITED,TransferToDEIAA,EC,
3,483,SIA/KL/MIN/38910/2016,1070/EC1/2016/SEIAA,"Quarry project at Vellarada Village, Neyyatinkara Taluk, Thiruvananthapuram, District, Kerala for an area of 3.2658 hectares of M/s Travancore Readymix Pvt. Ltd.",TRAVANCORE READYMIX PRIVATE LIMITED,Delisted,EC,
4,484,SIA/KL/NCP/33221/2015,,"Proposed Residential Project at Village Kowdiar, Thiruvananthapuram, Kerala in an area of 2.2703 hectare of M/s Heera Construction Co. Pvt. Ltd.",HEERA CONSTRUCTION COMPANY PVT LTD,Delisted,EC,
5,485,SIA/KL/MIN/443864/2023,,Granite Building Stone Quarry of Mr. Ilyas Babu,ILYAS BABU,Pending at PP due to eds,EC,
6,486,SIA/KL/MIN/424833/2023,,Proposed granite building stone quarry of Mr.Abraham Augustine,AUGUSTINE ABRAHAM,Pending at PP due to eds,EC,
7,487,SIA/KL/MIN/422067/2023,,"Mr.Ranju K K ,Managing Director,M/s. Neeloor Aggregates , Private Limited",NEELOOR AGGREGATES PRIVATE LIMITED,Pending at PP due to eds,EC,
8,488,SIA/KL/MIN/402677/2022,2151/EC3/2022/SEIAA,Ordinary Earth Mining Project of Ms. Sanija Willson,SANIJA WILLSON,EC Granted,EC,
9,489,SIA/KL/MIN/60067/2016,,Building Stone Quarry of M/s Thekkinchuvadu Granites Pvt Ltd,THEKKINCHUVADU GRANITE PVT LTD,TransferToDEIAA,EC,
10,490,SIA/KL/MIN/94600/2019,1263/EC2/2019/SEIAA,K.M Jalal Quarry,GEC MINING SOLUTION,EC Granted - Processed offline,EC,
1,491,SIA/KL/MIN/217111/2021,1950/EC1/2022/SEIAA,Laterite Building Stone Quarry of Saji,LATERITE BUILDING STONE QUARRY OF SAJI,EC Granted,EC,
2,492,SIA/KL/MIN/265726/2022,1334/EC2/2019/SEIAA,Unnikrishnan,KORAH AND ASSOCIATES CONSULTANTS PRIVATE LIMITED,EC Granted,EC,
3,493,SIA/KL/MIN/90539/2019,1206/EC2/2019/SEIAA,QUARRYING OF ORDINARY EARTH  FROM KOTTUKAL BORROW AREA,LARSEN AND TOUBRO LIMITED,Under examination of SEIAA - Processed offline,EC,
4,494,SIA/KL/MIN/60837/2016,,Granite (Building stone) Quarry of M/s KKJ Group International (India) Pvt. Ltd.,KKJ GROUP INTERNATIONAL INDIA PRIVATE LIMITED,TransferToDEIAA,EC,
5,495,SIA/KL/MIN/82299/2018,,GRANITE BUILDING STONE QUARRY OF M/S KAVUMKAL GRANITES,GRANITE BUILDING STONE QUARRY OF M S KAVUMKAL GRANITES,Delisted,EC,
6,496,SIA/KL/NCP/31337/2019,,Environmental Clearance for the Proposed Mixed use Township Development Project ‘Landmark Trade Centre’ by M/s Calicut Landmark Builders & Developers (India) Pvt. Ltd.,CALICUT LANDMARK BUILDERS & DEVELOPERS (INDIA) PVT. LTD.,EC Granted - Processed offline,EC,
7,497,SIA/KL/MIN/446910/2023,2448/EC3/2023/SEIAA,Granite Building Stone Quarry of M/s M. K. N Bricks and Blue Metals (P) Ltd,MKN BRICKS AND BLUE METALS PRIVATE LIMITED,For further consideration(SEAC),EC,
8,498,SIA/KL/NCP/33882/2015,,Environmental Clearance for proposed Hospital Project to be developed by M/s Dr. K.M. Cherian Institute of Medical Sciences Pvt. Ltd.,DR K M CHERIAN INSTITUTE OF MEDICAL SCIENCES PVT LTD,Delisted,EC,
9,499,SIA/KL/MIN/56676/2016,,"Building Stone Quarry (Minor Mineral) mining project of M/s Parackal Rock Products is situated at Mazhuvannoor Village, Kunnathunadu Taluk, Ernakulam District, Kerala in area of 3.3068 hectares",PARACKAL ROCK PRODUCTS,TransferToDEIAA,EC,
10,500,SIA/KL/INFRA2/402758/2022,2139/EC4/2022/SEIAA,"Proposed expansion of the hospital project ‘Santhi Hospital’ at Omassery, Kozhikode",ISLAMIC WELFARE TRUST OMASSERY,ADS by SEAC,EC,
