,Proposal.No.,File_No,Proposal Name,State,District,Tehsil,Date_1,Date_2,Category,Company,Status,Link,Timeline
1319,SIA/KL/MIN/169224/2020,,Granite Building stone Quarry of Mr.Noushad (conversion ToR to EC),Kerala,Malappuram,Nilambur,Date of Submission for TOR: ,Date of Submission for EC: 22 Aug 2020 ,Non-Coal Mining,BUILDING STONE QUARRY OF MR NOUSHAD,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Kerala&pno=SIA/KL/MIN/169224/2020&pid=124384,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/169224/2020&type=EC&ID=124384
1320,SIA/KL/MIN/405320/2022,,LATERITE BUILDING STONE QUARRY OF H. HARISH SHETTY,Kerala,Kasaragod,,Date of Submission for TOR: ,Date of Submission for EC: 05 Nov 2022 ,Non-Coal Mining,HOSABETTU SHETTY,Query raised by SEIAA and pending at PP,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Kerala&pno=SIA/KL/MIN/405320/2022&pid=212318,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/405320/2022&type=EC&ID=212318
1321,SIA/KL/MIN/93810/2019,1249/EC2/2019/SEIAA,GRANITE BUILDING STONE QUARRY OF Mr KRISHEEB MR,Kerala,Palakkad,Palakkad,Date of Submission for TOR: ,Date of Submission for EC: 01 Feb 2019 ,Non-Coal Mining,GRANITE BUILDING STONE QUARRY OF MR KRISHEEB MR,Rejected - Processed offline,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Kerala&pno=SIA/KL/MIN/93810/2019&pid=52444,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/93810/2019&type=EC&ID=52444
1322,SIA/KL/MIN/58604/2016,,AL-MADEENA HOLLOW BLOCKS,Kerala,Malappuram,Eranad,Date of Submission for TOR: ,Date of Submission for EC: 25 Aug 2016 ,Non-Coal Mining,AL MADEENA HOLLOW BLOCKS,TransferToDEIAA,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Kerala&pno=SIA/KL/MIN/58604/2016&pid=25210,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/58604/2016&type=EC&ID=25210
1323,SIA/KL/MIN/95144/2019,1269/EC2/2019/SEIAA,Abdul Gafoor,Kerala,Palakkad,Ottappalam,Date of Submission for EC: 09 Feb 2019 ,Date of Ec Granted : 21 Oct 2019,Non-Coal Mining,ABDUL GAFOOR QUARRY,EC Granted - Processed offline,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Kerala&pno=SIA/KL/MIN/95144/2019&pid=52846,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/95144/2019&type=EC&ID=52846
1324,SIA/KL/MIN/450543/2023,2475/EC3/2023/SEIAA,Granite Building Stone Quarry of M/s BTL Rocks & Minerals (Reappraisal of EC from SEIAA as per OM dated 28/4/2023),Kerala,,,Date of Submission for TOR: ,Date of Submission for EC: 31 Oct 2023 ,Non-Coal Mining, BTL ROCKS AND MINERALS,Site Visit by SEAC(Pending),https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Kerala&pno=SIA/KL/MIN/450543/2023&pid=227497,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/450543/2023&type=EC&ID=227497
1325,SIA/KL/MIN/59109/2016,,SURYA GRANITES,Kerala,Palakkad,Alathur,Date of Submission for TOR: ,Date of Submission for EC: 21 Sep 2016 ,Non-Coal Mining,AL MADEENA HOLLOW BLOCKS,TransferToDEIAA,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Kerala&pno=SIA/KL/MIN/59109/2016&pid=30697,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/59109/2016&type=EC&ID=30697
1326,SIA/KL/MIN/450538/2023,2433/EC4/2023/SEIAA,Laterite Building Stone Quarry of Chakko K M,Kerala,,,Date of Submission for TOR: ,Date of Submission for EC: 28 Oct 2023 ,Non-Coal Mining,KUZHIKKATTU CHACKO,ADS by SEAC,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Kerala&pno=SIA/KL/MIN/450538/2023&pid=227401,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/450538/2023&type=EC&ID=227401
1327,SIA/KL/MIN/434752/2023,2417/EC1/2023/SEIAA,Granite Building Stone Quarry oF Mr. Stephen Joseph Managing Director M/s Crystal Aggregates Pvt Ltd,Kerala,,,Date of Submission for TOR: ,Date of Submission for EC: 27 Jun 2023 ,Non-Coal Mining,STEPHEN JOSEPH,Agenda Uploaded by SEAC,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Kerala&pno=SIA/KL/MIN/434752/2023&pid=221972,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/434752/2023&type=EC&ID=221972
1328,SIA/KL/MIN/450873/2023,,Granite Building Stone Quarry of M/s Matha Industries (Re-appraisal of DEIAA EC no 12/2017 dated 23-09-2017 by SEIAA),Kerala,,,Date of Submission for TOR: ,Date of Submission for EC: 01 Nov 2023 ,Non-Coal Mining, MATHA INDUSTRIES,Query raised by SEIAA and pending at PP,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Kerala&pno=SIA/KL/MIN/450873/2023&pid=227543,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/450873/2023&type=EC&ID=227543
1329,SIA/KL/MIN/449123/2023,2424/EC2/2023/SEIAA,LATERITE BUILDING STONE QUARRY OF MEHROOF ALI THAHIR,Kerala,,,Date of Submission for TOR: ,Date of Submission for EC: 18 Oct 2023 ,Non-Coal Mining,KOKKANCHARARIPARMBIL MAHAROOFALITHAHIR,Deferred by SEAC,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Kerala&pno=SIA/KL/MIN/449123/2023&pid=226994,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/449123/2023&type=EC&ID=226994
