,Proposal.No.,File_No,Proposal Name,State,District,Tehsil,Date_1,Date_2,Category,Company,Status,Link,Timeline
478,SIA/BR/INFRA1/455862/2023,SIA/7(c)/2449/2023,"Industrial Area, Warsaliganj",Bihar,,,Date of Submission for EC: 21 Dec 2023 ,Date of Ec Granted : 31 Jan 2024,INFRA-1, BIHAR INDUSTRIAL AREA DEVELOPMENT AUTHORITY,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Bihar&pno=SIA/BR/INFRA1/455862/2023&pid=229511,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/INFRA1/455862/2023&type=EC&ID=229511
479,SIA/BR/MIN/64469/2017,SIA/1(a)/467/17,Sand mining Project at Patiauna Ghat on Lilajan river,Bihar,Gaya,Barachatti,Date of Submission for EC: 08 Jun 2017 ,Date of Ec Granted : 29 May 2018,Non-Coal Mining,WESTLINK TRADING PRIVATE LIMITED,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Bihar&pno=SIA/BR/MIN/64469/2017&pid=35184,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/64469/2017&type=EC&ID=35184
480,SIA/BR/MIN/59796/2016,,“MOHANPUR GHAT ON BADHUA RIVER”,Bihar,Munger,Tarapur,Date of Submission for TOR: ,Date of Submission for EC: 11 Nov 2016 ,Non-Coal Mining,NM FOOD PRODUCT PVT LTD,TransferToDEIAA,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Bihar&pno=SIA/BR/MIN/59796/2016&pid=32253,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/59796/2016&type=EC&ID=32253
481,SIA/BR/NCP/63452/2017,SIA/8(a)/457/17,"Proposed Lohia Path Chakra at Jawaharlal Nehru Path (Bailey Road) in Between BPSC office (near Lalit Bhawan) and Vidhyut Bhawan in Patna, Bihar",Bihar,Patna,Patna Rural (a) Patna Rural (b),Date of Submission for TOR: ,Date of Submission for EC: 29 Mar 2017 ,INFRA-1,BIHAR RAJYA PUL NIRMAN NIGAM LIMITED,WithdrawEC,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Bihar&pno=SIA/BR/NCP/63452/2017&pid=34683,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/NCP/63452/2017&type=EC&ID=34683
482,SIA/BR/MIN/442158/2023,SIA/1(a)/2261/2023,Proposed Sand Mining Project of Area  89.96 Ha at Rohtas Sone  Ghat 12 on Sone River of District-Rohtas State-Bihar.,Bihar,,,Date of Submission for EC: 05 Sep 2023 ,Date of Ec Granted : 20 Oct 2023,Non-Coal Mining,ARVIND KUMAR,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Bihar&pno=SIA/BR/MIN/442158/2023&pid=224538,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/442158/2023&type=EC&ID=224538
483,SIA/BR/MIN/64419/2017,SIA/1(a)/475/17,Sand Mining Project at Solahdham Sand Ghat on Morhar River.,Bihar,Gaya,Tikari,Date of Submission for EC: 08 Jun 2017 ,Date of Ec Granted : 31 May 2018,Non-Coal Mining,WESTLINK TRADING PRIVATE LIMITED,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Bihar&pno=SIA/BR/MIN/64419/2017&pid=35181,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/64419/2017&type=EC&ID=35181
484,SIA/BR/MIN/60639/2016,SIA/1(a)/375/16,"Sand mining project, at Kuberchak ghat",Bihar,Bhojpur,Koilwar,Date of Submission for EC: 25 Nov 2016 ,Date of Ec Granted : 23 Dec 2016,Non-Coal Mining,BROADSON COMODITIES PVT LTD,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Bihar&pno=SIA/BR/MIN/60639/2016&pid=32850,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/60639/2016&type=EC&ID=32850
485,SIA/BR/MIN/66037/2017,SIA/1(a)/543/18,Sand Mining Project on Kishanpur  Sand Ghat (Block no-1) on Kiul River.,Bihar,Lakhisarai,Surajgarha,Date of Submission for TOR: ,Date of Submission for EC: 25 Sep 2018 ,Non-Coal Mining,WESTLINK TRADING PRIVATE LIMITED,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Bihar&pno=SIA/BR/MIN/66037/2017&pid=35795,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/66037/2017&type=EC&ID=35795
486,SIA/BR/MIN/429676/2023,SIA/1(a)/2053/2022,Proposed Sand Mining Project of Area 86.85 Ha at Aurangabad Ghat 04 on Sone River of District-Aurangabad State-Bihar.,Bihar,,,Date of Submission for EC: 24 May 2023 ,Date of Ec Granted : 13 Jul 2023,Non-Coal Mining,RANGESH GAUTAM,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Bihar&pno=SIA/BR/MIN/429676/2023&pid=220237,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/429676/2023&type=EC&ID=220237
487,SIA/BR/MIS/66585/2021,21-52/2021-IA-III,"Proposed Commercial and Residential Building “Nutan Crescent II” at Bhikhachak, Mauza-Chitkohra, Tehsil-Gardanibhag, Dist. - Patna, Bihar by Nutan Construction",Bihar,Patna,Patna Sadar,Date of Submission for TOR: ,Date of Submission for EC: 09 Aug 2021 ,INFRA-2,NUTAN CRESCENT II,WithdrawEC,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Bihar&pno=SIA/BR/MIS/66585/2021&pid=190125,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIS/66585/2021&type=EC&ID=190125
