Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
SIA/JH/MIN/409182/2022,EC/SEIAA/2022-23/2697/2022,Jharkhand,,,Date of Submission for EC: 20 Jan 2023 ,Date of Ec Granted : 08 Feb 2023,Non-Coal Mining, NEW INDIA INDUSTRIES,EC Granted
SIA/JH/MIN/34410/2015,EC/SEIAA/2015-16/1914/2015,Jharkhand,Kodarma,Markacho,Date of Submission for TOR: ,Date of Submission for EC: 13 Dec 2015 ,Non-Coal Mining,MS CRYSTAL CONSULTANTS,TransferToDEIAA
SIA/JH/MIN/165780/2020,EC/SEIAA/2020-21/2363/2020,Jharkhand,Dhanbad,Baliapur,Date of Submission for EC: 02 Jul 2021 ,Date of Ec Granted : 14 Aug 2021,Non-Coal Mining,CHAULDHUA STONE DEPOSIT,EC Granted
SIA/JH/MIN/204417/2021,,Jharkhand,Giridih,Dhanwar,Date of Submission for TOR: ,Date of Submission for EC: 18 Mar 2021 ,Non-Coal Mining,M/S GOUSHIA STONE CHIPS,Delisted
SIA/JH/MIN/200661/2021,,Jharkhand,Bokaro,Peterwar,Date of Submission for TOR: ,Date of Submission for EC: 01 Mar 2021 ,Non-Coal Mining,JYOTI MINERALS,Delisted
SIA/JH/MIN/203230/2021,,Jharkhand,Gumla,Chainpur,Date of Submission for TOR: ,Date of Submission for EC: 13 Mar 2021 ,Non-Coal Mining,R K. BRICKS,Delisted
SIA/JH/MIS/288263/2022,EC/SEIAA/2022-23/2574/2022,Jharkhand,Ranchi,Kanke,Date of Submission for EC: 28 Sep 2022 ,Date of Ec Granted : 02 Mar 2023,INFRA-2,M/S EASTERN ESTATES  CONSTRUCTION AND DEVELOPERS PVT LTD,EC Granted
SIA/JH/MIN/288336/2022,EC/SEIAA/2022-23/2634/2022,Jharkhand,Seraikela Kharsawan,Kharsawan,Date of Submission for EC: 17 Aug 2022 ,Date of Ec Granted : 09 Sep 2022,Non-Coal Mining,SITA MAHATO,EC Granted
SIA/JH/MIN/60876/2016,,Jharkhand,Sahibganj,Mandro,Date of Submission for TOR: ,Date of Submission for EC: 14 Jun 2018 ,Non-Coal Mining,MS CRYSTAL CONSULTANTS,WithdrawEC
SIA/JH/MIN/62472/2017,,Jharkhand,Pakaur,Pakaur,Date of Submission for TOR: ,Date of Submission for EC: 20 Mar 2017 ,Non-Coal Mining,MISHRA STONE WORKS,Delisted
SIA/JH/MIN/208097/2021,EC/SEIAA/2021-22/2340/2021,Jharkhand,Dumka,Shikaripara,Date of Submission for EC: 17 Jun 2021 ,Date of Ec Granted : 15 Jul 2021,Non-Coal Mining,SALBONAPAHAR STONE MINE OF M/S SHRI PARASNATH INDUSTRIES,EC Granted
SIA/JH/MIN/209884/2021,,Jharkhand,Lohardaga,Bhandra,Date of Submission for TOR: ,Date of Submission for EC: 25 Apr 2021 ,Non-Coal Mining,CRYSTAL CONSULTANTS,Delisted
SIA/JH/MIN/209990/2021,EC/SEIAA/2021-22/2348/2021,Jharkhand,Dumka,Gopikandar,Date of Submission for EC: 17 Jun 2021 ,Date of Ec Granted : 15 Jul 2021,Non-Coal Mining,RAMBANI STONE MINE OF M/S TRIDEV ENGICON PVT. LTD.,EC Granted
SIA/JH/MIN/254938/2022,EC/SEIAA/2021-22/2528/2021,Jharkhand,Pakaur,Pakuria,Date of Submission for EC: 23 Feb 2022 ,Date of Ec Granted : 22 Apr 2022,Non-Coal Mining,AJIT MEHTA,EC Granted
SIA/JH/MIS/288462/2022,,Jharkhand,Ranchi,Kanke,Date of Submission for TOR: ,Date of Submission for EC: 12 Aug 2022 ,INFRA-2, FEACON CONST  IND PRIVATE LIMITED,Query raised by SEIAA and pending at PP
SIA/JH/MIN/409008/2022,EC/SEIAA/2022-23/2685/2022,Jharkhand,,,Date of Submission for EC: 06 Jan 2023 ,Date of Ec Granted : 18 Jan 2023,Non-Coal Mining,DWARIKA CHOUDHARY,EC Granted
SIA/JH/MIN/429561/2023,EC/SEIAA/2023-24/2829/2023,Jharkhand,,,Date of Submission for EC: 20 May 2023 ,Date of Ec Granted : 14 Jun 2023,Non-Coal Mining,PANKAJ SINGH,EC Granted
SIA/JH/MIN/65723/2017,,Jharkhand,Pakaur,Hiranpur,Date of Submission for TOR: ,Date of Submission for EC: 27 Jun 2017 ,Non-Coal Mining,ASRAFUL SHEIKH,Delisted
SIA/JH/MIN/75880/2018,EC/SEIAA/2018-19/2086/2018,Jharkhand,Palamu,Hussainabad,Date of Submission for EC: 04 Oct 2018 ,Date of Ec Granted : 14 Feb 2019,Non-Coal Mining,CRYSTAL CONSULTANTS,EC Granted
SIA/JH/MIN/45121/2019,EC/SEIAA/2018-19/2250/2019,Jharkhand,Ranchi,Kanke,Date of Submission for EC: 19 Oct 2019 ,Date of Ec Granted : 08 Nov 2019,Non-Coal Mining,CRYSTAL CONSULTANTS,EC Granted
SIA/JH/MIN/41202/2019,EC/SEIAA/2018-19/2186/2019,Jharkhand,Sahibganj,Sahibganj,Date of Submission for EC: 19 Sep 2019 ,Date of Ec Granted : 26 Oct 2019,Non-Coal Mining,INSHA STONE WORKS,EC Granted
SIA/JH/MIN/63865/2017,EC/SEIAA/2016-17/2015/2017,Jharkhand,Jamtara,Jamtara,Date of Submission for EC: 09 May 2017 ,Date of Ec Granted : 05 Jun 2018,Non-Coal Mining,OVERSEAS MIN TECH CONSULTANTS,EC Granted
SIA/JH/MIN/271577/2022,EC/SEIAA/2022-23/2581/2022,Jharkhand,Pakaur,Pakaur,Date of Submission for TOR: ,Date of Submission for EC: 09 May 2022 ,Non-Coal Mining,SUMIT SADHWANI,Rejection Letter Granted
SIA/JH/MIN/251580/2022,EC/SEIAA/2021-22/2475/2021,Jharkhand,Giridih,Dumri,Date of Submission for EC: 23 Feb 2022 ,Date of Ec Granted : 22 Apr 2022,Non-Coal Mining,M/S SHRI HARI MINERALS,EC Granted
SIA/JH/INFRA2/412897/2023,EC/SEIAA/2022-23/2667/2023,Jharkhand,,,Date of Submission for TOR: ,Date of Submission for EC: 17 Jan 2023 ,INFRA-2, VINAYAK DEVELOPERS AND ASSOCIATES,Awaiting EC
SIA/JH/MIN/32402/2015,EC/SEIAA/2015-16/1561/2015,Jharkhand,Sahibganj,Mandro,Date of Submission for EC: 03 Nov 2015 ,Date of Ec Granted : 31 Dec 2015,Non-Coal Mining,MS CRYSTAL CONSULTANTS,EC Granted
SIA/JH/MIN/37325/2019,EC/SEIAA/2018-19/2141/2018,Jharkhand,Ramgarh,Patratu,Date of Submission for EC: 18 Jul 2019 ,Date of Ec Granted : 02 Aug 2019,Non-Coal Mining,PALI STONE DEPOSIT,EC Granted
SIA/JH/MIN/234510/2021,EC/SEIAA/2021-22/2453/2021,Jharkhand,Palamu,Chhatarpur,Date of Submission for EC: 19 Oct 2021 ,Date of Ec Granted : 31 Oct 2021,Non-Coal Mining,M/S BHAGWAN CHIPS STONE OF PARTNERS - SHRI AJIT SINGH & SHRI ABHISHEK ANAND,EC Granted
SIA/JH/MIN/82529/2018,,Jharkhand,Seraikela Kharsawan,Kharsawan,Date of Submission for TOR: ,Date of Submission for EC: 15 Oct 2018 ,Non-Coal Mining,MS CHANDUKA MINERALS,WithdrawEC
SIA/JH/THE/29621/2008,EC/SEIAA/2018-19/2096/2018,Jharkhand,Ramgarh,No Data,Date of Submission for EC: 05 Mar 2019 ,Date of Ec Granted : 05 Apr 2019,Thermal Projects,INLAND POWER LIMITED,EC Granted
SIA/JH/MIN/63692/2017,EC/SEIAA/2016-17/2013/2017,Jharkhand,Jamtara,Jamtara,Date of Submission for EC: 09 May 2017 ,Date of Ec Granted : 05 Jun 2018,Non-Coal Mining,OVERSEAS MIN TECH CONSULTANTS,EC Granted
SIA/JH/MIN/42166/2018,EC/SEIAA/2018-19/2095/2018,Jharkhand,Ranchi,Tamar I,Date of Submission for EC: 03 Sep 2019 ,Date of Ec Granted : 26 Oct 2019,Non-Coal Mining,RUNGTA MINES LTD,EC Granted
SIA/JH/MIN/201972/2021,,Jharkhand,Giridih,Dhanwar,Date of Submission for TOR: ,Date of Submission for EC: 05 Mar 2021 ,Non-Coal Mining,BASUDEV MODI & BINOD PRASAD BARNWAL,Delisted
SIA/JH/MIN/45121/2019,EC/SEIAA/2018-19/2250/2019,Jharkhand,Ranchi,Kanke,Date of Submission for EC: 19 Oct 2019 ,Date of Ec Granted : 08 Nov 2019,Non-Coal Mining,CRYSTAL CONSULTANTS,EC Granted
SIA/JH/MIN/64419/2017,EC/SEIAA/2017-18/2027/2017,Jharkhand,Palamu,Panki,Date of Submission for TOR: ,Date of Submission for EC: 09 Sep 2021 ,Non-Coal Mining,CRYSTAL CONSULTANTS,Deferred by SEAC
SIA/JH/MIN/61080/2016,EC/SEIAA/2016-17/1986/2016,Jharkhand,Sahibganj,Mandro,Date of Submission for EC: 04 Jan 2017 ,Date of Ec Granted : 07 Feb 2019,Non-Coal Mining,MS CRYSTAL CONSULTANTS,EC Granted
SIA/JH/MIN/418705/2023,EC/SEIAA/2022-23/2451/2023,Jharkhand,,,Date of Submission for EC: 27 Feb 2023 ,Date of Ec Granted : 31 Mar 2023,Non-Coal Mining,YAR MOHAMMAD,EC Granted
SIA/JH/MIN/418965/2023,EC/SEIAA/2022-23/2757/2023,Jharkhand,,,Date of Submission for EC: 20 Feb 2023 ,Date of Ec Granted : 31 Mar 2023,Non-Coal Mining,ANIL GAUTAM,EC Granted
SIA/JH/MIN/204145/2021,,Jharkhand,East Singhbhum,potka,Date of Submission for TOR: ,Date of Submission for EC: 17 Mar 2021 ,Non-Coal Mining,M/S RAJESH KUMAR SINGH,Delisted
SIA/JH/MIN/192826/2021,EC/SEIAA/2021-22/2423/2021,Jharkhand,Ranchi,Kanke,Date of Submission for EC: 10 Sep 2021 ,Date of Ec Granted : 23 Sep 2021,Non-Coal Mining,CRYSTAL CONSULTANTS,EC Granted
SIA/JH/MIN/427601/2023,EC/SEIAA/2023-24/2820/2023,Jharkhand,,,Date of Submission for EC: 19 May 2023 ,Date of Ec Granted : 19 Jun 2023,Non-Coal Mining,ARUN SINGH,EC Granted
SIA/JH/MIN/31535/1900,EC/SEIAA/2018-19/2179/2019,,,,Date of Submission for EC: 29 Aug 2019 ,Date of Ec Granted : 26 Oct 2019,Non-Coal Mining,MS CRYSTAL CONSULTANTS,EC Granted
