Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
SIA/RJ/MIN/39931/2019,12066,Rajasthan,Jodhpur,balesar,Date of Submission for EC: 24 Jul 2019 ,Date of Ec Granted : 13 Jan 2020,Non-Coal Mining,M/S P S BUILDTECH,EC Granted - Processed offline
SIA/RJ/MIN/54241/2016,,Rajasthan,Jodhpur,Shergarh,Date of Submission for TOR: ,Date of Submission for EC: 26 May 2016 ,Non-Coal Mining,SHRI OM PRAKASH,Under examination of SEIAA - Processed offline
SIA/RJ/MIN/54204/2016,,Rajasthan,Jodhpur,Shergarh,Date of Submission for TOR: ,Date of Submission for EC: 26 May 2016 ,Non-Coal Mining,DOLA,Under examination of SEIAA - Processed offline
SIA/RJ/MIN/42833/2019,12521,Rajasthan,Alwar,Alwar,Date of Submission for EC: 13 Sep 2019 ,Date of Ec Granted : 14 Nov 2019,Non-Coal Mining,MS KCC BUILDCON PVT LTD,EC Granted - Processed offline
SIA/RJ/MIN/130656/2019,13190,Rajasthan,Barmer,Barmer,Date of Submission for TOR: ,Date of Submission for EC: 10 Dec 2019 ,Non-Coal Mining,SHRE HUKMA RAM,Delisted
SIA/RJ/MIN/130908/2019,13238,Rajasthan,Bundi,Bundi,Date of Submission for EC: 11 Dec 2019 ,Date of Ec Granted : 26 Aug 2021,Non-Coal Mining,SHRI PRABHU LAL KARAD,EC Granted - Processed offline
SIA/RJ/MIN/60911/2016,,Rajasthan,Tonk,Deoli,Date of Submission for TOR: ,Date of Submission for EC: 07 Dec 2016 ,Non-Coal Mining,MS MARUDHARA OVERSEAZ,Under examination of SEIAA - Processed offline
SIA/RJ/MIN/57325/2016,,Rajasthan,Jaipur,Jamwa Ramgarh,Date of Submission for TOR: ,Date of Submission for EC: 10 Jul 2016 ,Non-Coal Mining,RIDDHI SIDDHIMARBLE,Under examination of SEIAA - Processed offline
SIA/RJ/MIN/57380/2016,,Rajasthan,Jaipur,Kotputli,Date of Submission for TOR: ,Date of Submission for EC: 12 Jul 2016 ,Non-Coal Mining,OVERSEAS MIN TECH CONSULTANT,Under examination of SEIAA - Processed offline
SIA/RJ/MIN/40678/2019,12499,Rajasthan,Bharatpur,Weir,Date of Submission for EC: 14 Sep 2019 ,Date of Ec Granted : 26 Feb 2021,Non-Coal Mining,ASHOK KUMAR TIWARI,EC Granted - Processed offline
