Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
SIA/KA/MIN/92729/2019,SEIAA 147 MIN 2019,Karnataka,Chamarajanagar,Gundlupet,Date of Submission for EC: 08 Feb 2019 ,Date of Ec Granted : 04 Dec 2020,Non-Coal Mining,SRI. SIDDHA SHETTY & SRI. RAMA SHETTY,EC Granted - Processed offline
SIA/KA/NCP/5194/2015,SEIAA 205 CON 2015,Karnataka,Bangalore Urban,Bangalore East,Date of Submission for EC: 17 Dec 2015 ,Date of Ec Granted : 01 Apr 2016,INFRA-1,BREN CORPORATION,EC Granted
SIA/KA/MIN/756/2015,SEIAA 905 MIN 2015,Karnataka,Hassan,Alur,Date of Submission for EC: 04 Aug 2015 ,Date of Ec Granted : 20 Oct 2015,Non-Coal Mining,H G SHAHJAHAN,EC Granted
SIA/KA/MIN/2274/2015,SEIAA 1159 MIN 2015,Karnataka,Belgaum,Ramdurg,Date of Submission for EC: 18 Sep 2015 ,Date of Ec Granted : 18 Nov 2015,Non-Coal Mining,DISTRICT SAND MONITORING COMMITTEE BELGAUM,EC Granted
SIA/KA/MIN/2157/2015,SEIAA 1141 MIN 2015,Karnataka,Tumkur,Tumkur,Date of Submission for EC: 15 Sep 2015 ,Date of Ec Granted : 27 May 2016,Non-Coal Mining,LAKSHMINARAYANA STONE CRUSHERS,EC Granted
SIA/KA/NCP/53649/2016,,Karnataka,Bangalore Urban,Bangalore East,Date of Submission for TOR: ,Date of Submission for EC: 11 May 2016 ,INFRA-1,MS KSM NIKETAN PRIVATE LIMITED,Delisted
SIA/KA/NCP/36827/2015,,Karnataka,Bangalore Urban,Bangalore East,Date of Submission for TOR: ,Date of Submission for EC: 30 Dec 2015 ,INFRA-1,MS AKSHAYA BUILDERS,Delisted
SIA/KA/MIS/137512/2020,SEIAA 09 CON 2020,Karnataka,Bangalore Urban,Bangalore North,Date of Submission for EC: 18 Jan 2020 ,Date of Ec Granted : 07 Mar 2020,INFRA-2,"M/S. RAJIVGANDHI HOUSING CORPORATION LTD.,",EC Granted - Processed offline
SIA/KA/MIS/102036/2019,,,,,Date of Submission for TOR: ,Date of Submission for EC: 06 May 2019 ,INFRA-2,BREN CORPORATION PRIVATE LTD,Delisted
SIA/KA/MIS/113115/2019,SEIAA 41 CON 2019,Karnataka,Bangalore Urban,Bangalore North,Date of Submission for EC: 01 Aug 2019 ,Date of Ec Granted : 02 Dec 2019,INFRA-2,PURAVANKARA PROJECTS LIMITED,EC Granted - Processed offline
SIA/KA/MIN/71341/2017,SEIAA 109 MIN 2017,Karnataka,Bellary,Siruguppa,Date of Submission for EC: 30 Nov 2017 ,Date of Ec Granted : 16 Feb 2018,Non-Coal Mining,SRI V SREENIVASULU,EC Granted
SIA/KA/MIN/45327/2019,SEIAA 740 MIN 2019,Karnataka,Bellary,Sandur,Date of Submission for EC: 23 Oct 2019 ,Date of Ec Granted : 01 Feb 2020,Non-Coal Mining,SRI PRADEEP P KUMAR,EC Granted - Processed offline
SIA/KA/MIN/138107/2020,SEIAA 58 MIN 2020,Karnataka,Belgaum,Chikodi,Date of Submission for EC: 22 Jan 2020 ,Date of Ec Granted : 03 Sep 2020,Non-Coal Mining,M/S. VERRABHADRA STONE CRUSHER,EC Granted - Processed offline
SIA/KA/MIN/227914/2021,SEIAA 474 MIN 2021,Karnataka,Tumkur,Tumkur,Date of Submission for EC: 08 Sep 2021 ,Date of Ec Granted : 12 Jan 2022,Non-Coal Mining,M/S. DHANALAKSHMI STONE CRUSHERS,EC Granted
SIA/KA/MIN/196441/2021,SEIAA 76 MIN 2021,Karnataka,Koppal,Kushtagi,Date of Submission for EC: 05 Feb 2021 ,Date of Ec Granted : 04 Aug 2021,Non-Coal Mining,PINK GRANITE QUARRY OF SOMANAGOUDA POLICE PATIL,EC Granted - Processed offline
SIA/KA/NCP/71021/2017,SEIAA 127 CON 2017,Karnataka,Bangalore Urban,Bangalore East,Date of Submission for EC: 18 Nov 2017 ,Date of Ec Granted : 12 Jan 2018,INFRA-1,MS SEKHAR BUILDERS AND INFRATECH PVT LTD,EC Granted
SIA/KA/NCP/71077/2017,SEIAA 129 CON 2017,Karnataka,Bangalore Urban,Bangalore East,Date of Submission for EC: 22 Nov 2017 ,Date of Ec Granted : 08 Feb 2018,INFRA-1,SHEELA HG,EC Granted
SIA/KA/MIN/32687/2015,,Karnataka,kalaburagi,Chitapur,Date of Submission for TOR: ,Date of Submission for EC: 09 Nov 2015 ,Non-Coal Mining,SAHEB GOWDA,Delisted
SIA/KA/MIN/71734/2017,SEIAA 116 MIN 2017,Karnataka,Bagalkot,Hungund,Date of Submission for EC: 20 Dec 2017 ,Date of Ec Granted : 11 May 2018,Non-Coal Mining,AMARJYOTHI  STONE,EC Granted
SIA/KA/NCP/33682/2015,SEIAA 195 CON 2015,Karnataka,Bangalore Urban,Bangalore North,Date of Submission for EC: 02 Dec 2015 ,Date of Ec Granted : 17 Mar 2016,INFRA-1,BHARATH P SHAH AND MRS VEENA HASMUKH SHAH,EC Granted
SIA/KA/MIN/33708/2015,SEIAA 1527 MIN 2015,Karnataka,Davanagere,Harapanahalli,Date of Submission for EC: 03 Dec 2015 ,Date of Ec Granted : 17 Feb 2016,Non-Coal Mining,MS TULAJA BHAVANI STONE CRUSHER,EC Granted
SIA/KA/MIN/1853/2015,SEIAA 1088 MIN 2015,Karnataka,kalaburagi,Jevargi,Date of Submission for EC: 06 Sep 2015 ,Date of Ec Granted : 19 Oct 2015,Non-Coal Mining,HI TECH ROCK PRODUCTS AND AGGREGATES LTD,EC Granted
SIA/KA/MIN/1736/2015,SEIAA 1073 MIN 2015,Karnataka,Bangalore Rural,Doddaballapura,Date of Submission for EC: 02 Sep 2015 ,Date of Ec Granted : 15 Apr 2016,Non-Coal Mining,BUILDING STONE QUARRY OF SRI SHANKAR MURTHY,EC Granted
SIA/KA/NCP/2583/2015,SEIAA 151 CON 2015,Karnataka,Bangalore Urban,Bangalore North,Date of Submission for EC: 29 Sep 2015 ,Date of Ec Granted : 05 Jan 2016,INFRA-1,REDDY HOUSING PVT LTD,EC Granted
SIA/KA/NCP/3520/2015,SEIAA 169 CON 2015,Karnataka,Bangalore Urban,Bangalore East,Date of Submission for EC: 28 Oct 2015 ,Date of Ec Granted : 04 Mar 2016,INFRA-1,ULTRATECH ENVIRONMENTAL CONSULTANCY AND LABORATORY,EC Granted
SIA/KA/MIN/92219/2019,SEIAA 50 MIN 2019,Karnataka,Chikkaballapura,Chikkaballapura,Date of Submission for EC: 21 Jan 2019 ,Date of Ec Granted : 20 Apr 2019,Non-Coal Mining,BHARGAVA REDDY,EC Granted
SIA/KA/MIN/92348/2019,SEIAA 46 MIN 2019,Karnataka,Chikkaballapura,Chikkaballapura,Date of Submission for EC: 22 Jan 2019 ,Date of Ec Granted : 04 Sep 2020,Non-Coal Mining,M PRABHAKAR,EC Granted - Processed offline
SIA/KA/MIN/127118/2019,SEIAA 788 MIN 2019,Karnataka,Bagalkot,Hungund,Date of Submission for EC: 23 Nov 2019 ,Date of Ec Granted : 13 Feb 2020,Non-Coal Mining,A RAJA,EC Granted
SIA/KA/MIN/222878/2021,SEIAA 354 MIN 2021,Karnataka,Davanagere,Davanagere,Date of Submission for EC: 04 Aug 2021 ,Date of Ec Granted : 05 Jan 2022,Non-Coal Mining,M/S STAR PURE SAND    SRI JAFFAR V K,EC Granted
SIA/KA/MIN/41806/2016,SEIAA 77 MIN 2016,Karnataka,Dakshina Kannada,Buntwal,Date of Submission for TOR: ,Date of Submission for EC: 20 Jan 2016 ,Non-Coal Mining,RAMESH SHENAVA,Rejection Letter Granted
SIA/KA/MIN/207933/2021,SEIAA 184 MIN 2021,Karnataka,Udupi,Udupi,Date of Submission for EC: 05 Apr 2021 ,Date of Ec Granted : 04 Mar 2023,Non-Coal Mining,SRI. UDAYA KUMAR POOJARY,EC Granted
SIA/KA/MIN/4208/2015,SEIAA 1471 MIN 2015,Karnataka,Koppal,Kushtagi,Date of Submission for EC: 21 Nov 2015 ,Date of Ec Granted : 27 Jan 2016,Non-Coal Mining,REKHAPPA RATHOD,EC Granted
SIA/KA/MIN/2052/2015,SEIAA 1130 MIN 2015,Karnataka,Ramanagara,Kanakapura,Date of Submission for EC: 11 Sep 2015 ,Date of Ec Granted : 23 Nov 2015,Non-Coal Mining,K JAYARAM,EC Granted
SIA/KA/MIN/44648/2019,SEIAA 726 MIN 2019,Karnataka,kalaburagi,Chitapur,Date of Submission for EC: 12 Oct 2019 ,Date of Ec Granted : 17 Jan 2020,Non-Coal Mining,"SRI. ARIF PATEL, S/O JAFAR PATEL",EC Granted
SIA/KA/MIS/122005/2019,SEIAA 142 CON 2019,Karnataka,Bangalore Urban,Bangalore East,Date of Submission for EC: 17 Oct 2019 ,Date of Ec Granted : 20 Jan 2021,INFRA-2,GREEN NESTO PVT. LTD.,EC Granted - Processed offline
SIA/KA/MIN/93200/2019,SEIAA 120 MIN 2019,Karnataka,Chikkaballapura,Chikkaballapura,Date of Submission for TOR: ,Date of Submission for EC: 28 Jan 2019 ,Non-Coal Mining,ARCHAEN,Delisted
SIA/KA/RIV/21239/2017,,Karnataka,Bagalkot,Bagalkot,Date of Submission for EC: 29 Jan 2019 ,Date of Ec Granted : 29 Apr 2019,River Valley and Hydroelectric Projects,KRISHNA BHAGYA JALA NIGAMA LTD,EC Granted
SIA/KA/IND2/22338/2018,,Karnataka,Dharwad,Dharwad,Date of Submission for EC: 29 May 2019 ,Date of Ec Granted : 18 Nov 2019,Industrial Projects - 2,SHILPA MEDICARE LIMITED,EC Granted - Processed offline
SIA/KA/MIN/137989/2020,SEIAA 51 MIN 2020,Karnataka,Tumkur,Koratagere,Date of Submission for EC: 23 Jan 2020 ,Date of Ec Granted : 30 Jul 2020,Non-Coal Mining,KIRAN KUMAR. B,EC Granted - Processed offline
SIA/KA/MIS/154960/2020,SEIAA 77 CON 2020,Karnataka,Bangalore Urban,Bangalore East,Date of Submission for EC: 29 May 2020 ,Date of Ec Granted : 28 Aug 2020,INFRA-2,"MS DS MAX PROPERTIES PVT. LTD.,",EC Granted - Processed offline
SIA/KA/MIN/154964/2020,,Karnataka,Raichur,Raichur,Date of Submission for TOR: ,Date of Submission for EC: 29 May 2020 ,Non-Coal Mining,Assistant Executive Engineer,WithdrawEC
SIA/KA/MIN/91367/2019,SEIAA 25 MIN 2019,Karnataka,Chikkaballapura,Chikkaballapura,Date of Submission for EC: 12 Jan 2019 ,Date of Ec Granted : 12 Jun 2019,Non-Coal Mining,G. V. BHANU PRAKASH,EC Granted
SIA/KA/MIS/145739/2020,SEIAA 35 CON 2020,Karnataka,Bangalore Urban,Bangalore South,Date of Submission for TOR: ,Date of Submission for EC: 09 May 2020 ,INFRA-2,SOBHA LIMITED,WithdrawEC
SIA/KA/MIN/43055/2019,SEIAA 663 MIN 2019,Karnataka,Bidar,Bhalki,Date of Submission for EC: 18 Sep 2019 ,Date of Ec Granted : 11 Dec 2019,Non-Coal Mining,SRI RIYAZ AHMED,EC Granted - Processed offline
SIA/KA/MIN/43132/2019,SEIAA 681 MIN 2019,Karnataka,Chikkaballapura,Chikkaballapura,Date of Submission for EC: 19 Sep 2019 ,Date of Ec Granted : 13 Dec 2019,Non-Coal Mining,M/S. FOUR SEASON ROCKS INC,EC Granted - Processed offline
SIA/KA/MIN/225179/2021,SEIAA 396 MIN 2021,Karnataka,Mysore,Piriyapatna,Date of Submission for EC: 18 Aug 2021 ,Date of Ec Granted : 24 Jan 2023,Non-Coal Mining,SMT. GANGAMBIKA,EC Granted
SIA/KA/MIS/122063/2019,SEIAA 143 CON 2019,Karnataka,Bangalore Urban,Bangalore East,Date of Submission for EC: 18 Oct 2019 ,Date of Ec Granted : 19 Aug 2021,INFRA-2,M/S. AASHISH DEVELOPER AND BUILDERS.,EC Granted - Processed offline
SIA/KA/MIN/78391/2018,,Karnataka,Kolar,Malur,Date of Submission for TOR: ,Date of Submission for EC: 10 Sep 2018 ,Non-Coal Mining,KITTAPPA C,Delisted
SIA/KA/MIN/170308/2020,SEIAA 325 MIN 2020,,,,Date of Submission for TOR: ,Date of Submission for EC: 29 Aug 2020 ,Non-Coal Mining,“SHAHABAD STONE QUARRY” OF SRI. ABID AHMED S/O BASHIR AHMED,Delisted
SIA/KA/MIN/170543/2020,SEIAA 330 MIN 2020,Karnataka,Chikkaballapura,Chikkaballapura,Date of Submission for EC: 31 Aug 2020 ,Date of Ec Granted : 01 Jan 2022,Non-Coal Mining,MS. SRINIDHI MINES,EC Granted
