,Proposal.No.,File_No,Proposal Name,State,District,Tehsil,Date_1,Date_2,Category,Company,Status,Link,Timeline
2156,SIA/TG/MIN/435184/2023,SIA/TG/MIN/435184/2023,Building Stone & Road Metal over an extent of 0.75 Ha.,Telangana,,,Date of Submission for TOR: ,Date of Submission for EC: 01 Jul 2023 ,Non-Coal Mining,GOPAL PITLA,Under examination of SEIAA after SEAC,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Telangana&pno=SIA/TG/MIN/435184/2023&pid=222194,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/MIN/435184/2023&type=EC&ID=222194
2157,SIA/TG/MIN/421111/2023,SIA/TG/MIN/421111/2023,"Asst. Director of Mines & Geology, Tandur, Vikarabad District, Telangana 1.214 Ha.",Telangana,,,Date of Submission for EC: 06 Mar 2023 ,Date of Ec Granted : 01 May 2023,Non-Coal Mining,VENKATA SAMBASIVA VOOLAPALLI,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Telangana&pno=SIA/TG/MIN/421111/2023&pid=217274,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/MIN/421111/2023&type=EC&ID=217274
2158,SIA/TG/MIN/409168/2022,SIA/TG/MIN/409168/2022,Assistant Director of Mines & Geology ,Telangana,,,Date of Submission for EC: 04 Dec 2022 ,Date of Ec Granted : 10 Jan 2023,Non-Coal Mining,GAUTHAM GADPALE,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Telangana&pno=SIA/TG/MIN/409168/2022&pid=213531,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/MIN/409168/2022&type=EC&ID=213531
2159,SIA/TG/MIN/415145/2023,SIA/TG/MIN/415145/2023,Smt. Thoutam Swarupa - 2.51 Ha ,Telangana,,,Date of Submission for EC: 21 Jan 2023 ,Date of Ec Granted : 28 Jun 2023,Non-Coal Mining,SWARUPA THOUTAM,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Telangana&pno=SIA/TG/MIN/415145/2023&pid=215536,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/MIN/415145/2023&type=EC&ID=215536
2160,SIA/TG/INFRA2/406664/2022,SIA/TG/INFRA2/406664/2022,Smt. Dr. Vandana Rathod & Smt. Namratha Singh,Telangana,,,Date of Submission for EC: 16 Nov 2022 ,Date of Ec Granted : 24 Dec 2022,INFRA-2,NAMRATHA THAKUR,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Telangana&pno=SIA/TG/INFRA2/406664/2022&pid=212666,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/INFRA2/406664/2022&type=EC&ID=212666
2161,SIA/TG/INFRA2/416247/2023,SIA/TG/INFRA2/416247/2023,Orange Challa by M/s. Orange Constructions Private Limited ,Telangana,,,Date of Submission for EC: 29 Jan 2023 ,Date of Ec Granted : 17 Apr 2023,INFRA-2, ORANGE CONSTRUCTIONS PRIVATE LIMITED,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Telangana&pno=SIA/TG/INFRA2/416247/2023&pid=215862,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/INFRA2/416247/2023&type=EC&ID=215862
2162,SIA/TG/NCP/62884/2017,SIA/TG/NCP/62884/2017,"Vertex Homes Pvt. Ltd.,",Telangana,Rangareddi,Serilingampalle,Date of Submission for TOR: ,Date of Submission for EC: 01 Mar 2017 ,INFRA-1,"M/S. VERTEX HOMES PVT. LTD.,",WithdrawEC,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Telangana&pno=SIA/TG/NCP/62884/2017&pid=34377,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/NCP/62884/2017&type=EC&ID=34377
2163,SIA/TG/INFRA2/437743/2023,,Green Alfa - High-Rise Residential Apartment (Expansion),Telangana,,,Date of Submission for TOR: ,Date of Submission for EC: 22 Jul 2023 ,INFRA-2, TRIPURA CONSTRUCTIONS,Under examination of SEIAA,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Telangana&pno=SIA/TG/INFRA2/437743/2023&pid=223093,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/INFRA2/437743/2023&type=EC&ID=223093
2164,SIA/TG/MIN/69530/2017,SIA/TG/MIN/69530/2017,"Palem (Z) H/o Veerabadraram Sand Reach, Godavari River by Telangana State Mineral Development Corporation Limited, Government of Telangana",Telangana,Khammam,Venkatapuram,Date of Submission for EC: 17 Sep 2017 ,Date of Ec Granted : 22 Dec 2017,Non-Coal Mining,TSMDCLIMITED,EC Granted - Processed offline,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Telangana&pno=SIA/TG/MIN/69530/2017&pid=38565,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/MIN/69530/2017&type=EC&ID=38565
2165,SIA/TG/MIN/405999/2022,SIA/TG/MIN/405999/2022,Sri Ashok Kumar Singh -Quartz -4.800 Ha.,Telangana,,,Date of Submission for TOR: ,Date of Submission for EC: 29 Nov 2022 ,Non-Coal Mining,ASHOK SINGH,Rejection Letter Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Telangana&pno=SIA/TG/MIN/405999/2022&pid=212486,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/MIN/405999/2022&type=EC&ID=212486
