,Proposal.No.,File_No,Proposal Name,State,District,Tehsil,Date_1,Date_2,Category,Company,Status,Link,Timeline
4584,SIA/AP/MIN/74674/2018,AP ANT MIN 05 2018 578,Sri D.Adhinarayana-Colour Granite Quarry -6.00  Ha.,Andhra Pradesh,Anantapur,Mudigubba,Date of Submission for EC: 19 Apr 2018 ,Date of Ec Granted : 11 Jun 2018,Non-Coal Mining,D ADHINARYANA,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Andhra%20Pradesh&pno=SIA/AP/MIN/74674/2018&pid=43774,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/AP/MIN/74674/2018&type=EC&ID=43774
4585,SIA/AP/MIN/38135/2016,,P.Narasimha Reddy ,Andhra Pradesh,Prakasam,Ballikurava,Date of Submission for TOR: ,Date of Submission for EC: 05 Jan 2016 ,Non-Coal Mining,P NARASIMHA REDDY,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Andhra%20Pradesh&pno=SIA/AP/MIN/38135/2016&pid=7264,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/AP/MIN/38135/2016&type=EC&ID=7264
4586,SIA/AP/MIN/32830/2015,,M/s. Sri Venkateswara Mine & Minerals Industries,Andhra Pradesh,Guntur,Piduguralla,Date of Submission for TOR: ,Date of Submission for EC: 03 Dec 2015 ,Non-Coal Mining,SRI VENKATESWARA MINES MINERAL INDUSTRIES,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Andhra%20Pradesh&pno=SIA/AP/MIN/32830/2015&pid=2273,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/AP/MIN/32830/2015&type=EC&ID=2273
4587,SIA/AP/MIN/408932/2022,AP/NLR/MIN/03/2019/883/574,"8.195 Ha. Mica, Quartz and Feldspar Mine of M/s S.V.Minerals LLP.,",Andhra Pradesh,,,Date of Submission for EC: 02 Dec 2022 ,Date of Ec Granted : 08 Feb 2023,Non-Coal Mining,M/S S.V.MINERALS LLP,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Andhra%20Pradesh&pno=SIA/AP/MIN/408932/2022&pid=213457,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/AP/MIN/408932/2022&type=EC&ID=213457
4588,SIA/AP/MIN/30424/2015,AP PKM 305 MIN 09 2015,M/s. Astra Rocks & Minerals Pvt. Ltd  - 5.362 Ha,Andhra Pradesh,Prakasam,Santhamaguluru,Date of Submission for EC: 03 Oct 2015 ,Date of Ec Granted : 09 Oct 2015,Non-Coal Mining,JUVENTUS NATURAL RESOURCES PVT LTD,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Andhra%20Pradesh&pno=SIA/AP/MIN/30424/2015&pid=573,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/AP/MIN/30424/2015&type=EC&ID=573
4589,SIA/AP/MIN/190097/2020,AP SKLM  MIN 12  2020 2729,Smt M.Eswaramma,Andhra Pradesh,Srikakulam,Ponduru,Date of Submission for EC: 27 Dec 2020 ,Date of Ec Granted : 28 Jun 2021,Non-Coal Mining,SMT M.ESWARAMMA,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Andhra%20Pradesh&pno=SIA/AP/MIN/190097/2020&pid=152498,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/AP/MIN/190097/2020&type=EC&ID=152498
4590,SIA/AP/MIN/450900/2023,AP  CTR MIN 11  2023 5272,"M/s Arundathi Mines Private Ltd., Managing Director: Sri Durga Anish Pothina Mining of Quartz ",Andhra Pradesh,,,Date of Submission for TOR: ,Date of Submission for EC: 01 Nov 2023 ,Non-Coal Mining, ARUNDATHI MINES PRIVATE LIMITED,,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Andhra%20Pradesh&pno=SIA/AP/MIN/450900/2023&pid=227561,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/AP/MIN/450900/2023&type=EC&ID=227561
4591,SIA/AP/MIN/57951/2016,,"Vijaya Bharathi Corporation   21.853 ha   Working Mine
",Andhra Pradesh,West Godavari,Dwarakatirumala,Date of Submission for TOR: ,Date of Submission for EC: 30 Jul 2016 ,Non-Coal Mining,M/S. VIJAYA BHARATHI CORPORATION,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Andhra%20Pradesh&pno=SIA/AP/MIN/57951/2016&pid=23968,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/AP/MIN/57951/2016&type=EC&ID=23968
4592,SIA/AP/MIN/30357/2015,,Sri M. Jagannadhan (Sri Mohammed Imran - GPA Holder),Andhra Pradesh,Chittoor,Karvetinagar,Date of Submission for TOR: ,Date of Submission for EC: 26 Aug 2015 ,Non-Coal Mining,M JAGANNADHAN,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Andhra%20Pradesh&pno=SIA/AP/MIN/30357/2015&pid=533,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/AP/MIN/30357/2015&type=EC&ID=533
4593,SIA/AP/IND2/93216/2019,,KGOC Terminals Private Limited,Andhra Pradesh,East Godavari,Kakinada Rural,Date of Submission for TOR: ,Date of Submission for EC: 07 Feb 2019 ,Industrial Projects - 2,KGOC TERMINALS PVT LTD,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Andhra%20Pradesh&pno=SIA/AP/IND2/93216/2019&pid=52274,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/AP/IND2/93216/2019&type=EC&ID=52274
