,Proposal.No.,File_No,Proposal Name,State,District,Tehsil,Date_1,Date_2,Category,Company,Status,Link,Timeline
657,SIA/JH/MIN/74906/2018,EC/SEIAA/2017-18/2075/2017,"Kudri, Okra, Simla & Dorma Sand Deposit
(Area- 12.48 Acre / 5.04 Ha)",Jharkhand,Khunti,Torpa,Date of Submission for EC: 29 May 2018 ,Date of Ec Granted : 31 Aug 2018,Non-Coal Mining,MS JSMDC RANCHI,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Jharkhand&pno=SIA/JH/MIN/74906/2018&pid=44040,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/74906/2018&type=EC&ID=44040
658,SIA/JH/MIN/418807/2023,EC/SEIAA/2022-23/2778/2023,PAHARPUR STONE MINE,Jharkhand,,,Date of Submission for EC: 18 Mar 2023 ,Date of Ec Granted : 17 Apr 2023,Non-Coal Mining,PAAHARPUR STONE MINE,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Jharkhand&pno=SIA/JH/MIN/418807/2023&pid=217719,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/418807/2023&type=EC&ID=217719
659,SIA/JH/MIN/422518/2023,,M/S MAA DURGA STONE WORKS,Jharkhand,,,Date of Submission for TOR: ,Date of Submission for EC: 17 Mar 2023 ,Non-Coal Mining,SANJAY YADAV,WithdrawEC,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Jharkhand&pno=SIA/JH/MIN/422518/2023&pid=217737,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/422518/2023&type=EC&ID=217737
660,SIA/JH/MIN/65723/2017,,DHOWAPAHARI STONE MINING,Jharkhand,Pakaur,Hiranpur,Date of Submission for TOR: ,Date of Submission for EC: 27 Jun 2017 ,Non-Coal Mining,ASRAFUL SHEIKH,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Jharkhand&pno=SIA/JH/MIN/65723/2017&pid=35683,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/65723/2017&type=EC&ID=35683
661,SIA/JH/MIN/448880/2023,EC/SEIAA/2023-24/3051/2023,Fatehpur Stone Deposit (Area – 2.833 ha),Jharkhand,,,Date of Submission for EC: 16 Oct 2023 ,Date of Ec Granted : 30 Nov 2023,Non-Coal Mining,DEEPAK GUPTA,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Jharkhand&pno=SIA/JH/MIN/448880/2023&pid=226845,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/448880/2023&type=EC&ID=226845
662,SIA/JH/INFRA2/454392/2023,,Integrated Municipal Solid Waste Management Project for Bundu Nagar Panchayat,Jharkhand,,,Date of Submission for TOR: ,Date of Submission for EC: 05 Dec 2023 ,INFRA-2,BUNDU NAGAR PANCHAYAT,Under examination of SEIAA,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Jharkhand&pno=SIA/JH/INFRA2/454392/2023&pid=229035,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/INFRA2/454392/2023&type=EC&ID=229035
663,SIA/JH/MIN/448764/2023,EC/SEIAA/2023-24/3049/2023,Khesmi Alias Purana Nagar Stone Deposit ( 1.41 HA),Jharkhand,,,Date of Submission for EC: 16 Oct 2023 ,Date of Ec Granted : 29 Nov 2023,Non-Coal Mining,MAHENDRA MEHTA,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Jharkhand&pno=SIA/JH/MIN/448764/2023&pid=226778,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/448764/2023&type=EC&ID=226778
664,SIA/JH/MIN/404937/2022,,Kunhara Kalan Stone Deposit ,Jharkhand,Hazaribag,,Date of Submission for TOR: ,Date of Submission for EC: 18 Sep 2023 ,Non-Coal Mining,MOHAMMAD ALAM,Under examination of SEIAA,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Jharkhand&pno=SIA/JH/MIN/404937/2022&pid=212128,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/404937/2022&type=EC&ID=212128
665,SIA/JH/MIN/417881/2023,EC/SEIAA/2022-23/2749/2023,Bankishol Stone Deposit ,Jharkhand,,,Date of Submission for EC: 20 Feb 2023 ,Date of Ec Granted : 31 Mar 2023,Non-Coal Mining,SANDEEP MURARKA,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Jharkhand&pno=SIA/JH/MIN/417881/2023&pid=216642,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/417881/2023&type=EC&ID=216642
666,SIA/JH/INFRA2/418530/2023,EC/SEIAA/2022-23/2757/2023,"Proposed Multistoried Residential Project [B+G+12 multi storied Residential apartment with Retail Area and public utility] over Revenue Plot No. (CS) 957, Khata no. (MSP) 957 & Holding No. 145 at Village DOBO, P.O. Mango, PS Chandil, District – Saraikela Kharsawan-831012, Jharkhand",Jharkhand,,,Date of Submission for EC: 06 Mar 2023 ,Date of Ec Granted : 31 Mar 2023,INFRA-2, CREATIVE HOMES,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Jharkhand&pno=SIA/JH/INFRA2/418530/2023&pid=216643,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/INFRA2/418530/2023&type=EC&ID=216643
