Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
SIA/UP/MIS/146275/2020,5709,Uttar Pradesh,Lucknow,Lucknow,Date of Submission for EC: 26 Jun 2020 ,Date of Ec Granted : 01 Sep 2020,INFRA-2,NANAKLOGISTICS,EC Granted
SIA/UP/MIS/197058/2021,6159,Uttar Pradesh,Chandauli,Chandauli,Date of Submission for TOR: ,Date of Submission for EC: 07 Feb 2021 ,INFRA-2,PUBLIC WORKS DEPARTMENT,Rejection Letter Granted
SIA/UP/MIN/409339/2022,7422-6701,Uttar Pradesh,,,Date of Submission for EC: 05 Dec 2022 ,Date of Ec Granted : 27 Mar 2023,Non-Coal Mining,SMT. NITU SIGH,EC Granted
SIA/UP/MIN/407617/2022,7390,Uttar Pradesh,Aligarh,,Date of Submission for EC: 24 Nov 2022 ,Date of Ec Granted : 24 Mar 2023,Non-Coal Mining,PAPPU SINGH,EC Granted
SIA/UP/MIN/410509/2022,7443,Uttar Pradesh,,,Date of Submission for EC: 13 Dec 2022 ,Date of Ec Granted : 06 Mar 2023,Non-Coal Mining,ARJIT SHUKLA,EC Granted
SIA/UP/MIN/71373/2017,3938,Uttar Pradesh,Etawah,Etawah,Date of Submission for EC: 22 Dec 2017 ,Date of Ec Granted : 12 Feb 2018,Non-Coal Mining,SHREE JI CONSTRUCTION,EC Granted
SIA/UP/MIN/42156/2019,5031/4705,Uttar Pradesh,Sonbhadra,Dudhi,Date of Submission for EC: 03 Sep 2019 ,Date of Ec Granted : 09 Jan 2020,Non-Coal Mining,R S I STONEWORLD PVT LTD,EC Granted
SIA/UP/MIN/45048/2019,,Uttar Pradesh,Unnao,Unnao,Date of Submission for TOR: ,Date of Submission for EC: 19 Oct 2019 ,Non-Coal Mining,M/S JAI GANESH BRICK FIELD.,Delisted
SIA/UP/MIN/45859/2019,,Uttar Pradesh,Bagpat,Baraut,Date of Submission for TOR: ,Date of Submission for EC: 04 Nov 2019 ,Non-Coal Mining,M/S JAI PARAS BRICK FIELD,Delisted
SIA/UP/MIN/126135/2019,,Uttar Pradesh,Mau,Ghosi,Date of Submission for TOR: ,Date of Submission for EC: 19 Nov 2019 ,Non-Coal Mining,M/S SANDEEP ENT UDYOG,Delisted
SIA/UP/IND/56593/2019,,Uttar Pradesh,Amethi,No Data,Date of Submission for TOR: ,Date of Submission for EC: 15 Sep 2020 ,Industrial Projects - 1,MS KANODIA CEMENT LIMITED,WithdrawEC
SIA/UP/MIN/134071/2019,,Uttar Pradesh,Barabanki,Sirauli Gauspur,Date of Submission for TOR: ,Date of Submission for EC: 29 Dec 2019 ,Non-Coal Mining,AYODHIYA BRICK FIELD,Delisted
SIA/UP/MIN/69406/2020,6752-5956,Uttar Pradesh,PRAYAGRAJ,Bara  ,Date of Submission for EC: 13 Dec 2021 ,Date of Ec Granted : 25 Mar 2022,Non-Coal Mining,NIRMALA  DEVI,EC Granted
SIA/UP/MIS/73553/2021,6972-6667,Uttar Pradesh,Gautam Buddha Nagar,Gautam Buddha Nagar,Date of Submission for EC: 13 Mar 2022 ,Date of Ec Granted : 06 May 2022,INFRA-2,M/S ADVANCE COMPUSOFT PVT. LTD,EC Granted
SIA/UP/MIN/407698/2022,7391-6913,Uttar Pradesh,Mahoba,,Date of Submission for EC: 24 Nov 2022 ,Date of Ec Granted : 20 Feb 2023,Non-Coal Mining,PUSHPENDRA SINGH,EC Granted
SIA/UP/MIS/27804/2018,4356,Uttar Pradesh,Amroha,Gajraula,Date of Submission for TOR: ,Date of Submission for EC: 09 Nov 2019 ,INFRA-2,SANGAM MEDISERVE PVT LTD,WithdrawEC
