Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
SIA/HR/NCP/65158/2017,SEIAA/HR/17/334 dated 14.06.2017,Haryana,Gurgaon,Gurgaon,Date of Submission for EC: 13 Jun 2017 ,Date of Ec Granted : 30 Nov 2017,INFRA-1,MARTIAL BUILDCON PVT. LTD.,EC Granted
SIA/HR/MIS/116592/2019,SEIAA/HR/19/198 hard copy has to be submit,Haryana,Jhajjar,Jhajjar,Date of Submission for EC: 02 Sep 2019 ,Date of Ec Granted : 18 Dec 2019,INFRA-2,LI INDUSTRIAL PARKS PRIVATE LIMITED,EC Granted
SIA/HR/MIS/178335/2020,,Haryana,Faridabad,Faridabad,Date of Submission for TOR: ,Date of Submission for EC: 13 Jan 2021 ,INFRA-2,HUDA URBAN ESTATE TOWN & COUNTRY PLANNING EMPLOYEES WELFARE (HEWO),Delisted
SIA/HR/MIS/240208/2021,,Haryana,Gurgaon,Gurgaon,Date of Submission for TOR: ,Date of Submission for EC: 26 Nov 2021 ,INFRA-2,PURI CONSTRUCTION PVT. LTD.,Request for withdraw
SIA/HR/MIS/72456/2022,SEIAA/HR/2022/208,Haryana,Gurgaon,Manesar,Date of Submission for EC: 08 Jun 2022 ,Date of Ec Granted : 07 Dec 2022,INFRA-2, LOON LAND DEVELOPMENT LIMITED,EC Granted
SIA/HR/MIS/111415/2019,,Haryana,Gurgaon,Gurgaon,Date of Submission for TOR: ,Date of Submission for EC: 09 Sep 2019 ,INFRA-2,FRENCH BUILD MART PVT LTD,Delisted
SIA/HR/NCP/72029/2018,SEIAA/HR/18/379 dated 11.01.2018. Please submit th,Haryana,Jhajjar,Bahadurgarh,Date of Submission for EC: 03 Jan 2018 ,Date of Ec Granted : 16 Jul 2018,INFRA-1,MS ANTARIKSH WAREHOUSING AND LOGISTIC PARKS PRIVATE LIMITED,EC Granted - Processed offline
SIA/HR/NCP/30495/2015,,Haryana,Gurgaon,Sohna,Date of Submission for TOR: ,Date of Submission for EC: 30 Aug 2015 ,INFRA-1,VARDAN ENVIRONET,Delisted
SIA/HR/MIS/31302/2019,"SEIAA/HR/19/05

Hard copy to be submitted",,,,Date of Submission for TOR: ,Date of Submission for EC: 25 Sep 2018 ,INFRA-2,SUNVISION BUILDERS PVT LTD,Delisted
SIA/HR/MIS/72462/2022,,Haryana,Gurgaon,Gurgaon,Date of Submission for TOR: ,Date of Submission for EC: 11 Feb 2022 ,INFRA-2,M/S SMART CREATIVE BUILDWELL LLP,Delisted
SIA/HR/MIN/50328/2019,SEIAA/HR/MIN/19/08 hard copy to be submitted,Haryana,Panchkula,Panchkula,Date of Submission for EC: 30 Jan 2020 ,Date of Ec Granted : 22 May 2020,Non-Coal Mining,ENTERPRISESMSSHIV,EC Granted
SIA/HR/MIS/249344/2021,,Haryana,Gurgaon,Sohna,Date of Submission for TOR: ,Date of Submission for EC: 01 Feb 2022 ,INFRA-2,M/S LSA WAREHOUSING SOLUTIONS PVT. LTD.,Delisted
SIA/HR/IND3/76131/2021,SEIAA/HR/2022/180,Haryana,Yamunanagar,Jagadhri,Date of Submission for TOR: ,Date of Submission for EC: 30 Apr 2022 ,Industrial Projects - 3, MAK LEON ORGANICS PRIVATE LIMITED,Deferred by SEAC
SIA/HR/MIS/119222/2019,SEIAA/HR/19/209 hard copy to be submitted,Haryana,Gurgaon,Gurgaon,Date of Submission for EC: 24 Sep 2019 ,Date of Ec Granted : 13 Feb 2020,INFRA-2,SIGNATURE INFRABUILD PRIVATE LTD,EC Granted
SIA/HR/MIN/18819/2016,SEIAA/HR/MIN/16/154 dated 11.05.2016,Haryana,Bhiwani,Dadri,Date of Submission for EC: 10 Mar 2017 ,Date of Ec Granted : 23 May 2017,Non-Coal Mining,JAI DADA DOHLA STONE MINES,EC Granted
SIA/HR/MIS/51015/2018,SEIAA/HR/VIO/19/19. Terms of Reference were approv,Haryana,Gurgaon,Manesar,Date of Submission for EC: 14 Feb 2020 ,Date of Ec Granted : 11 May 2021,INFRA-2,HSIIDC LTD IMT MANESAR GURGAON,EC Granted
SIA/HR/MIS/155984/2020,SEIAA/HR/2020/351 hard copy to be submitted,Haryana,Gurgaon,Farukhnagar,Date of Submission for EC: 07 Jan 2021 ,Date of Ec Granted : 15 Nov 2022,INFRA-2,UMANG LEASING & CREDIT CO LTD,EC Granted
SIA/HR/NCP/72939/2018,SEIAA/HR/18/392 dated 20.02.2018,Haryana,Gurgaon,Gurgaon,Date of Submission for EC: 17 Feb 2018 ,Date of Ec Granted : 15 Jun 2018,INFRA-1,MS SILVERGLADES INFRASTRUCTURE PVT LTD,EC Granted - Processed offline
SIA/HR/MIS/61752/2006,SEIAA/HR/2021/392,Haryana,Gurgaon,Gurgaon,Date of Submission for EC: 11 Sep 2021 ,Date of Ec Granted : 11 Sep 2006,INFRA-2,GLOBAL HEALTH PRIVATE LIMITED,EC Granted
SIA/HR/MIS/50194/2019,SEIAA/HR/19/211,Haryana,Jhajjar,Jhajjar,Date of Submission for EC: 27 Jan 2020 ,Date of Ec Granted : 08 Sep 2020,INFRA-2,MODEL ECONOMIC TOWNSHIP LIMITED  FORMERLY KNOWN AS RELIANCE HARYANA SEZ LIMITED,EC Granted
SIA/HR/MIN/52371/2016,,Haryana,Panchkula,Panchkula,Date of Submission for TOR: ,Date of Submission for EC: 30 Mar 2016 ,Non-Coal Mining,KBM CONTRACTORS,Delisted
SIA/HR/MIS/31301/2019,"SEIAA/HR/19/04
Hard copy to be submitted",,,,Date of Submission for TOR: ,Date of Submission for EC: 25 Sep 2018 ,INFRA-2,DOVE INFRASTRUCTURE PVT LTD,Delisted
SIA/HR/IND2/152814/2020,SEIAA/HR/2020/268 hard copy to be submitted,Haryana,Panipat,Samalkha,Date of Submission for EC: 09 May 2020 ,Date of Ec Granted : 19 Aug 2020,Industrial Projects - 2,LEPRO HERBALS PVT LTD,EC Granted
SIA/HR/MIS/63763/2020,File No. SEIAA/HR/2020/342 has been assigned. Hard,Haryana,Sonipat,Ganaur,Date of Submission for EC: 18 Jun 2021 ,Date of Ec Granted : 24 Nov 2021,INFRA-2,HARYANA INTERNATIONAL HORTICULTURE MARKETING CORPORATION LIMITED,EC Granted
SIA/HR/MIS/281697/2022,SEIAA/HR/2022/222,Haryana,Gurgaon,Manesar,Date of Submission for EC: 02 Aug 2022 ,Date of Ec Granted : 19 Sep 2022,INFRA-2,PEGASUS LAND AND HOUSING PVT. LTD.,EC Granted
SIA/HR/INFRA2/402983/2022,SEIAA/HR/2022/19,Haryana,Faridabad,,Date of Submission for EC: 12 Oct 2022 ,Date of Ec Granted : 17 Nov 2022,INFRA-2,APEEJAY GLOBAL INDUSTRIAL AND LOGISTIC PARK,EC Granted
SIA/HR/INFRA2/422450/2023,SEIAA/HR/2023/325,Haryana,,,Date of Submission for TOR: ,Date of Submission for EC: 17 Mar 2023 ,INFRA-2,LANDMARK APARTMENTS PRIVATE LIMITED,Deferred by SEAC
SIA/HR/IND2/422334/2023,SEIAA/HR/2022/234,Haryana,,,Date of Submission for EC: 16 Mar 2023 ,Date of Ec Granted : 20 Apr 2023,Industrial Projects - 2, THE PANIPAT COOPERATIVE SUGAR MILL LIMITED,EC Granted
SIA/HR/NCP/72288/2018,SEIAA/HR/18/380 dated 18.01.2018. Please submit th,Chhattisgarh,Rajnandgaon,Rajnandgaon,Date of Submission for TOR: ,Date of Submission for EC: 15 Jan 2018 ,INFRA-1,EMAAR MGF,Delisted
SIA/HR/NCP/64381/2017,SEIAA/HR/17/331 dated 09.05.2017,Haryana,Gurgaon,Gurgaon,Date of Submission for EC: 09 May 2017 ,Date of Ec Granted : 04 Aug 2017,INFRA-1,GLS LOGISTICS PRIVATE LIMITED.,EC Granted
SIA/HR/MIS/53139/2019,SEIAA/HR/19/154. Tor were approved by seiaa vide l,Haryana,Gurgaon,Gurgaon,Date of Submission for TOR: ,Date of Submission for EC: 18 May 2020 ,INFRA-2,M/S VATIKA LIMITED,Rejection Letter Granted
SIA/HR/NCP/63589/2017,"File no. SEIAA/HR/17/324 dated 07.04.2017
Please ",Haryana,Gurgaon,Gurgaon,Date of Submission for EC: 30 Mar 2017 ,Date of Ec Granted : 05 Sep 2017,INFRA-1,SIGNATURE BUILDERS PVT,EC Granted
SIA/HR/MIS/140314/2020,SEIAA/HR/2020/254,Haryana,Gurgaon,Sohna,Date of Submission for EC: 01 Feb 2020 ,Date of Ec Granted : 06 Oct 2020,INFRA-2,M/S SIGNATURE GLOBAL HOMES PVT LTD,EC Granted
SIA/HR/MIS/78835/2022,SEIAA/HR/2022/166,Haryana,Karnal,Karnal,Date of Submission for TOR: ,Date of Submission for EC: 25 Jun 2022 ,INFRA-2,HSIIDC KARNAL,Deferred by SEAC
SIA/HR/MIS/259795/2022,SEIAA/HR/2022/130,Haryana,Gurgaon,Gurgaon,Date of Submission for EC: 04 Mar 2022 ,Date of Ec Granted : 30 Jul 2022,INFRA-2, SANTUR INFRASTRUCTURES PRIVATE LIMITED,EC Granted
SIA/HR/MIS/215365/2021,file No. SEIAA/HR/2021/423 has been assigned. Hard,Haryana,Palwal,Palwal,Date of Submission for EC: 15 Jun 2021 ,Date of Ec Granted : 12 Nov 2021,INFRA-2,M/S HIND TERMINALS PVT. LTD.,EC Granted
SIA/HR/NCP/72833/2018,SEIAA/HR/18/391 dated 16.02.2018.,Haryana,Panipat,Panipat,Date of Submission for EC: 08 Feb 2018 ,Date of Ec Granted : 15 Jun 2018,INFRA-1,M/S TDI REALCON PVT. LTD.,EC Granted - Processed offline
