pc11_district_id,pc11_state_id,vcf_min,vcf_max,vcf_mean,vcf_num_cells,year
006,01,1.0,78.0,20.14172334374966,92483,2005
006,01,0.0,80.0,24.993890769114323,92483,2006
006,01,0.0,72.0,19.091681714477254,92483,2007
006,01,0.0,74.0,23.88163229999027,92483,2008
006,01,1.0,74.0,17.173404841970957,92483,2009
006,01,0.0,78.0,19.73748688948239,92483,2010
006,01,0.0,74.0,20.76833580225555,92483,2011
006,01,0.0,77.0,19.932149692375894,92483,2012
006,01,0.0,75.0,24.058064725408997,92483,2013
006,01,0.0,71.0,21.698701382956862,92483,2014
006,01,0.0,79.0,23.368867791918515,92483,2015
006,01,0.0,75.0,21.578906393607475,92483,2016
006,01,0.0,80.0,21.658769719840404,92483,2017
006,01,0.0,77.0,23.30739703513078,92483,2018
006,01,0.0,70.0,26.317009612577447,92483,2019
006,01,1.0,76.0,25.679876301590564,92483,2020
007,01,1.0,88.0,18.361804416403785,79250,2001
007,01,0.0,81.0,18.705577287066244,79250,2002
007,01,1.0,80.0,19.49535646687697,79250,2003
007,01,1.0,84.0,21.73991167192429,79250,2004
007,01,1.0,85.0,20.585022082018927,79250,2005
007,01,1.0,82.0,24.621135646687694,79250,2006
007,01,1.0,79.0,20.96594321766561,79250,2007
007,01,0.0,79.0,21.68402523659306,79250,2008
007,01,1.0,81.0,18.650410094637223,79250,2009
007,01,1.0,80.0,19.561804416403785,79250,2010
007,01,1.0,81.0,21.31155835962145,79250,2011
007,01,1.0,82.0,19.38710410094637,79250,2012
007,01,1.0,85.0,25.341135646687697,79250,2013
007,01,1.0,80.0,21.54870662460568,79250,2014
007,01,1.0,88.0,22.492441640378548,79250,2015
007,01,1.0,79.0,21.90508517350158,79250,2016
007,01,0.0,83.0,22.11919242902208,79250,2017
007,01,1.0,80.0,24.899205047318613,79250,2018
007,01,1.0,76.0,27.006044164037856,79250,2019
007,01,1.0,82.0,26.526460567823342,79250,2020
008,01,0.0,82.0,22.59395413481585,86340,2001
008,01,0.0,77.0,20.34398888116748,86340,2002
008,01,0.0,76.0,22.45388000926569,86340,2003
008,01,0.0,79.0,21.35047486680565,86340,2004
008,01,1.0,80.0,22.08856845031272,86340,2005
008,01,0.0,80.0,25.500162149640957,86340,2006
008,01,0.0,78.0,23.70552466990966,86340,2007
008,01,0.0,79.0,24.19945564049108,86340,2008
008,01,0.0,82.0,23.997695158675004,86340,2009
008,01,0.0,83.0,26.82946490618485,86340,2010
008,01,0.0,77.0,21.66600648598564,86340,2011
008,01,0.0,78.0,25.513817465832755,86340,2012
008,01,0.0,81.0,25.14087329163771,86340,2013
008,01,0.0,77.0,25.0847695158675,86340,2014
008,01,0.0,86.0,29.086958536020383,86340,2015
008,01,1.0,79.0,26.14192726430392,86340,2016
008,01,0.0,83.0,25.586379430159838,86340,2017
008,01,0.0,79.0,26.936981700254808,86340,2018
008,01,0.0,78.0,26.439471855455174,86340,2019
008,01,1.0,78.0,26.50601111883252,86340,2020
009,01,0.0,85.0,18.155880730482245,68886,2001
009,01,0.0,77.0,14.668161890659931,68886,2002
009,01,0.0,78.0,17.88029498011207,68886,2003
009,01,0.0,81.0,16.627936010219784,68886,2004
009,01,0.0,86.0,16.920651511192403,68886,2005
009,01,0.0,79.0,18.068098017013615,68886,2006
009,01,0.0,77.0,20.08329704148884,68886,2007
009,01,0.0,79.0,17.080350143715705,68886,2008
009,01,0.0,87.0,15.972606915773888,68886,2009
009,01,0.0,81.0,18.087927880846618,68886,2010
009,01,0.0,79.0,17.413843161164824,68886,2011
009,01,0.0,81.0,18.078782336033445,68886,2012
009,01,0.0,85.0,18.49734343698284,68886,2013
009,01,0.0,82.0,18.691896756960777,68886,2014
009,01,0.0,91.0,19.298986731701653,68886,2015
009,01,0.0,79.0,19.608744882849926,68886,2016
009,01,0.0,82.0,18.660700287431407,68886,2017
009,01,0.0,81.0,19.507403536277327,68886,2018
009,01,0.0,76.0,18.462067764132044,68886,2019
009,01,0.0,76.0,19.207676450947943,68886,2020
010,01,0.0,75.0,13.56991330953595,9805,2001
010,01,1.0,68.0,13.022131565527792,9805,2002
010,01,2.0,70.0,15.984089750127486,9805,2003
010,01,1.0,68.0,13.353697093319736,9805,2004
010,01,1.0,70.0,13.78041815400306,9805,2005
010,01,1.0,79.0,16.006119326874042,9805,2006
010,01,1.0,72.0,15.539214686384495,9805,2007
010,01,0.0,70.0,13.576338602753696,9805,2008
010,01,1.0,74.0,13.674145843957165,9805,2009
010,01,2.0,69.0,15.55706272310046,9805,2010
010,01,1.0,73.0,13.757674655787865,9805,2011
010,01,1.0,68.0,17.110861805201427,9805,2012
010,01,1.0,72.0,16.601019887812342,9805,2013
010,01,1.0,69.0,16.46455889852116,9805,2014
010,01,1.0,74.0,18.31341152473228,9805,2015
010,01,2.0,70.0,15.14808771035186,9805,2016
010,01,0.0,73.0,15.16511983681795,9805,2017
010,01,1.0,76.0,15.635084140744516,9805,2018
010,01,1.0,75.0,15.947271800101989,9805,2019
010,01,1.0,74.0,14.677511473737887,9805,2020
011,01,0.0,81.0,19.23762528386293,58567,2001
011,01,0.0,76.0,14.546553519900286,58567,2002
011,01,0.0,75.0,18.40075469120836,58567,2003
011,01,0.0,81.0,16.690457083340448,58567,2004
011,01,0.0,80.0,17.08040364027524,58567,2005
011,01,0.0,81.0,17.87004627179128,58567,2006
011,01,0.0,75.0,20.064353646251305,58567,2007
011,01,0.0,78.0,18.18607748390732,58567,2008
011,01,0.0,85.0,17.597623234927518,58567,2009
011,01,0.0,82.0,18.4385234005498,58567,2010
011,01,0.0,79.0,17.762921098912358,58567,2011
011,01,0.0,82.0,18.900694930592312,58567,2012
011,01,0.0,86.0,18.832072668909117,58567,2013
011,01,0.0,80.0,18.436354943910395,58567,2014
011,01,0.0,91.0,20.650793108747248,58567,2015
011,01,0.0,79.0,20.63795311352809,58567,2016
011,01,0.0,83.0,20.737053289395053,58567,2017
011,01,0.0,79.0,19.744566052555196,58567,2018
011,01,0.0,78.0,19.891030785254493,58567,2019
011,01,0.0,78.0,20.619273652398107,58567,2020
012,01,0.0,76.0,16.292945553409172,27954,2001
012,01,0.0,72.0,13.751591900980182,27954,2002
012,01,0.0,70.0,18.5582027616799,27954,2003
012,01,0.0,74.0,15.61579738141232,27954,2004
012,01,1.0,74.0,15.0383487157473,27954,2005
012,01,0.0,77.0,18.797596050654647,27954,2006
012,01,0.0,75.0,18.2488016026329,27954,2007
012,01,0.0,73.0,17.259533519353223,27954,2008
012,01,1.0,84.0,16.967124561780068,27954,2009
012,01,0.0,76.0,20.24314945982686,27954,2010
012,01,0.0,77.0,17.619982828933246,27954,2011
012,01,0.0,76.0,20.27981684195464,27954,2012
012,01,0.0,83.0,20.346640910066537,27954,2013
012,01,0.0,77.0,20.80911497460113,27954,2014
012,01,0.0,88.0,25.51674179008371,27954,2015
012,01,1.0,77.0,20.842705873935756,27954,2016
012,01,0.0,81.0,22.07072333118695,27954,2017
012,01,1.0,78.0,21.64348572655076,27954,2018
012,01,0.0,76.0,22.82950561636975,27954,2019
012,01,1.0,74.0,21.47867925878229,27954,2020
013,01,0.0,76.0,18.979053479086208,15277,2001
013,01,0.0,73.0,16.357269097335866,15277,2002
013,01,0.0,73.0,22.300713490868628,15277,2003
013,01,0.0,73.0,15.79217123780847,15277,2004
013,01,0.0,77.0,16.129802971787655,15277,2005
013,01,0.0,81.0,22.13968711134385,15277,2006
013,01,0.0,75.0,21.81318321660012,15277,2007
013,01,0.0,79.0,21.121620737055704,15277,2008
013,01,1.0,75.0,20.769588269948287,15277,2009
013,01,0.0,76.0,27.79917523073902,15277,2010
013,01,0.0,73.0,22.51410617267788,15277,2011
013,01,0.0,70.0,27.438371407998957,15277,2012
013,01,0.0,80.0,25.948746481639063,15277,2013
013,01,0.0,67.0,24.86050926228972,15277,2014
013,01,0.0,77.0,32.29816063363226,15277,2015
013,01,1.0,73.0,28.76219152975061,15277,2016
013,01,0.0,79.0,26.6189042351247,15277,2017
013,01,0.0,80.0,30.261569679910977,15277,2018
013,01,1.0,71.0,32.06205406820711,15277,2019
013,01,1.0,73.0,27.749950906591607,15277,2020
014,01,0.0,84.0,22.481130286364497,79095,2001
014,01,0.0,78.0,17.9167583285922,79095,2002
014,01,0.0,78.0,22.302825715911247,79095,2003
014,01,0.0,83.0,20.73014729123206,79095,2004
014,01,0.0,88.0,21.42627220431127,79095,2005
014,01,0.0,82.0,22.51378721790252,79095,2006
014,01,0.0,77.0,24.091371135975724,79095,2007
014,01,0.0,80.0,22.452822555155198,79095,2008
014,01,0.0,85.0,22.399140274353627,79095,2009
014,01,0.0,81.0,25.493899740818005,79095,2010
014,01,0.0,81.0,21.26086351855364,79095,2011
014,01,0.0,82.0,24.347240659965863,79095,2012
014,01,0.0,87.0,23.62015298059296,79095,2013
014,01,0.0,86.0,23.11214362475504,79095,2014
014,01,0.0,93.0,27.643454074214556,79095,2015
014,01,0.0,81.0,24.976711549402616,79095,2016
014,01,0.0,84.0,25.385157089575827,79095,2017
014,01,0.0,80.0,25.12390163727164,79095,2018
014,01,0.0,78.0,25.4075478854542,79095,2019
014,01,0.0,81.0,25.610127062393325,79095,2020
015,01,0.0,76.0,15.453208885386395,40606,2001
015,01,0.0,73.0,11.718637639757672,40606,2002
015,01,0.0,71.0,15.457272324287052,40606,2003
015,01,0.0,73.0,13.029306013889572,40606,2004
015,01,1.0,84.0,14.205388366251292,40606,2005
015,01,0.0,76.0,15.370142343496036,40606,2006
015,01,0.0,73.0,17.099517312712408,40606,2007
015,01,0.0,76.0,15.159976358173669,40606,2008
015,01,0.0,76.0,15.617199428655864,40606,2009
015,01,0.0,79.0,18.36467517115697,40606,2010
015,01,0.0,75.0,15.98303206422696,40606,2011
015,01,0.0,75.0,18.67608235236172,40606,2012
015,01,0.0,76.0,17.207407772250406,40606,2013
015,01,0.0,72.0,16.62769048909028,40606,2014
015,01,0.0,77.0,20.692557750086195,40606,2015
015,01,0.0,76.0,19.52674481603704,40606,2016
015,01,0.0,80.0,18.74846081859824,40606,2017
015,01,0.0,77.0,20.21740629463626,40606,2018
015,01,0.0,73.0,19.398118504654484,40606,2019
015,01,1.0,71.0,19.26831010195537,40606,2020
016,01,0.0,86.0,35.57397163466225,82072,2001
016,01,0.0,80.0,32.38984062774149,82072,2002
016,01,0.0,82.0,34.58504727556292,82072,2003
016,01,0.0,86.0,35.10262939857686,82072,2004
016,01,0.0,85.0,38.03247148844917,82072,2005
016,01,0.0,83.0,40.2841773077298,82072,2006
016,01,0.0,85.0,36.25770055560971,82072,2007
016,01,0.0,84.0,36.65527829223121,82072,2008
016,01,0.0,84.0,36.19157568963837,82072,2009
016,01,0.0,86.0,39.93549566234526,82072,2010
016,01,0.0,86.0,34.10697923774247,82072,2011
016,01,0.0,82.0,36.275855346525006,82072,2012
016,01,0.0,85.0,37.21160688176236,82072,2013
016,01,0.0,87.0,35.4302441758456,82072,2014
016,01,0.0,92.0,40.989826006433375,82072,2015
016,01,1.0,80.0,39.25621405595087,82072,2016
016,01,0.0,87.0,39.25182766351496,82072,2017
016,01,0.0,83.0,38.30090652110342,82072,2018
016,01,0.0,79.0,37.76850813919485,82072,2019
016,01,1.0,81.0,39.08123355102837,82072,2020
017,01,0.0,84.0,21.21349091783953,33252,2001
017,01,0.0,74.0,21.136713581137972,33252,2002
017,01,0.0,73.0,21.835438469866475,33252,2003
017,01,0.0,77.0,19.86482016119331,33252,2004
017,01,1.0,80.0,21.71577649464694,33252,2005
017,01,0.0,78.0,24.66576446529532,33252,2006
017,01,0.0,74.0,22.93410922651269,33252,2007
017,01,0.0,76.0,23.41711776735234,33252,2008
017,01,1.0,80.0,22.250210513653315,33252,2009
017,01,1.0,79.0,28.393480091423072,33252,2010
017,01,0.0,78.0,22.08700228557681,33252,2011
017,01,0.0,78.0,25.389781065800552,33252,2012
017,01,0.0,79.0,24.3520089017202,33252,2013
017,01,0.0,75.0,23.436184289666787,33252,2014
017,01,0.0,77.0,29.101978828341156,33252,2015
017,01,1.0,79.0,25.88809695657404,33252,2016
017,01,0.0,81.0,25.64486346685913,33252,2017
017,01,0.0,77.0,25.507367977865997,33252,2018
017,01,2.0,76.0,27.04360639961506,33252,2019
017,01,2.0,76.0,27.240556958979912,33252,2020
018,01,0.0,88.0,16.146195430173808,271739,2001
018,01,0.0,80.0,13.246471798306462,271739,2002
018,01,0.0,80.0,15.035144016869127,271739,2003
018,01,0.0,84.0,13.91989004154722,271739,2004
018,01,0.0,82.0,15.925645564309873,271739,2005
018,01,0.0,82.0,16.081972039346578,271739,2006
018,01,0.0,78.0,16.185898969231506,271739,2007
018,01,0.0,78.0,14.932600767648369,271739,2008
018,01,0.0,87.0,15.53337945602214,271739,2009
018,01,0.0,82.0,17.25121900058512,271739,2010
018,01,0.0,81.0,15.03751393800669,271739,2011
018,01,0.0,82.0,15.569815153511271,271739,2012
018,01,0.0,88.0,16.251182200567456,271739,2013
018,01,0.0,84.0,14.52014616967016,271739,2014
018,01,0.0,92.0,17.048910903477232,271739,2015
018,01,0.0,81.0,17.1153974953908,271739,2016
018,01,0.0,85.0,16.87570794033981,271739,2017
018,01,0.0,81.0,16.444017973128627,271739,2018
018,01,0.0,78.0,16.397752990921436,271739,2019
018,01,0.0,80.0,17.640279827334318,271739,2020
019,01,0.0,87.0,22.51337861672984,79941,2001
019,01,0.0,78.0,22.09364406249609,79941,2002
019,01,0.0,78.0,23.603907882063023,79941,2003
019,01,1.0,86.0,24.836341802079037,79941,2004
019,01,1.0,86.0,25.731914787155528,79941,2005
019,01,1.0,82.0,29.23688720431318,79941,2006
019,01,1.0,79.0,24.041580665740984,79941,2007
019,01,0.0,79.0,26.806419734554236,79941,2008
019,01,0.0,85.0,21.957981511364636,79941,2009
019,01,0.0,80.0,25.678225191078425,79941,2010
019,01,0.0,85.0,24.226041705758,79941,2011
019,01,0.0,82.0,23.680802091542517,79941,2012
019,01,0.0,83.0,27.860709773457927,79941,2013
019,01,0.0,83.0,25.42548879798852,79941,2014
019,01,0.0,86.0,27.181296205951888,79941,2015
019,01,1.0,78.0,27.54884227117499,79941,2016
019,01,0.0,83.0,26.39873156452884,79941,2017
019,01,1.0,81.0,28.735579990242805,79941,2018
019,01,0.0,80.0,30.62376002301697,79941,2019
019,01,1.0,79.0,30.61042518857657,79941,2020
020,01,0.0,85.0,22.555153863951872,69152,2001
020,01,0.0,76.0,22.36305529847293,69152,2002
020,01,0.0,75.0,24.1057091624248,69152,2003
020,01,0.0,80.0,24.50069412309116,69152,2004
020,01,1.0,79.0,24.78563165201296,69152,2005
020,01,0.0,79.0,29.13418267006016,69152,2006
020,01,0.0,78.0,24.6394464368348,69152,2007
020,01,0.0,76.0,26.52371587228135,69152,2008
020,01,0.0,82.0,22.379077973160573,69152,2009
020,01,0.0,82.0,26.194180934752428,69152,2010
020,01,0.0,80.0,24.062297547431744,69152,2011
