,Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
226,SIA/CG/MIN/136551/2020,OL/EC/SAND_MINE/DHAMTARI/1131,Chhattisgarh,Dhamtari,Kurud,Date of Submission for EC: 14 Feb 2020 ,Date of Ec Granted : 30 May 2020,Non-Coal Mining,CHARBHATHA ORDINARY SAND MINE DHAMTARI CG,EC Granted
227,SIA/CG/MIN/169323/2020,OL/EC/MIN/BILASPUR/1375,Chhattisgarh,Bilaspur,Bilaspur,Date of Submission for EC: 23 Aug 2020 ,Date of Ec Granted : 09 Nov 2020,Non-Coal Mining,MANGLA SAND MINE OF BABLU KUMAR JOSHI,EC Granted
228,SIA/CG/MIN/42496/2016,OL/EC/SANDMINE/JANJGIR-CHAMPA/346,Chhattisgarh,Janjgir - Champa,Dabhara,Date of Submission for EC: 28 Jan 2016 ,Date of Ec Granted : 28 May 2016,Non-Coal Mining,SACHIV BIRHABHANTA,EC Granted
229,SIA/CG/MIN/189997/2020,OL/EC/MIN/BASTAR/1498,Chhattisgarh,Bastar,Jagdalpur,Date of Submission for TOR: ,Date of Submission for EC: 26 Dec 2020 ,Non-Coal Mining,LIMESTONE MINE SIRISGUDA,Rejection Letter Granted
230,SIA/CG/MIN/199430/2021,OL/EC/MIN/RAIGARH/1565,Chhattisgarh,Raigarh,Raigarh,Date of Submission for EC: 23 Feb 2021 ,Date of Ec Granted : 28 Jun 2021,Non-Coal Mining,BOKRAMUDA SAND MINE,EC Granted
231,SIA/CG/MIN/6914/2007,OL/EC/TIN ORE_MINE/DANTEWADA/295A,Chhattisgarh,Sukma,No Data,Date of Submission for EC: 08 Jan 2016 ,Date of Ec Granted : 11 Jul 2016,Non-Coal Mining,PRECIOUS MINERALS AND SMELTING LIMITED,EC Granted - Processed offline
232,SIA/CG/IND/246050/2021,OL/EC/IND/RAIPUR/1878,Chhattisgarh,Raipur,Raipur,Date of Submission for TOR: ,Date of Submission for EC: 20 Dec 2021 ,Industrial Projects - 1,NAV DURGA ISPAT PVT LTD.,Agenda Uploaded by SEAC
233,SIA/CG/MIN/31308/2015,OL/EC/SANDMINE/DURG/21,Chhattisgarh,Durg,Patan,Date of Submission for EC: 26 Sep 2015 ,Date of Ec Granted : 24 Nov 2015,Non-Coal Mining,SARPANCH SIPKONA,EC Granted
234,SIA/CG/MIN/33249/2019,OL/EC/MIN/KANKER/789,Chhattisgarh,Kanker,Bhanupratappur,Date of Submission for EC: 15 Apr 2019 ,Date of Ec Granted : 06 Jun 2019,Non-Coal Mining,KISHOR KUMAR CHOURASIA,EC Granted
235,SIA/CG/MIN/50528/2016,OL/EC/SANDMINE/RAIGARH/406,Chhattisgarh,Raigarh,Kharsia,Date of Submission for EC: 07 Apr 2016 ,Date of Ec Granted : 20 Jan 2017,Non-Coal Mining,SACHIVNANDGAONMINING,EC Granted
