,Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
4,325,SIA/HR/MIS/57388/2018,SEIAA/HR/2020/331 hard copy to be su bmitted,"Expansion cum Modification of Residential Multistoried Group Housing Project, at Village- Prahaladpur, Sector- 80, Faridabad (HR), by M/s Ansal Crown Infrabuild Pvt. Ltd.",M/S ANSAL CROWN INFRABUILD PVT. LTD.,EC Granted,EC,
5,326,SIA/HR/IND3/243032/2021,SEIAA/HR/2021/494,"Expansion of API in Existing API Unit at Plot no. 710 & 711 MIE Part-A Bahadurgarh, Haryana by M/s Pharmchem",PHARMACHEM,Agenda Uploaded by SEAC,EC,
6,327,SIA/HR/MIS/275278/2022,,Revision & Expansion of Group Housing Project “Orion Galaxy”,SONI INFRATECH PRIVATE LIMITED,Delisted,EC,
7,328,SIA/HR/NCP/22199/2017,SEIAA/HR/17/338 dated 21.07.2017,,EXPANSION OF IT PARK PROJECT,EC Granted - Processed offline,EC,
8,329,SIA/HR/MIS/164499/2020,SEIAA/HR/2020/307 hard copy to be submitted,22.31558 Ha (55.14 Acres) Warehouse Development Project,DADRI TOE WAREHOUSING PVT. LTD.,EC Granted,EC,
9,330,SIA/HR/NCP/28478/2017,SEIAA/HR/VIO/18/21 dated 23.04.2018.,Spaze Corporate Parkk,SPAZE TOWERS PVT LTD,Delisted,EC,
0,331,SIA/HR/MIS/31385/2019,21-114/2018-IA-III,,FAITH BUILDTECH PVT LTD,Delisted,EC,
1,332,SIA/HR/MIS/54497/2020,SEIAA/HR/2020/269,Expansion with Modernization of Group Housing Colony,GODREJ HIGHVIEW LLP,EC Granted,EC,
2,333,SIA/HR/MIS/69919/2021,SEIAA/HR/2021/460,"Proposed Group Housing Project at village- Wazirpur Sector-92 & 95, Gurugram, Haryana by M/s N.A Buildwell Pvt. Ltd. C/o M/s Raheja Developers Pvt. Ltd. And M/s Saan Procon Pvt. Ltd",M/S NA BUILDWELL PVT. LTD. C/O M/S RAHEJA DEVELOPERS PVT. LTD. AND M/S SAAN PROCON PVT. LTD,EC Granted,EC,
3,334,SIA/HR/MIS/99145/2019,"SEIAA/HR/19/128

Hard copy to be submitted",Commerical Colony,ACTION CONSTRUCTWELL PVT LTD,Delisted,EC,
4,335,SIA/HR/MIS/33775/2011,SEIAA/HR/19/101. TOR was granted by SEIAA in 117th,"Expansion of Group Housing Project Measuring 13.344 Acres at Village- Badshahpur, Sector-67, Gurgaon, Haryana",M/S CONSOLIDATE REALTORS PVT. LTD.,EC Granted,EC,
5,336,SIA/HR/MIN/11042/2015,File no. SEIAA/HR/MIN/16/148 dated 21.04.2016.,IA/HR/MIN/29152/2015,M/S. NORTHERN ROYALTY COMPANY,EC Granted,EC,
6,337,SIA/HR/NCP/64378/2017,,Warehouse Project,GLS INFRAPROJECTS PVT LTD,EC Granted - Processed offline,EC,
7,338,SIA/HR/MIS/217899/2021,SEIAA/HR/2022/224,"Expansion of Commercial Complex with license 1002 of 2006 dated 16.06.2006 for 3.875 Acres & license -999-1001 of 2006 dated 16.06.2006 for 4.431 acres 16.06.2006 at Sector 19, Village- Kamaspur, District Sonepat, Haryana","M/S TDI INFRASTRUCTURE LIMITED,",Deferred by SEAC,EC,
8,339,SIA/HR/NCP/94630/2019,"SEIAA/HR/19/41

Hard copy to be submitted","Proposed Commercial Colony on Plot Area
Measuring 9.26225 Acres at Village Tigra, Ghata &
Nangli Umarpur in Sector-62, Gurugram Manesar
Urban Complex, Haryana being developed by M/s R
S Infrastructure Pvt Ltd.",R S INFRASTRUCTURE PVT LTD,EC Granted,EC,
9,340,SIA/HR/MIN/54805/2016,SEIAA/HR/MIN/16/164 dated 26.08.2016,"Mining of Stone along with associated minor minerals at Jojhu Kalan, Tehsil-Dadri, District-Bhiwani, Haryana by M/s MSK-JV.",MSK JV,EC Granted,EC,
0,341,SIA/HR/NCP/5156/2015,,IA/HR/MIS/27435/2015,MALIBU ESTATE PVT. LTD.,Pending at PP due to eds,EC,
1,342,SIA/HR/MIS/211992/2021,SEIAA/HR/2020/301. The Project Proponent has to su,Expansion of Institutional Project NCR Biotech Science Cluster Phase-II,TRANSLATIONAL HEALTH SCIENCE AND TECHNOLOGY INSTITUTE THSTI,EC Granted,EC,
2,343,SIA/HR/NCP/69824/2017,SEIAA/HR/17/ 351 dated 25.09.2017,"Residential Plotted Colony measuring 13.40625 acres under Deen Dayal Jan Awas Yojana-2016 located at Village Alawalpur, Sector-19, Dharuhera, Rewari, Haryana",MG HOUSING PVT. LTD.,EC Granted - Processed offline,EC,
3,344,SIA/HR/MIN/12349/2015,file no. SEIAA/HR/MIN/15/124 dated 04.11.2015.,"Mining of Stone Along with Associated Minor Minerals at Bakhrija Plot-2, Tehsil-Narnaul, Distt.-Mahendergarh, Haryana by M/s Tirupati Viniyoge Pvt. Ltd. The project activity falls in category ’B1’ as there are other mining leases exist within 500 m r",MS TIRUPATI VINIYOGE PVT LTD,EC Granted,EC,
4,345,SIA/HR/MIS/104089/2019,SEIAA/HR/19/56,Warehouse/ Industrial Storage/ Logistics Park,"INDOSPACE LUHARI 3A PVT. LTD.,  INDOSPACE LUHARI 3B PVT. LTD.,  INDOSPACE LUHARI 3C PVT. LTD., INDOSPACE LUHARI 3D PVT. LTD., INDOSPACE LUHARI 3E PVT. LTD., & INDOSPACE LUHARI 3F PVT. LTD.",EC Granted,EC,
5,346,SIA/HR/MIS/125452/2019,SEIAA/HR/19/226 hard copy to be submitted,NON AGRO WAREHOUSE PROJECT (LOGISTICS),DHIRAJ & OTHERS,EC Granted,EC,
6,347,SIA/HR/MIN/56009/2018,SEIAA/HR/19/06 hard copy to be submitted,Dadam Stone along with Associated Minor Mineral Mining Project,M/S GOVARDHAN MINES & MINERALS,EC Granted,EC,
7,348,SIA/HR/MIS/149371/2020,SEIAA/HR/VIO/19/10 hard copy to be submitted. TOR,Warehouse Project,INDIA LAND AND SPACE LOGISTICS PVT. LTD.,EC Granted,EC,
8,349,SIA/HR/INFRA2/401222/2022,,Non Agro Warehouse Project,PARMOD KUMAR,Pending at PP due to eds,EC,
9,350,SIA/HR/NCP/75414/2018,SEIAA/HR/18/ 431 dated 05.07.2018,"Proposed head office of Spicejet at Plot no-114, Udyog Vihar-I by M/s Spicejet Ltd",SPICE JET,EC Granted - Processed offline,EC,
