,District,Tehsil,N,District_Tehsil,Matched_distance,district_tehsil_matched,pc11_district_id,pc11_sd_id,Matched,Incorrect,Comment ,
2404,Mumbai (Suburban),Kurla,174,mumbai (suburban) kurla,17,mayurbhanj udala,376,2884,,1,not in list ,
2405,Mumbai (Suburban),Malad,63,mumbai (suburban) malad,17,mayurbhanj udala,376,2884,,1,not in list ,
3377,Siddipet,Siddipet Rural,2,siddipet siddipet rural,17,medak siddipet,535,4459,,1,not in list ,
3378,Siddipet,Siddipet Urban,1,siddipet siddipet urban,17,medak siddipet,535,4459,,1,not in list ,
4034,West Medinipur,Medinipur Sadar,27,west medinipur medinipur sadar,17,dimapur dimapur sadar,265,1796,,1,not in list ,
4046,Yadadri Bhuvanagiri,Bibinagar,6,yadadri bhuvanagiri bibinagar,17,nalgonda bibinagar,539,4629,1,,,
705,Charkhi Dadri,Charkhi Dadri,1,charkhi dadri charkhi dadri,16,harda harda,448,3608,,1,not in list ,
718,Chennai,Mambalam Guindy,48,chennai mambalam guindy,16,chamba bhalai,23,86,,1,not in list ,
937,Devbhumi Dwarka,Kalyanpur,59,devbhumi dwarka kalyanpur,16,umaria manpur,431,3484,,1,not in list ,
938,Devbhumi Dwarka,Khambhalia,26,devbhumi dwarka khambhalia,16,jamnagar khambhalia,477,3813,1,,,
1346,Hamirpur,Sub Tehsil Bighari,4,hamirpur sub tehsil bighari,16,hamirpur barsar,28,144,,1,not in list ,
1353,Hapur,Garhmukteshwar Hapur,9,hapur garhmukteshwar hapur,16,ghaziabad garhmukteshwar,140,741,,1,not in list ,
1784,Kasaragod,Vellarikkundu,1,kasaragod vellarikkundu,16,warangal nellikudur,540,4716,,1,not in list ,
2361,Medchal Malkajgiri,kapra,2,medchal malkajgiri kapra,16,malkangiri podia,399,3228,,1,not in list ,
2368,Medchal Malkajgiri,uppal,17,medchal malkajgiri uppal,16,rangareddy uppal,537,4524,1,,,
2632,Nellore,Buchireddipalem,4,nellore buchireddipalem,16,sri potti sriramulu nellore buchireddipalem,550,5170,1,,,
2800,Paschim bardhaman,Durgapur,6,paschim bardhaman durgapur,16,barddhaman faridpur durgapur,335,2274,1,,,
3607,Suryapet,Chinthalapalem,14,suryapet chinthalapalem,16,surat olpad,492,3932,,1,not in list ,
3839,Vijayanagara,Hagaribommana halli,2,vijayanagara hagaribommana halli,16,bellary hagaribommanahalli,565,5497,,1,not in list ,
4044,Yadadri Bhuvanagiri,Atmakur,6,yadadri bhuvanagiri atmakur,16,nalgonda atmakur (m),539,4626,1,,,
846,Cuddapah,Chinnamudiam,5,cuddapah chinnamudiam,15,umaria chandia,431,3483,,1,not in list ,
1593,Jhargram,Binpur - II,4,jhargram binpur - ii,15,paschim medinipur binpur-ii,344,2441,1,,,
1681,Kangra,Dehra/Jaswan at Kotla,2,kangra dehra/jaswan at kotla,15,kangra jaswan,24,105,,,same ,
1690,Kangra,Jawali/Nagarota Suria,1,kangra jawali/nagarota suria,15,kangra jawali,24,96,,,same,
1783,Kasaragod,Vellarikkund,4,kasaragod vellarikkund,15,kasaragod kasaragod,588,5630,,1,not in list ,
2409,Mumbai City,Mumbai,213,mumbai city mumbai,15,umaria pali,431,3485,,1,not in list ,
2697,North 24 Parganas,Barasat - I,17,north 24 parganas barasat - i,15,north twenty four parganas barasat-i,337,2325,,,same,
2698,North 24 Parganas,Barasat - II,1,north 24 parganas barasat - ii,15,north twenty four parganas barasat-ii,337,2326,,,same,
2699,North 24 Parganas,Barrackpur - I,7,north 24 parganas barrackpur - i,15,north twenty four parganas barrackpur-i,337,2323,,,same,
2700,North 24 Parganas,Barrackpur - II,6,north 24 parganas barrackpur - ii,15,north twenty four parganas barrackpur-ii,337,2324,,,same,
2703,North 24 Parganas,Habra - I,1,north 24 parganas habra - i,15,north twenty four parganas habra-i,337,2320,,,same,
3497,South 24 Parganas,Bhangar - I,4,south 24 parganas bhangar - i,15,south twenty four parganas bhangar-i,343,2418,,,same,
3498,South 24 Parganas,Bhangar - II,1,south 24 parganas bhangar - ii,15,south twenty four parganas bhangar-ii,343,2419,,,same,
3499,South 24 Parganas,Bishnupur - I,11,south 24 parganas bishnupur - i,15,south twenty four parganas bishnupur-i,343,2415,,,same,
3500,South 24 Parganas,Bishnupur - II,4,south 24 parganas bishnupur - ii,15,south twenty four parganas bishnupur-ii,343,2416,,,same,
3501,South 24 Parganas,Budge Budge - I,6,south 24 parganas budge budge - i,15,south twenty four parganas budge budge-i,343,2413,,,same,
3502,South 24 Parganas,Budge Budge - II,1,south 24 parganas budge budge - ii,15,south twenty four parganas budge budge-ii,343,2414,,,same,
3503,South 24 Parganas,Diamond Harbour - I,4,south 24 parganas diamond harbour - i,15,south twenty four parganas diamond harbour-i,343,2426,,,same,
3504,South 24 Parganas,Diamond Harbour - II,1,south 24 parganas diamond harbour - ii,15,south twenty four parganas diamond harbour-ii,343,2427,,,same,
3505,South 24 Parganas,Jaynagar - I,1,south 24 parganas jaynagar - i,15,south twenty four parganas jaynagar-i,343,2431,,,same,
3841,Vijayanagara,Hosapete,5,vijayanagara hosapete,15,bellary hospet,565,5498,1,,,
4035,West Medinipur,No Data,33,west medinipur no data,15,west kameng nafra,246,1568,,1,,
677,CHHOTA UDAIPUR,Chhota Udaipur,71,chhota udaipur chhota udaipur,14,vadodara chhota udaipur,486,3901,,1,,
678,CHHOTA UDAIPUR,Jetpur Pavi,128,chhota udaipur jetpur pavi,14,vadodara jetpur pavi,486,3900,,1,,
711,Chengalpattu,Chengalpattu,17,chengalpattu chengalpattu,14,kancheepuram chengalpattu,604,5706,,,same as part kancheepuram district ,
712,Chengalpattu,Maduranthakam,7,chengalpattu maduranthakam,14,kancheepuram maduranthakam,604,5710,,1,,
713,Chengalpattu,No Data,3,chengalpattu no data,14,changlang yatdam,253,1670,,1,,
838,Cooch Behar,alipurduar,11,cooch behar alipurduar,14,koch bihar haldibari,329,2179,,1,alipurduar part in jalpaiguri district ,
936,Devbhumi Dwarka,Bhanvad,3,devbhumi dwarka bhanvad,14,jamnagar bhanvad,477,3820,1,,,
2077,Lahul and Spiti,Spiti       (T),1,lahul and spiti spiti       (t),14,lahul spiti spiti,25,116,,,same as,
2352,Medchal,Quthubullapur,39,medchal quthubullapur,14,rangareddy qutubullapur,537,4518,,1,not in list ,
2408,Mumbai City,Kurla,42,mumbai city kurla,14,una una,29,150,,1,not in list ,
2629,Nellore,Ananthasagaram,3,nellore ananthasagaram,14,sri potti sriramulu nellore ananthasagaram,550,5173,1,,,
2658,Nellore,Seetharamapuram,2,nellore seetharamapuram,14,sri potti sriramulu nellore seetharamapuram,550,5153,1,,,
2664,Nellore,Venkatachalam,1,nellore venkatachalam,14,sri potti sriramulu nellore venkatachalam,550,5182,1,,,
2845,Peddapalli,Peddapalle,15,peddapalli peddapalle,14,karimnagar peddapalle,534,4408,1,,,
2932,Purbi Singhbhum,Serilingampalle,1,purbi singhbhum serilingampalle,14,purbi singhbhum boram,357,2605,,1,not in list ,
3376,Siddipet,Raipole,2,siddipet raipole,14,simdega kersai,367,2721,,1,not in list ,
3608,Suryapet,Mattam palle,15,suryapet mattam palle,14,nalgonda mattam palle,539,4670,,1,not in list ,
4050,Yadadri Bhuvanagiri,Pochampalle,30,yadadri bhuvanagiri pochampalle,14,nalgonda pochampalle,539,4630,1,,,
299,Balasore,balasoresadar,9,balasore balasoresadar,13,bilaspur bilaspur sadar,30,156,,1,not in list ,
312,Balodabazar,Baloda Bazar,23,balodabazar baloda bazar,13,raipur baloda bazar,410,3326,,1,not in list ,
313,Balodabazar,Bilaigarh,3,balodabazar bilaigarh,13,raipur bilaigarh,410,3329,1,,,
314,Balodabazar,Kasdol,13,balodabazar kasdol,13,raipur kasdol,410,3328,,,same as,
680,CHHOTA UDAIPUR,Sankheda,189,chhota udaipur sankheda,13,udaipur sarada,130,693,,1,not in list ,
714,Chengalpattu,Tambaram,6,chengalpattu tambaram,13,kancheepuram tambaram,604,5703,1,,,
939,Devbhumi Dwarka,Okhamandal,12,devbhumi dwarka okhamandal,13,jamnagar okhamandal,477,3812,1,,,
968,Dharmapuri,Denkanikottai,1,dharmapuri denkanikottai,13,krishnagiri denkanikottai,631,5892,,,same as,
1019,East Champaran,No Data,22,east champaran no data,13,pashchim champaran nautan,203,1030,,,same as,
1084,East Singhbhum,No Data,37,east singhbhum no data,13,east siang kora,251,1649,,,same as,
1129,Firozpur,Guru Harsahai,19,firozpur guru harsahai,13,firozpur zira,43,234,,,same as,
1211,Gir Somnath,Kodinar,28,gir somnath kodinar,13,junagadh kodinar,479,3837,,,same as,
1212,Gir Somnath,Patan-Veraval,31,gir somnath patan-veraval,13,junagadh patan-veraval,479,3835,,,same as,
1213,Gir Somnath,Sutrapada,12,gir somnath sutrapada,13,junagadh sutrapada,479,3836,,,same as,
1214,Gir Somnath,Talala,11,gir somnath talala,13,junagadh talala,479,3834,,,same as,
1437,Indore,Bicholi Hapsi,2,indore bicholi hapsi,13,indore mhow,439,3544,,1,not in list ,
1594,Jhargram,Kharagpur - I,8,jhargram kharagpur - i,13,paschim medinipur kharagpur-i,344,2460,1,,,
2138,Mahabubabad,Kesamudram,11,mahabubabad kesamudram,13,warangal kesamudram,540,4717,,,same as,
2398,Mulugu,Kannaigudem,5,mulugu kannaigudem,13,kullu ani,26,121,,1,not in list ,
2406,Mumbai City,Andheri,72,mumbai city andheri,13,umaria chandia,431,3483,,1,not in list,
2407,Mumbai City,KandiVali,16,mumbai city kandivali,13,umaria chandia,431,3483,,1,not in list ,
2633,Nellore,Chejerla,7,nellore chejerla,13,sri potti sriramulu nellore chejerla,550,5172,1,,,
2696,North 24 Parganas,Bagda,1,north 24 parganas bagda,13,north twenty four parganas bagda,337,2316,,,same as,
2701,North 24 Parganas,Bongaon,1,north 24 parganas bongaon,13,north twenty four parganas bongaon,337,2317,,,same as,
2702,North 24 Parganas,Gaighata,1,north 24 parganas gaighata,13,north twenty four parganas gaighata,337,2318,,,same as,
2704,North 24 Parganas,Rajarhat,67,north 24 parganas rajarhat,13,north twenty four parganas rajarhat,337,2332,,,same as,
2930,Purba Burdwan,AUSGRAM II,1,purba burdwan ausgram ii,13,barddhaman ausgram-ii,335,2276,,1,not in list ,
3368,Shri Muktsar Sahib,Giddarbaha,1,shri muktsar sahib giddarbaha,13,muktsar gidderbaha,44,240,,,same as,
3496,South 24 Parganas,Baruipur,5,south 24 parganas baruipur,13,south twenty four parganas baruipur,343,2422,,,same as,
3506,South 24 Parganas,Kulpi,3,south 24 parganas kulpi,13,south twenty four parganas kulpi,343,2428,,,same as,
3507,South 24 Parganas,Namkhana,1,south 24 parganas namkhana,13,south twenty four parganas namkhana,343,2439,,,same as,
3508,South 24 Parganas,Sonarpur,21,south 24 parganas sonarpur,13,south twenty four parganas sonarpur,343,2417,,,same as,
3509,South 24 Parganas,Thakurpukur Mahestola,5,south 24 parganas thakurpukur mahestola,13,south twenty four parganas thakurpukur mahestola,343,2412,,,same as,
3510,South West,Delhi Cantonment.,1,south west delhi cantonment.,13,NA delhi cantonment,97,452,,,same as ,
3693,Tirunelveli,cheranmahadevi,1,tirunelveli cheranmahadevi,13,tirunelveli tenkasi,628,5873,,1,not in list ,
3735,Trichy,Thottiyam,1,trichy thottiyam,13,tiruchirappalli thottiyam,614,5773,,,same as,
3847,Vikarabad,Bomraspet,4,vikarabad bomraspet,13,mahbubnagar bomraspet,538,4550,1,,,
26,Agar Malwa,Nalkheda,6,agar malwa nalkheda,12,shajapur nalkheda,436,3516,1,,,
77,Alipurduar,Alipurduar II,2,alipurduar alipurduar ii,12,jalpaiguri alipurduar-ii,328,2174,,,same as,
100,Amethi,Musafirkhana,1,amethi musafirkhana,12,meerut sardhana,138,732,,1,not in list ,
200,Andamans,Veldurthi,1,andamans veldurthi,12,anand umreth,482,3863,,1,not in list ,
315,Balodabazar,No Data,18,balodabazar no data,12,banda banda,170,871,,1,not in list ,
317,Balodabazar,Simga,8,balodabazar simga,12,raipur simga,410,3324,1,,,
679,CHHOTA UDAIPUR,Nasvadi,6,chhota udaipur nasvadi,12,vadodara nasvadi,486,3903,1,,,
837,Coimbatore,Udumalaipettai,2,coimbatore udumalaipettai,12,tiruppur udumalaipettai,633,5906,1,,,
854,Cuddapah,Sankarapuram,1,cuddapah sankarapuram,12,viluppuram sankarapuram,607,5733,,1,not in list ,
856,Cuddapah,T.Sundupalle,1,cuddapah t.sundupalle,12,ysr kadapa t sundupalle,551,5238,,,same as,
1374,Hathras,Sikandra Rao,3,hathras sikandra rao,12,mahamaya nagar sikandra rao,144,758,1,,,
1455,Jagtial,Medipalli,4,jagtial medipalli,12,datia datia,422,3405,,1,not in list ,
1664,Kamareddy,Bhiknur,16,kamareddy bhiknur,12,nizamabad bhiknoor,533,4391,1,,,
1702,Kanker,Bhanupratappur,9,kanker bhanupratappur,12,uttar bastar kanker bhanupratappur,413,3349,1,,,
1801,Katni,Sleemanabad,1,katni sleemanabad,12,raisen badi,446,3595,,1,not in list ,
1882,Khargaone,No Data,50,khargaone no data,12,baran antah,128,671,,1,not in list ,
1884,Khargaone,gogawan,4,khargaone gogawan,12,kangra jaswan,24,105,,1,not in list ,
2076,Lahul and Spiti,Lahul     (T),1,lahul and spiti lahul     (t),12,lahul spiti lahul,25,115,,,same as ,
2139,Mahabubabad,Kuravi,6,mahabubabad kuravi,12,mahbubnagar kothur,538,4560,,1,not in list ,
2140,Mahabubabad,Mahabubabad,12,mahabubabad mahabubabad,12,mahbubnagar mahbubnagar,538,4568,,1,not in list ,
2238,Mancherial,Mancherial,3,mancherial mancherial,12,adilabad mancherial,532,4354,1,,,
2350,Medchal,Kukatpally,8,medchal kukatpally,12,medak munpalle,535,4477,,1,not in list ,
2353,Medchal,Secunderabad,2,medchal secunderabad,12,hyderabad secunderabad,536,4498,,1,not in list ,
2397,Mulugu,Govindaraopet,1,mulugu govindaraopet,12,warangal govindaraopet,540,4688,,1,not in list ,
2401,Mulugu,Venkatapur,25,mulugu venkatapur,12,latur renapur,524,4227,,1,not in list ,
2402,Mulugu,Wazeedu,8,mulugu wazeedu,12,khammam wazeed,541,4723,,1,not in list ,
2452,NARAYANPET,Dhanwada,1,narayanpet dhanwada,12,mahbubnagar dhanwada,538,4572,1,,,
2455,NARAYANPET,Marikal,1,narayanpet marikal,12,saran garkha,219,1265,,1,not in list ,
2661,Nellore,Udayagiri,2,nellore udayagiri,12,sri potti sriramulu nellore udayagiri,550,5154,1,,,
2663,Nellore,Varikuntapadu,7,nellore varikuntapadu,12,sri potti sriramulu nellore varikuntapadu,550,5155,1,,,
2723,PRAYAGRAJ,Karchhana,12,prayagraj karchhana,12,allahabad karchhana,175,892,1,,,
2817,Pathankot,Dhar Kalan,2,pathankot dhar kalan,12,gurdaspur dhar kalan,35,200,1,,,
2931,Purba Burdwan,Burdwan,24,purba burdwan burdwan,12,barwani barwani,441,3554,,1,not in list ,
3224,Sangareddy,Gummadidala,13,sangareddy gummadidala,12,rangareddy medchal,537,4519,,1,not in list ,
3299,Seraikela Kharsawan,Adityapur,3,seraikela kharsawan adityapur,12,saraikela kharsawan adityapur(gamharia),369,2752,1,,,
3511,South West,Najafgarh,4,south west najafgarh,12,NA najafgarh,97,451,,1,not in list ,
3610,Suryapet,Pedacherlo palle,1,suryapet pedacherlo palle,12,prakasam pedacherlo palle,549,5144,,1,not in list ,
3682,Tirunelveli,Kadayanallur,2,tirunelveli kadayanallur,12,tirunelveli radhapuram,628,5880,,1,not in list ,
3689,Tirunelveli,Thisayanvilai,8,tirunelveli thisayanvilai,12,tirunelveli tenkasi,628,5873,,1,not in list ,
3704,Tiruvallur,No Data,1,tiruvallur no data,12,thiruvallur ambattur,602,5700,,1,not in list ,
3733,Trichy,Lalgudi,2,trichy lalgudi,12,tiruchirappalli lalgudi,614,5777,1,,,
3842,Vijayanagara,Kotturu,2,vijayanagara kotturu,12,vizianagaram kurupam,543,4809,,1,not in list ,
3844,Vijayapura,No Data,30,vijayapura no data,12,jabalpur patan,451,3629,,1,not in list ,
4028,West Medinipur,Garhbeta,10,west medinipur garhbeta,12,paschim medinipur garbeta-i,344,2444,,1,not in list ,
4,AYODHYA,Faizabad,8,ayodhya faizabad,11,faizabad faizabad,177,905,,,same as,
5,AYODHYA,Milkipur,1,ayodhya milkipur,11,faizabad milkipur,177,903,,,same as,
199,Andamans,Sydapuram,1,andamans sydapuram,11,sri potti sriramulu nellore sydapuram,550,5185,1,,,
298,Balasore,No Data,5,balasore no data,11,bilaspur kota,406,3291,,1,not in list ,
316,Balodabazar,Palari,9,balodabazar palari,11,raipur palari,410,3327,1,,,
473,Bellary,Rajendranagar,1,bellary rajendranagar,11,rangareddy rajendranagar,537,4527,,1,not in list ,
845,Cuddapah,Chakarayapet,1,cuddapah chakarayapet,11,ysr kadapa chakrayapet,551,5234,,1,not in list ,
849,Cuddapah,Madurai North,1,cuddapah madurai north,`,madurai madurai north,623,5836,,,,
1077,East Medinipur,Panskura - I,1,east medinipur panskura - i,11,purba medinipur panskura,345,2470,1,,,
1079,East Medinipur,Sutahata - I,3,east medinipur sutahata - i,11,purba medinipur sutahata,345,2482,1,,,
1083,East Siang,Mahasamund,1,east siang mahasamund,11,west siang basar,250,1636,,1,Mahasamund is a District of CHattisgarh,
1085,East Singhbhum,baridih,4,east singhbhum baridih,11,east siang nari,251,1650,,1,,
1100,Erode,Kangeyam,9,erode kangeyam,11,erode bhavani,610,5750,,1,Kangeyam is in Tiruppur District,
1124,Fazilka,Jalalabad,8,fazilka jalalabad,11,firozpur jalalabad,43,236,,1,Jalalabad is outside of Fazika,
1178,Gariaband,No Data,23,gariaband no data,11,adilabad boath,532,4324,,1,,
1231,Gomati,Gannavaram,1,gomati gannavaram,11,krishna gannavaram,547,5012,,1,,
1461,Jaipur,Dudu (HQ. Mauzamabad),71,jaipur dudu (hq. mauzamabad),11,jaipur mauzamabad,110,543,1,,,
1595,Jhargram,keshiary,6,jhargram keshiary,11,paschim medinipur keshiary,448,2466,1,,"Jhagram is part of Paschim Medinipur, Before Splitting in 2017",
1666,Kamareddy,Rajampet,13,kamareddy rajampet,11,rangareddy nawabpet,537,4514,,1,,
1675,Kanchipuram,Walajabad,1,kanchipuram walajabad,11,kancheepuram alandur,604,5704,,1,not in list ,
1766,Karimnagar,Shankarapeta kesavapatnam,10,karimnagar shankarapeta kesavapatnam,11,karimnagar shankarapatnam,534,4441,1,,,
1879,Khargaone,Kasrawad,5,khargaone kasrawad,11,west nimar kasrawad,305,3547,1,,,
1885,Khargaone,khargone,6,khargaone khargone,11,west nimar khargone,305,3550,1,,,
2079,Lakhimpur Kheri,Mohammadi,6,lakhimpur kheri mohammadi,11,kheri mohammdi,153,800,1,,,
2137,Mahabubabad,Dornakal,3,mahabubabad dornakal,11,warangal dornakal,538,4722,1,,,
2208,Mahisagar,Lunawada,39,mahisagar lunawada,11,panch mahals lunawada,427,3882,1,,,
2271,Mangalore,No Data,3,mangalore no data,11,bangalore anekal,572,5545,,1,,
2400,Mulugu,Mangapet,7,mulugu mangapet,11,warangal mangapet,26,4686,1,,,
2412,Mungeli,No Data,4,mungeli no data,11,hugli pandua,338,2344,,1,,
2453,NARAYANPET,Krishna,1,narayanpet krishna,11,narayanpur orchha,415,3368,,1,,
2475,Nagarkurnool,Telkapalle,3,nagarkurnool telkapalle,11,mahbubnagar telkapalle,552,4581,1,,,
2631,Nellore,Bogole,2,nellore bogole,11,sri potti sriramulu nellore bogole,605,5159,1,,,
2636,Nellore,Dagadarthi,1,nellore dagadarthi,11,sri potti sriramulu nellore dagadarthi,605,5166,1,,,
2639,Nellore,Indukurpet,12,nellore indukurpet,11,sri potti sriramulu nellore indukurpet,439,5179,1,,,
2641,Nellore,Kaligiri,2,nellore kaligiri,11,sri potti sriramulu nellore kaligiri,565,5160,1,,,
2642,Nellore,Kaluvoya,4,nellore kaluvoya,11,sri potti sriramulu nellore kaluvoya,605,5174,1,,,
2651,Nellore,Naidupet,5,nellore naidupet,11,sri potti sriramulu nellore naidupet,605,5194,1,,,
2695,Noney,Sydapuram,1,noney sydapuram,11,sri potti sriramulu nellore sydapuram,120,5185,1,,,
2719,PRAYAGRAJ,Allahabad,20,prayagraj allahabad,11,allahabad allahabad,146,890,1,,,
2727,PRAYAGRAJ,Soraon,2,prayagraj soraon,11,allahabad soraon,146,888,1,,,
