"","District","Tehsil","N","District_Tehsil","Matched_distance","district_tehsil_matched","pc11_district_id","pc11_sd_id"
"984","Dhenkanal","Kamakshyanagar",10,"dhenkanal kamakshyanagar",0,"dhenkanal kamakshyanagar",383,"02988"
"985","Dhenkanal","Motunga",1,"dhenkanal motunga",0,"dhenkanal motunga",383,"02994"
"986","Dhenkanal","Odapada",9,"dhenkanal odapada",7,"dhenkanal gandia",383,"02991"
"987","Dhenkanal","Parajang",14,"dhenkanal parajang",0,"dhenkanal parajang",383,"02987"
"988","Dhule","Dhule",12,"dhule dhule",0,"dhule dhule",498,"03959"
"989","Dhule","Sakri",3,"dhule sakri",0,"dhule sakri",498,"03958"
"990","Dhule","Shirpur",11,"dhule shirpur",0,"dhule shirpur",498,"03956"
"991","Dhule","Sindkhede",8,"dhule sindkhede",0,"dhule sindkhede",498,"03957"
"992","Dibang Valley","Pakuria",1,"dibang valley pakuria",7,"dibang valley mipi",257,"01717"
"993","Dindigul","Dindigul",34,"dindigul dindigul",0,"dindigul dindigul",612,"05764"
"994","Dindigul","Natham",33,"dindigul natham",0,"dindigul natham",612,"05763"
"995","Dindigul","Nilakkottai",22,"dindigul nilakkottai",0,"dindigul nilakkottai",612,"05767"
"996","Dindigul","Oddanchatram",37,"dindigul oddanchatram",0,"dindigul oddanchatram",612,"05761"
"997","Dindigul","Palani",31,"dindigul palani",0,"dindigul palani",612,"05760"
"998","Dindigul","Vedasandur",55,"dindigul vedasandur",0,"dindigul vedasandur",612,"05762"
"999","Dindori","Bajag",6,"dindori bajag",9,"dindori shahpura",453,"03639"
"1000","Dindori","Dindori",40,"dindori dindori",0,"dindori dindori",453,"03640"
"1001","Dindori","Shahpura",15,"dindori shahpura",0,"dindori shahpura",453,"03639"
"1002","Dumka","Dumka",2,"dumka dumka",0,"dumka dumka",362,"02673"
"1003","Dumka","Gopikandar",18,"dumka gopikandar",0,"dumka gopikandar",362,"02669"
"1004","Dumka","Masalia",2,"dumka masalia",0,"dumka masalia",362,"02675"
"1005","Dumka","Ranishwar",2,"dumka ranishwar",0,"dumka ranishwar",362,"02672"
"1006","Dumka","Shikaripara",27,"dumka shikaripara",0,"dumka shikaripara",362,"02671"
"1007","Dungarpur","Aspur",12,"dungarpur aspur",0,"dungarpur aspur",124,"00647"
"1008","Dungarpur","Dungarpur",61,"dungarpur dungarpur",0,"dungarpur dungarpur",124,"00646"
"1009","Dungarpur","Sagwara",57,"dungarpur sagwara",0,"dungarpur sagwara",124,"00648"
"1010","Dungarpur","Simalwara",5,"dungarpur simalwara",0,"dungarpur simalwara",124,"00649"
"1011","Durg","Bemetra",7,"durg bemetra",1,"durg bemetara",409,"03312"
"1012","Durg","Berla",14,"durg berla",0,"durg berla",409,"03315"
"1013","Durg","Dhamdha",69,"durg dhamdha",0,"durg dhamdha",409,"03316"
"1014","Durg","Durg",40,"durg durg",0,"durg durg",409,"03317"
"1015","Durg","Gunderdehi",1,"durg gunderdehi",0,"durg gunderdehi",409,"03319"
"1016","Durg","Patan",28,"durg patan",0,"durg patan",409,"03318"
"1017","Durg","Sanjari Balod",1,"durg sanjari balod",8,"durg balod",409,"03321"
"1018","East Champaran","Areraj",6,"east champaran areraj",7,"purba champaran areraj",204,"01045"
"1019","East Champaran","No Data",22,"east champaran no data",13,"pashchim champaran nautan",203,"01030"
"1020","East Godavari","Addateegala",4,"east godavari addateegala",0,"east godavari addateegala",545,"04887"
"1021","East Godavari","Ainavilli",4,"east godavari ainavilli",0,"east godavari ainavilli",545,"04933"
"1022","East Godavari","Alamuru",10,"east godavari alamuru",0,"east godavari alamuru",545,"04925"
"1023","East Godavari","Amalapuram",2,"east godavari amalapuram",0,"east godavari amalapuram",545,"04941"
"1024","East Godavari","Ambajipeta",1,"east godavari ambajipeta",0,"east godavari ambajipeta",545,"04935"
"1025","East Godavari","Anaparthy",1,"east godavari anaparthy",0,"east godavari anaparthy",545,"04917"
"1026","East Godavari","Atreyapuram",56,"east godavari atreyapuram",0,"east godavari atreyapuram",545,"04919"
"1027","East Godavari","Biccavolu",3,"east godavari biccavolu",0,"east godavari biccavolu",545,"04916"
"1028","East Godavari","Chintur",4,"east godavari chintur",7,"east godavari tuni",545,"04890"
"1029","East Godavari","Devipatnam",4,"east godavari devipatnam",0,"east godavari devipatnam",545,"04885"
"1030","East Godavari","Gandepalle",4,"east godavari gandepalle",0,"east godavari gandepalle",545,"04904"
"1031","East Godavari","Gangavaram",13,"east godavari gangavaram",0,"east godavari gangavaram",545,"04894"
"1032","East Godavari","Gokavaram",8,"east godavari gokavaram",0,"east godavari gokavaram",545,"04897"
"1033","East Godavari","Gollaprolu",5,"east godavari gollaprolu",0,"east godavari gollaprolu",545,"04902"
"1034","East Godavari","I. Polavaram",2,"east godavari i. polavaram",0,"east godavari i. polavaram",545,"04931"
"1035","East Godavari","Jaggampeta",3,"east godavari jaggampeta",0,"east godavari jaggampeta",545,"04898"
"1036","East Godavari","Kadiam",17,"east godavari kadiam",0,"east godavari kadiam",545,"04918"
"1037","East Godavari","Kajuluru",3,"east godavari kajuluru",0,"east godavari kajuluru",545,"04923"
"1038","East Godavari","Kakinada (U)",2,"east godavari kakinada (u)",4,"east godavari kakinada (rural)",545,"04913"
"1039","East Godavari","Kakinada Rural",9,"east godavari kakinada rural",2,"east godavari kakinada (rural)",545,"04913"
"1040","East Godavari","Kapileswarapuram",18,"east godavari kapileswarapuram",0,"east godavari kapileswarapuram",545,"04928"
"1041","East Godavari","Katrenikona",1,"east godavari katrenikona",0,"east godavari katrenikona",545,"04943"
"1042","East Godavari","Korukonda",3,"east godavari korukonda",0,"east godavari korukonda",545,"04905"
"1043","East Godavari","Kothapalle",1,"east godavari kothapalle",0,"east godavari kothapalle",545,"04912"
"1044","East Godavari","Kothapeta",2,"east godavari kothapeta",0,"east godavari kothapeta",545,"04927"
"1045","East Godavari","Malikipuram",4,"east godavari malikipuram",0,"east godavari malikipuram",545,"04938"
"1046","East Godavari","Mamidikuduru",2,"east godavari mamidikuduru",0,"east godavari mamidikuduru",545,"04936"
"1047","East Godavari","Mandapeta",7,"east godavari mandapeta",0,"east godavari mandapeta",545,"04920"
"1048","East Godavari","P.Gannavaram",2,"east godavari p.gannavaram",0,"east godavari p.gannavaram",545,"04934"
"1049","East Godavari","Peddapuram",3,"east godavari peddapuram",0,"east godavari peddapuram",545,"04903"
"1050","East Godavari","Prathipadu",11,"east godavari prathipadu",0,"east godavari prathipadu",545,"04900"
"1051","East Godavari","Rajahmundry (U)",2,"east godavari rajahmundry (u)",4,"east godavari rajahmundry (urban)",545,"04906"
"1052","East Godavari","Rajahmundry Rural",7,"east godavari rajahmundry rural",0,"east godavari rajahmundry rural",545,"04907"
"1053","East Godavari","Rajanagaram",25,"east godavari rajanagaram",0,"east godavari rajanagaram",545,"04908"
"1054","East Godavari","Ramachandrapuram",1,"east godavari ramachandrapuram",0,"east godavari ramachandrapuram",545,"04924"
"1055","East Godavari","Rampachodavaram",2,"east godavari rampachodavaram",0,"east godavari rampachodavaram",545,"04895"
"1056","East Godavari","Rangampeta",7,"east godavari rangampeta",0,"east godavari rangampeta",545,"04909"
"1057","East Godavari","Ravulapalem",20,"east godavari ravulapalem",0,"east godavari ravulapalem",545,"04926"
"1058","East Godavari","Razole",3,"east godavari razole",0,"east godavari razole",545,"04937"
"1059","East Godavari","Rowthulapudi",17,"east godavari rowthulapudi",0,"east godavari rowthulapudi",545,"04891"
"1060","East Godavari","Samalkota",1,"east godavari samalkota",0,"east godavari samalkota",545,"04910"
"1061","East Godavari","Sankhavaram",2,"east godavari sankhavaram",0,"east godavari sankhavaram",545,"04892"
"1062","East Godavari","Seethanagaram",22,"east godavari seethanagaram",0,"east godavari seethanagaram",545,"04896"
"1063","East Godavari","Thallarevu",2,"east godavari thallarevu",0,"east godavari thallarevu",545,"04930"
"1064","East Godavari","Thondangi",2,"east godavari thondangi",0,"east godavari thondangi",545,"04901"
"1065","East Godavari","Tuni",2,"east godavari tuni",0,"east godavari tuni",545,"04890"
"1066","East Godavari","Y. Ramavaram",1,"east godavari y. ramavaram",0,"east godavari y. ramavaram",545,"04886"
"1067","East Godavari","Yeleswaram",12,"east godavari yeleswaram",0,"east godavari yeleswaram",545,"04893"
"1068","East Godavari","Yetapaka",14,"east godavari yetapaka",8,"east godavari karapa",545,"04922"
"1069","East Medinipur","Chandrakona - I",2,"east medinipur chandrakona - i",9,"paschim medinipur chandrakona-i",344,"02446"
"1070","East Medinipur","Daspur - I",6,"east medinipur daspur - i",9,"paschim medinipur daspur-i",344,"02449"
"1071","East Medinipur","Debra",4,"east medinipur debra",7,"paschim medinipur debra",344,"02462"
"1072","East Medinipur","Gopiballavpur - I",1,"east medinipur gopiballavpur - i",9,"paschim medinipur gopiballavpur-i",344,"02457"
"1073","East Medinipur","Jhargram",2,"east medinipur jhargram",7,"paschim medinipur jhargram",344,"02454"
"1074","East Medinipur","Kharagpur - I",2,"east medinipur kharagpur - i",9,"paschim medinipur kharagpur-i",344,"02460"
"1075","East Medinipur","Midnapore",1,"east medinipur midnapore",7,"paschim medinipur midnapore",344,"02453"
"1076","East Medinipur","Nandigram - III",1,"east medinipur nandigram - iii",10,"purba medinipur nandigram-ii",345,"02485"
"1077","East Medinipur","Panskura - I",1,"east medinipur panskura - i",11,"purba medinipur panskura",345,"02470"
"1078","East Medinipur","Ramnagar - I",1,"east medinipur ramnagar - i",9,"purba medinipur ramnagar-i",345,"02493"
"1079","East Medinipur","Sutahata - I",3,"east medinipur sutahata - i",11,"purba medinipur sutahata",345,"02482"
"1080","East Medinipur","Tamluk",3,"east medinipur tamluk",7,"purba medinipur tamluk",345,"02472"
"1081","East Nimar","Khandwa",1,"east nimar khandwa",0,"east nimar khandwa",466,"03716"
"1082","East Siang","Abhanpur",1,"east siang abhanpur",8,"basti bhanpur",185,"00937"
"1083","East Siang","Mahasamund",1,"east siang mahasamund",11,"west siang basar",250,"01636"
"1084","East Singhbhum","No Data",37,"east singhbhum no data",13,"east siang kora",251,"01649"
"1085","East Singhbhum","baridih",4,"east singhbhum baridih",11,"east siang nari",251,"01650"
"1086","East Singhbhum","musabani",4,"east singhbhum musabani",9,"purbi singhbhum musabani",357,"02609"
"1087","East Singhbhum","potka",12,"east singhbhum potka",9,"purbi singhbhum potka",357,"02608"
"1088","East Singhbhum","tantnagar",1,"east singhbhum tantnagar",9,"pashchimi singhbhum tantnagar",368,"02740"
"1089","Ernakulam","Aluva",25,"ernakulam aluva",0,"ernakulam aluva",595,"05658"
"1090","Ernakulam","Kanayannur",41,"ernakulam kanayannur",0,"ernakulam kanayannur",595,"05661"
"1091","Ernakulam","Kochi",3,"ernakulam kochi",0,"ernakulam kochi",595,"05660"
"1092","Ernakulam","Kothamangalam",18,"ernakulam kothamangalam",0,"ernakulam kothamangalam",595,"05663"
"1093","Ernakulam","Kunnathunad",37,"ernakulam kunnathunad",0,"ernakulam kunnathunad",595,"05657"
"1094","Ernakulam","Muvattupuzha",41,"ernakulam muvattupuzha",0,"ernakulam muvattupuzha",595,"05662"
"1095","Ernakulam","Paravur",4,"ernakulam paravur",0,"ernakulam paravur",595,"05659"
"1096","Erode","Bhavani",16,"erode bhavani",0,"erode bhavani",610,"05750"
"1097","Erode","Dharapuram",2,"erode dharapuram",10,"bid dharur",523,"04223"
"1098","Erode","Erode",39,"erode erode",0,"erode erode",610,"05753"
"1099","Erode","Gobichetti - Palayam",13,"erode gobichetti - palayam",3,"erode gobichettipalayam",610,"05751"
"1100","Erode","Kangeyam",9,"erode kangeyam",11,"erode bhavani",610,"05750"
"1101","Erode","Perundurai",27,"erode perundurai",0,"erode perundurai",610,"05752"
"1102","Erode","Sathyamangalam",20,"erode sathyamangalam",0,"erode sathyamangalam",610,"05749"
"1103","Etah","Etah",2,"etah etah",0,"etah etah",201,"01008"
"1104","Etawah","Etawah",4,"etawah etawah",0,"etawah etawah",161,"00838"
"1105","Etawah","Saifai",9,"etawah saifai",0,"etawah saifai",161,"00837"
"1106","Faridabad","Ballabgarh",5,"faridabad ballabgarh",0,"faridabad ballabgarh",88,"00426"
"1107","Faridabad","Faridabad",53,"faridabad faridabad",0,"faridabad faridabad",88,"00425"
"1108","Faridkot","Faridkot",4,"faridkot faridkot",0,"faridkot faridkot",45,"00242"
"1109","Faridkot","Jaitu",3,"faridkot jaitu",0,"faridkot jaitu",45,"00243"
"1110","Faridkot","Kotakpura",14,"faridkot kotakpura",10,"faridkot jaitu",45,"00243"
"1111","Farrukhabad","Amritpur",4,"farrukhabad amritpur",0,"farrukhabad amritpur",159,"00831"
"1112","Farrukhabad","Farrukhabad",7,"farrukhabad farrukhabad",0,"farrukhabad farrukhabad",159,"00832"
"1113","Farrukhabad","Kaimganj",8,"farrukhabad kaimganj",0,"farrukhabad kaimganj",159,"00830"
"1114","Fatehabad","Fatehabad",1,"fatehabad fatehabad",0,"fatehabad fatehabad",78,"00388"
"1115","Fatehgarh Sahib","Amloh",21,"fatehgarh sahib amloh",0,"fatehgarh sahib amloh",40,"00222"
"1116","Fatehgarh Sahib","Bassi Pathana",2,"fatehgarh sahib bassi pathana",0,"fatehgarh sahib bassi pathana",40,"00220"
"1117","Fatehgarh Sahib","Fatehgarh Sahib",1,"fatehgarh sahib fatehgarh sahib",0,"fatehgarh sahib fatehgarh sahib",40,"00221"
"1118","Fatehgarh Sahib","Sirhind",4,"fatehgarh sahib sirhind",10,"fatehgarh sahib amloh",40,"00222"
"1119","Fatehpur","Bindki",2,"fatehpur bindki",0,"fatehpur bindki",172,"00877"
"1120","Fatehpur","Fatehpur",25,"fatehpur fatehpur",0,"fatehpur fatehpur",172,"00878"
"1121","Fatehpur","Khaga",10,"fatehpur khaga",0,"fatehpur khaga",172,"00879"
"1122","Fazilka","Abohar",3,"fazilka abohar",9,"patiala nabha",48,"00252"
"1123","Fazilka","Fazilka",9,"fazilka fazilka",10,"katihar falka",212,"01142"
"1124","Fazilka","Jalalabad",8,"fazilka jalalabad",11,"firozpur jalalabad",43,"00236"
"1125","Firozabad","Firozabad",6,"firozabad firozabad",0,"firozabad firozabad",147,"00772"
"1126","Firozabad","Shikohabad",3,"firozabad shikohabad",0,"firozabad shikohabad",147,"00774"
"1127","Firozabad","Tundla",2,"firozabad tundla",0,"firozabad tundla",147,"00771"
"1128","Firozpur","Firozepur",17,"firozpur firozepur",1,"firozpur firozpur",43,"00235"
"1129","Firozpur","Guru Harsahai",19,"firozpur guru harsahai",13,"firozpur zira",43,"00234"
"1130","Firozpur","Zira",20,"firozpur zira",0,"firozpur zira",43,"00234"
"1131","Gadag","Gadag",9,"gadag gadag",0,"gadag gadag",561,"05470"
"1132","Gadag","Mundargi",19,"gadag mundargi",0,"gadag mundargi",561,"05472"
"1133","Gadag","Nargund",6,"gadag nargund",0,"gadag nargund",561,"05468"
"1134","Gadag","Ron",29,"gadag ron",0,"gadag ron",561,"05469"
"1135","Gadag","Shirhatti",35,"gadag shirhatti",0,"gadag shirhatti",561,"05471"
"1136","Gadchiroli","Aheri",7,"gadchiroli aheri",0,"gadchiroli aheri",508,"04062"
"1137","Gadchiroli","Armori",16,"gadchiroli armori",0,"gadchiroli armori",508,"04053"
"1138","Gadchiroli","Bhamragad",2,"gadchiroli bhamragad",0,"gadchiroli bhamragad",508,"04061"
"1139","Gadchiroli","Chamorshi",8,"gadchiroli chamorshi",0,"gadchiroli chamorshi",508,"04058"
"1140","Gadchiroli","Desaiganj (Vadasa)",10,"gadchiroli desaiganj (vadasa)",0,"gadchiroli desaiganj (vadasa)",508,"04052"
"1141","Gadchiroli","Dhanora",8,"gadchiroli dhanora",0,"gadchiroli dhanora",508,"04056"
"1142","Gadchiroli","Gadchiroli",30,"gadchiroli gadchiroli",0,"gadchiroli gadchiroli",508,"04057"
"1143","Gadchiroli","Kurkheda",14,"gadchiroli kurkheda",0,"gadchiroli kurkheda",508,"04054"
"1144","Gadchiroli","Mulchera",1,"gadchiroli mulchera",0,"gadchiroli mulchera",508,"04059"
"1145","Gadchiroli","Sironcha",22,"gadchiroli sironcha",0,"gadchiroli sironcha",508,"04063"
"1146","Gajapati","Kashinagara",6,"gajapati kashinagara",0,"gajapati kashinagara",389,"03104"
"1147","Gajapati","Mohana",4,"gajapati mohana",0,"gajapati mohana",389,"03101"
"1148","Gajapati","Parlakhemundi",15,"gajapati parlakhemundi",0,"gajapati parlakhemundi",389,"03105"
"1149","Gajapati","R.Udaygiri",1,"gajapati r.udaygiri",0,"gajapati r.udaygiri",389,"03102"
"1150","Gajapati","Rayagada",1,"gajapati rayagada",0,"gajapati rayagada",389,"03107"
"1151","Gandhinagar","Dehgam",16,"gandhinagar dehgam",0,"gandhinagar dehgam",473,"03776"
"1152","Gandhinagar","Gandhinagar",326,"gandhinagar gandhinagar",0,"gandhinagar gandhinagar",473,"03775"
"1153","Gandhinagar","Kalol",149,"gandhinagar kalol",0,"gandhinagar kalol",473,"03773"
"1154","Gandhinagar","Mansa",33,"gandhinagar mansa",0,"gandhinagar mansa",473,"03774"
"1155","Ganjam","Asika",25,"ganjam asika",0,"ganjam asika",388,"03078"
"1156","Ganjam","Badagada",2,"ganjam badagada",0,"ganjam badagada",388,"03077"
"1157","Ganjam","Bhanjanagar",38,"ganjam bhanjanagar",0,"ganjam bhanjanagar",388,"03074"
"1158","Ganjam","Brahmapur Sadar",9,"ganjam brahmapur sadar",0,"ganjam brahmapur sadar",388,"03093"
"1159","Ganjam","Buguda",19,"ganjam buguda",0,"ganjam buguda",388,"03072"
"1160","Ganjam","Chhatrapur",35,"ganjam chhatrapur",0,"ganjam chhatrapur",388,"03085"
"1161","Ganjam","Digapahandi",23,"ganjam digapahandi",0,"ganjam digapahandi",388,"03096"
"1162","Ganjam","Golanthara",4,"ganjam golanthara",0,"ganjam golanthara",388,"03095"
"1163","Ganjam","Gopalpur",1,"ganjam gopalpur",0,"ganjam gopalpur",388,"03094"
"1164","Ganjam","Hinjili",22,"ganjam hinjili",0,"ganjam hinjili",388,"03090"
"1165","Ganjam","Jarada",1,"ganjam jarada",0,"ganjam jarada",388,"03098"
"1166","Ganjam","Kabisuryanagar",9,"ganjam kabisuryanagar",0,"ganjam kabisuryanagar",388,"03080"
"1167","Ganjam","Khalikote",5,"ganjam khalikote",0,"ganjam khalikote",388,"03083"
"1168","Ganjam","Kodala",13,"ganjam kodala",0,"ganjam kodala",388,"03082"
"1169","Ganjam","Nuagaon",1,"ganjam nuagaon",0,"ganjam nuagaon",388,"03097"
"1170","Ganjam","Patapur",10,"ganjam patapur",0,"ganjam patapur",388,"03091"
"1171","Ganjam","Purusottampur",32,"ganjam purusottampur",0,"ganjam purusottampur",388,"03089"
"1172","Ganjam","Surada",10,"ganjam surada",0,"ganjam surada",388,"03076"
"1173","Garhwa","Bhandaria",1,"garhwa bhandaria",0,"garhwa bhandaria",346,"02513"
"1174","Garhwa","Bhawnathpur",1,"garhwa bhawnathpur",0,"garhwa bhawnathpur",346,"02496"
"1175","Garhwa","Dhurki",1,"garhwa dhurki",0,"garhwa dhurki",346,"02504"
"1176","Garhwa","Kharaundhi",2,"garhwa kharaundhi",0,"garhwa kharaundhi",346,"02495"
"1177","Garhwa","Majhiaon",2,"garhwa majhiaon",0,"garhwa majhiaon",346,"02499"
"1178","Gariaband","No Data",23,"gariaband no data",11,"adilabad boath",532,"04324"
"1179","Gariaband","Rajim",44,"gariaband rajim",10,"sagar banda",427,"03446"
"1180","Gautam Buddha Nagar","Dadri",53,"gautam buddha nagar dadri",0,"gautam buddha nagar dadri",141,"00742"
"1181","Gautam Buddha Nagar","Gautam Buddha Nagar",229,"gautam buddha nagar gautam buddha nagar",0,"gautam buddha nagar gautam buddha nagar",141,"00743"
"1182","Gautam Buddha Nagar","Jewar",5,"gautam buddha nagar jewar",0,"gautam buddha nagar jewar",141,"00744"
"1183","Gaya","Amas",3,"gaya amas",0,"gaya amas",236,"01499"
"1184","Gaya","Banke Bazar",3,"gaya banke bazar",0,"gaya banke bazar",236,"01500"
"1185","Gaya","Barachatti",3,"gaya barachatti",0,"gaya barachatti",236,"01510"
"1186","Gaya","Belaganj",4,"gaya belaganj",0,"gaya belaganj",236,"01489"
"1187","Gaya","Bodh Gaya",6,"gaya bodh gaya",0,"gaya bodh gaya",236,"01505"
"1188","Gaya","Dobhi",6,"gaya dobhi",0,"gaya dobhi",236,"01504"
"1189","Gaya","Dumaria",2,"gaya dumaria",0,"gaya dumaria",236,"01502"
"1190","Gaya","Fatehpur",9,"gaya fatehpur",0,"gaya fatehpur",236,"01508"
"1191","Gaya","Gaya",13,"gaya gaya",4,"gaya amas",236,"01499"
"1192","Gaya","Guraru",1,"gaya guraru",0,"gaya guraru",236,"01497"
"1193","Gaya","Gurua",5,"gaya gurua",0,"gaya gurua",236,"01498"
"1194","Gaya","Imamganj",7,"gaya imamganj",0,"gaya imamganj",236,"01501"
"1195","Gaya","Khizirsarai",6,"gaya khizirsarai",0,"gaya khizirsarai",236,"01490"
"1196","Gaya","Konch",1,"gaya konch",0,"gaya konch",236,"01487"
"1197","Gaya","Manpur",8,"gaya manpur",0,"gaya manpur",236,"01494"
"1198","Gaya","Mohanpur",2,"gaya mohanpur",0,"gaya mohanpur",236,"01509"
"1199","Gaya","Muhra",1,"gaya muhra",0,"gaya muhra",236,"01492"
"1200","Gaya","Neem Chak Bathani",2,"gaya neem chak bathani",0,"gaya neem chak bathani",236,"01491"
"1201","Gaya","Paraiya",8,"gaya paraiya",0,"gaya paraiya",236,"01496"
"1202","Gaya","Sherghati",11,"gaya sherghati",0,"gaya sherghati",236,"01503"
"1203","Gaya","Tikari",19,"gaya tikari",0,"gaya tikari",236,"01488"
"1204","Gaya","Wazirganj",2,"gaya wazirganj",0,"gaya wazirganj",236,"01507"
"1205","Ghaziabad","Ghaziabad",144,"ghaziabad ghaziabad",0,"ghaziabad ghaziabad",140,"00739"
"1206","Ghaziabad","Modinagar",9,"ghaziabad modinagar",0,"ghaziabad modinagar",140,"00738"
"1207","Ghazipur","Ghazipur",4,"ghazipur ghazipur",0,"ghazipur ghazipur",195,"00989"
"1208","Ghazipur","Mohammadabad",1,"ghazipur mohammadabad",0,"ghazipur mohammadabad",195,"00990"
"1209","Ghazipur","Saidpur",2,"ghazipur saidpur",0,"ghazipur saidpur",195,"00988"
"1210","Ghazipur","Zamania",1,"ghazipur zamania",0,"ghazipur zamania",195,"00991"
"1211","Gir Somnath","Kodinar",28,"gir somnath kodinar",13,"junagadh kodinar",479,"03837"
"1212","Gir Somnath","Patan-Veraval",31,"gir somnath patan-veraval",13,"junagadh patan-veraval",479,"03835"
"1213","Gir Somnath","Sutrapada",12,"gir somnath sutrapada",13,"junagadh sutrapada",479,"03836"
"1214","Gir Somnath","Talala",11,"gir somnath talala",13,"junagadh talala",479,"03834"
"1215","Gir Somnath","Una",71,"gir somnath una",10,"guna guna",458,"03677"
"1216","Giridih","Bagodar",8,"giridih bagodar",0,"giridih bagodar",349,"02541"
"1217","Giridih","Birni",5,"giridih birni",0,"giridih birni",349,"02540"
"1218","Giridih","Deori",1,"giridih deori",0,"giridih deori",349,"02534"
"1219","Giridih","Dhanwar",12,"giridih dhanwar",0,"giridih dhanwar",349,"02535"
"1220","Giridih","Dumri",9,"giridih dumri",0,"giridih dumri",349,"02543"
"1221","Giridih","Gande",2,"giridih gande",0,"giridih gande",349,"02538"
"1222","Giridih","Gawan",7,"giridih gawan",0,"giridih gawan",349,"02532"
"1223","Giridih","Giridih",11,"giridih giridih",0,"giridih giridih",349,"02539"
"1224","Giridih","Jamua",3,"giridih jamua",0,"giridih jamua",349,"02536"
"1225","Giridih","Pirtanr",1,"giridih pirtanr",0,"giridih pirtanr",349,"02544"
"1226","Giridih","Tisri",2,"giridih tisri",0,"giridih tisri",349,"02533"
"1227","Godda","Boarijor",3,"godda boarijor",0,"godda boarijor",351,"02557"
"1228","Godda","Godda",6,"godda godda",0,"godda godda",351,"02561"
"1229","Godda","Poreyahat",4,"godda poreyahat",0,"godda poreyahat",351,"02562"
"1230","Golaghat","Dergaon",1,"golaghat dergaon",0,"golaghat dergaon",313,"02084"
"1231","Gomati","Gannavaram",1,"gomati gannavaram",11,"krishna gannavaram",547,"05012"
"1232","Gonda","Colonelganj",1,"gonda colonelganj",0,"gonda colonelganj",183,"00929"
"1233","Gonda","Gonda",12,"gonda gonda",0,"gonda gonda",183,"00928"
"1234","Gonda","Mankapur",6,"gonda mankapur",0,"gonda mankapur",183,"00931"
"1235","Gonda","Tarabganj",7,"gonda tarabganj",0,"gonda tarabganj",183,"00930"
"1236","Gondia","Amgaon",12,"gondia amgaon",1,"gondiya amgaon",507,"04047"
"1237","Gondia","Arjuni Morgaon",2,"gondia arjuni morgaon",1,"gondiya arjuni morgaon",507,"04050"
"1238","Gondia","Deori",1,"gondia deori",1,"gondiya deori",507,"04051"
"1239","Gondia","Gondiya",20,"gondia gondiya",1,"gondiya gondiya",507,"04046"
"1240","Gondia","Sadak-Arjuni",9,"gondia sadak-arjuni",1,"gondiya sadak-arjuni",507,"04049"
"1241","Gondia","Salekasa",2,"gondia salekasa",1,"gondiya salekasa",507,"04048"
"1242","Gondia","Tirora",13,"gondia tirora",1,"gondiya tirora",507,"04044"
"1243","Gondiya","Amgaon",4,"gondiya amgaon",0,"gondiya amgaon",507,"04047"
"1244","Gondiya","Arjuni Morgaon",1,"gondiya arjuni morgaon",0,"gondiya arjuni morgaon",507,"04050"
"1245","Gondiya","Gondiya",5,"gondiya gondiya",0,"gondiya gondiya",507,"04046"
"1246","Gondiya","Sadak-Arjuni",4,"gondiya sadak-arjuni",0,"gondiya sadak-arjuni",507,"04049"
"1247","Gondiya","Salekasa",1,"gondiya salekasa",0,"gondiya salekasa",507,"04048"
"1248","Gondiya","Tirora",3,"gondiya tirora",0,"gondiya tirora",507,"04044"
"1249","Gopalganj","Baikunthpur",2,"gopalganj baikunthpur",0,"gopalganj baikunthpur",217,"01228"
"1250","Gopalganj","Barauli",3,"gopalganj barauli",0,"gopalganj barauli",217,"01226"
"1251","Gopalganj","Gopalganj",3,"gopalganj gopalganj",0,"gopalganj gopalganj",217,"01224"
"1252","Gopalganj","Hathua",3,"gopalganj hathua",0,"gopalganj hathua",217,"01221"
"1253","Gopalganj","Kataiya",1,"gopalganj kataiya",1,"gopalganj katiya",217,"01215"
"1254","Gopalganj","Kuchaikote",6,"gopalganj kuchaikote",0,"gopalganj kuchaikote",217,"01219"
"1255","Gopalganj","Manjha",3,"gopalganj manjha",0,"gopalganj manjha",217,"01225"
"1256","Gopalganj","Sidhwalia",4,"gopalganj sidhwalia",0,"gopalganj sidhwalia",217,"01227"
"1257","Gopalganj","Thawe",3,"gopalganj thawe",0,"gopalganj thawe",217,"01223"
"1258","Gopalganj","Uchkagaon",3,"gopalganj uchkagaon",0,"gopalganj uchkagaon",217,"01222"
"1259","Gopalganj","phulwaria",3,"gopalganj phulwaria",0,"gopalganj phulwaria",217,"01220"
"1260","Gorakhpur","Bansgaon",1,"gorakhpur bansgaon",0,"gorakhpur bansgaon",188,"00952"
"1261","Gorakhpur","Campierganj",3,"gorakhpur campierganj",0,"gorakhpur campierganj",188,"00948"
"1262","Gorakhpur","Gola",5,"gorakhpur gola",0,"gorakhpur gola",188,"00954"
"1263","Gorakhpur","Gorakhpur",28,"gorakhpur gorakhpur",0,"gorakhpur gorakhpur",188,"00950"
"1264","Gorakhpur","Sahjanwa",5,"gorakhpur sahjanwa",0,"gorakhpur sahjanwa",188,"00949"
"1265","Gulbarga","Chincholi",9,"gulbarga chincholi",0,"gulbarga chincholi",579,"05583"
"1266","Gulbarga","Chitapur",6,"gulbarga chitapur",0,"gulbarga chitapur",579,"05585"
