"","state_name","pc11_state_id","district_name","pc11_district_id"
"1","andaman nicobar islands",35,"nicobars",638
"2","andaman nicobar islands",35,"north middle andaman",639
"3","andaman nicobar islands",35,"south andaman",640
"4","andhra pradesh",28,"adilabad",532
"5","andhra pradesh",28,"anantapur",553
"6","andhra pradesh",28,"chittoor",554
"7","andhra pradesh",28,"east godavari",545
"8","andhra pradesh",28,"guntur",548
"9","andhra pradesh",28,"hyderabad",536
"10","andhra pradesh",28,"karimnagar",534
"11","andhra pradesh",28,"khammam",541
"12","andhra pradesh",28,"krishna",547
"13","andhra pradesh",28,"kurnool",552
"14","andhra pradesh",28,"mahbubnagar",538
"15","andhra pradesh",28,"medak",535
"16","andhra pradesh",28,"nalgonda",539
"17","andhra pradesh",28,"nizamabad",533
"18","andhra pradesh",28,"prakasam",549
"19","andhra pradesh",28,"rangareddy",537
"20","andhra pradesh",28,"sri potti sriramulu nellore",550
"21","andhra pradesh",28,"srikakulam",542
"22","andhra pradesh",28,"visakhapatnam",544
"23","andhra pradesh",28,"vizianagaram",543
"24","andhra pradesh",28,"warangal",540
"25","andhra pradesh",28,"west godavari",546
"26","andhra pradesh",28,"ysr kadapa",551
"27","arunachal pradesh",12,"anjaw",260
"28","arunachal pradesh",12,"changlang",253
"29","arunachal pradesh",12,"dibang valley",257
"30","arunachal pradesh",12,"east kameng",247
"31","arunachal pradesh",12,"east siang",251
"32","arunachal pradesh",12,"kurung kumey",256
"33","arunachal pradesh",12,"lohit",259
"34","arunachal pradesh",12,"lohit",260
"35","arunachal pradesh",12,"lower dibang valley",258
"36","arunachal pradesh",12,"lower subansiri",255
"37","arunachal pradesh",12,"papum pare",248
"38","arunachal pradesh",12,"tawang",245
"39","arunachal pradesh",12,"tirap",254
"40","arunachal pradesh",12,"upper siang",252
"41","arunachal pradesh",12,"upper subansiri",249
"42","arunachal pradesh",12,"west kameng",246
"43","arunachal pradesh",12,"west siang",250
"44","assam",18,"baksa",324
"45","assam",18,"barpeta",303
"46","assam",18,"bongaigaon",319
"47","assam",18,"cachar",316
"48","assam",18,"chirang",320
"49","assam",18,"darrang",325
"50","assam",18,"dhemaji",308
"51","assam",18,"dhubri",301
"52","assam",18,"dibrugarh",310
"53","assam",18,"dima hasao",315
"54","assam",18,"goalpara",302
"55","assam",18,"golaghat",313
"56","assam",18,"hailakandi",318
"57","assam",18,"jorhat",312
"58","assam",18,"kamrup",321
"59","assam",18,"kamrup metropolitan",322
"60","assam",18,"karbi anglong",314
"61","assam",18,"karimganj",317
"62","assam",18,"kokrajhar",300
"63","assam",18,"lakhimpur",307
"64","assam",18,"morigaon",304
"65","assam",18,"nagaon",305
"66","assam",18,"nalbari",323
"67","assam",18,"sivasagar",311
"68","assam",18,"sonitpur",306
"69","assam",18,"tinsukia",309
"70","assam",18,"udalguri",326
"71","bihar",10,"araria",209
"72","bihar",10,"arwal",240
"73","bihar",10,"aurangabad",235
"74","bihar",10,"banka",225
"75","bihar",10,"begusarai",222
"76","bihar",10,"bhagalpur",224
"77","bihar",10,"bhojpur",231
"78","bihar",10,"buxar",232
"79","bihar",10,"darbhanga",215
"80","bihar",10,"gaya",236
"81","bihar",10,"gopalganj",217
"82","bihar",10,"jamui",238
"83","bihar",10,"jehanabad",239
"84","bihar",10,"kaimur bhabua",233
"85","bihar",10,"katihar",212
"86","bihar",10,"khagaria",223
"87","bihar",10,"kishanganj",210
"88","bihar",10,"lakhisarai",227
"89","bihar",10,"madhepura",213
"90","bihar",10,"madhubani",207
"91","bihar",10,"munger",226
"92","bihar",10,"muzaffarpur",216
"93","bihar",10,"nalanda",229
"94","bihar",10,"nawada",237
"95","bihar",10,"pashchim champaran",203
"96","bihar",10,"patna",230
"97","bihar",10,"purba champaran",204
"98","bihar",10,"purnia",211
"99","bihar",10,"rohtas",234
"100","bihar",10,"saharsa",214
"101","bihar",10,"samastipur",221
"102","bihar",10,"saran",219
"103","bihar",10,"sheikhpura",228
"104","bihar",10,"sheohar",205
"105","bihar",10,"sitamarhi",206
"106","bihar",10,"siwan",218
"107","bihar",10,"supaul",208
"108","bihar",10,"vaishali",220
"109","chandigarh",4,"chandigarh",55
"110","chhattisgarh",22,"bastar",414
"111","chhattisgarh",22,"bijapur",417
"112","chhattisgarh",22,"bilaspur",406
"113","chhattisgarh",22,"dakshin bastar dantewada",416
"114","chhattisgarh",22,"dhamtari",412
"115","chhattisgarh",22,"durg",409
"116","chhattisgarh",22,"janjgir champa",405
"117","chhattisgarh",22,"jashpur",402
"118","chhattisgarh",22,"kabeerdham",407
"119","chhattisgarh",22,"korba",404
"120","chhattisgarh",22,"koriya",400
"121","chhattisgarh",22,"mahasamund",411
"122","chhattisgarh",22,"narayanpur",415
"123","chhattisgarh",22,"raigarh",403
"124","chhattisgarh",22,"raipur",410
"125","chhattisgarh",22,"rajnandgaon",408
"126","chhattisgarh",22,"surguja",401
"127","chhattisgarh",22,"uttar bastar kanker",413
"128","dadra nagar haveli",26,"dadra nagar haveli",496
"129","daman diu",25,"daman",495
"130","daman diu",25,"diu",494
"131","goa",30,"north goa",585
"132","goa",30,"south goa",586
"133","gujarat",24,"ahmadabad",474
"134","gujarat",24,"amreli",480
"135","gujarat",24,"anand",482
"136","gujarat",24,"banas kantha",469
"137","gujarat",24,"bharuch",488
"138","gujarat",24,"bhavnagar",481
"139","gujarat",24,"dohad",485
"140","gujarat",24,"gandhinagar",473
"141","gujarat",24,"jamnagar",477
"142","gujarat",24,"junagadh",479
"143","gujarat",24,"kachchh",468
"144","gujarat",24,"kheda",483
