,Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
71,72,SIA/KL/MIN/46239/2019,1533/EC4/2019/SEIAA,Laterite B,LATERITE BUILDING STONE QUARRY OF NASAR,Delisted,EC,
72,73,SIA/KL/MIN/46367/2019,2051/EC3/2022/SEIAA,Mr Vinod B,VINOD BHASKAR,Delisted,EC,
73,74,SIA/KL/MIN/93445/2019,1241/EC2/2019/SEIAA,Granite building stone quarry of Mr. Abdu Rahman,GRANITE BUILDING STONE QUARRY OF MR ABDU RAHMAN,EC Granted - Processed offline,EC,
74,75,SIA/KL/MIN/129757/2019,1578/EC3/2019/SEIAA,Granite Building Stone Quarry Project of Mr. Musthafa M.K,MUSTHAFA,Deferred by SEAC,EC,
75,76,SIA/KL/MIN/38643/2016,1068/EC3/2016/SEIAA,GRANITE BUILDING STONE QUARRY OF M/S G.M GRANITES,GM GRANITES,Accepted By SEAC - EC ISSUED IN 74 SEIAA MEETING,EC,
76,77,SIA/KL/MIN/42946/2013,1473/EC3/2019/SEIAA,Expansion,MS PAYYOLI GRANITES PVT LTD,EC Granted,EC,
77,78,SIA/KL/MIN/413729/2023,2235/EC3/2023/SEIAA,"Mr.Jose M K,  Managing Partner,  M/s.Christuraj Granites",CHRISTURAJ GRANITES,Agenda Uploaded by SEAC,EC,
78,79,SIA/KL/MIN/53068/2016,,Proposed Building Stone Quarry of GKV Granites,GKV GRANITES,TransferToDEIAA,EC,
79,80,SIA/KL/MIN/176680/2020,1877/EC3/2021/SEIAA,"Transferring of file from TOR to EC, Granite Building Stone Quarry of Siraj Hussain",KORAH AND CONSULTANTS,For further consideration(SEAC),EC,
80,81,SIA/KL/MIN/129757/2019,1578/EC3/2019/SEIAA,Granite Building Stone Quarry Project of Mr. Musthafa M.K,MUSTHAFA,Deferred by SEAC,EC,
81,82,SIA/KL/MIN/38643/2016,1068/EC3/2016/SEIAA,GRANITE BUILDING STONE QUARRY OF M/S G.M GRANITES,GM GRANITES,Accepted By SEAC - EC ISSUED IN 74 SEIAA MEETING,EC,
82,83,SIA/KL/MIN/42946/2013,1473/EC3/2019/SEIAA,Expansion,MS PAYYOLI GRANITES PVT LTD,EC Granted,EC,
83,84,SIA/KL/INFRA2/410612/2022,2167/EC1/2022/SEIAA,Environment Clearance for proposed Residential project to be developed by M/s Sobha Developers Pune Ltd.,SOBHA DEVELOPERS PUNE LIMITED,Agenda Uploaded by SEAC,EC,
84,85,SIA/KL/MIN/412002/2022,2185/EC1/2023/SEIAA,Ottappalam Karinkal Quarry Operators Vyavasaya Sahakarana Sangam  Ltd,OTTAPPALAM TALUK KARINKAL QUARRY,ADS by SEAC,EC,
85,86,SIA/KL/NCP/60559/2016,1112/EC/SEIAA/KL/2017,Environmental Clearance for the Proposed Warehousing Project by M/s Alpine Warehousing LLP,ALPINE WAREHOUSING LLP,Site Visit by SEAC - EC ISSUED BY80 SEIAA,EC,
86,87,SIA/KL/NCP/60610/2016,,Artech Malabar Hills,MR T S ASOK,WithdrawEC,EC,
87,88,SIA/KL/MIN/35199/2019,1461/EC2/2019/SEIAA,Proposed G,HARITHA CONSULTANTS,Delisted,EC,
88,89,SIA/KL/NCP/66242/2017,1147/EC/SEIAA/KL/2017,"Commercial Project located in Ernakulum, Kochi, Kerala.",UNIQUE ESTATES DEVELOPMENT CO LTD,EC Granted - Processed offline,EC,
89,90,SIA/KL/MIN/44590/2019,1501/EC3/2019/SEIAA,Granite Bu,SRI. SUNEESH M P,EC Granted,EC,
90,91,SIA/KL/INFRA2/416126/2023,2223/EC1/2023/SEIAA,Environmental Clearance for the proposed Residential project developed by M/s Oceanus Dwellings Pvt. Ltd.,OCEANUS DWELLINGS PVT LTD,For further consideration(SEAC),EC,
91,92,SIA/KL/MIN/57901/2016,,Deepam Granites,GLOBETEK SURVEY,WithdrawEC,EC,
92,93,SIA/KL/MIN/30904/2018,,Proposed B,JAY ASSOCIATES & CONSULTANTS,WithdrawEC,EC,
93,94,SIA/KL/MIN/93522/2019,1243/EC2/2019/SEIAA,GRANITE BUILDING STONE QUARRY OF MR CHAKKEERI SHAIKH ABDULLA,BUILDING STONE QUARRY OF MR CHAKKEERI SHAIKH ABDULLA,EC Granted - Processed offline,EC,
