,Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
3589,SIA/JH/MIN/415809/2023,EC/SEIAA/2022-23/2762/2023,Jharkhand,,,Date of Submission for EC: 18 Feb 2023 ,Date of Ec Granted : 31 Mar 2023,Non-Coal Mining,VARAPRASAD VEERAMACHANENI,EC Granted
3590,SIA/JH/MIN/417614/2023,EC/SEIAA/2022-23/2745/2023,Jharkhand,,,Date of Submission for EC: 20 Feb 2023 ,Date of Ec Granted : 31 Mar 2023,Non-Coal Mining,MANOHAR KUMAR,EC Granted
3591,SIA/JH/MIN/45145/2019,EC/SEIAA/2018-19/2260/2019,Jharkhand,Lohardaga,Lohardaga,Date of Submission for EC: 19 Oct 2019 ,Date of Ec Granted : 08 Nov 2019,Non-Coal Mining,KURSE BRICK,EC Granted
3592,SIA/JH/MIN/194404/2021,EC/SEIAA/2020-21/2309/2021,Jharkhand,Ranchi,Kanke,Date of Submission for EC: 09 Feb 2021 ,Date of Ec Granted : 12 Apr 2021,Non-Coal Mining,CRYSTAL CONSULTANTS,EC Granted
3593,SIA/JH/MIN/2582/2013,EC/SEIAA/2013-14/81/2013,Jharkhand,Bokaro,Bermo,Date of Submission for TOR: ,Date of Submission for EC: 29 Sep 2015 ,Non-Coal Mining,CENTRAL COALFIELDS LIMITED,Delisted
3594,SIA/JH/MIN/402564/2022,EC/SEIAA/2022-23/2653/2022,Jharkhand,Ranchi,,Date of Submission for EC: 08 Dec 2022 ,Date of Ec Granted : 10 Jan 2023,Non-Coal Mining,SURENDRA PRASAD,EC Granted
3595,SIA/JH/INFRA2/424284/2023,,Jharkhand,,,Date of Submission for TOR: ,Date of Submission for EC: 31 Mar 2023 ,INFRA-2, BIRLA INSTITUTE OF TECHNOLOGY,Query raised by SEIAA and pending at PP
3596,SIA/JH/MIN/32829/2015,EC/SEIAA/2015-16/1625/2015,Jharkhand,Gumla,Sisai,Date of Submission for EC: 14 Nov 2015 ,Date of Ec Granted : 15 Dec 2015,Non-Coal Mining,MS CRYSTAL CONSULTANTS,EC Granted
3597,SIA/JH/MIN/61685/2017,EC/SEIAA/2016-17/1998/2017,Jharkhand,Sahibganj,Sahibganj,Date of Submission for TOR: ,Date of Submission for EC: 25 Jan 2017 ,Non-Coal Mining,M/S PAWANPUTRA STONE WORKS,Deferred by SEAC
3598,SIA/JH/MIN/42650/2019,EC/SEIAA/2018-19/2218/2019,Jharkhand,Latehar,No Data,Date of Submission for EC: 04 Oct 2019 ,Date of Ec Granted : 08 Nov 2019,Non-Coal Mining,STONE DEPOSIT OF SADHWADIH BY ASHOK PRASAD AND PARTNER,EC Granted
3599,SIA/JH/MIN/43873/2019,EC/SEIAA/2018-19/2191/2019,Jharkhand,Sahibganj,Mandro,Date of Submission for EC: 29 Sep 2019 ,Date of Ec Granted : 04 Nov 2019,Non-Coal Mining,MS CRYSTAL CONSULTANTS,EC Granted
3600,SIA/JH/MIN/62244/2017,EC/SEIAA/2016-17/2004/2017,Jharkhand,East Singhbhum,No Data,Date of Submission for EC: 10 Mar 2017 ,Date of Ec Granted : 28 Aug 2017,Non-Coal Mining,SAFE ENVIRONMENT,EC Granted
3601,SIA/JH/MIN/65850/2017,EC/SEIAA/2017-18/2029/2017,Jharkhand,Ranchi,Namkum,Date of Submission for TOR: ,Date of Submission for EC: 07 Dec 2017 ,Non-Coal Mining,JPL ENTERPRISE,Delisted
3602,SIA/JH/MIN/234512/2021,EC/SEIAA/2021-22/2452/2021,Jharkhand,Pakaur,Pakaur,Date of Submission for EC: 20 Oct 2021 ,Date of Ec Granted : 30 Oct 2021,Non-Coal Mining,GURU STONE WORKS,EC Granted
3603,SIA/JH/MIN/252563/2022,EC/SEIAA/2021-22/2495/2021,Jharkhand,Gumla,Chainpur,Date of Submission for EC: 23 Feb 2022 ,Date of Ec Granted : 28 Jun 2022,Non-Coal Mining,DEEPA DEVI,EC Granted
3604,SIA/JH/MIN/32615/2015,EC/SEIAA/2015-16/1596/2015,Jharkhand,Ranchi,Khunti,Date of Submission for EC: 06 Nov 2015 ,Date of Ec Granted : 30 Dec 2015,Non-Coal Mining,MS CRYSTAL CONSULTANTS,EC Granted
3605,SIA/JH/MIN/61487/2017,EC/SEIAA/2017-18/2021/2017,Jharkhand,Pakaur,Pakaur,Date of Submission for EC: 24 Jul 2017 ,Date of Ec Granted : 05 Jun 2018,Non-Coal Mining,MS MANDHAN MINERALS CORPORATION,EC Granted
3606,SIA/JH/MIN/43360/2019,EC/SEIAA/2018-19/2217/2019,Jharkhand,Bokaro,Nawadih,Date of Submission for EC: 04 Oct 2019 ,Date of Ec Granted : 08 Nov 2019,Non-Coal Mining,KIRTY ENTERPRISES,EC Granted
3607,SIA/JH/MIN/44677/2019,EC/SEIAA/2018-19/2274/2019,Jharkhand,Giridih,Dhanwar,Date of Submission for EC: 19 Oct 2019 ,Date of Ec Granted : 08 Nov 2019,Non-Coal Mining,CHHOTE LAL MEHTA,EC Granted
3608,SIA/JH/MIN/413534/2023,EC/SEIAA/2022-23/2725/2023,Jharkhand,,,Date of Submission for EC: 12 Jan 2023 ,Date of Ec Granted : 08 Feb 2023,Non-Coal Mining,MUKESH KUMAR,EC Granted
3609,SIA/JH/MIS/114543/2019,EC/SEIAA/2018-19/2225/2019,Jharkhand,Seraikela Kharsawan,Gamharia,Date of Submission for EC: 12 Oct 2019 ,Date of Ec Granted : 15 Jan 2021,INFRA-2,ADITYAPUR MUNICIPAL CORPORATION,EC Granted
3610,SIA/JH/MIN/187650/2020,EC/SEIAA/2020-21/2280/2020,Jharkhand,Palamu,Patan,Date of Submission for EC: 24 Dec 2020 ,Date of Ec Granted : 15 Jan 2021,Non-Coal Mining,M/S N.B BRICKS,EC Granted
3611,SIA/JH/MIN/187763/2020,,Jharkhand,Simdega,Simdega,Date of Submission for TOR: ,Date of Submission for EC: 13 Dec 2020 ,Non-Coal Mining,M/S KKK BRICKS,Delisted
3612,SIA/JH/MIN/243549/2021,EC/SEIAA/2021-22/2546/2022,Jharkhand,Sahibganj,Rajmahal,Date of Submission for EC: 21 Feb 2022 ,Date of Ec Granted : 22 Apr 2022,Non-Coal Mining,NIRMAL JHUNJHUNWALA STONE MINES,EC Granted
3613,SIA/JH/MIN/34673/2015,EC/SEIAA/2015-16/1943/2015,Jharkhand,Sahibganj,Mandro,Date of Submission for EC: 16 Dec 2015 ,Date of Ec Granted : 07 Feb 2019,Non-Coal Mining,MS CRYSTAL CONSULTANTS,EC Granted
