,Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
4216,SIA/KA/NCP/2051/2015,SEIAA 147 CON 2015,Karnataka,Bangalore Urban,Bangalore South,Date of Submission for EC: 11 Sep 2015 ,Date of Ec Granted : 30 Mar 2016,INFRA-1,NANDI HOUSING PVT LTD,EC Granted
4217,SIA/KA/NCP/2978/2015,SEIAA 159 CON 2015,Karnataka,Bangalore Urban,Bangalore East,Date of Submission for EC: 09 Oct 2015 ,Date of Ec Granted : 05 Jan 2016,INFRA-1,MYHNA PROPERTIES PVT LTD,EC Granted
4218,SIA/KA/NCP/3533/2015,SEIAA 168 CON 2015,Karnataka,Bangalore Urban,Anekal,Date of Submission for EC: 28 Oct 2015 ,Date of Ec Granted : 09 Jun 2016,INFRA-1,ULTRATECH ENVIRONMENTAL CONSULTANCY AND LABORATORY,EC Granted
4219,SIA/KA/MIN/4040/2015,SEIAA 1415 MIN 2015,Karnataka,Belgaum,Chikodi,Date of Submission for EC: 09 Nov 2015 ,Date of Ec Granted : 06 Jan 2016,Non-Coal Mining,RAVINDRA APPASAB MALI,EC Granted
4220,SIA/KA/NCP/58534/2016,SEIAA 130 CON 2016,Karnataka,Bangalore Urban,Bangalore North,Date of Submission for EC: 22 Aug 2016 ,Date of Ec Granted : 24 Dec 2016,INFRA-1,DIVYASREE INFRASTRUCTURE PROJECTS PRIVATE LIMITED,EC Granted
4221,SIA/KA/MIN/3629/2015,SEIAA 1341 MIN 2015,Karnataka,Bangalore Urban,Bangalore North,Date of Submission for EC: 30 Oct 2015 ,Date of Ec Granted : 16 Jan 2016,Non-Coal Mining,M VEERESH,EC Granted
4222,SIA/KA/MIN/3427/2015,SEIAA 1297 MIN 2015,Karnataka,Uttara Kannada,Karwar,Date of Submission for EC: 23 Oct 2015 ,Date of Ec Granted : 04 Dec 2015,Non-Coal Mining,DISTRICT SAND MONITORING COMMITTEE,EC Granted
4223,SIA/KA/NCP/85948/2018,SEIAA 166 CON 2018,Karnataka,Bangalore Urban,Bangalore North,Date of Submission for EC: 19 Nov 2018 ,Date of Ec Granted : 18 Jan 2019,INFRA-1,BEEKAY DREAMLANDS PVT LTD,EC Granted
4224,SIA/KA/MIN/41995/2016,,Karnataka,Bagalkot,Hungund,Date of Submission for TOR: ,Date of Submission for EC: 22 Jan 2016 ,Non-Coal Mining,VICTOR TECH SOLUTIONS,Delisted
4225,SIA/KA/MIN/74109/2018,,Karnataka,Mandya,Nagamangala,Date of Submission for TOR: ,Date of Submission for EC: 10 Apr 2018 ,Non-Coal Mining,SRI. K. PUTTEGOWDA,Delisted
4226,SIA/KA/MIN/35003/2015,SEIAA 1599 MIN 2015,Karnataka,Ramanagara,Kanakapura,Date of Submission for EC: 18 Dec 2015 ,Date of Ec Granted : 04 Mar 2016,Non-Coal Mining,SRI MATHA GRANITES,EC Granted
