,Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
326,327,SIA/KA/NCP/2580/2015,SEIAA 155 CON 2015,"Proposed Residential Apartments   project By M/s. Reddy Housing Pvt Ltd No 133/1,2nd floor,  The Residency, Residency Road, Bangalore-560025 at  Sy.No 97 Kothanur Village, Uttarahalli Hobali, Bangalor South Taluk, Bangalore,   Karnataka",REDDY HOUSING PVT LTD,EC Granted,EC,
327,328,SIA/KA/NCP/3520/2015,SEIAA 169 CON 2015,Building & Construction projects,ULTRATECH ENVIRONMENTAL CONSULTANCY AND LABORATORY,EC Granted,EC,
328,329,SIA/KA/NCP/10333/2016,SEIAA 34 CON 2016,Composite Housing Scheme,KHB,EC Granted,EC,
329,330,SIA/KA/MIN/42869/2019,SEIAA 650 MIN 2019,“Building Stone Quarry” of Sri. Basavaraj S Kaluti,SRI. BASAVARAJ S KALUTI,EC Granted - Processed offline,EC,
330,331,SIA/KA/MIN/2627/2015,SEIAA 1349 MIN 2015,"“Shahabad Stone Quarry” of  Sri. Nagareddy at  Sy No: 185/2,  Madakal Village, Sedam Taluk, Kalburgi District, Karnataka 1-00 Acres",NAGAREDDY,EC Granted,EC,
331,332,SIA/KA/MIN/2818/2015,SEIAA 1338 MIN 2015,"“Building Stone Quarry” of  Shri Ashok R Shivapur Sy No: 381(P),  Hirekoppa Village, Ramdurg Taluk, Belgaum District, Karnataka",ASHOK R SHIVAPUR,EC Granted,EC,
332,333,SIA/KA/MIN/3283/2015,SEIAA 1318 MIN 2015,"“Building Stone Quarry” of  Sri. K Krishnappa Sy No: 78 (Part),  Molakalmuru Village, Molakalmuru Taluk, Chitradurga District, Karnataka",K KRISHNAPPA,EC Granted,EC,
333,334,SIA/KA/NCP/18958/2017,SEIAA 52 CON 2017,"Expansion  residential apartment ap Sy No. 55/5 & 55/7 of Hongasandra Village, Begur Hobli, Hosur main road Bangalore South Taluk, Bangalore District",PURAVANKARA PROJECTS LTD,EC Granted,EC,
334,335,SIA/KA/MIN/73441/2018,SEIAA 20 MIN 2018,"Sand Quarry “Chowdapura Block – 1”
over an extent 38-00 Acres (15.378 ha) in Krishna River Bed adjacent to Sy. No. 61, 62,
65, 66, 67, 68, 69, 70, 71, 75, 76, 77, 79, 80 & 81 (P) of Chowdapura Village, Bilagi
Taluk, Bagalkot District.",SRI KIRANKUMAR R RATHOD,EC Granted,EC,
335,336,SIA/KA/MIN/91868/2019,SEIAA 64 MIN 2019,"Building stone quarry of
Sri. Rangaswamy  
Located at Sy. No, 83 of Yareborekaval village, Hassan taluk, Hassan district. Karnataka",RANGASWAMY J,Rejected - Processed offline,EC,
336,337,SIA/KA/MIN/137756/2020,SEIAA 52 MIN 2020,Ainapura Building Stone(Basalt),SRI. MOHMMEDSHAFI,Delisted,EC,
337,338,SIA/KA/NCP/56380/2016,SEIAA 97 CON 2016,"Residential apartment at Survey No. 61
Gottigere Village, Uttarahalli Hobli, Bangalore South Taluk, Bangalore.",MS REDDY PROJECTS AND DEVELOPERS PVT LTD,Rejection Letter Granted,EC,
338,339,SIA/KA/MIN/52340/2016,SEIAA 111 MIN 2016,River Sand Bar,DISTRICT SAND MONITORING COMMITTEE MANGALORE,EC Granted,EC,
339,340,SIA/KA/MIN/134377/2019,SEIAA 12 MIN 2020,Building Stone (M-Sand) Quarry,M/S. LAKSHMI PARVATI STONE CRUSHER SHRI SIDDALING MALLAPPA ANKALAGI,EC Granted - Processed offline,EC,
340,341,SIA/KA/MIN/1858/2015,SEIAA 1095 MIN 2015,"“Building Stone Quarry” of  K.S.Ashwathanarayana Gowda at  Sy No: 9,  Bandihalli Village, Hassan Taluk, Hassan District, Karnataka.",ASHWATHANARAYANA G,EC Granted,EC,
341,342,SIA/KA/MIN/1731/2015,SEIAA 1063 MIN 2015,"“Building Stone Quarry” of  Sri. Pandu Appu Tarale at Sy No. 80/6 (P) of Ambewadi Village, Belagavi Taluk, Belagavi District, Karnataka",PANDU TARALE,EC Granted,EC,
342,343,SIA/KA/MIN/1678/2015,SEIAA 1049 MIN 2015,"“Building Stone Quarry” of M/s. S N R Enterprises Over an extent of 3-24 Acres under (Government  Land)  at Survey No. 29 (P),  Huluvenahalli Village,  Bangalore south  Taluk,  Bangalore urban District,  Karnataka.",S R UDAYASHANKAR,EC Granted,EC,
343,344,SIA/KA/NCP/3616/2015,SEIAA 175 CON 2015,"Construction of 3 BHK Housing Project Phase – V at Valagerahalli, Gnanabharathi Lay out, Kengeri Hobli, Bangalore South Taluk by Bangalore Development Authority [BDA].",COMMISIONER,EC Granted,EC,
344,345,SIA/KA/NCP/1790/2015,SEIAA 142 CON 2015,Proposed Residential Development Project,TOTAL ENVIRONMENT CONSTRUCTIONS PVT LTD,EC Granted,EC,
345,346,SIA/KA/NCP/1369/2015,SEIAA 134 CON 2015,Park West Apartment,RELATIONSHIP PROPERTIES PVT LTD,EC Granted,EC,
346,347,SIA/KA/NCP/2588/2015,SEIAA 154 CON 2015,Building & Construction projects,ULTRATECH ENVIRONMENTAL CONSULTANCY AND LABORATORY,EC Granted,EC,
347,348,SIA/KA/NCP/72980/2018,SEIAA 30 CON 2018,"EC for Commercial (Office Building) at Katha old No.112 New No.492, Sy
No.60/1 Mahadevapura Village, K.R.Puram Hobali, Bangalore East",MS POWER  POINT,EC Granted,EC,
348,349,SIA/KA/MIN/43581/2019,SEIAA 702 MIN 2019,“Green Granite (Ornamental Stone) Quarry ” of  Sri. Krishnegowda,“GREEN GRANITE (ORNAMENTAL STONE) QUARRY ” OF  SRI. KRISHNEGOWDA,EC Granted - Processed offline,EC,
349,350,SIA/KA/MIN/43604/2019,SEIAA 700 MIN 2019,“Building Stone Quarry” of Sri. Balachandra Alagondappa Nandeppanavar,SRI.  BALACHANDRA  ALAGONDAPPA NANDEPPANAVAR,EC Granted - Processed offline,EC,
350,351,SIA/KA/MIN/1139/2015,SEIAA 985 MIN 2015,Building Stone Quarry,U M KHAJI,EC Granted,EC,
351,352,SIA/KA/MIN/2158/2015,SEIAA 1145 MIN 2015,Building Stone,VS ENTERPRISES,EC Granted,EC,
352,353,SIA/KA/MIN/128512/2019,SEIAA 802 MIN 2019,Pink Granite Quarry,PINK GRANITE QUARRY BY NAMA NAGESHWAR RAO,EC Granted,EC,
353,354,SIA/KA/IND2/171846/2020,SEIAA 61 IND 2020,BONDBAY PHARMACEUTICALS PRIVATE LIMITED,BONDBAY PHARMACEUTICALS PRIVATE LIMITED,Delisted,EC,
354,355,SIA/KA/MIN/59013/2019,,Sadarahalli Building Stone Quarry,SADARAHALLI BUILDING STONE QUARRY OF MALLESH GOWDA,Delisted,EC,
355,356,SIA/KA/MIS/187202/2020,,Proposed Construction of Residential Apartment Building - “Raintree”,GRASSLAND DEVELOPERS,WithdrawEC,EC,
356,357,SIA/KA/MIS/186389/2020,SEIAA 137 CON 2020,Multi Storey Residential Flats Under “1 Lakh Multi Storey Bengaluru Housing Programme”,"M/S. RAJIVGANDHI HOUSING CORPORATION LTD.,",EC Granted - Processed offline,EC,
357,358,SIA/KA/MIS/190360/2020,SEIAA 45 CON 2020,Proposed Commercial Building project “SILICON FOREST BY MFAR”,“SILICON FOREST BY MFAR”,EC Granted - Processed offline,EC,
358,359,SIA/KA/NCP/53427/2016,SEIAA 68 CON 2016,Proposed Residential Buildings for C Type Quarters,BHARAT ELECTRONICS LIMITED,EC Granted,EC,
359,360,SIA/KA/NCP/53491/2016,SEIAA 69 CON 2016,Expansion of Residential Apartment from 66 units to 173 units,BELIVE ENTERPRISES,EC Granted,EC,
360,361,SIA/KA/NCP/79472/2018,SEIAA 139 CON 2018,"proposed Industrial (Ware House) development project at Sy No 62/1, 63/1, 63/2, 63/4, 64/1, 64/2, 65/1, 65/2, 65/3, 65/4, 65/5, 65/6, 66, 67/1, 67/2, 67/3, 68/1, 68/2, 69/1, 69/2, 69/3, 69/4, 69/5, 69/6, 117, 118/1A, 118/1B, 118/2, 119/1, 119/2, 120,",ALLCARGO LOGISTICS  LIMITED,EC Granted,EC,
361,362,SIA/KA/MIN/33659/2015,SEIAA 1522 MIN 2015,"“Building Stone Quarry” over an extent of 7-00 Acres at Sy No:252 & 13, Urugahalli & Ivagilu Village, Ramanagara Taluk, Ramanagara District, Karnataka.",SRI CHOWDESHWARI ENTERPRISES,EC Granted,EC,
362,363,SIA/KA/MIN/1858/2015,SEIAA 1095 MIN 2015,"“Building Stone Quarry” of  K.S.Ashwathanarayana Gowda at  Sy No: 9,  Bandihalli Village, Hassan Taluk, Hassan District, Karnataka.",ASHWATHANARAYANA G,EC Granted,EC,
363,364,SIA/KA/MIN/1731/2015,SEIAA 1063 MIN 2015,"“Building Stone Quarry” of  Sri. Pandu Appu Tarale at Sy No. 80/6 (P) of Ambewadi Village, Belagavi Taluk, Belagavi District, Karnataka",PANDU TARALE,EC Granted,EC,
364,365,SIA/KA/MIN/1678/2015,SEIAA 1049 MIN 2015,"“Building Stone Quarry” of M/s. S N R Enterprises Over an extent of 3-24 Acres under (Government  Land)  at Survey No. 29 (P),  Huluvenahalli Village,  Bangalore south  Taluk,  Bangalore urban District,  Karnataka.",S R UDAYASHANKAR,EC Granted,EC,
365,366,SIA/KA/NCP/3616/2015,SEIAA 175 CON 2015,"Construction of 3 BHK Housing Project Phase – V at Valagerahalli, Gnanabharathi Lay out, Kengeri Hobli, Bangalore South Taluk by Bangalore Development Authority [BDA].",COMMISIONER,EC Granted,EC,
366,367,SIA/KA/NCP/1790/2015,SEIAA 142 CON 2015,Proposed Residential Development Project,TOTAL ENVIRONMENT CONSTRUCTIONS PVT LTD,EC Granted,EC,
367,368,SIA/KA/NCP/1369/2015,SEIAA 134 CON 2015,Park West Apartment,RELATIONSHIP PROPERTIES PVT LTD,EC Granted,EC,
368,369,SIA/KA/NCP/2588/2015,SEIAA 154 CON 2015,Building & Construction projects,ULTRATECH ENVIRONMENTAL CONSULTANCY AND LABORATORY,EC Granted,EC,
369,370,SIA/KA/NCP/72980/2018,SEIAA 30 CON 2018,"EC for Commercial (Office Building) at Katha old No.112 New No.492, Sy
No.60/1 Mahadevapura Village, K.R.Puram Hobali, Bangalore East",MS POWER  POINT,EC Granted,EC,
370,371,SIA/KA/MIS/110434/2019,SEIAA 99 CON 2019,Proposed Residential Project (225 Units),MUNAWAR BURHAN,Delisted,EC,
371,372,SIA/KA/MIS/39017/2018,SEIAA 143 CON 2018,Commercial Development,M/S. EMBASSY – KSL REALTY VENTURES,EC Granted - Processed offline,EC,
372,373,SIA/KA/MIN/35063/2019,SEIAA 348 MIN 2019,Building stone qf G S Hanumappa,BUILDING STONE QUARRY OF G S HANUMAPPA,EC Granted,EC,
373,374,SIA/KA/MIN/33424/2019,SEIAA 265 MIN 2019,"Environmental Clearance for Building Stone Quarry in 12-00 Acres of Govt. Land bearing Sy. No.101/P-1, P-1 of Honnemadu Village, Mandya Taluk & District, Karnataka.","M/S. STG INFRASYS PVT. LTD.,",EC Granted,EC,
374,375,SIA/KA/MIN/33431/2019,SEIAA 268 MIN 2019,"Environmental Clearance for Building Stone Quarry in 3-00 Acres of Govt. Land bearing Sy. No.49/P-1, of Anekuppe Village, Mandya Taluk & District, Karnataka.","M/S. STG INFRASYS PVT. LTD.,",EC Granted,EC,
375,376,SIA/KA/MIS/40909/2018,SEIAA 149 CON 2018,RMZ Ecoworld,RMZ ECOWORLD INFRASTRUCTURE PRIVATE LIMITED,EC Granted - Processed offline,EC,
376,377,SIA/KA/MIN/40924/2019,,Ugginekeri Building Stone Quarry of N B Hiremath,UGGINAKERI BUILDING STONE QUARRY,Delisted,EC,
377,378,SIA/KA/MIN/218523/2021,SEIAA 300 MIN 2021,"“Building Stone Quarry” of  M/s. J. J. Mines, Prop: Sri. L. J. Ramdev","""BUILDING STONE QUARRY"" OF M/S. J.J. MINES",Delisted,EC,
378,379,SIA/KA/MIS/64534/2021,SEIAA 52 IND 2021,M/s. Prajwal BMW Management Systems (A unit of V V Incin Solutions Private Limited),M/S. PRAJWAL BMW MANAGEMENT SYSTEMS (A UNIT OF V.V INCIN SOLUTIONS PRIVATE LIMITED),EC Granted,EC,
