,Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
795,796,SIA/JH/MIN/409013/2022,EC/SEIAA/2022-23/2696/2023,Medki Stone Mine  (2.024 ha.),MANOJ KUMAR,Rejection Letter Granted,EC,
796,797,SIA/JH/MIN/34798/2019,EC/SEIAA/2018-19/2113/2018,"RANIGANJ Sand Ghat over an area of 3.63 Ha at Mouza Raniganj No.130, P.S. Sarath, Deoghar, Jharkhand of M/s JHARKHAND STATE MINERALS DEVELOPMENT CORPORATION LTD.",JHARKHAND STATE MINERAL DEVELOPMENT CORPORATION,EC Granted,EC,
797,798,SIA/JH/MIN/67168/2017,,Sukhjoda Sand Mine,SRI RAJAN PRASAD,WithdrawEC,EC,
798,799,SIA/JH/MIS/286585/2022,EC/SEIAA/2022-23/2658/2022,Shree Aditya Heritage,SHREE SIDDHI DEVELOPERS,EC Granted,EC,
799,800,SIA/JH/MIN/39835/2019,EC/SEIAA/2018-19/2154/2019,JITPUR STONE MINE,MS RAN ENTERPRISES,EC Granted,EC,
800,801,SIA/JH/MIN/429490/2023,EC/SEIAA2023-24/2849/2023,Koriadih & Paharpur Stone Deposit,SOURABH BHADANI,Agenda Uploaded by SEAC,EC,
801,802,SIA/JH/MIN/78909/2018,,Pasai to Danre Confluence Sand Mine,JHARKHAND STATE MINERALS DEVELOPMENT CORPORATION LTD.,WithdrawEC,EC,
802,803,SIA/JH/MIN/187916/2020,EC/SEIAA/2021-22/2330/2021,Benagaria Stone Mine by V.R Minerals Partner’s Sri. Ajay Kumar and Sri. Paresh Ghosal,V R MINERALS,EC Granted,EC,
803,804,SIA/JH/MIS/20211/2015,EC/SEIAA/2014-15/650/2015,Common Effluent Treatment Plant,MS CRYSTAL CONSULTANTS,EC Granted,EC,
804,805,SIA/JH/MIN/413198/2023,,Gundijora Stone Block  (1.62 ha. or 4.0 acres),UMLESH OJHA,Pending at PP due to eds,EC,
805,806,SIA/JH/MIN/37978/2019,EC/SEIAA/2018-19/2153/2019,Kushum Ghati Stone Mine,MS SRI VISHNU STONE ENTERPRISES,EC Granted,EC,
806,807,SIA/JH/MIN/44138/2018,EC/SEIAA/2018-19/2078/2019,OLMUNDA SAND MINE (KEOND CHAWRA GHAT),MS CRYSTAL CONSULTANTS,EC Granted,EC,
807,808,SIA/JH/MIN/61701/2017,,Sand mining Project at Basagarhi ghat on Gowai river,RENU PANDAY,Delisted,EC,
808,809,SIA/JH/MIN/188019/2020,,"Brick Soil Mining For M/s Maa Bricks in Mouza Tetebanda Rampur, Area 3.52 Acres",CRYSTAL CONSULTANTS,Delisted,EC,
809,810,SIA/JH/MIN/61484/2017,EC/SEIAA/2016-17/1995/2017,"Rajbandh Stone Mine, 15.07 Ha.",MS MANDHAN MINERALS CORPORATION,EC Granted,EC,
810,811,SIA/JH/MIN/44183/2019,EC/SEIAA/2018-19/2210/2019,POKHARIA STONE MINE,POKHARIA STONE MINE ANIL PD. SINGH,EC Granted,EC,
811,812,SIA/JH/MIN/191028/2021,,"Brick Soil Mining For M/s R.K.B. Bricks in Mouza Jamuari, Area 1.80 Acres",CRYSTAL CONSULTANTS,Delisted,EC,
812,813,SIA/JH/MIN/407977/2022,EC/SEIAA/2022-23/2503/2022,Khaprajola Stone Mine,MEJAHARUL ISLAM,EC Granted,EC,
813,814,SIA/JH/MIN/204402/2021,,"Pokhariya, Brick Clay Mining M/s BALAJI TRADING",M/S BALAJI  TRADING,Delisted,EC,
814,815,SIA/JH/MIN/2620/2013,EC/SEIAA/2013-14/80/2013,Jarangdih Sand Mine,HOD (E&F) (ON BEHALF OF PROJECT),Delisted,EC,
815,816,SIA/JH/CMIN/408531/2022,,Chasnalla Colliery,COLLIERIES DIVISION STEEL AUTHORITY OF INDIA LIMITED,Under examination of SEIAA,EC,
816,817,SIA/JH/MIN/225115/2021,EC/SEIAA/2021-22/2508/2022,BRICK SOIL MINING FOR M/S TAJ BRICKS IN MOUZA CHORA (2.37 ACRES),CRYSTAL CONSULTANTS,EC Granted,EC,
817,818,SIA/JH/MIN/225168/2021,EC/SEIAA/2021-22/2407/2021,Dhowadangal Stone Deposit Project,DHOWADANGAL STONE DEPOSIT PROJECT,EC Granted,EC,
818,819,SIA/JH/MIS/243355/2021,,"Proposed Residential Building at Khata No. 81, Plot No.1051,1052 And 1055, Mouza – Hesag, Thana No. 247, P.S. Jagarnathpur, District-Ranchi-834003",M/S NEWQONETIC TRADECOM LLP,Delisted,EC,
819,820,SIA/JH/MIN/241922/2021,EC/SEIAA/2021-22/2488/2021,Namsol Brick Soil Mine,SRI BIPENDRA SINGH,EC Granted,EC,
820,821,SIA/JH/MIN/266076/2022,EC/SEIAA/2022-23/2586/2022,Kokretanr Brick Soil Mine,BHOLA SINGH,EC Granted,EC,
821,822,SIA/JH/MIN/411902/2022,EC/SEIAA/2022-23/2707/2023,Sarmanda Stone Block – A,CHITTA DAS,EC Granted,EC,
822,823,SIA/JH/MIN/38693/2019,EC/SEIAA/2018-19/2242/2019,LATU STONE MINES,JP SINGH,EC Granted,EC,
823,824,SIA/JH/MIN/62453/2017,,Mahesmunda Sand Mine,APEX MINITECH CONSULTANTS,Delisted,EC,
824,825,SIA/JH/MIN/204402/2021,,"Pokhariya, Brick Clay Mining M/s BALAJI TRADING",M/S BALAJI  TRADING,Delisted,EC,
825,826,SIA/JH/MIS/283348/2022,EC/SEIAA/2022-23/2550/2022,“Proposed Residential Complex Samriddhi Park”,ILIKA ESTATES PRIVATE LIMITED,EC Granted,EC,
826,827,SIA/JH/MIS/283149/2022,EC/SEIAA/2022-23/2552/2022,Residential Apartment Project “SG Exotica”,GAUTAM MODI,EC Granted,EC,
827,828,SIA/JH/MIN/282883/2022,EC/SEIAA/2022-23/2611/2022,Lohatamba Stone Deposit-III,HRIDAY SINGH,Agenda Uploaded by SEAC,EC,
828,829,SIA/JH/MIN/408081/2022,EC/SEIAA/2022-23/2504/2022,Hathigarh Stone Mine (2.814 ha.),SHRI AZIZUL ISLAM,EC Granted,EC,
829,830,SIA/JH/MIN/37985/2019,EC/SEIAA/2018-19/2142/2018,Karnodih Stone Deposit,KARNODIH STONE DEPOSIT,EC Granted,EC,
