,Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
2716,SIA/RJ/MIN/125793/2019,13359,Rajasthan,Bhilwara,Hurda,Date of Submission for TOR: ,Date of Submission for EC: 02 Dec 2019 ,Non-Coal Mining,M/S NANAK MARBLES PVT. LTD,Delisted
2717,SIA/RJ/MIN/129805/2019,13206,Rajasthan,Pali,Rohat,Date of Submission for EC: 06 Dec 2019 ,Date of Ec Granted : 27 Jan 2020,Non-Coal Mining,SHRI KALU RAM,EC Granted - Processed offline
2718,SIA/RJ/MIN/130116/2019,13158,Rajasthan,Rajsamand,Rajsamand,Date of Submission for EC: 07 Dec 2019 ,Date of Ec Granted : 25 Nov 2020,Non-Coal Mining,SHREE SHAMBHU LAL KUMAWAT,EC Granted - Processed offline
2719,SIA/RJ/MIN/39905/2016,,Rajasthan,Bhilwara,Mandal,Date of Submission for TOR: ,Date of Submission for EC: 11 Jan 2016 ,Non-Coal Mining,JAGDISH CHANDRA GUPTA,Under examination of SEIAA - Processed offline
2720,SIA/RJ/MIN/39914/2016,,Rajasthan,Sikar,Neem Ka Thana,Date of Submission for TOR: ,Date of Submission for EC: 11 Jan 2016 ,Non-Coal Mining,SHRI SALLAUDDIN MUWAL,TransferToDEIAA
2721,SIA/RJ/MIN/53153/2016,,Rajasthan,Jodhpur,Phalodi,Date of Submission for TOR: ,Date of Submission for EC: 25 Apr 2016 ,Non-Coal Mining,UDR MINTECH,Under examination of SEIAA - Processed offline
2722,SIA/RJ/MIN/53185/2016,,Rajasthan,Jaisalmer,Jaisalmer,Date of Submission for TOR: ,Date of Submission for EC: 26 Apr 2016 ,Non-Coal Mining,SHRI AMAN BAHETI,Under examination of SEIAA - Processed offline
2723,SIA/RJ/MIN/53233/2016,,Rajasthan,Karauli,Karauli,Date of Submission for TOR: ,Date of Submission for EC: 27 Apr 2016 ,Non-Coal Mining,SUSHIL KUMAR BHARDWAJ,Under examination of SEIAA - Processed offline
2724,SIA/RJ/MIN/53266/2016,,Rajasthan,Nagaur,Nagaur,Date of Submission for TOR: ,Date of Submission for EC: 28 Apr 2016 ,Non-Coal Mining,SHRI RAKESH KUMAR BANSAL,Under examination of SEIAA - Processed offline
2725,SIA/RJ/MIN/75566/2018,,Rajasthan,Ajmer,Sarwar,Date of Submission for TOR: ,Date of Submission for EC: 25 Jun 2018 ,Non-Coal Mining,SHRI MUKESH SETHI,Under examination of SEIAA - Processed offline
2726,SIA/RJ/MIN/53711/2016,,Rajasthan,Jodhpur,Shergarh,Date of Submission for TOR: ,Date of Submission for EC: 13 May 2016 ,Non-Coal Mining,HANSU DEVI,Under examination of SEIAA - Processed offline
2727,SIA/RJ/MIN/41081/2019,12473,Rajasthan,Bikaner,Kolayat,Date of Submission for EC: 11 Sep 2019 ,Date of Ec Granted : 14 Nov 2019,Non-Coal Mining,MAHIPAL SINGH GANGAPURA,EC Granted - Processed offline
2728,SIA/RJ/MIN/180985/2020,14520,Rajasthan,Ajmer,Pisangan,Date of Submission for EC: 29 Oct 2020 ,Date of Ec Granted : 11 Jun 2021,Non-Coal Mining,SH SUDHIR KUMAR,EC Granted - Processed offline
2729,SIA/RJ/MIN/54499/2016,,Rajasthan,Jodhpur,Shergarh,Date of Submission for TOR: ,Date of Submission for EC: 28 May 2016 ,Non-Coal Mining,SMT JAMINI DEVI,Under examination of SEIAA - Processed offline
2730,SIA/RJ/MIN/54511/2016,,Rajasthan,Bhilwara,Beejoliya,Date of Submission for TOR: ,Date of Submission for EC: 28 May 2016 ,Non-Coal Mining,PARMAND SINDHI,Under examination of SEIAA - Processed offline
2731,SIA/RJ/MIN/199740/2021,15082,Rajasthan,Udaipur,Girwa,Date of Submission for EC: 24 Feb 2021 ,Date of Ec Granted : 23 Jul 2021,Non-Coal Mining,SH. BHAGWAN LAL GAMETI,EC Granted - Processed offline
2732,SIA/RJ/MIN/41184/2019,12289,Rajasthan,Jhunjhunu,Khetri,Date of Submission for EC: 30 Aug 2019 ,Date of Ec Granted : 14 May 2020,Non-Coal Mining,M/S AARADHYA PROJECTS,EC Granted - Processed offline
2733,SIA/RJ/MIN/93954/2019,,Rajasthan,Jodhpur,Phalodi,Date of Submission for TOR: ,Date of Submission for EC: 02 Feb 2019 ,Non-Coal Mining,SH KUNAL SINGH,Delisted
2734,SIA/RJ/MIN/48551/2016,,Rajasthan,Jodhpur,Jodhpur,Date of Submission for TOR: ,Date of Submission for EC: 09 Feb 2016 ,Non-Coal Mining,UDAIPUR MIN TECH  PVT  LTD,Under examination of SEIAA - Processed offline
2735,SIA/RJ/MIN/48607/2016,,Rajasthan,Jodhpur,Jodhpur,Date of Submission for TOR: ,Date of Submission for EC: 09 Feb 2016 ,Non-Coal Mining,UDAIPUR MIN TECH  PVT  LTD,Under examination of SEIAA - Processed offline
2736,SIA/RJ/MIN/57324/2016,,Rajasthan,Jaipur,Jamwa Ramgarh,Date of Submission for TOR: ,Date of Submission for EC: 10 Jul 2016 ,Non-Coal Mining,SMT ANOKI DEVI,Under examination of SEIAA - Processed offline
2737,SIA/RJ/MIN/57326/2016,,Rajasthan,Jaipur,Jamwa Ramgarh,Date of Submission for TOR: ,Date of Submission for EC: 10 Jul 2016 ,Non-Coal Mining,GUDDI GUPTA,Under examination of SEIAA - Processed offline
2738,SIA/RJ/MIN/57327/2016,,Rajasthan,Jaipur,Kotputli,Date of Submission for TOR: ,Date of Submission for EC: 10 Jul 2016 ,Non-Coal Mining,ROHITASVA SINGH,Under examination of SEIAA - Processed offline
2739,SIA/RJ/MIN/57376/2016,,Rajasthan,Jaipur,Kotputli,Date of Submission for TOR: ,Date of Submission for EC: 12 Jul 2016 ,Non-Coal Mining,OVERSEAS MIN TECH CONSULTANT,Under examination of SEIAA - Processed offline
2740,SIA/RJ/MIN/57657/2016,,Rajasthan,Jhunjhunu,Khetri,Date of Submission for TOR: ,Date of Submission for EC: 21 Jul 2016 ,Non-Coal Mining,BAKSHISH SINGH,Under examination of SEIAA - Processed offline
2741,SIA/RJ/MIN/57673/2016,,Rajasthan,Jhunjhunu,Khetri,Date of Submission for TOR: ,Date of Submission for EC: 21 Jul 2016 ,Non-Coal Mining,RAO PRAVAT SINGH,Under examination of SEIAA - Processed offline
2742,SIA/RJ/MIN/57675/2016,,Rajasthan,Jhunjhunu,Khetri,Date of Submission for TOR: ,Date of Submission for EC: 21 Jul 2016 ,Non-Coal Mining,MAHESH KUMAR MEENA,Under examination of SEIAA - Processed offline
2743,SIA/RJ/MIN/57676/2016,,Rajasthan,Bhilwara,Bhilwara,Date of Submission for TOR: ,Date of Submission for EC: 21 Jul 2016 ,Non-Coal Mining,SANWARIA SETH STONE CRUSHER N MINERALS,Under examination of SEIAA - Processed offline
2744,SIA/RJ/CMIN/57679/2016,,Rajasthan,Jhunjhunu,Khetri,Date of Submission for TOR: ,Date of Submission for EC: 22 Jul 2016 ,Coal Mining,RAO PRAVAT SINGH,WithdrawEC
2745,SIA/RJ/MIN/32509/2019,,Rajasthan,Udaipur,Salumbar,Date of Submission for TOR: ,Date of Submission for EC: 07 Mar 2019 ,Non-Coal Mining,BARODA   MARBLE MINE   M.L. NO. 1523/90,Query raised by SEIAA and pending at PP
2746,SIA/RJ/MIN/45693/2019,13020,Rajasthan,Pali,Bali,Date of Submission for EC: 05 Nov 2019 ,Date of Ec Granted : 12 Apr 2021,Non-Coal Mining,SHRI RADHE SHYAM SONI,EC Granted - Processed offline
2747,SIA/RJ/MIN/45754/2019,12928,Rajasthan,Nagaur,Nagaur,Date of Submission for EC: 01 Nov 2019 ,Date of Ec Granted : 10 Jan 2020,Non-Coal Mining,M/S SHRI CHARBHUJA MINES,EC Granted - Processed offline
2748,SIA/RJ/MIN/45774/2019,12961,Rajasthan,Alwar,Ramgarh,Date of Submission for EC: 02 Nov 2019 ,Date of Ec Granted : 13 Jan 2020,Non-Coal Mining,H.G. INFRA ENGINEERING LTD.,EC Granted - Processed offline
2749,SIA/RJ/MIN/40523/2016,,Rajasthan,Jhunjhunu,Khetri,Date of Submission for TOR: 16 Sep 2016,Date of Submission for EC: 12 Jan 2016 ,Non-Coal Mining,SHRI RICHPAL SINGH,TransferToDEIAA
2750,SIA/RJ/MIN/40529/2016,,Rajasthan,Karauli,Mandrail,Date of Submission for TOR: ,Date of Submission for EC: 12 Jan 2016 ,Non-Coal Mining,BUDDO DEVI,Under examination of SEIAA - Processed offline
2751,SIA/RJ/MIN/40538/2016,,Rajasthan,Karauli,Todabhim,Date of Submission for TOR: ,Date of Submission for EC: 12 Jan 2016 ,Non-Coal Mining,MULUK CHAND GOYAL,Under examination of SEIAA - Processed offline
2752,SIA/RJ/MIN/40570/2016,,Haryana,Panchkula,Panchkula,Date of Submission for TOR: ,Date of Submission for EC: 13 Jan 2016 ,Non-Coal Mining,GEO PLANET SOLUTIONS,Under examination of SEIAA - Processed offline
2753,SIA/RJ/MIN/40572/2016,,Rajasthan,Bharatpur,Nagar,Date of Submission for TOR: ,Date of Submission for EC: 13 Jan 2016 ,Non-Coal Mining,GOPICHAND,Under examination of SEIAA - Processed offline
2754,SIA/RJ/MIN/40678/2016,,Rajasthan,chittorgarh,Nimbahera,Date of Submission for TOR: ,Date of Submission for EC: 13 Jan 2016 ,Non-Coal Mining,SUNIL TIWARI,Under examination of SEIAA - Processed offline
2755,SIA/RJ/MIN/49634/2016,,Rajasthan,chittorgarh,chittorgarh,Date of Submission for TOR: ,Date of Submission for EC: 16 Feb 2016 ,Non-Coal Mining,KANHAIYA LAL,Under examination of SEIAA - Processed offline
