,Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
8,4858,SIA/AP/MIN/41181/2019,AP VSP MIN 08 2019 1210,Sri. Panduri Ganesh,SRI.PANDURI GANESH,EC Granted - Processed offline,EC,
9,4859,SIA/AP/MIN/169037/2020,AP MIN  NLR  08 2020 2067,M/s A.R. Minerals (4.905 Ha of Quartz Mine),M/S A.R. MINERALS,EC Granted - Processed offline,EC,
10,4860,SIA/AP/MIN/175519/2020,AP  VZM  MIN 09 2020 2160,Sri. G. Sanjeeva Rao,SANJEEVI RAO,WithdrawEC,EC,
1,4861,SIA/AP/MIN/455606/2023,AP NLR MIN 12  2023 5512,"M/s OPEL SILICA, Prop: Sri V.Balaraju, Mining of Quartz",BALA VAJJA,Under examination of SEAC,EC,
2,4862,SIA/AP/MIN/431744/2023,AP MIN  SKLM 6 2023 5082,M/s VR Infra and Technologies,GOPAL GANDHAM,EC Granted,EC,
3,4863,SIA/AP/MIN/57916/2016,,Black Granite Quarry lease of  M/s J.R. Enterprises,J R ENTERPRISES,Delisted,EC,
4,4864,SIA/AP/MIN/58808/2016,AP SKM MIN 09 2016 202,M/s. Sterling Stonex Private Limited - 20.31ha,M/S. STERLING STONEX PRIVATE LIMITED,EC Granted,EC,
5,4865,SIA/AP/MIN/432451/2023,AP MIN NLR 6 2023 5087,Sri Vardhuru Bhaskaraiah,BHASKARAIAH VARDHURU,Under examination of SEIAA after SEAC,EC,
6,4866,SIA/AP/MIN/75982/2018,,"3.789 Ha. of  Quartz & Feldspar   Mine of  M/s A ONE MINERALS,Sy. No. 482  Chakalakonda Village,  Vinjamoor  Mandal,  S.P.S.R Nellore District. Andhra Pradesh.",MS A ONE MINERALS,Delisted,EC,
7,4867,SIA/AP/MIN/32496/2015,,SRI LAKSHMI NARASIMHA MINERALS & CHEMICALS,SUPERINTENDING ENGINEER,TransferToDEIAA,EC,
8,4868,SIA/AP/NCP/75091/2018,AP VSP CON 05 2018 611,M/s. Sri Pavan Properties,M/S. SRI PAVAN PROPERTIES,EC Granted,EC,
9,4869,SIA/AP/MIN/450813/2023,AP/NLR/MIN/ 11/2018/738,Sri N. P. Prasanna Reddy,SRI N.P. PRASANNA REDDY,Under examination of SEIAA after SEAC,EC,
10,4870,SIA/AP/MIN/22320/2016,AP NLR MIN 10 2016 226,SAINT GOBAIN GLASS INDIA LIMITED,SAINT GOBAIN GLASS INDIA LIMITED,EC Granted,EC,
1,4871,SIA/AP/MIN/35323/2015,AP NLR 254 MIN 12 2015,Mahammadapuram Sand Reach,MAHAMMADAPURAM SAND REACH,EC Granted,EC,
2,4872,SIA/AP/MIN/87433/2018,AP CTR MIN 12 2018 779,"M/s Empirical Minerals, Building Stone and Road Metal Mining",M/S EMPIRICAL MINERALS,WithdrawEC,EC,
3,4873,SIA/AP/MIN/48052/2016,AP VZN MIN 02 2016 37,"Ms MSP Granites 16.56 ha of Colour Granite mine located in Sy.No:01, Kori V, Parvathipuram M, Vizianagaram D.",MS M S P GRANITES,EC Granted,EC,
4,4874,SIA/AP/MIN/415949/2023,AP CTR MIN   1 2023 4891,MUKKARAVANIPALLI SAND REACH,JAIPRAKASHPOWERVENTURESLIMITED,EC Granted,EC,
5,4875,SIA/AP/MIN/407001/2022,AP/PKM//MIN06/2021/317,M/s Andhra Pradesh Mineral Development Corporation Limited,M/S ANDHRA PRADESH MINERAL DEVELOPMENT CORPORATION LIMITED,EC Granted,EC,
6,4876,SIA/AP/MIN/57962/2016,AP NLR MIN 08 2016 180,Pattabhirama Mica Mine of M/s Seetharama Mining Company,PATTABHIRAMA MICA MINE OF SEETHARAMA MINING COMPANY,Rejected - Processed offline,EC,
7,4877,SIA/AP/MIN/432692/2023,AP MIN KDP 6 2023 5088,"M/s. Sri Venkateswara Mineral Trading, Prop: Akepati Sandya, -3.900",SANDHYA AKEPATI,EC Granted,EC,
8,4878,SIA/AP/INFRA2/415907/2023,AP VSP CON  1 2023 4887,M/s. H R R Construction Pvt. Ltd. & Others Construction of Commercial cum Residential Building,H R R CONSTRUCTIONS PRIVATE LIMITED,Delisted,EC,
9,4879,SIA/AP/MIN/65981/2017,,"B.Harinatha Reddy,2.725 Hect. of Quartzite & Yellow Ocher mine in Sy.No.905 of Kalugotla Village,Veldurthi Mandal, Kurnool Dst.  AP.",B HARINATHA REDDY,Delisted,EC,
