,Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
7,328,SIA/MH/MIN/155841/2020,SIA/MH/MIN/155841/2020,"Runghati-2 sand spot over an extent of 3.0 ha. at Tapi River Bed Gut. No. 21, 37 & 38 (Part), Runghati-2 Village, Amalner Taluk, Jalgaon district, Maharashtra.","OFFICE OF THE COLLECTORATE, JALGAON",Rejection Letter Granted,EC,
8,329,SIA/MH/MIN/155972/2020,SIA/MH/MIN/155972/2020,"Hingoneseem(Part 1) sand spot over an extent of 3.50 ha. at Tapi River Bed Gut. No. 6 & 7, Hingoneseem Village, Amalner Taluk, Jalgaon district, Maharashtra.","OFFICE OF THE COLLECTORATE, JALGAON",Rejection Letter Granted,EC,
9,330,SIA/MH/MIN/156367/2020,SIA/MH/MIN/156367/2020,Ranidhanora 2 sand ghat,DMO YAVATMAL,EC Granted,EC,
0,331,SIA/MH/NCP/65100/2017,,"Proposed Amendment of R-annex (Runwal Pearl) at Gut No. 21/B1 and 21/B2 of village Chitalsar, Manpada –Thane.",RUNWAL CONSTRUCTIONS,Disposed through earlier site ec-ecmpcb-in,EC,
1,332,SIA/MH/NCP/65128/2017,,"Proposed Expansion for Residential cum Commercial Project at Plot bearing S. NO. 2, H. NO. 3,4,5/1,5/2, S. NO. 3A, H. NO. 1/3(P), S. NO. 40, H. NO. 1,2(P), S. NO. 39A, S. NO. 4B,H.NO.1 at Village- Netivali,  Tal- Kalyan, Dist- Thane by M/s. Sab Ventu",SAB VENTURES,Disposed through earlier site ec-ecmpcb-in,EC,
2,333,SIA/MH/NCP/65138/2017,,"“Slum Rehabilitation Scheme” at CTS no.702, 704, 704/1 to 79 of village Oshiwara, Tal Andheri, Off Veera Desai Ext Road, Andheri West, Mumbai- 400 053",M/S. TRANSCON DEVELOPERS PVT. LTD.,Disposed through earlier site ec-ecmpcb-in,EC,
3,334,SIA/MH/MIS/117401/2019,SIA/MH/MIS/117401/2019,"Environment Clearance for proposed Layout with construction of EWS Tenements on Plot -B at S. No. 29 (P), C.T.S. No. 50A (pt.) and 2, at Pahadi Goregaon, Goregaon (W), Mumbai.","MUMBAI HOUSING AND AREA DEVELOPMENT BOARD, MUMBAI (A MHADA UNIT)",Rejection Letter Granted,EC,
4,335,SIA/MH/MIS/117815/2019,SIA/MH/MIS/117815/2019,"Pradhan Mantri Awas Yojana (PMAY) Housing Scheme at Plot no. 01, Sector 21, Taloja, Taluka: Panvel, District: Raigad, Sate: Maharashtra",CIDCO,EC Granted,EC,
5,336,SIA/MH/MIS/126329/2019,SIA/MH/MIS/126329/2019,Amended / Expansion of Proposed Residential Project known as “Chembur Height’s II”,KUKREJA CONSTRUCTION CO,WithdrawEC,EC,
6,337,SIA/MH/MIN/66467/2018,SIA/MH/MIN/66467/2018,"Revalidation of Environmental Clearance for Maratha Limestone Mine, Mine Lease III (Lease area: 49.00 Ha & Production Capacity 0.5 MTPA) located at Village Sonapur – Thutra, Tehsil Rajura and Korpana, District  Chandrapur, Maharashtra by M/s Ambuja Cements Limited under the provision of MoEF&CC Notification S.O.1530 (E) dated 6th April 2018",AMBUJA CEMENT   LIMITED,EC Granted,EC,
7,338,SIA/MH/MIS/211061/2021,SIA/MH/MIS/211061/2021,Shaligram Sky,M/S. SHALIGRAM REALTY LLP,WithdrawEC,EC,
8,339,SIA/MH/MIN/31388/2015,SEIAA/2015/I/CR215/TC-3,"Shri Manik Baburao Kokare
Shri Vithal Baburao Kokare
Survey No. : 18 Part,  Deulgaon Gada, Tehsil: Daund, District Pune, 
Maharashtra",VITHAL KOKARE,Disposed through earlier site ec-ecmpcb-in,EC,
9,340,SIA/MH/MIN/31408/2015,SEIAA/2015/I/CR221/TC-3,8 sand mining praposal for 2015/16 auction in karad tahsil dist satara,COLLECTOR SATARA,Disposed through earlier site ec-ecmpcb-in,EC,
0,341,SIA/MH/MIN/155376/2020,SIA/MH/MIN/155376/2020,Tamloor sand ghat,DMO NANDED,EC Granted,EC,
1,342,SIA/MH/MIS/155608/2020,SIA/MH/MIS/155608/2020,Residential construction project at Nande,URBAN LIFE VENTURES LLP,WithdrawEC,EC,
2,343,SIA/MH/NCP/34285/2015,SEIAA/2015/III/CR558/TC-3,"Proposed Extension of Hospital”
Survey No.26 (P) at Dhankawadi Village, Pune 411043",BHARATI VIDYAPEETH,Disposed through earlier site ec-ecmpcb-in,EC,
3,344,SIA/MH/MIN/91491/2019,,"Proposal for Sand Quarry in Kas Village, Taluka Trimbakeshwar, District Nasik, State Maharashtra over an area of 1.5400 Ha at Damanganga River",VIVEK P NAVARE,Disposed through earlier site ec-ecmpcb-in,EC,
4,345,SIA/MH/NCP/30141/2015,SEAC/2015/II/CR.002/TC-3,"""Shashwat Sukh"" Residential Development with Shops at plot bearing Gut. No. 66/1/2, 53/2/3/A, 53/2/3, 53/2/1/K, 53/2/2, 60/1, 60/2, 60/3, 59, 58/2, 58/1, at Village Walivali - Badlapur, Taluka Ambernath, District Thane.",SHASHWAT HOMES,WithdrawEC,EC,
5,346,SIA/MH/MIS/117904/2019,SIA/MH/MIS/117904/2019,"Pradhan Mantri Awas Yojana (PMAY) Housing Scheme along with Shops and Bus terminus Facility at Plot no. 19, Sector 14, Kharghar, Taluka: Panvel, District: Raigad, Sate: Maharashtra.",CIDCO,EC Granted,EC,
6,347,SIA/MH/MIS/114608/2019,,"STANLEY - Proposed Commercial Project at Baner, Pune by SDK Constructions Private Limited.",SDK CONSTRUCTIONS PRIVATE LIMITED,WithdrawEC,EC,
7,348,SIA/MH/NCP/60839/2016,SEIAA/2017/II/CR-130/TC-3,Sai Sanskruti,SAI RACHANA LIFESPACES,Disposed through earlier site ec-ecmpcb-in,EC,
8,349,SIA/MH/MIN/161155/2020,SIA/MH/MIN/161155/2020,Environmental Clearance for proposed river bed Sand mining having area 2.00 Ha of Palora sand ghat on Pench River.,"DISTRICT MINING OFFICER, NAGPUR",EC Granted,EC,
9,350,SIA/MH/MIN/162152/2020,SIA/MH/MIN/162152/2020,nvironmental Clearance for proposed river bed Sand mining having area 0.37 Ha (0.914 acre) of Kotnandra sand ghat on Purna River,"DISTRICT MINING OFFICER, AURANGABAD",Rejection Letter Granted,EC,
0,351,SIA/MH/MIN/171784/2020,SIA/MH/MIN/171784/2020,Environment Clearanc for Kauthal T. Sa. Sand Ghat,DMONANDURBAR,EC Granted,EC,
1,352,SIA/MH/NCP/48539/2016,SEIAA/2016/III/CR239/TC-3,Sonigara Aangan,M K CONSTRUCTION,Disposed through earlier site ec-ecmpcb-in,EC,
2,353,SIA/MH/NCP/81235/2018,,"Amendment in EC for Residential Development Project at Malvani, Malad (W), Mumbai",M S SHREEJI CONSTRUCTION,Disposed through earlier site ec-ecmpcb-in,EC,
3,354,SIA/MH/MIN/94778/2019,,"Proposal for Sand Quarry in Wanjarkheda Village, Taluka Latur, District Latur, State Maharashtra over an area of 0.7500 Ha at Manjara River",VIVEK P NAVARE,Disposed through earlier site ec-ecmpcb-in,EC,
4,355,SIA/MH/MIS/146120/2020,SIA/MH/MIS/146120/2020,"“S K VALLEY” Residential & Commercial Development at village Shill, Taluka & District-Thane",ITTEHAD BUILDCON,EC Granted,EC,
5,356,SIA/MH/MIN/163021/2020,SIA/MH/MIN/163021/2020,"Panjra sand spot over an extent of 2.0 ha. at Sur River Bed Gut. 18, 19, 20, 21 & 22,Panjra Village, Mohadi Tehsil, Bhandara District,Maharashtra.","OFFICE OF THE COLLECTORATE, BHANDARA",EC Granted,EC,
6,357,SIA/MH/MIN/163068/2020,SIA/MH/MIN/163068/2020,"Moharna  sand spot over an extent of 5.0 ha. at Wainganga River Bed Gut. No.9, 834, 835 & 836  Moharna Village, Lakhandur Tehsil, Bhandara District, Maharashtra.","OFFICE OF THE COLLECTORATE, BHANDARA",Rejection Letter Granted,EC,
7,358,SIA/MH/MIN/163078/2020,SIA/MH/MIN/163078/2020,"Antargaon/Kha sand spot over an extent of 1.0 ha. at Chulbandh River Bed Gut. 338, 339, 342, 343 & 344 Antargaon/Kha Village, Lakhandur Tehsil, Bhandara District, Maharashtra.","OFFICE OF THE COLLECTORATE, BHANDARA",EC Granted,EC,
8,359,SIA/MH/MIS/58050/2016,SEIAA/2016/II/CR438/TC-3,Mahalaxmi Homes,SHREE MAHALAKSHMI DEVELOPERS,Disposed through earlier site ec-ecmpcb-in,EC,
9,360,SIA/MH/MIN/58166/2016,SEIAA/2017/I/CR-4/TC-3,SOLAPUR SAND MINING 2016-17,COLLECTOR OFFICE SOLAPUR,Disposed through earlier site ec-ecmpcb-in,EC,
0,361,SIA/MH/MIS/149388/2020,SIA/MH/MIS/149388/2020,Residential & Commercial,MALPANI ESTATES,Delisted,EC,
1,362,SIA/MH/MIS/53197/2020,SIA/MH/MIS/53197/2020,PROPOSED CONSTRUCTION OF AFFORDABLE HOUSING UNDER PMAY SCHEME AT PLOT NO.1 SECTOR NO. 39 AT TALOJA,CIDCO CBD BELAPUR,EC Granted,EC,
2,363,SIA/MH/NCP/62295/2017,SEIAA/2017/II/CR-100/TC-3,"Application for Environmental Clearance for “Sandor” Residential and Commercial Project located at S No 230 H No 1,2,3,4,5,6,7 & 8,  S No 231 H No 1,2,3,4,5,6,7,8& 9,  S. No  235 H No 1/2 ,2,3,4,5,6,7, 8,9,10,11/1 & 11/2,  S. No  236 H.No 1,2,3,7,8,1",AMEYA TOWNHOMES PVT LTD,Disposed through earlier site ec-ecmpcb-in,EC,
3,364,SIA/MH/MIS/213459/2021,SIA/MH/MIS/213459/2021,"""Proposed residential and convenient shopping project at S.NO.4 H.NO.1A/3 At Village Kolivali, Kalyan (West), Taluka-Kalyan, District-Thane, Maharashtra by M/s. Sagar Enterprises.",SAGAR ENTERPRISES,EC Granted,EC,
4,365,SIA/MH/MIN/161390/2020,SIA/MH/MIN/161390/2020,Environmental Clearance for proposed river bed Sand mining having lease area 0.15ha (0.37 acre) of Rakhi sand ghat on Potphodi River,"DISTRICT MINING OFFICER, GADCHIROLI",Rejection Letter Granted,EC,
5,366,SIA/MH/MIN/161452/2020,SIA/MH/MIN/161452/2020,Chichala River Bed Sand Mining Project,"DISTRICT MINING OFFICER, CHANDRAPUR",EC Granted,EC,
6,367,SIA/MH/MIN/161473/2020,SIA/MH/MIN/161473/2020,Environmental Clearance for proposed river bed Sand mining having area 4.00 Ha of Waghoda sand ghat on Pench River.,"DISTRICT MINING OFFICER, NAGPUR",EC Granted,EC,
7,368,SIA/MH/MIN/161491/2020,SIA/MH/MIN/161491/2020,Khambala River Bed Sand Mining Project,"DISTRICT MINING OFFICER, CHANDRAPUR",EC Granted,EC,
8,369,SIA/MH/MIN/161547/2020,SIA/MH/MIN/161547/2020,Uti Stone Quarry,SHRI. RAHUL JASUBHAI PATEL,WithdrawEC,EC,
9,370,SIA/MH/MIN/161591/2020,SIA/MH/MIN/161591/2020,Environmental Clearance for proposed river bed Sand mining having lease area 1.96 ha (4.84 acre) of  Anjanwadi sand ghat on Purna River,"DISTRICT MINING OFFICER,HINGOLI",EC Granted,EC,
0,371,SIA/MH/MIN/162224/2020,SIA/MH/MIN/162224/2020,Environmental Clearance for proposed river bed Sand mining having lease area 1.26 ha (3.11 acre) of Hingni sand ghat on Kayadhu River,"DISTRICT MINING OFFICER,HINGOLI",EC Granted,EC,
1,372,SIA/MH/MIN/162238/2020,SIA/MH/MIN/162238/2020,Environmental Clearance for proposed river bed Sand mining having lease area 0.80 ha (1.98 acre) of Paraswadi sand ghat on Khobragadi River,"DISTRICT MINING OFFICER, GADCHIROLI",Rejection Letter Granted,EC,
2,373,SIA/MH/MIN/162303/2020,SIA/MH/MIN/162303/2020,Environmental Clearance for proposed river bed Sand mining having lease area 1.38 ha (3.41acre) of Nalegaon sand ghat on Purna River,"DISTRICT MINING OFFICER,HINGOLI",EC Granted,EC,
3,374,SIA/MH/MIN/138942/2020,SIA/MH/MIN/138942/2020,Stone quarry proposal of Mrs. Usha Babasaheb Patil,USHA BABASAHEB PATIL,EC Granted,EC,
4,375,SIA/MH/MIN/37999/2016,SEIAA/2016/I/CR5/TC-3,"Shri. Pravin Hilal Tavar 
Ganesh Stone Metal
Survey No. 23/2, Area (2.48 Ha) 
Village-Chandgarh, Tehsil-Sindkheda, Dist-Dhule",SHRI. PRAVIN HILAL TAVAR,Disposed through earlier site ec-ecmpcb-in,EC,
5,376,SIA/MH/MIS/58091/2020,SIA/MH/MIS/58091/2020,Proposed Expansion in Mixed Use Development project Aaryavarta by M/s Linker Shelter Pvt Ltd,M/S. LINKER SHELTER PRIVATE LIMITED,Delisted,EC,
6,377,SIA/MH/MIN/41343/2016,SIA/MH/MIN/41343/2016,Maharkund Manganese Ore Mine,VEETRAG EXPLORATION AND MINERALS PRIVATE LIMITED,EC Granted,EC,
7,378,SIA/MH/MIN/160152/2020,SIA/MH/MIN/160152/2020,"Khairna sand spot over an extent of  3.0 ha. at Wainganga River Bed Gut. No. 476, 477 & 478, Khairna Village, Lakhandur Taluka, Bhandara District, Maharashtra.","OFFICE OF THE COLLECTORATE, BHANDARA",EC Granted,EC,
8,379,SIA/MH/MIN/160416/2020,SIA/MH/MIN/160416/2020,"Kurza  sand spot over an extent of 1.20 ha. At Wainganga River Bed Gut No. 760, 759, 758, 757, 745,  744, 743, 742, 741, 740 (739 Partly),Kurza Village, pauni Tehsil, Bhandara District, Maharashtra.","OFFICE OF THE COLLECTORATE, BHANDARA",EC Granted,EC,
9,380,SIA/MH/MIN/162001/2020,SIA/MH/MIN/162001/2020,Environmental Clearance for proposed river bed Sand mining having )   area 0.48 Ha(1.186acre) of Dhanora sand ghat on Purna River,"DISTRICT MINING OFFICER, AURANGABAD",Rejection Letter Granted,EC,
0,381,SIA/MH/MIN/152896/2020,SIA/MH/MIN/152896/2020,Pimpalgaon Gayke River Sand Mining on Dudhana River,COLLECTOR OFFICE PARBHANI,Delisted,EC,
1,382,SIA/MH/MIN/32947/2015,SEIAA/2015/I/CR486/TC-3,Pardi New Sand ghat auction,COLLECTOR NAGPUR,Disposed through earlier site ec-ecmpcb-in,EC,
2,383,SIA/MH/MIS/64570/2017,,pipelines from the jetty to the project site at Dighi TalShrivardhan,VERITAS POLYCHEM PVT LTD,Disposed through earlier site ec-ecmpcb-in,EC,
3,384,SIA/MH/MIS/143260/2020,SIA/MH/MIS/143260/2020,Wisteria Park,VIGHNAHARTA REALTY,EC Granted,EC,
4,385,SIA/MH/MIS/219843/2021,SIA/MH/MIS/219843/2021,"Proposed Residential Project on plot bearing Sr. no. 114 Part, 115, 116 and 120/4, Village-Vasind, Taluka-Shahapur, District-Thane, Maharashtra by M/s Subal Investment & Purple Residencies.",SUBAL INVESTMENT AND PURPLE RESIDENCIES,Delisted,EC,
5,386,SIA/MH/MIS/59807/2021,SIA/MH/MIS/59807/2021,"Proposed Expansion in Residential project - Marina Enclave, C.T.S. No. 507,  90ft Road, Behind Bhoomi Park, Near Jankalyan Nagar,  Malad (West). Mumbai-400 095 by M/s. Gurukrupa Developers D N Nagar Project",M/S. GURUKRUPA DEVELOPERS D N NAGAR PROJECT,EC Granted,EC,
6,387,SIA/MH/MIS/213727/2021,SIA/MH/MIS/213727/2021,"Proposed Expansion in Agami Infinity Park on S No. 63/1/81, 82, 83, 84, 85, Plot No-1 to 43, 45 to 47 and plot no. 53 to 75 at Village Khaira, Tal Palghar District Palghar",MAYURESH REALTY PRIVATE LIMITED,EC Granted,EC,
7,388,SIA/MH/MIN/213790/2021,SIA/MH/MIN/213790/2021,"Stone Quarry proposal of Sou. Leena Laxman Shinde (1.00 Ha) at Gat No. 965 & 970 (P), Village Pali, Tal- Chiplun, Dist- Ratnagiri",SOU LEENA LAXMAN SHINDE,EC Granted,EC,
8,389,SIA/MH/IND2/63445/2021,SIA/MH/IND2/63445/2021,"Proposed Synthetic Organic Chemical Manufacturing Plant at Plot No. C-57 MIDC Mahad, Dist. Raigad by Synergia Chem Industries.",SYNERGIA CHEM INDUSTRIES,EC Granted,EC,
9,390,SIA/MH/IND2/176269/2020,SIA/MH/IND2/176269/2020,Banwarri Prahladrai Poddar Technologies Pvt. Ltd.,BANWARRI PRAHLADRAI PODDAR TECHNOLOGIES PVT. LTD.,Delisted,EC,
