,Proposal,File_No,Proposal Name,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
0,SIA/WB/MIN/247169/2021,,Stone Crushing Unit of M/s Ashwini Gorai Crusher,West Bengal,Purulia,Barabazar,Date of Submission for TOR: ,Date of Submission for EC: 24 Dec 2021 ,Non-Coal Mining,M/S ASHWINI GORAI CRUSHER,Delisted
1,SIA/WB/MIS/34995/2018,EN/T-II-1/80/2018,Southcity,West Bengal,Kolkata,Kolkata,Date of Submission for EC: 19 Apr 2019 ,Date of Ec Granted : 06 May 2019,INFRA-2,SOUTH CITY PROJECTS (KOLKATA) LTD.,EC Granted
2,SIA/WB/MIN/232241/2021,,"Ghanesharpur sand mine on Kangshabati river at plot no: Plot No: 84 (P), 85(P) & 86(P) / JL No.: 109, Area- 0.44 Hectare/1.09 Acres Mouza: Ghanesharpur, P.S. Sadar, District: Paschim Medinipur, State: West Bengal.",West Bengal,West Medinipur,Medinipur Sadar,Date of Submission for TOR: ,Date of Submission for EC: 01 Oct 2021 ,Non-Coal Mining,KARTICK JANA,Delisted
3,SIA/WB/MIN/229166/2021,,"Dadpur Sand Mine, Kamal Kumar Ghosh",West Bengal,Purba Burdwan,Burdwan,Date of Submission for TOR: ,Date of Submission for EC: 18 Sep 2021 ,Non-Coal Mining,RAY TECHNO SOLUTIONS,Delisted
4,SIA/WB/MIN/166343/2020,EN/T-II-1/030/2020,"Bhalukmura Sand Mine (Area- 2.02 Hectares) on Silabati River on Plot No. 16(P), 63(P) & 77(P)",,,,Date of Submission for TOR: ,Date of Submission for EC: 13 Oct 2020 ,Non-Coal Mining,PRASANTA KARAK,Delisted
5,SIA/WB/MIN/218850/2021,,M/s Reza Brick Field,West Bengal,Malda,Harishchandrapur - I,Date of Submission for TOR: ,Date of Submission for EC: 31 Jul 2021 ,Non-Coal Mining,M/S REZA BRICK FIELD,Delisted
6,SIA/WB/MIN/247204/2021,,STONE CRUSHER UNIT OF M/S K. K. BUILDERS PVT. LTD.,West Bengal,Purulia,Barabazar,Date of Submission for TOR: ,Date of Submission for EC: 24 Dec 2021 ,Non-Coal Mining,STONE CRUSHER UNIT OF M/S K. K. BUILDERS PVT. LTD.,Delisted
7,SIA/WB/MIN/189642/2020,EN/T-II-1/024/2021,Sayed mia Brick Field,West Bengal,Malda,Maldah (old),Date of Submission for TOR: ,Date of Submission for EC: 09 Feb 2021 ,Non-Coal Mining,M/S SAYED MIA BRICK FIELD,Delisted
8,SIA/WB/MIN/232782/2021,,"OWARI BRICK EARTH MINE FOR M/S SONA BRICK FIELD, AREA 3.03 ACRES",West Bengal,Malda,Harishchandrapur - I,Date of Submission for TOR: ,Date of Submission for EC: 16 Nov 2021 ,Non-Coal Mining,M/S SONA BRICK FIELD,Delisted
9,SIA/WB/IND/61186/2021,EN/T-II-1/057/2021,"Proposed 56,000 TPA GREEN FIELD Coal Tar Distillation Plant for production of 30,800 TPA of Coal Tar Pitch; 22,120 TPA of Creosote Oil (light and heavy) and 1680 TPA of Crude Naphthalene",West Bengal,Paschim bardhaman,Kanksa,Date of Submission for TOR: ,Date of Submission for EC: 19 Aug 2022 ,Industrial Projects - 1,B S TAR PVT. LTD.,Transfered SEIAA To MOEFCC
10,SIA/WB/IND/29902/2016,,"The proposed expansion of 90,000 TPA steel billets and 1,60,000 TPA wire rods to 1,92,000 TPA Wire rod and 60,000 TPA HB wire",West Bengal,Burdwan,Kanksa,Date of Submission for TOR: ,Date of Submission for EC: 02 Jan 2019 ,Industrial Projects - 1,SUPER SMELTERS LIMITED,WithdrawEC
11,SIA/WB/MIN/189216/2020,EN/T-II-1/022/2021,M/s Lux Brick Field,West Bengal,Malda,Harishchandrapur - I,Date of Submission for TOR: ,Date of Submission for EC: 09 Feb 2021 ,Non-Coal Mining,M/S LUX BRICK FIELD,Delisted
12,SIA/WB/MIN/262446/2022,EN/T-II-1/366/2023,Char Molladanga Sand Block BHAG 1 (ID No. 2018-WB-865) of Rakibul Hoque.,West Bengal,Murshidabad,Bhagawangola - II,Date of Submission for TOR: ,Date of Submission for EC: 11 Apr 2023 ,Non-Coal Mining,RAKIBUL HOQUE,Rejection Letter Granted
13,SIA/WB/MIN/262704/2022,,Becharhat Sand Mine,West Bengal,Purba Burdwan,Burdwan,Date of Submission for TOR: ,Date of Submission for EC: 23 Mar 2022 ,Non-Coal Mining,PRASANTA KUMAR HAIT,Delisted
14,SIA/WB/MIN/187562/2020,EN/T-II-1/135/2021,SEEMA BRICKS WORKS,West Bengal,South 24 Parganas,Jaynagar - I,Date of Submission for TOR: ,Date of Submission for EC: 29 Apr 2021 ,Non-Coal Mining,MS SEEMA BRICKS,Delisted
15,SIA/WB/MIN/183734/2020,EN/T-II-1/055/2020,River Bed Sand Mining Project on Ajay River of M/s Ganesh Nandy,West Bengal,Paschim bardhaman,Jamuria,Date of Submission for TOR: ,Date of Submission for EC: 18 Nov 2020 ,Non-Coal Mining,M/S GANESH NANDY,Delisted
16,SIA/WB/MIN/220482/2021,,"Hard Brick Field, Joydeb Mondal",West Bengal,Purba Burdwan,Burdwan,Date of Submission for TOR: ,Date of Submission for EC: 16 Jul 2021 ,Non-Coal Mining,RAY TECHNO SOLUTIONS,Delisted
17,SIA/WB/MIN/215489/2021,EN/T-II-1/124/2021,MD BAZAR STONE CRUSHER MINES,West Bengal,Birbhum,Mohammad Bazar,Date of Submission for TOR: ,Date of Submission for EC: 01 Jul 2021 ,Non-Coal Mining,M/S. MD BAZAR STONE CRUSHER MINE,Delisted
18,SIA/WB/MIN/256733/2022,,JIYATHOL QUARTZ & FELDSPAR MINE,West Bengal,Purulia,Raghunathpur,Date of Submission for TOR: ,Date of Submission for EC: 26 Apr 2022 ,Non-Coal Mining,SANJAY MONDAL,Delisted
19,SIA/WB/MIN/261116/2022,,Chabukya Sand Mine,West Bengal,Jhargram,Kharagpur - I,Date of Submission for TOR: ,Date of Submission for EC: 23 Mar 2022 ,Non-Coal Mining,SUBRANAREKHA RIVER BED MINING BY SUSHANTA MONDAL,Request for withdraw
20,SIA/WB/MIN/217293/2021,,M/s Ratan Brick Field,West Bengal,Malda,Chanchal - I,Date of Submission for TOR: ,Date of Submission for EC: 02 Jul 2021 ,Non-Coal Mining,M/S RATAN BRICK FIELD,WithdrawEC
21,SIA/WB/MIN/215781/2021,EN/T-II-1/123/2021,GURGURAPAL SAND MINE (AREA- 3.00 HECTARES) ON KANGSHABATI RIVER ON Plot No.-485(P),West Bengal,West Medinipur,Medinipur Sadar,Date of Submission for TOR: ,Date of Submission for EC: 24 Jun 2021 ,Non-Coal Mining,NEXZEN PROJECTS N DEVELOPMENT PVT. LTD.,Delisted
22,SIA/WB/MIN/249221/2021,,Stone Crusher of PREMLATA STONE WORKS,West Bengal,Purulia,Barabazar,Date of Submission for TOR: ,Date of Submission for EC: 31 Dec 2021 ,Non-Coal Mining,PREMLATA STONE WORKS,Delisted
23,SIA/WB/MIS/277567/2022,EN/T-II-1/042/2019,Town House,West Bengal,Barddhaman,asansol,Date of Submission for TOR: ,Date of Submission for EC: 13 Jun 2022 ,INFRA-2,M/S  BENGAL SHRISTI INFRASTRUCTURE DEVELOPMENT LTD,Delisted
24,SIA/WB/MIN/192797/2021,EN/T-II-1/087/2021,Babla Brick / Earth Mine,West Bengal,Barddhaman,Raina - II,Date of Submission for TOR: ,Date of Submission for EC: 02 Apr 2021 ,Non-Coal Mining,TARAMA BRICK FIELD,Delisted
25,SIA/WB/MIN/200808/2021,,SERA BRICKS,West Bengal,Bankura,Raipur,Date of Submission for TOR: ,Date of Submission for EC: 01 Mar 2021 ,Non-Coal Mining,SERA BRICKS,Delisted
26,SIA/WB/MIN/224582/2021,,BALIA BRICK SOIL MINING PROJECT FOR NEW PRASAD BRICK FIELD,West Bengal,Malda,Maldah (old),Date of Submission for TOR: ,Date of Submission for EC: 13 Aug 2021 ,Non-Coal Mining,NEW PRASAD BRICK FIELD,Delisted
27,SIA/WB/MIS/264277/2022,EN/T-II-1/030/2018,SANKALPA SITE II,West Bengal,North 24 Parganas,Rajarhat,Date of Submission for TOR: ,Date of Submission for EC: 04 May 2023 ,INFRA-2, WEST BENGAL INFRASTRUCTURE DEVELOPMENT FINANCE CORPORATION LIMITED,Deferred by SEAC
28,SIA/WB/MIN/125834/2019,,PALSARA BLACK STONE MINE,,,,Date of Submission for TOR: ,Date of Submission for EC: 27 Dec 2019 ,Non-Coal Mining,WEST BENGAL MINERAL DEVELOPMENT AND TRADING CORPORATION LIMITED,Delisted
29,SIA/WB/MIS/125827/2019,,Residential Complex “Merlin Elements”,West Bengal,Kolkata,Kolkata,Date of Submission for TOR: ,Date of Submission for EC: 30 Dec 2019 ,INFRA-2,MERLIN GANGES PROJECTS,Delisted
30,SIA/WB/MIS/43040/2006,EN/T-II-1/023/2019,"Expansion of “KPC MEDICAL COLLEGE AND HOSPITAL” at 1F, Raja S.C. Mullick Road, P.O. & P.S. - Jadavpur, Kolkata – 700032, West Bengal",West Bengal,Kolkata,Kolkata,Date of Submission for TOR: ,Date of Submission for EC: 17 Sep 2019 ,INFRA-2,KPC MEDICAL COLLEGE AND HOSPITAL SOCIETY,Delisted
31,SIA/WB/MIN/241099/2021,,Bhikanpur Sand mine on Kangshabati river,West Bengal,West Medinipur,Medinipur Sadar,Date of Submission for TOR: ,Date of Submission for EC: 24 Feb 2022 ,Non-Coal Mining,PRANAB BHAKTA,Delisted
32,SIA/WB/MIS/70062/2019,EN/T-II-1/047/2015,Residential Complex by Devaloke Developers Ltd.,West Bengal,South 24 Parganas,Sonarpur,Date of Submission for EC: 13 May 2022 ,Date of Ec Granted : 07 Jul 2023,INFRA-2,DEVALOKE DEVELOPERS LIMITED,EC Granted
33,SIA/WB/IND/57318/2018,EN/T-II-1/053/2018,"Proposed expansion of Steel Melting Shop Project of M/s R.S. Concast Limited, AT:  Bamunara Industrial Estate, P.O. Bamunara, P.S.  Kanksa , Dist : Paschim  Burdwan, West Bengal",West Bengal,Paschim bardhaman,Kanksa,Date of Submission for EC: 28 Nov 2020 ,Date of Ec Granted : 11 Jun 2021,Industrial Projects - 1,R S CONCAST LIMITED,EC Granted
34,SIA/WB/MIN/194584/2021,,MD BAZAR STONE CRUSHER MINE,West Bengal,Birbhum,Mohammad Bazar,Date of Submission for TOR: ,Date of Submission for EC: 25 Feb 2021 ,Non-Coal Mining,SUPIND KOLKATA,WithdrawEC
35,SIA/WB/MIS/51607/2019,EN/T-II-1/048/2019,Merlin Uttara,West Bengal,Hooghly,Serampur Uttarpara,Date of Submission for TOR: ,Date of Submission for EC: 27 Jan 2021 ,INFRA-2,MERLIN PROJECTS LIMITED,Delisted
36,SIA/WB/MIN/184044/2020,EN/T-II-1/012/2021,PAIKPARA SAND MINE,West Bengal,Bankura,Vishnupur,Date of Submission for TOR: ,Date of Submission for EC: 20 Nov 2020 ,Non-Coal Mining,PAIKPARA SAND MINE OF SHRI MALAY KUMAR DUTTA,Delisted
37,SIA/WB/MIN/262075/2022,EN/T-II-1/059/2023,Kumirkola Sand Mine Ashim Panja,West Bengal,Barddhaman,Khandaghosh,Date of Submission for TOR: ,Date of Submission for EC: 23 Jan 2023 ,Non-Coal Mining,"KUMIRKOLA SAND MINE, ASHIM PANJA",Delisted
38,SIA/WB/MIN/210862/2021,EN/T-II-1/109/2021,Khudrapur Sand Mine,West Bengal,Birbhum,Illambazar,Date of Submission for TOR: ,Date of Submission for EC: 30 Apr 2021 ,Non-Coal Mining,M/S MONDAL TRADERS,Delisted
39,SIA/WB/MIN/44017/2019,,Baguli Stone Mine,West Bengal,Burdwan,Kanksa,Date of Submission for TOR: ,Date of Submission for EC: 12 Jan 2022 ,Non-Coal Mining,CHINMOY MONDAL,WithdrawEC
40,SIA/WB/MIS/49651/2019,EN/T-II-1/029/2019,Fortis Hospital,West Bengal,Kolkata,Kolkata,Date of Submission for EC: 09 Jan 2020 ,Date of Ec Granted : 07 Jul 2023,INFRA-2,INTERNATIONAL HOSPITAL LIMITED,EC Granted
41,SIA/WB/MIS/54814/2018,EN/T-II-1/045/2018,Sri Chaitanya Chandrodaya Mandir and Indian Educational and Cultural Centre,West Bengal,Nadia,Nabadwip,Date of Submission for TOR: ,Date of Submission for EC: 05 Aug 2020 ,INFRA-2,ISKCON INTERNATIONAL SOCIETY FOR KRISHNA CONSCIOUSNESS,Awaiting EC
42,SIA/WB/MIN/246758/2021,,Stone Crusher of Maa Annapurna Stone Crusher Unit,West Bengal,Purulia,Barabazar,Date of Submission for TOR: ,Date of Submission for EC: 22 Dec 2021 ,Non-Coal Mining,STONE CRUSHER OF MAA ANNAPURNA STONE CRUSHER UNIT,Delisted
43,SIA/WB/MIN/246527/2021,,STONE CRUSHER UNIT OF M/S SINGH CRUSHER UNIT,West Bengal,Purulia,Barabazar,Date of Submission for TOR: ,Date of Submission for EC: 21 Dec 2021 ,Non-Coal Mining,STONE CRUSHER UNIT OF M/S SINGH CRUSHER UNIT,Delisted
44,SIA/WB/MIN/194366/2021,EN/T-II-1/050/2021,Khatanga Quartz Mine,West Bengal,Purulia,jhalda,Date of Submission for EC: 10 Mar 2021 ,Date of Ec Granted : 01 Sep 2023,Non-Coal Mining,BANKURA MINES AND MINERALS PVT. LTD.,EC Granted
45,SIA/WB/MIS/143877/2020,EN/T-II-1/012/2020,EXPANSION OF RESIDENTIAL COMPLEX,West Bengal,Hooghly,Chinsurah - Magra,Date of Submission for EC: 21 Feb 2020 ,Date of Ec Granted : 15 Jan 2021,INFRA-2,PGE INFOSOLUTIONS PRIVATE LIMITED AND OTHERS,EC Granted
46,SIA/WB/MIN/167675/2020,EN/T-II-1/039/2020,"BHATPARA SAND MINE (AREA-2.30 HECTARES) ON KANGSHABATI RIVER ON Plot No.-172(P)& 194(P),LOCATED AT MOUZA- BHATPARA, P.S. - MEDINIPUR, DISTRICT- PASCHIM MEDINIPUR, STATE- WEST BENGAL,JL NO. 84",,,,Date of Submission for TOR: ,Date of Submission for EC: 13 Oct 2020 ,Non-Coal Mining,SUBHRANGSU KUMAR GHOSH,Delisted
47,SIA/WB/MIN/264059/2022,EN/T-II-1/069/2023,Gaitanpur sand mine New Kalimata sand Supply,West Bengal,Barddhaman,Khandaghosh,Date of Submission for TOR: ,Date of Submission for EC: 03 Feb 2023 ,Non-Coal Mining,NEW KALIMATA SAND SUPPLY,Rejection Letter Granted
48,SIA/WB/MIN/197729/2021,,Sukan Dighi Brick Earth Mine For M/s Raja Brick Field,West Bengal,Malda,Maldah (old),Date of Submission for TOR: ,Date of Submission for EC: 11 Feb 2021 ,Non-Coal Mining,P & M SOLUTION,Delisted
49,SIA/WB/MIN/246682/2021,,"Harishpara Brick Earth Mine For M/s M.R.F. Brick Field, Area 3.23 Acres",West Bengal,Malda,Chanchal - II,Date of Submission for TOR: ,Date of Submission for EC: 22 Dec 2021 ,Non-Coal Mining,USHA AGARWAL,Delisted
50,SIA/WB/MIN/208203/2021,EN/T-II-1/095/2021,Narasinghapur Sand Mine,West Bengal,Barddhaman,Raina - II,Date of Submission for TOR: ,Date of Submission for EC: 08 Apr 2021 ,Non-Coal Mining,SRIJONEE ENGINEERS CO OPERATIVE SOCIETY LTD.,Delisted
51,SIA/WB/MIS/127579/2019,,Information Technology Office Building,West Bengal,North 24 Parganas,Rajarhat,Date of Submission for TOR: ,Date of Submission for EC: 26 Nov 2019 ,INFRA-2,DELTA PV PRIVATE LIMITED,WithdrawEC
52,SIA/WB/MIS/102230/2019,EN/T-II-1/030/2019,"Housing Complex - 'The Khaki Estate""",West Bengal,North 24 Parganas,Rajarhat,Date of Submission for EC: 17 Apr 2019 ,Date of Ec Granted : 02 Dec 2019,INFRA-2,"INDIAN POLICE SERVICE OFFICERS WELFARE SOCIETY, WEST BENGAL",EC Granted
53,SIA/WB/MIN/216035/2021,EN/T-II-1/118/2021,"PUTULIA SAND MINE (AREA-3.82 HECTARES) ON AJAY RIVER ON Plot No.-1108 (P).LOCATED AT MOUZA- PUTULIA, P.S. - BARABANI, DISTRICT- PASCHIM BARDHAMAN, STATE- WEST BENGAL, JL NO. -13",West Bengal,Paschim bardhaman,Barabani,Date of Submission for TOR: ,Date of Submission for EC: 24 Jun 2021 ,Non-Coal Mining,M/S SARAN ALCOHOL PVT. LTD.,Delisted
54,SIA/WB/MIS/202885/2021,EN/T-II-1/076/2021,Residential Complex,West Bengal,North 24 Parganas,Barasat - I,Date of Submission for EC: 24 Mar 2021 ,Date of Ec Granted : 09 Dec 2021,INFRA-2,KYAL DEVELOPERS PVT. LTD.,EC Granted
55,SIA/WB/MIN/240035/2021,,Gopiballavpur - II Sand Block MGB – 95 of Tanay Maity,West Bengal,Jhargram,keshiary,Date of Submission for TOR: ,Date of Submission for EC: 22 Nov 2021 ,Non-Coal Mining,TANAY MAITY,Delisted
56,SIA/WB/MIS/139925/2020,,Atmosphere,West Bengal,Kolkata,Kolkata,Date of Submission for TOR: ,Date of Submission for EC: 31 Jan 2020 ,INFRA-2,FORUM PROJECTS PVT. LTD.,WithdrawEC
57,SIA/WB/MIN/231776/2021,,"Idilpur Sand Mine, Nmaita Enterprise",West Bengal,Purba Burdwan,Burdwan,Date of Submission for TOR: ,Date of Submission for EC: 30 Oct 2021 ,Non-Coal Mining,"NAMITA ENTERPRISE, IDILPUR",Delisted
58,SIA/WB/MIS/248976/2021,EN/T-II-1/006/2022,Affordable Housing Complex,West Bengal,Paschim bardhaman,Durgapur,Date of Submission for EC: 02 Feb 2022 ,Date of Ec Granted : 03 Jun 2022,INFRA-2,IABA HOUSING PVT. LTD.,EC Granted
59,SIA/WB/MIN/241123/2021,,Chakmansur sand mine on Kangshabati river,West Bengal,West Medinipur,Keshpur,Date of Submission for TOR: ,Date of Submission for EC: 24 Feb 2022 ,Non-Coal Mining,MR. SITESH DHARA,Delisted
60,SIA/WB/MIN/254367/2022,,"Dhulkomra Feldspar & Quartz Mine (O.C.) is located in Mouza- Dhulkomra, P.S.- Kankartala, Khairasole District- Birbhum, State- West Bengal",West Bengal,Birbhum,Khoyrasol,Date of Submission for TOR: ,Date of Submission for EC: 25 Feb 2022 ,Non-Coal Mining,JAYANTA BHATTACHARYYA,Delisted
61,SIA/WB/MIN/207636/2021,,M/s S.K.S Brick Field,West Bengal,Malda,Harishchandrapur - I,Date of Submission for TOR: ,Date of Submission for EC: 15 Sep 2021 ,Non-Coal Mining,M/S S.K.S BRICK FIELD,Delisted
62,SIA/WB/IND/66688/2010,,"Proposed Expansion of the existing Steel Plant by installation of 4x30 T Induction Furnaces with 1x40T LRF & two (2-strand each) CCM and enhancement of the capacity of the Rolling Mill from 2,22,000 TPA to 5,02,000 TPA",West Bengal,Paschim bardhaman,Faridpur-Durgapur,Date of Submission for TOR: ,Date of Submission for EC: 18 Aug 2021 ,Industrial Projects - 1,ADHUNIK INDUSTRIES LTD,WithdrawEC
63,SIA/WB/MIN/262524/2022,EN/T-II-1/035/2023,Bangpur Sand Mine Manirul Mondal,West Bengal,Barddhaman,Burdwan - I,Date of Submission for TOR: ,Date of Submission for EC: 23 Dec 2022 ,Non-Coal Mining,"BANGPUR SAND MINE, MANIRUL MONDAL",Rejection Letter Granted
64,SIA/WB/MIN/198224/2021,EN/T-II-1/042/2021,Gopiballavpur - II Sand Block MGB - 65 of Soumen Gope,West Bengal,West Medinipur,Jhargram,Date of Submission for TOR: ,Date of Submission for EC: 15 Feb 2021 ,Non-Coal Mining,SOUMEN GOPE,Delisted
65,SIA/WB/MIS/210737/2019,EN/T-II-1/028/2019,Sugam Park,West Bengal,Paschim bardhaman,Jamuria,Date of Submission for TOR: ,Date of Submission for EC: 19 Sep 2019 ,INFRA-2,SUGAM PARK (AOP),Delisted
66,SIA/WB/MIS/153699/2020,,Proposed Institutional Project Biswa Bangla BiswaBidyalaya,West Bengal,Birbhum,Bolpur Sriniketan,Date of Submission for TOR: ,Date of Submission for EC: 15 Jun 2020 ,INFRA-2,DEPARTMENT OF HIGHER EDUCATION SCIENCE TECHNOLOGY AND BIO-TECHNOLOGY,Delisted
67,SIA/WB/MIN/208196/2021,EN/T-II-1/092/2021,Kotsimul Sand Mine,West Bengal,Barddhaman,Raina - II,Date of Submission for TOR: ,Date of Submission for EC: 08 Apr 2021 ,Non-Coal Mining,R.S. CONSTRUCTION,Delisted
68,SIA/WB/MIN/228553/2021,,"UPARDANGA SAND MINE (AREA- 3.40 HECTARES) ON KANGSHABATI RIVER ON Plot No.-706(P)LOCATED AT MOUZA- UPARDANGA, P.S. - MEDINIPUR, DISTRICT- PASCHIM MEDINIPUR, STATE- WEST BENGAL,JL NO. 83",West Bengal,West Medinipur,Medinipur Sadar,Date of Submission for TOR: ,Date of Submission for EC: 09 Sep 2021 ,Non-Coal Mining,KISHORE SING,Delisted
69,SIA/WB/MIN/231229/2021,,Kotsimul Sand Mine,West Bengal,Purba Burdwan,Burdwan,Date of Submission for TOR: ,Date of Submission for EC: 24 Sep 2021 ,Non-Coal Mining,"KOTSIMUL SAND MINE, MAA TARA BUILDERS",Delisted
70,SIA/WB/MIN/191197/2021,EN/T-II-1/130/2021,DEEP DUTTA SAND MINE (MSB-58),West Bengal,West Medinipur,Medinipur Sadar,Date of Submission for TOR: ,Date of Submission for EC: 29 Jun 2021 ,Non-Coal Mining,DEEP DUTTA SAND,Delisted
71,SIA/WB/MIN/196805/2021,EN/T-II-1/052/2021,Gopiballavpur - I Sand Block MGB - 15 of Najmul Khan,West Bengal,West Medinipur,Jhargram,Date of Submission for TOR: ,Date of Submission for EC: 06 Feb 2021 ,Non-Coal Mining,NAJMUL KHAN,Delisted
72,SIA/WB/MIN/36472/2019,,"Purusurah Sand Ghat over an area of 3.73 Ha in vill. Soaluk, P.S. Pursurah,Dist: Hooghly, West Bengal",,,,Date of Submission for TOR: ,Date of Submission for EC: 21 May 2019 ,Non-Coal Mining,NIRMALA BAIRI,Query raised by SEIAA and pending at PP
73,SIA/WB/MIN/261445/2022,,BRICK EARTH MINE OF RAJA BRICKS,West Bengal,Bankura,Bankura - II,Date of Submission for TOR: ,Date of Submission for EC: 14 Mar 2022 ,Non-Coal Mining,ARDHENDU MANDAL,Delisted
74,SIA/WB/MIS/40234/2018,EN/T-II-1/051/2018,"Proposed Secured Landfill facility  Calcutta Leather Complex, Bantala, Village-Tardaha Kapasati, District- South 24 Parganas, State-West Bengal.",West Bengal,South 24 Parganas,Bhangar - I,Date of Submission for EC: 02 Aug 2019 ,Date of Ec Granted : 12 Dec 2019,INFRA-2,MICRO SMALL AND MEDIUM ENTERPRISE & TEXTILES,EC Granted
75,SIA/WB/MIS/180865/2020,EN/T-II-1/063/2020,The 102,West Bengal,South 24 Parganas,Bishnupur - I,Date of Submission for TOR: ,Date of Submission for EC: 01 Dec 2020 ,INFRA-2,PS VINAYAK COMPLEX LLP,Delisted
76,SIA/WB/MIN/180009/2020,,Brick Earth Mine Mouza Adna,West Bengal,Malda,Gazole,Date of Submission for TOR: ,Date of Submission for EC: 22 Oct 2020 ,Non-Coal Mining,CRYSTAL CONSULTANTS,Delisted
77,SIA/WB/MIN/239050/2021,,M/s Mondal Bricks,West Bengal,Dakshin Dinajpur,Balurghat,Date of Submission for TOR: ,Date of Submission for EC: 16 Nov 2021 ,Non-Coal Mining,M/S MONDAL BRICKS,Delisted
78,SIA/WB/MIN/185745/2020,,Agampur Brick Earth Mining Project,West Bengal,Malda,Gazole,Date of Submission for TOR: ,Date of Submission for EC: 30 Nov 2020 ,Non-Coal Mining,CRYSTAL CONSULTANTS,Delisted
79,SIA/WB/MIN/197196/2021,EN/T-II-1/100/2021,Torsa River bed sand mine,West Bengal,Cooch Behar,alipurduar,Date of Submission for TOR: ,Date of Submission for EC: 16 Apr 2021 ,Non-Coal Mining,TORSA RIVER BED SAND MINE,Delisted
80,SIA/WB/MIN/247197/2021,,Stone Crusher Unit of M/s Shibsakti Stone Crusher Unit,West Bengal,Purulia,Barabazar,Date of Submission for TOR: ,Date of Submission for EC: 24 Dec 2021 ,Non-Coal Mining,M/S SHIBSAKTI STONE CRUSHER,Delisted
81,SIA/WB/MIN/246535/2021,,STONE CRUSHING UNIT OF M/S SREE RAGHUNATH STONE CRUSHING UNIT,West Bengal,Purulia,Barabazar,Date of Submission for TOR: ,Date of Submission for EC: 21 Dec 2021 ,Non-Coal Mining,STONE CRUSHING UNIT OF M/S SREE RAGHUNATH STONE CRUSHING UNIT,Delisted
82,SIA/WB/MIN/62458/2017,EN/T-II-1/022/2017,Krishnapur Sand Mine (5.58Ha),West Bengal,Barddhaman,Jamalpur,Date of Submission for EC: 19 May 2017 ,Date of Ec Granted : 05 Mar 2018,Non-Coal Mining,SYED MOZAFFAR,EC Granted
83,SIA/WB/NCP/84000/2018,,"Commercial Complex - Building and
Construction project",West Bengal,Hooghly,Serampur Uttarpara,Date of Submission for TOR: ,Date of Submission for EC: 03 Jan 2019 ,INFRA-1,HAPPY NIKETAN PRIVATE LIMITED,WithdrawEC
84,SIA/WB/NCP/81869/2018,,Commercial Complex,West Bengal,Kolkata,Kolkata,Date of Submission for TOR: ,Date of Submission for EC: 08 Oct 2018 ,INFRA-1,BENGAL BONDED WAREHOUSE LIMITED,WithdrawEC
85,SIA/WB/MIN/438578/2023,EN/T-II-1/483/2023,Gangarampur Sand Mine (MIN_DD_24),West Bengal,,,Date of Submission for EC: 29 Jul 2023 ,Date of Ec Granted : 17 Oct 2023,Non-Coal Mining,WEST BENGAL MINERAL DEVELOPMENT AND TRADING CORPORATION LIMITED,EC Granted
86,SIA/WB/MIN/262276/2022,,Subarnarekha Riverbed Sand Mine MSHB15,West Bengal,Jhargram,Kharagpur - I,Date of Submission for TOR: ,Date of Submission for EC: 24 Mar 2022 ,Non-Coal Mining,CHAKRABORTY ENTERPRISE,Delisted
87,SIA/WB/MIN/262667/2022,,Balia Sand Mine MGB60,West Bengal,Jhargram,Kharagpur - I,Date of Submission for TOR: ,Date of Submission for EC: 24 Mar 2022 ,Non-Coal Mining,M/S GREEGO DRIVE PVT. LTD,Delisted
88,SIA/WB/MIS/210406/2021,EN/T-II-1/113/2021,Housing Complex,West Bengal,South 24 Parganas,Sonarpur,Date of Submission for EC: 26 Apr 2021 ,Date of Ec Granted : 03 Jun 2022,INFRA-2,MERLIN PROJECTS LTD.,EC Granted
89,SIA/WB/MIS/212485/2021,EN/T-II-1/145/2021,Housing Complex,West Bengal,North 24 Parganas,Barasat - I,Date of Submission for EC: 17 May 2021 ,Date of Ec Granted : 07 Nov 2022,INFRA-2,MAGNOLIA INFRASTRUCTURE DEVELOPMENT LTD.,EC Granted
90,SIA/WB/MIN/232930/2021,,Gopiballavpur - II Sand Block MGB - 1 of Mithu Saha.,West Bengal,Jhargram,keshiary,Date of Submission for TOR: ,Date of Submission for EC: 02 Nov 2021 ,Non-Coal Mining,MITHU SAHA,Delisted
91,SIA/WB/MIN/196914/2021,EN/T-II-1/054/2021,Gopiballavpur - II Sand Block MGB - 90 of Sk. Karim,West Bengal,West Medinipur,Jhargram,Date of Submission for TOR: ,Date of Submission for EC: 10 Feb 2021 ,Non-Coal Mining,SK. KARIM,Delisted
92,SIA/WB/IND/31555/2019,EN/T-II-1/020/2019,"Installation of 2 X 20 MT Induction Furnaces with Continuous Caster and 1,48,800MT/Annum Rolling Mill",West Bengal,Bankura,Gangajalghati,Date of Submission for EC: 26 Feb 2022 ,Date of Ec Granted : 23 Aug 2022,Industrial Projects - 1,SHREE RAMDOOT ROLLERS PVT LTD,EC Granted
