,Proposal,File_No,Proposal Name,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
467,SIA/WB/MIN/63172/2017,EN/T-II-1/001/2017,CHANDI CHARAN PORAL,West Bengal,Chittoor,Indus,Date of Submission for EC: 15 Mar 2017 ,Date of Ec Granted : ,Non-Coal Mining,CHANDI CHARAN POREL,EC Granted - Processed offline
468,SIA/WB/NCP/25831/2017,EN/T-II-1/028/2018,IA/WB/NCP/63814/2017,West Bengal,Kolkata,Kolkata,Date of Submission for EC: 24 Apr 2018 ,Date of Ec Granted : 13 Jun 2019,INFRA-1,MAHAKOSH PROPOERTY DEVELOPERS,EC Granted
469,SIA/WB/MIN/206931/2021,,M/s Isha Brick Field,West Bengal,Malda,Chanchal - II,Date of Submission for TOR: ,Date of Submission for EC: 30 Mar 2021 ,Non-Coal Mining,M/S ISHA BRICK FIELD,WithdrawEC
470,SIA/WB/INFRA2/430463/2023,EN/T-II-1/407/2023,Residential Complex,West Bengal,,,Date of Submission for TOR: ,Date of Submission for EC: 24 May 2023 ,INFRA-2, PURTI NPR DEVELOPERS LLP,Deferred by SEIAA
471,SIA/WB/NCP/73874/2018,EN/T-II-1/031/2019,"Residential Complex - ""SUNRISE AURA""",West Bengal,South 24 Parganas,Baruipur,Date of Submission for EC: 22 Apr 2019 ,Date of Ec Granted : 22 Dec 2021,INFRA-1,SUREKA ISHA ZION DEVELOPERS PRIVATE LIMITED,EC Granted
472,SIA/WB/IND1/400440/2022,EN/T-II-1/159/2021,"4 x 20 Tonnes Induction furnaces with Ladle Refining Furnace, CCM and expansion of Wire Rod/Rolling Mill capacity from 1,20,000 to 2,50,000 TPA",West Bengal,Paschim bardhaman,,Date of Submission for EC: 13 Jan 2023 ,Date of Ec Granted : 28 Apr 2023,Industrial Projects - 1,VSP UDYOG PVT. LTD.,EC Granted
473,SIA/WB/MIN/452765/2023,EN/T-II-1/082/2023,Chaitpur Sand Mine,West Bengal,,,Date of Submission for TOR: ,Date of Submission for EC: 21 Nov 2023 ,Non-Coal Mining,SAYED HOSSAIN,Accepted by SEIAA and forwarded to SEAC
474,SIA/WB/MIN/435402/2023,EN/T-II-1/449/2023,Betgara Sand Mine (MIN_JPG_14),West Bengal,,,Date of Submission for EC: 02 Jul 2023 ,Date of Ec Granted : 20 Sep 2023,Non-Coal Mining,WEST BENGAL MINERAL DEVELOPMENT AND TRADING CORPORATION LIMITED,EC Granted
475,SIA/WB/NCP/80815/2018,EN/T-II-1/010/2019,Desun Hospital,West Bengal,South 24 Parganas,Sonarpur,Date of Submission for EC: 22 Jan 2019 ,Date of Ec Granted : 08 Jan 2020,INFRA-1,P N MEMORIAL NEUROCENTRE & RESEARCH INSTITUTE LIMITED,EC Granted - Processed offline
476,SIA/WB/NCP/63247/2017,EN/T-II-1/011/2017,Madhukali Aamarbari,West Bengal,South 24 Parganas,Baruipur,Date of Submission for TOR: ,Date of Submission for EC: 27 Mar 2017 ,INFRA-1,M/S AAMAR BARI GRIHA NIRMAN PVT. LTD.,Delisted
