,Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
4,35,SIA/WB/MIS/258304/2022,EN/T-II-1/015/2022,EXPANSION OF RESIDENTIAL COMPLEX BY KOLKATA HEIGHTS PVT. LTD.,KOLKATA HEIGHTS PRIVATE LIMITED,EC Granted,EC,
5,36,SIA/WB/MIN/420310/2023,EN/T-II-1/229/2023,Onda Sand Mine (MIN_BNK_45),WEST BENGAL MINERAL DEVELOPMENT AND TRADING CORPORATION LIMITED,Awaiting EC,EC,
6,37,SIA/WB/IND/22604/2017,EN/T-II-1/046/2017,Proposed Installation of Induction Furnaces & Rolling Mill at Barjora Plasto Steel Park.,AMIT FERRO ALLOYS & STEEL PRIVATE LIMITED,EC Granted,EC,
7,38,SIA/WB/IND/59753/2016,,Installation of 29000 TPA SMS by using Single Crucible Induction Furnace and 28000 TPA Rolling Mill,ORISSA METALIKS PRIVATE LIMITED,WithdrawEC,EC,
8,39,SIA/WB/MIS/143877/2020,EN/T-II-1/012/2020,EXPANSION OF RESIDENTIAL COMPLEX,PGE INFOSOLUTIONS PRIVATE LIMITED AND OTHERS,EC Granted,EC,
9,40,SIA/WB/MIN/264059/2022,EN/T-II-1/069/2023,Gaitanpur sand mine New Kalimata sand Supply,NEW KALIMATA SAND SUPPLY,Rejection Letter Granted,EC,
0,41,SIA/WB/MIN/422859/2023,EN/T-II-1/331/2023,Sarugaon Sand Mine (MIN_APD_9),WEST BENGAL MINERAL DEVELOPMENT AND TRADING CORPORATION LIMITED,ADS by SEAC,EC,
1,42,SIA/WB/NCP/91989/2019,EN/T-II-1/013/2019,RESIDENTIAL COMPLEX,AJNA COMMERCIAL PRIVATE LIMITED AND OTHERS,EC Granted,EC,
2,43,SIA/WB/MIN/262580/2022,,Gopalpur Sand Mining Ashim Panja,"KUMIRKOLA SAND MINE, ASHIM PANJA",Pending at PP due to eds,EC,
3,44,SIA/WB/MIS/50515/2018,EN/T-II-1/090/2018,Diamond City North,M/S ALCOVE CONSTRUCTION PVT. LTD. & OTHERS,Delisted,EC,
4,45,SIA/WB/MIN/186847/2020,,Darol Brick Earth Mine,CRYSTAL CONSULTANTS,Delisted,EC,
5,46,SIA/WB/MIS/27444/2016,EN/T-II-1/074/2016,Proposed Common Biomedical Waste Treatment Project,GREENTECH ENVIRON MANAGEMENT PVT LTD,WithdrawEC,EC,
6,47,SIA/WB/IND2/277881/2022,EN/T-II-1/042/2022,"Proposed Onshore Exploratory drilling of 7 wells in Bengal Onshore OALP-III Block BP-ONHP-2018/1 situated in North 24 Parganas and South 24 Parganas districts, West Bengal by M/s. ONGC Limited, MBA Basin",OIL AND NATURAL GAS CORPORATION LIMITED,EC Granted,EC,
