,Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
9,6249,SIA/GJ/IND3/63425/2021,SIA/GJ/204810/2021,GreenParadise Pigments LLP,GREENPARADISE PIGMENTS LLP,EC Granted,EC,
10,6250,SIA/GJ/MIN/68573/2020,SIA/GJ/204010/2021,Zat Ordinary Sand Block-C Mining Project of Shri Pauravkumar Harshadbhai Patel,PAURAVKUMAR HARSHADBHAI PATEL,EC Granted,EC,
1,6251,SIA/GJ/MIN/87320/2018,,"Rupen Sand Mining Project By
Mahomand Hanif Kesarkhan Pathan",RUPEN SAND MINING PROJECT BY PATHAN MAHOMAND HANIF KESARKHAN,Delisted,EC,
2,6252,SIA/GJ/NCP/66155/2017,SIA/GJ/10407/2017,Silver Sky,SILVER SKY,EC Granted,EC,
3,6253,SIA/GJ/MIS/156751/2020,SIA/GJ/76706/2020,Residential Cum  Commercial,SAKARIYA REALTY LLP,EC Granted,EC,
4,6254,SIA/GJ/IND2/163655/2020,SIA/GJ/110108/2020,Oswal Finechemicals LLP,OSWAL FINE CHEMICALS LLP,EC Granted,EC,
5,6255,SIA/GJ/IND2/226625/2021,SIA/GJ/151509/2021,M/s. Sunil R Parmar,M/S. SUNIL R PARMAR,EC Granted,EC,
6,6256,SIA/GJ/IND/1913/2015,,Friends Concast Limited,FRIENDS CONCAST LIMITED,EC Granted,EC,
7,6257,SIA/GJ/MIN/562/2015,SIA/GJ/4608/2015,Gururupa Metals,GURUKRUPA METALS,EC Granted,EC,
8,6258,SIA/GJ/MIN/33915/2015,,Niruben Rameshbhai Od,NIRUBEN RAMESHBHAI OAD,Delisted,EC,
9,6259,SIA/GJ/MIS/218655/2021,SIA/GJ/125808/2021,Gokul City Towers,BHAVANBHAI J  BHARWAD,EC Granted,EC,
10,6260,SIA/GJ/MIS/214531/2021,SIA/GJ/105506/2021,Eklingji Skylight,PATEL SHAILESHKUMAR D AND PATEL BHARATKUMAR D,EC Granted,EC,
1,6261,SIA/GJ/NCP/90231/2019,SIA/GJ/5801/2019,Commercial Project,KETANKUMAR B PATEL,EC Granted,EC,
2,6262,SIA/GJ/MIS/117277/2019,SIA/GJ/27803/2020,Sankalp in,SANKALP IN,EC Granted,EC,
3,6263,SIA/GJ/MIN/48368/2016,,RAMNIKBHAI ANANDBHAI PADLIYA,RAMNIKBHAI ANANDBHAI PADLIYA,Delisted,EC,
4,6264,SIA/GJ/MIN/48384/2016,,Baldevsinh A Rathod,BALDEVSINH A RATHOD,Delisted,EC,
5,6265,SIA/GJ/MIN/75092/2018,,GAYATRI BRICKS CORPORATION,GAYATRI BRICKS CORPORATION,Delisted,EC,
6,6266,SIA/GJ/MIN/35396/2015,SIA/GJ/164412/2015,Satyam Minerals,KISSAN MINERALS,Delisted,EC,
7,6267,SIA/GJ/IND2/37176/2018,SIA/GJ/63806/2019,Mahi Chemicals,MAHI CHEMICALS,EC Granted,EC,
8,6268,SIA/GJ/MIS/107094/2019,SIA/GJ/70806/2019,New construction Project (Mahesh Bhikhchand Karda and others),MAHESH BHIKHCHAND KARDA,EC Granted,EC,
9,6269,SIA/GJ/MIS/107308/2019,SIA/GJ/72606/2019,Shaligram Corporates,S S CORPORATION,EC Granted - Processed offline,EC,
10,6270,SIA/GJ/MIN/49121/2016,,Building Lime Stone Mine of Virambhai Lilabhai Odedara,BUILDING LIME STONE MINE OF VIRAMBHAI LILABHAI ODEDARA,Delisted,EC,
1,6271,SIA/GJ/MIN/47899/2016,,"""Mrs. Ushaben Ranchhodbhai Patel""",RAJUBHAI RANCHHODBHAI PATEL,Delisted,EC,
2,6272,SIA/GJ/MIN/47934/2016,,Ratilal Ravji Solanki (QL 6430),HARESH SOLANKI,Delisted,EC,
3,6273,SIA/GJ/MIN/47968/2016,,SONA STONE CRUSHER,GAYTRI STONE CRUSHER,Delisted,EC,
4,6274,SIA/GJ/MIN/47996/2016,,nandlal jivabhai ahir,SHIV ENTERPRISE,Delisted,EC,
5,6275,SIA/GJ/MIN/47997/2016,,Jadeja krushnasinh Pratapsinh,SHIV ENTERPRISE,Delisted,EC,
6,6276,SIA/GJ/MIS/37149/2018,SIA/GJ/80407/2019,ROMANOVIA INDUSTRIAL PARK PVT LTD,ROMANOVIA INDUSTRIAL PARK PVT LTD,EC Granted,EC,
7,6277,SIA/GJ/MIN/60282/2016,,NARESHBHAI DAHYABHAI OAD,NARESH D OAD,Delisted,EC,
8,6278,SIA/GJ/MIN/60283/2016,,RAHUL CHANDRAKANT CHAUDHARY,RAHUL CHANDRAKANTBHAI CHAUDHARY,Delisted,EC,
9,6279,SIA/GJ/MIN/61587/2017,,Kutch khanij vikas ind. Prop. R.P.Goswami,WASEEM CHAKI,Delisted,EC,
10,6280,SIA/GJ/MIN/48781/2019,sia/gj/141908/2021,Smt Rambai Viramji Gadhavi,SMT. RAMBAI VIRAMJI GADHAVI,EC Granted,EC,
1,6281,SIA/GJ/IND2/32443/2018,SIA/GJ/30103/2019,M/s. Crypton Pigments Pvt. Ltd.,M/S. CRYPTON PIGMENTS PVT. LTD.,EC Granted,EC,
2,6282,SIA/GJ/MIN/41066/2016,SIA/GJ/39901/2016,DUDASAN ORDINARY SAND MINING PROJECT,CHHANASINGH GOBARSINGH SOLANKI,Delisted,EC,
