,Unnamed: 0,Proposal.No.,File.No.,Project.Name,Company,Proposal.Status,Project.Type,View,Form_Type
955,956,SIA/HR/NCP/75868/2018,,"Development of Residential Colony (5.075 acres) under Deen Dayal Jan Awas Yojna (DDJAY), at village Mohammadpur Gujar, Sector 35, Sohna, Dist. Gurugram, Haryana",FAITH BUILDTECH PVT LTD,Delisted,EC,, 
956,957,SIA/HR/MIS/31314/2019,,,PURI CONSTRUCTION PVT. LTD.,Delisted,EC,, 
957,958,SIA/HR/NCP/30923/2015,,,SARVPRIYA SECURITIES PVT LTD,Delisted,EC,, 
958,959,SIA/HR/INFRA2/451772/2023,SEIAA/HR/2023/441,"Proposed Commercial Colony Project in the Revenue Estate of Village- Nakhroula, Sector-82, Gurugram, Haryana being developed by Elan Imperial Private Limited",ELAN IMPERIAL PRIVATE LIMITED,Under examination of SEIAA after SEAC,EC,, 
959,960,SIA/HR/NCP/62806/2017,SEIAA/HR/17/320 dated 10.03.2017. please submit ha,"Ware house project at village pathreri, district gurgaon, haryana",JKS INFRASTRUCTURE PRIVATE LIMITED,EC Granted,EC,, 
960,961,SIA/HR/NCP/10949/2013,,EC obained for Existing projects,ARNON BUILDERS AND REALTOR LIMITED,WithdrawEC,EC,, 
961,962,SIA/HR/MIS/167267/2020,SEIAA/HR/2020/306 do the needful,Logistic Park Project,M/S TOPLINE LOGISTICS PARK PRIVATE LIMITED,EC Granted,EC,, 
962,963,SIA/HR/MIN/11023/2015,File no. SEIAA/HR/MIN/16/145 dated 21.04.2016,IA/HR/MIN/29145/2015,M/S MUBARIKPUR ROYALTY COMPANY,EC Granted,EC,, 
963,964,SIA/HR/NCP/31955/2015,,"Commercial Colony at Sector-38, Panipat, Haryana",M/S TDI REALCON PVT. LTD.,Delisted,EC,, 
964,965,SIA/HR/INFRA2/403125/2022,,"IT Building on Plot No.412-415, Udyog Vihar Phase IV, Gurgaon, Haryana",INTERPRESS PUBLISHERS PRIVATE LIMITED,WithdrawEC,EC,, 
965,966,SIA/HR/MIN/18823/2016,SEIAA/HR/MIN/16/156 dated 11.05.2016,Stone Along with associated minor mineral at Kalyana Plot 2 Village KAlyana district Bhiwani,MS SBIPL PROJECTS LTD,EC Granted,EC,, 
966,967,SIA/HR/INFRA2/452757/2023,SEIAA/HR/2023/447,"Proposed Health Institution (Hospital) in the revenue estate of Village-Ullawas, Sector 63A, Tehsil-Wazirabad, District-Gurugram, Haryana By ESSEL INFRA LLP in Collaboration with Prem Singh S/o Sri Sukhlal.",ESSEL INFRA LLP,Under examination of SEIAA after SEAC,EC,, 
967,968,SIA/HR/MIS/72563/2022,,Expansion of Institutional Project NCR Biotech Science Cluster Phase II At Village Bhankri Faridabad Haryana,TRANSLATIONAL HEALTH SCIENCE AND TECHNOLOGY INSTITUTE THSTI,Delisted,EC,, 
968,969,SIA/HR/NCP/52909/2016,File no. SEIAA/HR/16/272 dated 18.04.2016. Please,“IT/ITES Project” (Expansion) by M/s JSK Multi Products Pvt. Ltd.,JSK MULTI PRODUCTS PVT LTD,EC Granted,EC,, 
969,970,SIA/HR/MIS/164744/2020,SEIAA/HR/2020/295,"Revision & Expansion of Affordable Group Housing project at Village Billah, Sec-14, Panchkula Ext-II, Panchkula, Haryana",GREEN SPACE INFRAHEIGHTS PVT LTD,EC Granted,EC,, 
970,971,SIA/HR/MIS/155984/2020,SEIAA/HR/2020/351 hard copy to be submitted,"Expansion of Warehouse Building  in the Revenue Estate of Village-Patli Hazipur, Gurugram, Haryana by M/s Umang Leasing & Credit Co. Ltd.",UMANG LEASING & CREDIT CO LTD,EC Granted,EC,, 
971,972,SIA/HR/MIN/16133/2015,"SEIAA/HR/MIN/16/159 dated 17.06.2016.
Please subm","Mining of Minor Mineral from mines/quarries of ""Mandoli Ghaggar West Block/YNR B4",MS JSM FOODS,EC Granted,EC,, 
972,973,SIA/HR/MIS/236443/2021,SEIAA/HR/2021/477,Expansion of Warehouse for storage for agro as well as non-agro produce Project  by M/s P.R.J Warehousing Private Limited,P.R.J. WAREHOUSING PRIVATE LIMITED,EC Granted,EC,, 
973,974,SIA/HR/MIS/31324/2019,"SEIAA/HR/19/23

Hard copy to be submitted",,M/S VIBRANT INFRATECH PVT LTD,EC Granted - Processed offline,EC,, 
974,975,SIA/HR/NCP/30539/2017,"SEIAA/HR/VIO/19/01

Please submit the hard copy","Group Housing Project""Atharva""",RAHEJA DEVELOPERS PVT LTD,Deferred by SEAC,EC,, 
975,976,SIA/HR/INFRA2/416859/2023,SEIAA/HR/2022/193,“Hisar Integrated Manufacturing Cluster”,"DEPARTMENT OF CIVIL AVIATION, HARYANA",Rejection Letter Granted,EC,, 
976,977,SIA/HR/INFRA2/412187/2022,SEIAA/HR/2023/290,"Modernization of existing Common Bio Medical Waste Facility, Bhiwani",M/S MARUTI BIO MEDICAL WASTE PLANT,EC Granted,EC,, 
977,978,SIA/HR/INFRA2/429905/2023,SEIAA/HR/2023/349,"Residential Plotted Colony ""Express City""",EXPRESS PROJECTS P LTD,EC Granted,EC,, 
978,979,SIA/HR/MIS/131779/2019,SEIAA/HR/19/243 hard copy to be submitted,"Group Housing Complex “SPLENDOR GRANDE” Sector – 19, Panipat, Haryana",SPLENDOR LANDBASE LTD,EC Granted,EC,, 
979,980,SIA/HR/IND3/243032/2021,SEIAA/HR/2021/494,"Expansion of API in Existing API Unit at Plot no. 710 & 711 MIE Part-A Bahadurgarh, Haryana by M/s Pharmchem",PHARMACHEM,Site Visit by SEAC(Pending),EC,, 
980,981,SIA/HR/MIS/116714/2019,SEIAA/HR/19/201 hard copy has to submitted,"Revision & Expansion of IT-Park Project located at Village -Tikri, Sector - 48, Gurugram, Haryana  by M/s Parsavnath Developers Ltd.",PARSAVNATH DEVELOPERS LTD,EC Granted - Processed offline,EC,, 
981,982,SIA/HR/MIS/214313/2021,file No. SEIAA/HR/2021/422 has been assigned. Hard,Warehouse (Non-Agro Produce) Project,SMT. MONA W/O SH. RAJKUMAR,EC Granted,EC,, 
982,983,SIA/HR/MIS/215365/2021,file No. SEIAA/HR/2021/423 has been assigned. Hard,Expansion of Inland Container Depot & Warehouse (Logistics) Project,M/S HIND TERMINALS PVT. LTD.,EC Granted,EC,, 
983,984,SIA/HR/MIS/52902/2020,SEIAA/HR/2020/267 hard copy to be submitted. TOR w,"Expansion of IT/ITES, SEZ Project (25.175 ACRES), Sector 48, Village Tikri, Gurugram, Haryana",CANDOR GURGAON ONE REALITY PROJECT PVT LTD,EC Granted,EC,, 
984,985,SIA/HR/MIS/129963/2019,SEIAA/HR/2022/123,Construction of Sheetla Mata Devi Hospital,"GURUGRAM METROPOLITAN DEVELOPMENT AUTHORITY, GMDA",EC Granted,EC,, 
985,986,SIA/HR/MIS/184242/2020,SEIAA/HR/2020/343 hard copy to be submitted,"Proposed Affordable Plotted Colony under Deen Dayal Jan Awas Yojna Scheme-2016 of 10.96875 Acres (Phase-II) at village Shimla Maulana, Sector-40, Panipat, Haryana by M/s Herman Properties Pvt. Ltd.",M/S HERMAN PROPERTIES PVT. LTD.,EC Granted,EC,, 
986,987,SIA/HR/MIS/66789/2020,SEIAA/HR/2021/468,proposed Common Effluent Treatment Plant (CETP) of 6 MLD (3 MLD at Phase-I and 3 MLD at Phase-II) capacity based on extended aeration system,"HARYANA STATE INDUSTRIAL AND INFRASTRUCTURE DEVELOPMENT CORPORATION LIMITED (HSIIDC),",EC Granted,EC,, 
987,988,SIA/HR/MIS/225771/2021,File. No. SEIAA /HR/2021/489,"Proposed ""Affordable Group Housing Colony"" at village-Tikampur, Sector-103, Gurugram, Haryana by M/s Care Realtech Pvt Ltd in collaboration with HCBS developments Ltd.",M/S CARE REALTECH PVT LTD IN COLLABORATION WITH HCBS DEVELOPMENTS LTD.,EC Granted,EC,, 
988,989,SIA/HR/MIS/171670/2020,SEIAA/HR/2020/314 hard copy to be submitted,"Affordable Group Housing Colony Project located at Revenue Estate of Village- Dhorka, Sector- 95, Gurugram, Haryana by M/s Doctor Agro Pvt. Ltd. in collaboration with M/s Czar Buildwell Pvt. Ltd.",M/S DOCTOR AGRO PVT LTD IN COLLABORATION WITH M/S CZAR BUILDWELL PVT LTD,EC Granted,EC,, 
