,Proposal.No.,File_No,Proposal Name,State,District,Tehsil,Date_1,Date_2,Category,Company,Status,Link,Timeline
5144,SIA/MP/MIN/35477/2015,,"Dhansua Soil Deposit
(For Tiles Manufacturing)
Mining Project:-Category ‘B2’
Area: 1.307 Hectare
Khasra No. 336/1, 351, 352/1, 352/2
Vill. – Dhansua, Tehsil- Balaghat,
District- Balaghat (Madhya Pradesh)",Madhya Pradesh,Balaghat,Balaghat,Date of Submission for TOR: ,Date of Submission for EC: 22 Dec 2015 ,Non-Coal Mining,MS KHANDUJA TILES INDUSTRIES PROPRIETOR SHRI BAVINDAR SINGH KHANDUJA,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Madhya%20Pradesh&pno=SIA/MP/MIN/35477/2015&pid=4671,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MP/MIN/35477/2015&type=EC&ID=4671
5145,SIA/MP/MIN/42108/2016,,"2.00 Hectare Gudbhela Stone Boulder Quarry
Of
Shri Iqbal Ahmed
At
Vill.- Gudbhela, Teh.-Sehore, Dist.-Sehore (M.P.)",Madhya Pradesh,Sehore,Sehore,Date of Submission for TOR: ,Date of Submission for EC: 23 Jan 2016 ,Non-Coal Mining,IQBAL AHMAD,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Madhya%20Pradesh&pno=SIA/MP/MIN/42108/2016&pid=10860,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MP/MIN/42108/2016&type=EC&ID=10860
5146,SIA/MP/IND3/442649/2023,9704/2023,M/s. Shri Vinayak Surgi Plast Pvt Ltd,Madhya Pradesh,,,Date of Submission for EC: 16 Sep 2023 ,Date of Ec Granted : 01 Dec 2023,Industrial Projects - 3, SHRI VINAYAK SURGI PLAST PRIVATE LIMITED,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Madhya%20Pradesh&pno=SIA/MP/IND3/442649/2023&pid=225251,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MP/IND3/442649/2023&type=EC&ID=225251
5147,SIA/MP/MIN/439771/2023,,Nagzhiri Stone (Gitti) Quarry,Madhya Pradesh,,,Date of Submission for TOR: ,Date of Submission for EC: 09 Aug 2023 ,Non-Coal Mining,KRISHNA KHOKAR,Query raised by SEIAA and pending at PP,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Madhya%20Pradesh&pno=SIA/MP/MIN/439771/2023&pid=223786,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MP/MIN/439771/2023&type=EC&ID=223786
5148,SIA/MP/MIN/37560/2015,,"Bilantri Stone Quarry, over an area 1.000 ha. kh. no. 375, village Bilantri, Tehsil Mandsaur, Distt. Mandsaur.",Madhya Pradesh,Mandsaur,Mandsaur,Date of Submission for TOR: ,Date of Submission for EC: 31 Dec 2015 ,Non-Coal Mining,KARANDEEP GARG,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Madhya%20Pradesh&pno=SIA/MP/MIN/37560/2015&pid=6653,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MP/MIN/37560/2015&type=EC&ID=6653
5149,SIA/MP/MIN/35314/2015,4950/2016,"Environment Clearance for Borlaye Stone Deposit Quarry, Proponent Name Smt. Priyanka Sharma W/o Shri Ashish Sharma, Resi. Sainath Colony, Barwani, District – Barwani (M.P.)",Madhya Pradesh,Barwani,Barwani,Date of Submission for TOR: ,Date of Submission for EC: 15 Jan 2016 ,Non-Coal Mining,MINING,TransferToDEIAA,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Madhya%20Pradesh&pno=SIA/MP/MIN/35314/2015&pid=4529,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MP/MIN/35314/2015&type=EC&ID=4529
5150,SIA/MP/MIN/21149/2016,5285/2016,4.90 ha Tikar Bauxite Mine,Madhya Pradesh,Rewa,Huzur,Date of Submission for TOR: ,Date of Submission for EC: 23 Nov 2017 ,Non-Coal Mining,THE MP STATE MINING CORPORATION LTD,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Madhya%20Pradesh&pno=SIA/MP/MIN/21149/2016&pid=40414,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MP/MIN/21149/2016&type=EC&ID=40414
5151,SIA/MP/MIN/37170/2015,,Chitua Stone Quarry,Madhya Pradesh,Datia,Datia,Date of Submission for TOR: ,Date of Submission for EC: 30 Dec 2015 ,Non-Coal Mining,MOHAN LAL MITTAL,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Madhya%20Pradesh&pno=SIA/MP/MIN/37170/2015&pid=6278,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MP/MIN/37170/2015&type=EC&ID=6278
5152,SIA/MP/MIN/36793/2015,,duhlapur mine 7.75h,Madhya Pradesh,Balaghat,Katangi,Date of Submission for TOR: ,Date of Submission for EC: 30 Dec 2015 ,Non-Coal Mining,BHAGCHAND SANCHETI,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Madhya%20Pradesh&pno=SIA/MP/MIN/36793/2015&pid=5919,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MP/MIN/36793/2015&type=EC&ID=5919
5153,SIA/MP/MIN/36947/2015,,Payali Metal Stone Quarry of Shri Suresh Kumar Uike,Madhya Pradesh,Seoni,Seoni,Date of Submission for TOR: ,Date of Submission for EC: 30 Dec 2015 ,Non-Coal Mining,SHRI SURESH KUMAR UIKE,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Madhya%20Pradesh&pno=SIA/MP/MIN/36947/2015&pid=6070,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MP/MIN/36947/2015&type=EC&ID=6070
5154,SIA/MP/MIN/37428/2015,,"Kuthrahiya Flagstone Quarry
OF Shri Adyach, Pichda Warg Stone Quarry Shramik
Mazdoor, SH.S.Mrya.Agra Mo. Panna
AT Khasra No. 224
Vill.-Kuthrahiya, Tehsil-Pawai , District-Panna (M.P.)
Production Capacity: 6000 Cu.mt/year Flagstone
Area – 2.50 H",Madhya Pradesh,Panna,Pawai,Date of Submission for TOR: ,Date of Submission for EC: 22 Feb 2016 ,Non-Coal Mining,SHRI ADYACH PICHDA WARG STONE QUARRY PRESIDENT SMT LEELA RAIKWAR AT VILLAGE KUTHARIA TEHSIL PAWAI DISTRICT PANNA,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Madhya%20Pradesh&pno=SIA/MP/MIN/37428/2015&pid=6524,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MP/MIN/37428/2015&type=EC&ID=6524
5155,SIA/MP/MIN/49172/2016,,"PURENA STONE QUARRY DEPOSIT
VILLAGE- PURENA
TEHSIL- UDAIPURA
 DISTRICT- RAISEN
AREA- 2.630 HECTARE
KHASRA NO.- 79/1
LESSEE- SHRI DURGESH SINGH RAJPUT
R/O-  LAXMI CHOWK
TEHSIL- UDAIPURA
DISTRICT- RAISEN
MP",Madhya Pradesh,Raisen,Udaipura,Date of Submission for TOR: ,Date of Submission for EC: 12 Feb 2016 ,Non-Coal Mining,DURGESH SINGH RAJPUT,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Madhya%20Pradesh&pno=SIA/MP/MIN/49172/2016&pid=12974,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MP/MIN/49172/2016&type=EC&ID=12974
5156,SIA/MP/MIN/405572/2022,9555/2022,Bhainsua Crusher Stone Quarry ,Madhya Pradesh,,,Date of Submission for EC: 18 Dec 2022 ,Date of Ec Granted : 14 Feb 2023,Non-Coal Mining,ANIRUDDHA MEENA,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Madhya%20Pradesh&pno=SIA/MP/MIN/405572/2022&pid=214049,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MP/MIN/405572/2022&type=EC&ID=214049
