,Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
3,4873,SIA/MP/IND2/426229/2023,9929/2023,"Environmental Clearance for drilling of 25 nos. of Coalbed Methane (CBM) Exploration in Block SP-ONHP(CBM)-2021/1 (Satpura CBM Block), Madhya Pradesh by M/S. INVENIRE PETRODYNE LTD",INVENIRE PETRODYNE LIMITED,EC Granted,EC,
4,4874,SIA/MP/RIV/19367/2017,,Simrol Ambachandan Micro Lift Irrigation,Narmada Valley Development Authority,EC Granted,EC,
5,4875,SIA/MP/MIN/441196/2023,,Samnapur Stone Quarry,AJAY LODHI,Pending at PP due to eds,EC,
6,4876,SIA/MP/MIN/37535/2015,,"Environmental Clearance for  Hirapur Flag  Stone  Quarry  Shri Asim Tiwari S/o Shri Laxminarayan Tiwari, Resi. Anik Industries The. & Dist Inore (MP)",STONE MEN,Delisted,EC,
7,4877,SIA/MP/MIN/59886/2016,,"Project Name parsana Sand Deposit  Village-parsana,TH-Baiora Dist Rajgarh
Area-20.214 Ha Khasra No-560
Project proponent Mr Chain Singh 
Resi-Narwe Th Baiora Dist-Rajgarh",DHEERAJ ASSOCIATE MINING,Delisted,EC,
8,4878,SIA/MP/MIN/37328/2015,,"Environmental Clearance for Bibrod Stone Deposit , Proponent Shri Rohan Sharma S/0 Shri Nandkishor Sharma, Resi. 80, Sajjan Mill Road, Ratlam, Distt. Ratlam (MP)",MINING,Delisted,EC,
9,4879,SIA/MP/MIN/36951/2015,,"3.00  Hectare  Sarkra Flag Stone Quarry Of Chanda Vyas W/o Shri Shiv Narayan Vyas
At
Vill.- Sarkra, Teh.-Isagarh, Dist.- Ashoknagar  (M.P.)",CHANDA VYAS,Delisted,EC,
10,4880,SIA/MP/MIS/59408/2016,5747/2018,"Passenger Ropeway at Hanuman Dhara Temple, Madhya Pradesh",DAMODAR ROPEWAYS AND INFRA LIMITED,EC Granted,EC,
1,4881,SIA/MP/MIN/52185/2016,,bhanpur sand deposit,JAHID KHAN,EC Granted - Processed offline,EC,
2,4882,SIA/MP/MIN/64062/2017,,"Environmental Clearance for Hilgawan River Sand Auction Quarry area 6.910 ha, Khasra No. 391 and 24,876 CUM / Annum, M/s Shri Viamal Pathak 
Resi. 55 Shahid smriti Ramanuj Nagar Bheind Ram Vatika, Sachin Tendulkar Road  Distt. Gwalior (M.P.)",MINING,Delisted,EC,
