,Unnamed: 0,X,Proposal.No.,File.No.,Project.Name,Company,Proposal.Status,Project.Type,View,Form_Type
7027,7028,10,SIA/MP/MIN/48754/2016,,"Environmental Clearance for Lohani Dolomite Mine, Proponent M/s Jigsun Alloys Pvt. Ltd, Director Shri Sunil Mishra
Resi. Plot no. 10, House No. 762, Tilak Nagar, Nagpur (MH)",MINING,Delisted,EC,, 
7028,7029,1,SIA/MP/MIN/35806/2015,,Bajrangarh Stone  Quarry,AMITA JAIN,Delisted,EC,, 
7029,7030,2,SIA/MP/MIN/36723/2015,,Chakantu  Stone (Gitty) Quarry of Smt. Mithlesh w/o Shri Pushpendra Singh Sengar R/o Gwalior,FIRST NATURE CARE,Delisted,EC,, 
7030,7031,3,SIA/MP/MIN/35180/2015,,SANGAM RIVER SAND QUARRY AREA 5.000 HECT.,A D AGRO FOODS PVT LTD,Delisted,EC,, 
7031,7032,4,SIA/MP/MIN/37270/2015,,"Majhigawan Stone (Gitty) Quarry
OF M/s Maa Sharda Stone
AT Khasra No. 661/2, 662, 663
Vill.-Majhigawan, Tehsil- Deosar, District-Singrauli (M.P.)
Production Capacity: Max.14060 Cu.mt/year Stone (Gitti)
Area – 1.34 Hectare",MS MAA SHARDA STONE PARTNER MAKHAN SINGH AND OTHER VILLAGE MAJHIGAWAN TEHSIL DEOSAR DISTRICT SINGRAULLI,TransferToDEIAA,EC,, 
7032,7033,5,SIA/MP/MIN/403103/2022,7642/2020,Hathkoh Stone Mining Project,KAMLESH PATEL,Delisted,EC,, 
7033,7034,6,SIA/MP/MIN/431095/2023,11146/2024,RAKSHA STONE QUARRY,GULAB GUPTA,Under examination of SEAC,EC,, 
7034,7035,7,SIA/MP/MIN/36369/2015,,Jawasa Soil Quarry,JAI PRAKASH SHARMA,Delisted,EC,, 
7035,7036,8,SIA/MP/MIN/55562/2016,,Sukri Metal Stone Quarry of Shri Vibhas Kumar Jain,VIBHAS KUMAR JAIN,Delisted,EC,, 
7036,7037,9,SIA/MP/MIN/411494/2022,9584/2023,Bedmau  Flagstone Quarry,MUKESH KUMAR,EC Granted,EC,, 
7037,7038,10,SIA/MP/MIN/440631/2023,10896/2023,Dogariya Khurd Stone Quarry,MADHU AGRAWAL,Agenda Uploaded by SEAC,EC,, 
7038,7039,1,SIA/MP/NCP/42887/2016,,"VIDYUT NAGAR GRAHA NIRMAN SAHAKARI SAMITI MARYADIT,
Gram Lalitpur 
245/1, 246/2
Village – Lalitpur 
Gwalior 
Gwalior 
M.P.",VIDHIYUT NAGAR GRAHA NIRMATA SAHKARI SANSTHA MARYADIT,Delisted,EC,, 
7039,7040,2,SIA/MP/MIN/35315/2015,,Bhuneshwar Gupta 1.0 Ha Stone Quarry,SHRRRAM TRADERS,Delisted,EC,, 
