,Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
26,SIA/GJ/MIN/42923/2019,SIA/GJ/142408/2021,Gujarat,Navsari,Gandevi,Date of Submission for EC: 16 Jul 2021 ,Date of Ec Granted : 27 Apr 2022,Non-Coal Mining,SMT. RAMILABEN BABUBHAI PATEL,EC Granted
27,SIA/GJ/IND2/65339/2007,SIA/GJ/128608/2021,Gujarat,Surat,Surat City,Date of Submission for TOR: ,Date of Submission for EC: 14 Mar 2022 ,Industrial Projects - 2,M/S ORGOSYNTH,ADS by SEAC
28,SIA/GJ/IND2/151734/2020,SIA/GJ/53304/2020,Gujarat,Mahesana,Mahesana,Date of Submission for EC: 07 May 2020 ,Date of Ec Granted : 29 Jun 2020,Industrial Projects - 2,SUMAR BIOTECH LLP,EC Granted
29,SIA/GJ/IND2/164556/2020,SIA/GJ/108608/2020,Gujarat,Anand,Khambhat,Date of Submission for EC: 10 Sep 2020 ,Date of Ec Granted : 18 Mar 2021,Industrial Projects - 2,VIPSONS CHEMICAL INDUSTRIES,EC Granted
30,SIA/GJ/IND2/53918/2020,SIA/GJ/79406/2020,Gujarat,Bharuch,Vagra,Date of Submission for EC: 17 Jun 2020 ,Date of Ec Granted : 18 Mar 2021,Industrial Projects - 2,NEELIKON FOOD DYES AND CHEMICALS LIMITED,EC Granted
31,SIA/GJ/IND2/53952/2008,SIA/GJ/87007/2020,Gujarat,Ahmedabad,Ahmadabad City,Date of Submission for EC: 03 Jul 2020 ,Date of Ec Granted : 24 Jan 2023,Industrial Projects - 2,ASIATIC COLOUR CHEM IND LTD,EC Granted
32,SIA/GJ/IND2/176099/2020,SIA/GJ/171609/2020,Gujarat,Bharuch,Jambusar,Date of Submission for EC: 28 Nov 2020 ,Date of Ec Granted : 02 Jul 2021,Industrial Projects - 2,M/S. PARSHWNATH PIGMENTS LTD. (UNIT-II),EC Granted - Processed offline
33,SIA/GJ/IND2/176206/2020,SIA/GJ/172809/2020,,,,Date of Submission for TOR: ,Date of Submission for EC: 11 Dec 2021 ,Industrial Projects - 2,M/S. SHREE HARI PHARMACHEM,WithdrawEC
34,SIA/GJ/IND2/175115/2020,SIA/GJ/178909/2020,Gujarat,Vadodara,Vadodara,Date of Submission for EC: 30 Sep 2020 ,Date of Ec Granted : 16 Mar 2022,Industrial Projects - 2,DHANLAXMI CHEMICALS.,EC Granted
35,SIA/GJ/IND2/174679/2020,SIA/GJ/156909/2020,Gujarat,Anand,Khambhat,Date of Submission for EC: 22 Sep 2020 ,Date of Ec Granted : 02 Jul 2021,Industrial Projects - 2,NM PHARMACHEM,EC Granted
