,Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
7,607,SIA/JH/MIN/43345/2019,EC/SEIAA/2018-19/2182/2019,Bhuska Stone Mine,MAA DURGA STONE WORK BHUSKA STONE MINE,EC Granted,EC,
8,608,SIA/JH/MIN/436863/2023,EC/SEIAA/2023-24/2888/2023,NAWADA & PURNADIH STONE MINE,SANNIDHYA SINGH,EC Granted,EC,
9,609,SIA/JH/INFRA2/439945/2023,EC/SEIAA/2023-24/2905/2023,Proposed Group Housing Residential Project Green Ville Phase II,SANJEEV BAZAZ,EC Granted,EC,
10,610,SIA/JH/MIN/33516/2015,EC/SEIAA/2015-16/1757/2015,"DORMA STONE MINE
(PROP SHRI DHARMENDRA BHAGAT)",MS CRYSTAL CONSULTANTS,EC Granted,EC,
1,611,SIA/JH/MIN/448964/2023,EC/SEIAA/2023-24/3042/2023,Chumba Stone & Soil Mine,JUNAID ANWAR,EC Granted,EC,
2,612,SIA/JH/IND/21810/2009,EC/SEIAA/2017-18/2068/2017,Burnpur Cement Limited,MS BURNPUR CEMENT LIMITED,EC Granted,EC,
3,613,SIA/JH/MIN/33255/2015,EC/SEIAA/2015-16/1678/2015,"PIPALJORI STONE MINE
(M/S LAKHMANI STONE PRODUCTS)",MS CRYSTAL CONSULTANTS,EC Granted,EC,
4,614,SIA/JH/MIN/413927/2023,EC/SEIAA/2022-23/2741/2023,Jaidiha Stone Deposit  (0.687 ha.),ASMITA KIRO,EC Granted,EC,
5,615,SIA/JH/MIN/407745/2022,EC/SEIAA/2022-23/2553/2022,Sundarpahari Stone Deposit,MD ALI,EC Granted,EC,
6,616,SIA/JH/MIN/445495/2023,,RANO STONE MINE,OM PRAKASH,Under examination of SEIAA,EC,
7,617,SIA/JH/NCP/74878/2018,EC/SEIAA/2078-19/2150/2019,"Construction of 500 bedded Government Hospital,
Hazaribagh, Jharkhand",JHARKHAND STATE BUILDING CONSTRUCTION CORPORATION LIMITED,Delisted,EC,
8,618,SIA/JH/MIN/50697/2016,,Sunil Kumar Kejriwal,SUNIL KMAR KEJRIWAL,TransferToDEIAA,EC,
