,Unnamed: 0,X,Proposal.No.,File.No.,Project.Name,Company,Proposal.Status,Project.Type,View,Form_Type
846,847,2,SIA/JH/MIN/448938/2023,EC/SEIAA/2023-24/3038/2023,PATKI STONE MINE,HIRA MANJHI,EC Granted,EC,, 
847,848,3,SIA/JH/MIN/418150/2023,EC/SEIAA/2022-23/2548/2023,"Basmata Mining Project (Area: -2.00 hect, Production Capacity – 35960 Cu. M/ Year & 100688 TPA)",SOUMITRA GHOSH,EC Granted,EC,, 
848,849,4,SIA/JH/MIN/428407/2023,EC/SEIAA/2023-24/2813/2023,SINGARI STONE DEPOSIT (Area 1.06 Ha.),SATYENDRA KUMAR,EC Granted,EC,, 
849,850,10,SIA/UP/IND/238773/2021,No Increase Pollution Load,Inclusion of Ordinary Portland Cement of 2.0 MTPA Max within the total overall capacity of 6.6 MTPA for Cement Grinding Unit of Jojobera Cement Plant at village Jojobera Rahargora Jamshedpur East Singhbhum Jharkhand by Nuvoco Vistas Corp Ltd,NUVOCO VISTAS CORP LTD,,NIPL,, Parivesh-2
850,851,1,IA/JH/IND/5925/2011,No Increase Pollution Load,Change in the Product or Raw Material Mix by adding product of Super Sulphate Cement in addition to the Existing Product of PSC  PPC OPC CC GGBFS without change in production capacity and Pollution Load for Sindri Cement Works Grinding Unit,ACC Limited,,NIPL,, Parivesh-2
851,852,2,SIA/UP/IND/216350/2021,No Increase Pollution Load,Production Capacity enhancement with no increase in pollution load to 4.5 MTPA existing 3.7 MTPA  through change in product mix and modernization of Technology in existing standalone grinding unit of Dalmia Cement Bharat Limited,DALMIA CEMENT (BHARAT) LIMITED,,NIPL,, Parivesh-2
852,853,1,SIA/JH/MIS/115572/2019,EC/SEIAA/2018-19/2130/2019,Assembly Building Project,GREATER RANCHI DEVELOPMENT AGENCY LIMITED,EC Granted,EC,, 
853,854,2,SIA/JH/MIN/42154/2019,EC/SEIAA/2018-19/2188/2019,BISHUNPUR STONE MINE,MS SOURA CONSTRUCTIONS PVT LTD,EC Granted,EC,, 
854,855,4,SIA/JH/MIN/227373/2021,EC/SEIAA/2021-22/2414/2021,Pratappur & Mansinghpur Stone Mine Project,M/S FOUR STAR STONE WORKS,EC Granted,EC,, 
855,856,5,SIA/JH/MIN/271488/2022,EC/SEIAA/2022-23/2583/2022,Rohra Stone Deposit,CHATHRIN HEMBROM,EC Granted,EC,, 
856,857,6,SIA/JH/MIS/102942/2019,EC/SEIAA/2017-18/2041/2017,Proposed Convention Centre Building Construction Project,CRYSTAL CONSULTANTS,EC Granted,EC,, 
857,858,9,SIA/JH/MIN/221304/2021,EC/SEIAA/2021-22/2384/2021,RAMBANI STONE MINE OF M/S R.S.S. STONE WORKS,RAMBANI STONE MINE OF M/S R.S.S. STONE WORKS,EC Granted,EC,, 
858,859,10,SIA/JH/MIN/237496/2021,EC/SEIAA/2021-22/2470/2021,CHAPRAKOCHA STONE MINE,CRYSTAL CONSULTANTS,EC Granted,EC,, 
859,860,1,SIA/JH/MIN/43258/2019,,Galwati & Khairidih Stone Mine,SRI AMAR KUMAR PURUSHOTTAM KUMAR,Delisted,EC,, 
860,861,3,SIA/JH/MIN/197325/2021,,"Brick Soil Mining For K.A.B. Bricks in Mouza Barwe, Area 4.21 Acres",CRYSTAL CONSULTANTS,Delisted,EC,, 
861,862,10,SIA/JH/MIN/34822/2019,EC/SEIAA/2018-19/2121/2018,"Basatpur and Maljhar river bed sand mines on Ajay river  over an area of 4.57Ha at village Basatpur, and Maljhar dist-Deoghar, Jharkhand, M/s Jharkhand State Mineral Development Corporation Ltd.",JHARKHAND STATE MINERAL DEVELOPMENT CORPORATION,EC Granted,EC,, 
862,863,3,SIA/JH/MIN/210354/2021,EC/SEIAA/2021-22/2341/2021,AMARPUR STONE MINE OF SHRI BAIDHANATH ROY,AMARPUR STONE MINE OF SHRI BAIDHANATH ROY,Referred Back to SEAC(A),EC,, 
863,864,5,SIA/JH/MIN/58411/2020,EC/SEIAA/2020-21/2318/2020,Bishanpur Stone Deposit (under cluster),SRI PAWAN KUMAR TANWANI,EC Granted,EC,, 
864,865,1,SIA/JH/NCP/58092/2020,,Group Housing Project AASTHA MAJESTIC,M/S RUKMANI PROPERTY PROJECT PVT. LTD,Delisted,EC,, 
865,866,4,SIA/JH/MIN/257431/2022,EC/SEIAA/2021-22/2551/2021,M/s Jay Thakur Baba Industries Pvt. Ltd.,JAI THAKUR BABA INDUSTRIES PRIVATE LIMITED,EC Granted,EC,, 
866,867,9,SIA/JH/MIN/225115/2021,EC/SEIAA/2021-22/2508/2022,BRICK SOIL MINING FOR M/S TAJ BRICKS IN MOUZA CHORA (2.37 ACRES),CRYSTAL CONSULTANTS,EC Granted,EC,, 
867,868,10,SIA/JH/MIN/250225/2022,EC/SEIAA/2021-22/2530/2022,"Brick Soil Mining For M/s R.D. Bricks in Mouza Kumharh (Barkagaon), Area 1.00 Acres",CRYSTAL CONSULTANTS,EC Granted,EC,, 
868,869,4,SIA/JH/MIN/37878/2019,EC/SEIAA/2018-19/2133/2018,rehra stone mines,MUKESH NATHUNI,EC Granted,EC,, 
869,870,5,SIA/JH/MIN/194404/2021,EC/SEIAA/2020-21/2309/2021,"Brick Soil Mining For M/s B.K.B. Bricks in Mouza Sanga, Area 2.47 Acres",CRYSTAL CONSULTANTS,EC Granted,EC,, 
870,871,7,SIA/JH/MIN/227361/2021,,AMJHAR STONE DEPOSIT of M/s KATYAYNI,VISION EARTH CONSULTANCY,WithdrawEC,EC,, 
871,872,10,SIA/JH/MIN/278318/2022,EC/SEIAA/2022-23/2598/2022,GURHA STONE DEPOSIT,ARIHANT JHANJHRI,EC Granted,EC,, 
872,873,9,SIA/JH/MIN/44020/2019,EC/SEIAA/2018-19/2209/2019,Sunderpahari Stone Deposit,SUNDERPAHARI STONE DEPOSIT,EC Granted,EC,, 
873,874,10,SIA/JH/MIN/44548/2019,EC/SEIAA/2018-19/2221/2019,CHHOTA SINGHPUR STONE MINE,MS MAGISTIC STONE WORKS,EC Granted,EC,, 
874,875,10,SIA/JH/MIN/34842/2019,,M/s M.S.C. Bricks,MS M S C BRICKS,Delisted,EC,, 
875,876,7,SIA/JH/CMIN/76338/2018,EC/SEIAA/2022-23/2656/2022,Kabribad OCP,CENTRAL COALFIELDS LIMITED,EC Granted,EC,, 
876,877,4,SIA/JH/MIN/255038/2022,EC/SEIAA/2021-22/2520/2022,CHAGJO STONE DEPOSIT OF NOOR ISLAM (4.00 ACRES),CRYSTAL CONSULTANTS,EC Granted,EC,, 
877,878,4,SIA/JH/MIN/34802/2019,EC/SEIAA/2018-19/2112/2018,"Jugtopa Sand Ghat on Jayanti river over an area of 3.64 Ha,  at vill: Jugtopa, Dist Deoghar, Jharkhand of M/s Jharkhand State Mineral Development Corporation Ltd.",JHARKHAND STATE MINERAL DEVELOPMENT CORPORATION,EC Granted,EC,, 
878,879,9,SIA/JH/MIN/208349/2021,,Sahara Brickks,SAHARA BRICKS SAHIBGANJ,Delisted,EC,, 
879,880,10,SIA/JH/MIN/208361/2021,EC/SEIAA/2021-22/2335/2021,DALDALI STONE MINE OF SHRI NIRMAL JAIN,DALDALI STONE MINE OF SHRI NIRMAL JAIN,EC Granted,EC,, 
880,881,1,SIA/JH/MIN/68194/2021,EC/SEIAA/2022-23/2444/2022,Murgadanga Stone Deposit (under cluster),M/S SRI GANESH STONE WORKS,EC Granted,EC,, 
881,882,5,SIA/JH/MIS/218243/2021,EC/SEIAA/2021-22/2408/2021,Nirbhay Buildcon Pvt. Ltd,NIRBHAY BUILDCON PVT LTD,EC Granted,EC,, 
882,883,6,SIA/JH/MIN/237504/2021,,Barabanki Bricks Clay Mining - M/s Minu Bricks,M/S MINU BRICKS,WithdrawEC,EC,, 
883,884,7,SIA/JH/MIN/66682/2021,,Bishanpur Stone Deposit Mining Project,M/S DADA BHAI STONE WORKS,Delisted,EC,, 
884,885,4,SIA/JH/MIN/190325/2020,EC/SEIAA/2020-21/2292/2020,Siramgarya Stone Mine,SIRAMGARYA STONE MINE OF M/S DATA BABA STONE WORKS,EC Granted,EC,, 
885,886,5,SIA/JH/MIN/192990/2021,,KOKPARA-NARSINGARH BRICK EARTH DEPOSIT OF M/s.- STAR BRICKS,VISION EARTH CONSULTANCY,Delisted,EC,, 
886,887,7,SIA/JH/MIN/228036/2021,EC/SEIAA/2021-22/2425/2021,SHAHPUR STONE DEPOSIT OF M/S JAI MAA VINDHYAVASINI STONE (4.17 ACRES),CRYSTAL CONSULTANTS,EC Granted,EC,, 
887,888,10,SIA/JH/MIN/40002/2019,EC/SEIAA/2018-19/2157/2019,Ms KASHI BUILDERS & SERVICES PVT LTD (JONKMARI STONE DEPOSIT),MS CRYSTAL CONSULTANTS,EC Granted,EC,, 
888,889,7,SIA/JH/MIN/36257/2019,,Thamb Stone Mine,D RANA,Delisted,EC,, 
889,890,9,SIA/JH/MIN/228078/2021,EC/SEIAA/2021-22/2418/2021,MUNKERI STONE MINE,M/S MAHAKALESHWAR STONE  MINES,EC Granted,EC,, 
890,891,2,SIA/JH/MIN/190344/2020,EC/SEIAA/2020-21/2288/2020,MANDARDANGA STONE MINE OF MS RADHIKA STONE WORKS,MANDARDANGA STONE MINE OF MS RADHIKA STONE WORKS,EC Granted,EC,, 
891,892,3,SIA/JH/MIN/45161/2019,EC/SEIAA/2018-19/2262/2019,Bundu Brick Soil Mining For M/s RBC Bricks (Minor Mineral),CRYSTAL CONSULTANTS,EC Granted,EC,, 
892,893,4,SIA/JH/MIN/45550/2019,EC/SEIAA/2018-19/2277/2019,Brick Soil Mining For M/s Law Bricks in Village Salhan,CRYSTAL CONSULTANTS,EC Granted,EC,, 
893,894,6,SIA/JH/MIN/58419/2020,EC/SEIAA/2020-21/2317/2020,Bishanpur Stone Deposit ( under cluster),SHRI BHAWESH TANWANI,EC Granted,EC,, 
894,895,7,SIA/JH/MIS/217392/2021,EC/SEIAA/2021-22/2432/2021,Proposed G +7 storied Residential colony,RUNGTA MINES LTD,EC Granted,EC,, 
895,896,8,SIA/JH/MIN/198373/2021,EC/SEIAA/2021-22/2322/2021,Baliapatra Stone Deposit Project,SRI ABHINASH KUMAR BHAGAT,EC Granted,EC,, 
896,897,1,SIA/JH/MIS/282659/2022,EC/SEIAA/2022-23/2510/2022,P & M Hi-Tech City Centre Mall,P&M AND HI TECH INFRASTRUCTURES LLP,EC Granted,EC,, 
897,898,4,SIA/JH/MIN/191940/2021,EC/SEIAA/2020-21/2311/2021,"Brick Soil Mining For M/s Nasim Traders (Sun Bricks) in Mouza Kochbong, Area 3.77 Acres",CRYSTAL CONSULTANTS,EC Granted,EC,, 
898,899,6,SIA/JH/MIN/218810/2021,,TUNDAHATU STONE DEPOSIT OF M/S MAA UGRATARA CONSTRUCTION (3.62 ACRES),CRYSTAL CONSULTANTS,Delisted,EC,, 
899,900,1,SIA/JH/MIN/44201/2019,EC/SEIAA/2018-19/2224/2019,M/s Geeta Stone Works,MS CRYSTAL CONSULTANTS,EC Granted,EC,, 
900,901,1,SIA/JH/MIN/34856/2019,,"Mohanachak sand mine on Jayanti river over an area of 4.05Ha at village Mohanachak, dist-Deoghar,Jharkhand,M/s Jharkhand State mineral Development Corporation Ltd",JHARKHAND STATE MINERAL DEVELOPMENT CORPORATION,Delisted,EC,, 
901,902,2,SIA/JH/MIS/217913/2021,EC/SEIAA/2021-22/2391/2021,"62, Circular Road Complex",CRYSTAL CONSULTANTS,EC Granted,EC,, 
902,903,3,SIA/JH/MIN/63157/2021,EC/SEIAA/2022-23/2569/2022,CHANDULA – SIMALGODA OPENCAST STONE MINE,Jharkhand State Mineral Development Corporation Limited,EC Granted,EC,, 
903,904,4,SIA/JH/MIN/275895/2022,EC/SEIAA/2022-23/2603/2022,Timra Stone Deposit,JOSEPH SURIN,EC Granted,EC,, 
904,905,5,SIA/JH/MIN/37470/2019,EC/SEIAA/2018-19/2134/2018,HATHIGARH STONE MINE,HATHIGARH STONE MINE,EC Granted,EC,, 
905,906,6,SIA/JH/MIS/107747/2019,,Diamond city building construction project,DIAMONDCITY,Delisted,EC,, 
906,907,2,SIA/JH/MIN/228102/2021,,Sitagarh Stone Mine,ABHENMINING & ENGINEERING,WithdrawEC,EC,, 
907,908,3,SIA/JH/MIS/264034/2022,EC/SEIAA/2022-23/2588/2022,Nucleus Valley,SHREE RAM METALLICS PRIVATE LIMITED,EC Granted,EC,, 
908,909,6,SIA/JH/MIN/282883/2022,EC/SEIAA/2022-23/2611/2022,Lohatamba Stone Deposit-III,HRIDAY SINGH,EC Granted,EC,, 
909,910,2,SIA/JH/MIN/255809/2022,EC/SEIAA/2021-22/2493/2021,Mahulpahri Stone Deposit,ALISA BEGAM,EC Granted,EC,, 
910,911,4,SIA/JH/MIS/196279/2021,EC/SEIAA/2021-22/2346/2022,"Residential Group Housing Project "" Shivam Heights""  by M/s Durga Developers Pvt. Ltd.",M/S DURGA DEVELOPERS PVT. LTD,Rejection Letter Granted,EC,, 
911,912,9,SIA/JH/MIN/200428/2021,,BARAMO QUARTZ & FELDSPAR MINE,SRI RAJESH PRASAD,Delisted,EC,, 
912,913,3,SIA/JH/MIN/35135/2019,EC/SEIAA/2018-19/2119/2018,Banki Sand Ghat,Jharkhand State Mineral Development Corporation Limited,EC Granted,EC,, 
913,914,6,SIA/JH/MIN/187936/2020,,M/S RBS BRICKS,M/S RBS BRICKS,Delisted,EC,, 
914,915,3,SIA/JH/MIN/242937/2021,EC/SEIAA/2021-22/2513/2022,BASTADIH AND ASANJOLA STONE MINE,M/S IDEAL CONSTRUCTION,EC Granted,EC,, 
