,Unnamed: 0,X...,Proposal.No.,File.No.,Project.Name,Company,Proposal.Status,Project.Type,View,Form_Type
9283,9284,8,SIA/RJ/MIN/57114/2016,,QL NO 101 SHRI PREM SINGH (KALOR PURANA) SAND STONE MINING PROJECT,KP CONSULTANTS,Under examination of SEIAA - Processed offline,EC,, 
9284,9285,9,SIA/RJ/MIN/58200/2016,,"M/S CHARBHUJA MARBLE MINES
MARBLE MINING PROJECT, Q.L. NO.-3B, AREA-1.0 HA.,N/V-MATA BHAR KUMARI RANGE MAKRANA, TEHSIL-MAKRANA, DISTRICT-NAGAUR, RAJASTHAN",CHARBHUJA MARBLE MINES,Under examination of SEIAA - Processed offline,EC,, 
9285,9286,10,SIA/RJ/MIN/167153/2020,15101,"Ball Clay, Silica Sand, Kankar, Gravel & Murrum Mining Project Reference No.- 2019100002757",SHRI RAMESHWAR MINE,EC Granted - Processed offline,EC,, 
9286,9287,1,SIA/RJ/MIN/453167/2023,19665,"“Existing Granite (Minor Mineral) mining project” for Re-Appraisal of EC Granted from DEIAA Rajsamand To SEIAA, [M.L. No.– 29/2005 & Khasra No-123, 1023, & 1392/1023] over an Area of 3.0 Hectare with Existing Production Capacity– 21,376 TPA located at Near Village– Malak Maliya, Tehsil- Deogarh, District- Rajsamand (Rajasthan) by Smt. Parma Devi Chaudhary W/o  Shri Hari Ram Chaudhary.",PARMA DEVI,Agenda Uploaded by SEIAA,EC,, 
9287,9288,2,SIA/RJ/MIN/453136/2023,19618,"Indawar China Clay Mine,  M.L. No.-14/2018, M.L. AREA-1.35598",RAMNIWAS,EC Granted,EC,, 
9288,9289,10,SIA/RJ/MIN/3684/2015,,Manji Ka Gurha Red Ochre Area,MS RK ELECTRO POWER PVT LTD,Under examination of SEIAA - Processed offline,EC,, 
9289,9290,5,SIA/RJ/MIN/444621/2023,19331,"M/s. Krishna Mining Granite (Minor Mineral) Mining Project , ML. No.-52/2022, Area- 3.9872 Ha., Khasra no. 1206/1, 1207, 1208, 1209, 1210, 1993/1199, 1223, 1224, 1225, 1998/1227, 2001/1226, 1201, 1205, 1206/2, 1211, 1212, 1213, 1991/1200",KRISHNA MINING,EC Granted,EC,, 
9290,9291,6,SIA/RJ/MIN/439088/2023,,"Morda Masonry Stone & Granite Mining Project, ML No 50/2010, Proposed Production – 67200 TPA (ROM) of Masonry Stone, ML area – 1.00 Hect. Near Village Morda Tehsil Todaraisingh, & District Tonk Rajasthan",LAVESH MEENA,Pending at PP due to eds,EC,, 
9291,9292,7,SIA/RJ/MIN/47894/2016,F/SEIAA/OLRJEC/2016/3286,"Masonry Stone Mining Project
ML No-314/2004",SH TULSI RAM,TransferToDEIAA,EC,, 
9292,9293,8,SIA/RJ/MIN/42607/2016,F/SEIAA/OLRJEC/2016/3163,GRANITE MINING PROJECT (ML No-42/02),SMT MANJU BOHRA,TransferToDEIAA,EC,, 
9293,9294,10,SIA/RJ/MIN/55704/2016,,SANDSTONE MINING PROJECT(Q.L NO- 488)SOMANADA,PEPA RAM BARAD,Under examination of SEIAA - Processed offline,EC,, 
9294,9295,4,SIA/RJ/MIN/453212/2023,19733,"Re Appraisal of EC Granted from DEIAA, Churu of “Masonry Stone (Minor Mineral) mining project” [M.L.No.-30/2007, Khasra No. 167] over an Area of 1.0 Hectare located at Near Village– Loadsar, Tehsil– Sujangarh and District– Churu (Rajasthan) with Proposed Production Capacity– 1,70,000 TPA by Smt. Vandana Sharma W/o Shri Satish Sharma as per MOEFCC on Dated 28.04.2023.",VANDANA SHARMA,Agenda Uploaded by SEIAA,EC,, 
9295,9296,5,SIA/RJ/MIN/453427/2023,,"Shri Rajkumar Jain, M.L. No.: - 63/2005, Re-appraisal of Environment Clearance granted by DEIAA to SEIAA in compliance of MoEF & CC O.M. dated 28/04/2023 & Hon’ble NGT order dated 07/12/2022 of Masonary Stone mining Project",RAJ JAIN,Pending at PP due to eds,EC,, 
9296,9297,6,SIA/RJ/MIN/430447/2023,18732,"Shri Anshul Chawla , 01/2018 (Plot No. 02), Mineral Masonary Stone Mine , near village Chhapra, Tehsil: Pahari, Dist: Bharatpur (Raj.)",SHRI ANSHUL CHAWALA,EC Granted,EC,, 
9297,9298,7,SIA/RJ/MIN/431113/2023,18705,"Cluster “Nayagaon” Granite Mining Project, ML. No. 18/2022 Proposed Production – 133224 Tpa (Rom) Of Granite Mines Applied Area. 1.0377 Hect Total Cluster Area- 10.9615 Hectare Near Village Nayagaon, Tehsil Kekri District Ajmer Rajasthan Favor Of Sh. Sher Singh Rathor",SHER RATHORE,EC Granted,EC,, 
9298,9299,1,SIA/RJ/MIN/52395/2016,,Masonary Stone Mine ( M L NO.8/99 ),BHIVA RAM,Under examination of SEIAA - Processed offline,EC,, 
9299,9300,2,SIA/RJ/MIN/52396/2016,,Masonary Stone Mine ( M L NO. 248/2009 ),PREMA DEVI,Under examination of SEIAA - Processed offline,EC,, 
9300,9301,3,SIA/RJ/MIN/53257/2016,,"Pisangan Quartz & Feldspar Mine 
(ML No.: 189/2007) located at N/v: Pisangan, Tehsil: Pisangan, District: Ajmer",SMT MANORAMA DEVI,Under examination of SEIAA - Processed offline,EC,, 
9301,9302,4,SIA/RJ/INFRA2/435027/2023,817,Proposed Revision and Expansion of Office Building,AU SMALL FINANCE BANK LTD,EC Granted,EC,, 
