,Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
4,1865,SIA/UP/IND/126508/2019,5278,Proposed project for Cement grinding Unit Capacity 500 TPD (15000TPA) for M/s Mayflex Cement Industries Pvt Ltd),MAYFLEX CEMENT INDUSTRIES PRIVATE LIMITED,EC Granted,EC,
5,1866,SIA/UP/MIS/136611/2020,,"IT Park Project” located at B-6, Sector-132, Noida-201304, Uttar Pradesh by Espirit Technoconsultants Private Limited",ESPIRIT TECHNOCONSULTANTS PRIVATE LIMITED,WithdrawEC,EC,
6,1867,SIA/UP/MIN/276950/2022,7141,red morrum mine at village ramgarha tehsil madawara lalitpur,PANKUNWAR RAJA,EC Granted,EC,
7,1868,SIA/UP/MIS/276369/2022,7167,Commercial Centre “Saya Status”,ALISA INFRATECH PRIVATE LIMITED,EC Granted,EC,
8,1869,SIA/UP/MIN/35126/2019,4764,"Environmental clearance of proposed Building Stone (Sandstone) mine, at Gata No./Araji No.  /Plot no. – 141 Lease Area: 2.02 ha. (5.0 Acres)  at Village- Chiraiya, Tehsil- Chunar, District- Mirzapur, Uttar Pradesh of  M/s Sriram Infrastructure.",M/S SRIRAM  INFRASTRUCTURE,EC Granted,EC,
9,1870,SIA/UP/MIN/253979/2022,6904,Maraucha Ordinary Sand Mining Project from Private land (Niji Bhoomi),JAI TEWARI,EC Granted,EC,
0,1871,SIA/UP/MIN/72588/2018,4028,"Area 22.0 Acre/ 8.903 Ha. For  River Sand/Morrum mining Project at Araji No.-184 Village – Paraicha , Tehsil- Moth, Dist. Jhansi, U.P",SHARAD ENTERPRISESS,EC Granted,EC,
1,1872,SIA/UP/MIN/65039/2017,,"RIVER SAND MINING PROJECT, BLOCK NO - 553/554, AREA - 4.168,NR. VILLAGE - ISSAPUR 
 -KHURGYAN, TEHSIL - KARAINA, DISTRICT - SHAMLI UP",JITENDRA SINGH BISHT,Under examination of SEIAA - Processed offline,EC,
2,1873,SIA/UP/MIN/36118/2019,5425,"Brick Earth Mining Project, M/s Solanki Brick Supply , Gata No :517, 511, 243  Village: Ladonazri, Tehsil : Shamli, Dist: Shamli",M/S SOLANKI BRICK SUPPLY,EC Granted,EC,
3,1874,SIA/UP/MIN/29073/2018,,M/s Kanwar Enterprises Private Limited,M/S KANWAR ENTERPRISES PRIVATE LIMITED,Rejected by SEAC,EC,
4,1875,SIA/UP/MIS/106606/2019,,Modification and Expansion of Group Housing Project,M/S. SEQUEL BUILDING CONCEPTS PVT. LTD.,Delisted,EC,
5,1876,SIA/UP/MIN/67982/2019,6621-5327,"Proposed “Silica Sand Mining Project” at Arazi No. 2 of Area: 16.75 Ha, Village- Lakhnauti, Tehsil- Bara, District- Prayagraj, State- Uttar Pradesh.",CHAWLA SILICA SAND TRADING CORPORATION,EC Granted,EC,
6,1877,SIA/UP/MIN/250265/2022,6853,"ordinary earth mine at village- sarai akbarabad, tehsil- nawabganj, barabanki.",SRI AMARKESH YADAV,EC Granted,EC,
7,1878,SIA/UP/MIN/409472/2022,7423,"Proposed “Ordinary Soil Excavation” Project at Gata No.–6 in the  Village-Sardar Nagar, Tehsil-Sadar& District- Moradabad, Uttar Pradesh. (Area:4.00 Ha.)",SAYAB HUSAIN,EC Granted,EC,
8,1879,SIA/UP/MIN/410071/2022,7437-7030,"Building stone (Sandstone) Mine  Project at Gata No.-37, Area 0.809 ha, Village– Dakahi, Tehsil-Chunar, District–Mirzapur, Uttar Pradesh",ARVIND KUMAR,EC Granted,EC,
9,1880,SIA/UP/MIN/131659/2019,5332,Nagawa Bangar Sandy Soil Mining Project,GYANENDRA PRATAP SINGH,EC Granted,EC,
0,1881,SIA/UP/MIN/28502/2018,4431,"Riverbed Sand/Morrum mining project from Ken River for M/s Euphoria Mines and Minerals located at Gata No. 5114/1, 5115, 5116, 5117, 5118, 5119, 5120, 5121, 5122, 5123, 5124, 5125, 5126, 5128, 5129, 5130, 5131, 5132, 5134, 5135, 5136, 5152 (Block No.14), Village - Ladaka Purwa, Tehsil - Banda, District - Banda, Uttar Pradesh. Sanctioned Lease Area - 20 ha.",MS EUPHORIA MINES AND MINERALS,EC Granted,EC,
1,1882,SIA/UP/MIS/56467/2020,5824/5650,"PROPOSED ""NOIDA CONVENTION AND HABITAT CENTRE"" AT SECTOR 94, NOIDA, UTTAR PRADESH",NOIDA CONVENTION & HABITAT CENTRE,EC Granted,EC,
2,1883,SIA/UP/MIN/57028/2019,5886/5308,Sand/Morrum Mining,M/S SHAKSHAM CONTRACTORS AND SUPPLIERS,EC Granted,EC,
3,1884,SIA/UP/MIS/198357/2021,6197,Upgradation and Expansion of Existing District Hospital,M/S DEPARTMENT OF MEDICAL AND HEALTH UTTAR PRADESH,EC Granted,EC,
