,0,id,absolute_path
0,state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND/76325/2022&pid=New,SIA/OR/IND/76325/2022,https://environmentclearance.nic.in/state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND/76325/2022&pid=New
1,state/FORM_B_PDF.aspx?cat_id=SIA/OR/MIN/76326/2022&pid=New,SIA/OR/MIN/76326/2022,https://environmentclearance.nic.in/state/FORM_B_PDF.aspx?cat_id=SIA/OR/MIN/76326/2022&pid=New
2,writereaddata/Formb/TOR/TOR_letter/073020229216325176326-ToR_0001.pdf,SIA/OR/MIN/76326/2022,https://environmentclearance.nic.in/writereaddata/Formb/TOR/TOR_letter/073020229216325176326-ToR_0001.pdf
3,state/FORM_B_PDF.aspx?cat_id=SIA/OR/MIN/76323/2022&pid=New,SIA/OR/MIN/76323/2022,https://environmentclearance.nic.in/state/FORM_B_PDF.aspx?cat_id=SIA/OR/MIN/76323/2022&pid=New
4,writereaddata/Formb/TOR/TOR_letter/073020223139071176323-ToR_0001.pdf,SIA/OR/MIN/76323/2022,https://environmentclearance.nic.in/writereaddata/Formb/TOR/TOR_letter/073020223139071176323-ToR_0001.pdf
5,state/FORM_B_PDF.aspx?cat_id=SIA/OR/MIN/76228/2022&pid=New,SIA/OR/MIN/76228/2022,https://environmentclearance.nic.in/state/FORM_B_PDF.aspx?cat_id=SIA/OR/MIN/76228/2022&pid=New
6,writereaddata/Formb/TOR/TOR_letter/052320224791635976228.pdf,SIA/OR/MIN/76228/2022,https://environmentclearance.nic.in/writereaddata/Formb/TOR/TOR_letter/052320224791635976228.pdf
7,state/FORM_B_PDF.aspx?cat_id=SIA/OR/MIN/73400/2022&pid=New,SIA/OR/MIN/73400/2022,https://environmentclearance.nic.in/state/FORM_B_PDF.aspx?cat_id=SIA/OR/MIN/73400/2022&pid=New
8,writereaddata/Formb/TOR/TOR_letter/080320226272044773400-ToR.pdf,SIA/OR/MIN/73400/2022,https://environmentclearance.nic.in/writereaddata/Formb/TOR/TOR_letter/080320226272044773400-ToR.pdf
9,state/FORM_B_PDF.aspx?cat_id=SIA/OR/MIS/76188/2022&pid=Found,SIA/OR/MIS/76188/2022,https://environmentclearance.nic.in/state/FORM_B_PDF.aspx?cat_id=SIA/OR/MIS/76188/2022&pid=Found
10,writereaddata/Formb/TOR/TOR_letter/290420223WV9VMLH.pdf,SIA/OR/MIS/76188/2022,https://environmentclearance.nic.in/writereaddata/Formb/TOR/TOR_letter/290420223WV9VMLH.pdf
11,state/FORM_B_PDF.aspx?cat_id=SIA/OR/MIN/74953/2022&pid=New,SIA/OR/MIN/74953/2022,https://environmentclearance.nic.in/state/FORM_B_PDF.aspx?cat_id=SIA/OR/MIN/74953/2022&pid=New
12,writereaddata/Formb/TOR/TOR_letter/072420225409484574953.pdf,SIA/OR/MIN/74953/2022,https://environmentclearance.nic.in/writereaddata/Formb/TOR/TOR_letter/072420225409484574953.pdf
13,state/FORM_B_PDF.aspx?cat_id=SIA/OR/MIN/76176/2022&pid=New,SIA/OR/MIN/76176/2022,https://environmentclearance.nic.in/state/FORM_B_PDF.aspx?cat_id=SIA/OR/MIN/76176/2022&pid=New
