,0,id,absolute_path
0,state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/29026/2018&pid=New,SIA/OR/IND2/29026/2018,https://environmentclearance.nic.in/state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/29026/2018&pid=New
1,state/FORM_B_PDF.aspx?cat_id=SIA/OR/MIN/29151/2018&pid=New,SIA/OR/MIN/29151/2018,https://environmentclearance.nic.in/state/FORM_B_PDF.aspx?cat_id=SIA/OR/MIN/29151/2018&pid=New
2,state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/28984/2018&pid=New,SIA/OR/IND2/28984/2018,https://environmentclearance.nic.in/state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/28984/2018&pid=New
3,state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/28822/2018&pid=New,SIA/OR/IND2/28822/2018,https://environmentclearance.nic.in/state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/28822/2018&pid=New
4,writereaddata/Formb/TOR/TOR_letter/05_Jan_2021_135801257L13VATDS28822.pdf,SIA/OR/IND2/28822/2018,https://environmentclearance.nic.in/writereaddata/Formb/TOR/TOR_letter/05_Jan_2021_135801257L13VATDS28822.pdf
5,state/FORM_B_PDF.aspx?cat_id=SIA/OR/MIN/28969/2018&pid=New,SIA/OR/MIN/28969/2018,https://environmentclearance.nic.in/state/FORM_B_PDF.aspx?cat_id=SIA/OR/MIN/28969/2018&pid=New
6,state/FORM_B_PDF.aspx?cat_id=SIA/OR/MIN/29021/2018&pid=New,SIA/OR/MIN/29021/2018,https://environmentclearance.nic.in/state/FORM_B_PDF.aspx?cat_id=SIA/OR/MIN/29021/2018&pid=New
7,state/FORM_B_PDF.aspx?cat_id=SIA/OR/MIN/29017/2018&pid=New,SIA/OR/MIN/29017/2018,https://environmentclearance.nic.in/state/FORM_B_PDF.aspx?cat_id=SIA/OR/MIN/29017/2018&pid=New
8,state/FORM_B_PDF.aspx?cat_id=SIA/OR/MIN/28675/2018&pid=New,SIA/OR/MIN/28675/2018,https://environmentclearance.nic.in/state/FORM_B_PDF.aspx?cat_id=SIA/OR/MIN/28675/2018&pid=New
9,state/FORM_B_PDF.aspx?cat_id=SIA/OR/MIN/28660/2018&pid=New,SIA/OR/MIN/28660/2018,https://environmentclearance.nic.in/state/FORM_B_PDF.aspx?cat_id=SIA/OR/MIN/28660/2018&pid=New
10,state/FORM_B_PDF.aspx?cat_id=SIA/OR/MIN/28671/2018&pid=New,SIA/OR/MIN/28671/2018,https://environmentclearance.nic.in/state/FORM_B_PDF.aspx?cat_id=SIA/OR/MIN/28671/2018&pid=New
11,state/FORM_B_PDF.aspx?cat_id=SIA/OR/MIN/28926/2018&pid=Found,SIA/OR/MIN/28926/2018,https://environmentclearance.nic.in/state/FORM_B_PDF.aspx?cat_id=SIA/OR/MIN/28926/2018&pid=Found
12,writereaddata/Formb/TOR/TOR_letter/07_Jan_2021_1354504179PCMCVGL28926-ToR.pdf,SIA/OR/MIN/28926/2018,https://environmentclearance.nic.in/writereaddata/Formb/TOR/TOR_letter/07_Jan_2021_1354504179PCMCVGL28926-ToR.pdf
13,state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/28950/2018&pid=New,SIA/OR/IND2/28950/2018,https://environmentclearance.nic.in/state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/28950/2018&pid=New
14,writereaddata/Formb/TOR/TOR_letter/12312019JGRPF9PYEC.pdf,SIA/OR/IND2/28950/2018,https://environmentclearance.nic.in/writereaddata/Formb/TOR/TOR_letter/12312019JGRPF9PYEC.pdf
15,state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/28843/2018&pid=New,SIA/OR/IND2/28843/2018,https://environmentclearance.nic.in/state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/28843/2018&pid=New
16,state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/28842/2018&pid=New,SIA/OR/IND2/28842/2018,https://environmentclearance.nic.in/state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/28842/2018&pid=New
17,state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/28835/2018&pid=New,SIA/OR/IND2/28835/2018,https://environmentclearance.nic.in/state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/28835/2018&pid=New
18,state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/28819/2018&pid=New,SIA/OR/IND2/28819/2018,https://environmentclearance.nic.in/state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/28819/2018&pid=New
19,state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/28833/2018&pid=New,SIA/OR/IND2/28833/2018,https://environmentclearance.nic.in/state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/28833/2018&pid=New
20,state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/28825/2018&pid=New,SIA/OR/IND2/28825/2018,https://environmentclearance.nic.in/state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/28825/2018&pid=New
21,state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/28911/2018&pid=New,SIA/OR/IND2/28911/2018,https://environmentclearance.nic.in/state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/28911/2018&pid=New
22,writereaddata/Formb/TOR/TOR_letter/12312019O8EMX9VPEC.pdf,SIA/OR/IND2/28911/2018,https://environmentclearance.nic.in/writereaddata/Formb/TOR/TOR_letter/12312019O8EMX9VPEC.pdf
23,state/FORM_B_PDF.aspx?cat_id=SIA/OR/MIN/28878/2018&pid=New,SIA/OR/MIN/28878/2018,https://environmentclearance.nic.in/state/FORM_B_PDF.aspx?cat_id=SIA/OR/MIN/28878/2018&pid=New
24,writereaddata/Formb/TOR/TOR_letter/120420187YVNM71YToR.pdf,SIA/OR/MIN/28878/2018,https://environmentclearance.nic.in/writereaddata/Formb/TOR/TOR_letter/120420187YVNM71YToR.pdf
25,state/FORM_B_PDF.aspx?cat_id=SIA/OR/MIN/28829/2018&pid=New,SIA/OR/MIN/28829/2018,https://environmentclearance.nic.in/state/FORM_B_PDF.aspx?cat_id=SIA/OR/MIN/28829/2018&pid=New
26,writereaddata/Formb/TOR/TOR_letter/05_Jan_2021_1401110536N6IWVK328829.pdf,SIA/OR/MIN/28829/2018,https://environmentclearance.nic.in/writereaddata/Formb/TOR/TOR_letter/05_Jan_2021_1401110536N6IWVK328829.pdf
27,state/FORM_B_PDF.aspx?cat_id=SIA/OR/MIN/28441/2018&pid=New,SIA/OR/MIN/28441/2018,https://environmentclearance.nic.in/state/FORM_B_PDF.aspx?cat_id=SIA/OR/MIN/28441/2018&pid=New
28,state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/28102/2018&pid=New,SIA/OR/IND2/28102/2018,https://environmentclearance.nic.in/state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/28102/2018&pid=New
29,state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/28104/2018&pid=New,SIA/OR/IND2/28104/2018,https://environmentclearance.nic.in/state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/28104/2018&pid=New
30,state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/28103/2018&pid=New,SIA/OR/IND2/28103/2018,https://environmentclearance.nic.in/state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/28103/2018&pid=New
31,state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/28408/2018&pid=New,SIA/OR/IND2/28408/2018,https://environmentclearance.nic.in/state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/28408/2018&pid=New
32,state/FORM_B_PDF.aspx?cat_id=SIA/OR/MIN/28690/2018&pid=New,SIA/OR/MIN/28690/2018,https://environmentclearance.nic.in/state/FORM_B_PDF.aspx?cat_id=SIA/OR/MIN/28690/2018&pid=New
