,proposal_no,file_no,proposal_name,state,district,tehsil,date_submission,tor_approval,project_category,company_proponent,status
1,SIA/OR/MIN/67604/2021,67604/164-MINB1/09-2021,"Baitarani River Sand Bed,Goudadiha, over an area of 5.058 ha(12.50Acre) in village Goudadiha under Anandapur Tahasil of Keonjhar district Odisha of Sri Subash Chandra Rout",Orissa,Kendujhar,Anandapur,01-Nov-21,27-Dec-21,Non-Coal Mining,SUBASH CH ROUT,TOR GrantedL
2,SIA/OR/MIN/68433/2021,68433/163-MINB1/10-2021,"Baitarani River Sand Bed,Budhikud Sand mining over an area of 5.058 ha(12.50Acre) in village Budhikud under Anandapur Tahasil of Keonjhar district Odisha of Sri Jogendra Behera",Orissa,Kendujhar,Anandapur,01-Nov-21,01-Jan-00,Non-Coal Mining,JOGENDRA BEHERA,TOR GrantedL
3,SIA/OR/MIN/65674/2021,To be assigned,"Environment Clearance  Haturipal Sand Quarry having Khata No.39,  Plot No-1, Kissam-Nadi, area- 26.50 Acres or 10.72 Ha located at in Village Haturipal, Under Talcher Tahasil of Angul District, Odisha",Orissa,Anugul,Talcher Sadar,01-Nov-21, TOR Not Granted Yet,Non-Coal Mining,HATURIPAL SAND QUARRY,DelistedD
4,SIA/OR/MIS/64578/2021,To be assigned,"Construction of B+S/G+8 project residential apartments(EWS, L.I.G. & M.I.G) of Odisha State Housing Board atDumduma (Phase–VII), Bhubaneswar",Orissa,Khordha,Bhubaneswar,28-Oct-21, TOR Not Granted Yet,INFRA-2,ODISSA STATE HOUSING BOARD,DelistedD
5,SIA/OR/IND/66782/2021,66782/22-IND/08-2021,"Installation of Cement Grinding Unit of 3.0 MTPA capacity (1.5 MTPA in phase-1 & 1.5 MTPA in phase-2) by M/s. My Home Industries Pvt. Ltd. at Village – Byree, Tahasil – Darpan, District – Jajpur, Odisha",Orissa,Jajpur,Badachana,25-Oct-21,27-Dec-21,Industrial Projects - 1,MY HOME INDUSTRIES PRIVATE LIMITED,TOR GrantedL
6,SIA/OR/MIN/68426/2021,68426/162-MINB1/10-2021,"Brahmani River Sand Quarry, Kantapal is a sand mining project over an area of 12.50 acres/ 5.06 Ha. located in village - Kantapal, Tahasil - Kamakhyanagar in District - Dhenkanal of Odisha",Orissa,Dhenkanal,Kamakshyanagar,16-Oct-21,01-Jan-00,Non-Coal Mining,TAHASILDAR KAMAKHYANAGAR,TOR GrantedL
7,SIA/OR/MIN/64611/2021,To be assigned,"Environmental Clearance  for Production of River sand of  19500 M3/Annum with Opencast Manual Mining Method  from Gopinathpur Sand Quarry(ML Area- 22.51 Acres or 9.11 Ha) Khata No.83,  Plot No-100/343, Kissam-Nadi, located at in Village Gopinathpur, Under Talcher-Tahasil of Angul District, Odisha",Orissa,Anugul,Talcher Sadar,11-Oct-21, TOR Not Granted Yet,Non-Coal Mining,GOPINATHPUR SAND QUARRY,DelistedD
8,SIA/OR/MIN/65834/2021,65834/161-MINB1/07-2021,"Environment Clearance  Haturipal Sand Quarry having Khata No.39,  Plot No-1, Kissam-Nadi, area- 26.50 Acres or 10.72 Ha located at in Village Haturipal, Under Talcher Tahasil of Angul District, Odisha",Orissa,Anugul,Talcher Sadar,07-Oct-21,01-Jan-00,Non-Coal Mining,TOPHAN MOHANTY,TOR GrantedL
9,SIA/OR/MIN/68161/2021,68161/160-MINB1/10-2021,"Baitarini Sand Bed, Panchupally over 5.058 ha under Anandapur Tahsil in Keonjhar district, Odisha.",Orissa,Kendujhar,Anandapur,06-Oct-21,07-Dec-21,Non-Coal Mining,SMT. JYOTSHNA PANDA,TOR GrantedL
10,SIA/OR/MIN/68112/2021,68112/159-MINB1/10-2021,"Smakoi Sand Quarry, Dobalapal over 5.147 ha under Telkoi Tahsil in Keonjhar district, Odisha.",Orissa,Kendujhar,Telkoi,06-Oct-21,01-Jan-00,Non-Coal Mining,SRI KUNA SAHU,TOR GrantedL
