,0,id,absolute_path
0,state/FORM_B_PDF.aspx?cat_id=SIA/OR/MIN/56548/2020&pid=New,SIA/OR/MIN/56548/2020,https://environmentclearance.nic.in/state/FORM_B_PDF.aspx?cat_id=SIA/OR/MIN/56548/2020&pid=New
1,writereaddata/Formb/TOR/TOR_letter/02022021SL1EH9P956548-ToR.pdf,SIA/OR/MIN/56548/2020,https://environmentclearance.nic.in/writereaddata/Formb/TOR/TOR_letter/02022021SL1EH9P956548-ToR.pdf
2,state/FORM_B_PDF.aspx?cat_id=SIA/OR/MIN/56482/2020&pid=New,SIA/OR/MIN/56482/2020,https://environmentclearance.nic.in/state/FORM_B_PDF.aspx?cat_id=SIA/OR/MIN/56482/2020&pid=New
3,writereaddata/Formb/TOR/TOR_letter/1610202069BOAIC7.pdf,SIA/OR/MIN/56482/2020,https://environmentclearance.nic.in/writereaddata/Formb/TOR/TOR_letter/1610202069BOAIC7.pdf
4,state/FORM_B_PDF.aspx?cat_id=SIA/OR/MIN/56471/2020&pid=New,SIA/OR/MIN/56471/2020,https://environmentclearance.nic.in/state/FORM_B_PDF.aspx?cat_id=SIA/OR/MIN/56471/2020&pid=New
5,writereaddata/Formb/TOR/TOR_letter/16102020QDP6EFHW.pdf,SIA/OR/MIN/56471/2020,https://environmentclearance.nic.in/writereaddata/Formb/TOR/TOR_letter/16102020QDP6EFHW.pdf
6,state/FORM_B_PDF.aspx?cat_id=SIA/OR/MIN/56502/2020&pid=New,SIA/OR/MIN/56502/2020,https://environmentclearance.nic.in/state/FORM_B_PDF.aspx?cat_id=SIA/OR/MIN/56502/2020&pid=New
7,writereaddata/Formb/TOR/TOR_letter/02022021RPTELP0Q56502-ToR.pdf,SIA/OR/MIN/56502/2020,https://environmentclearance.nic.in/writereaddata/Formb/TOR/TOR_letter/02022021RPTELP0Q56502-ToR.pdf
8,state/FORM_B_PDF.aspx?cat_id=SIA/OR/MIN/53591/2020&pid=New,SIA/OR/MIN/53591/2020,https://environmentclearance.nic.in/state/FORM_B_PDF.aspx?cat_id=SIA/OR/MIN/53591/2020&pid=New
9,state/FORM_B_PDF.aspx?cat_id=SIA/OR/MIN/56427/2020&pid=Found,SIA/OR/MIN/56427/2020,https://environmentclearance.nic.in/state/FORM_B_PDF.aspx?cat_id=SIA/OR/MIN/56427/2020&pid=Found
10,writereaddata/Formb/TOR/TOR_letter/16102020T85D3DA3.pdf,SIA/OR/MIN/56427/2020,https://environmentclearance.nic.in/writereaddata/Formb/TOR/TOR_letter/16102020T85D3DA3.pdf
