,proposal_no,file_no,proposal_name,state,district,tehsil,date_submission,tor_approval,project_category,company_proponent,status
23,SIA/OR/IND2/27801/2018,27801/455-IND2/06-2018,Tikira OS Liquor Shop,Orissa,Kendujhar,Ghatgaon,17 Jun 2018, TOR Not Granted Yet,Industrial Projects - 2,MANJULA DWIBEDI,Rejection Letter GrantedL
24,SIA/OR/MIN/26268/2018,26268 /12-MIN-V/06-2018,Sarumuhan & Chunaghuti Limestone and Dolomite Mines Proposed By: M/s B.D. Patnaik Minerals Pvt Ltd,Orissa,Sundargarh,Rajagangapur,16 Jun 2018,01 Dec 2019,Non-Coal Mining,M/S B D PATNAIK MINERALS PRIVATE LIMITED,TOR GrantedL
25,SIA/OR/NCP/27793/2018,27793/34-NCP/06-2018,Expansion of IT Park,Orissa,Khordha,Khordha,16 Jun 2018,12 Sep 2018,INFRA-1,DLF LTD,TOR GrantedL
26,SIA/OR/IND2/27739/2018,27739/454-IND2/06-2018,2304 LITRES DAILY PRODUCTION CAPACITY MAHUA FLOWER BASED GANJAM MAIN OUT STILL SHOP,Orissa,Ganjam,Rambha,12 Jun 2018,14 Dec 2018,Industrial Projects - 2,T SRIDEVI PATRO,TOR GrantedL
27,SIA/OR/IND2/27522/2018,27522/453-IND2/06-2018,Swarupvilla O S Shop,Orissa,Mayurbhanj,Baripada Sadar,12 Jun 2018, TOR Not Granted Yet,Industrial Projects - 2,NIROJ KUMAR GUPTA,Rejection Letter GrantedL
28,SIA/OR/IND2/27112/2018,27112/452-IND2/06-2018,Ragdha OS Shop,Orissa,Mayurbhanj,Baripada Sadar,12 Jun 2018, TOR Not Granted Yet,Industrial Projects - 2,NIROJ KUMAR GUPTA,Rejection Letter GrantedL
29,SIA/OR/IND2/27517/2018,27517/451-IND2/06-2018,Betnoti O S Shop,Orissa,Mayurbhanj,Betanati,12 Jun 2018, TOR Not Granted Yet,Industrial Projects - 2,NIROJ KUMAR GUPTA,Rejection Letter GrantedL
30,SIA/OR/IND2/27520/2018,27520/450-IND2/06-2018,Damodarpur O S Shop,Orissa,Mayurbhanj,Baripada Sadar,12 Jun 2018, TOR Not Granted Yet,Industrial Projects - 2,NIROJ KUMAR GUPTA,Rejection Letter GrantedL
31,SIA/OR/IND2/27658/2018,27658/449-IND2/06-2018,Badasabhi O S shop,Orissa,Mayurbhanj,Barsahi,12 Jun 2018, TOR Not Granted Yet,Industrial Projects - 2,SATYABRATA SAHU,Rejection Letter GrantedL
32,SIA/OR/IND2/27655/2018,27655/448-IND2/06-2018,Khunta O S Shop,Orissa,Mayurbhanj,Khunta,12 Jun 2018, TOR Not Granted Yet,Industrial Projects - 2,ANTARYAMI BEHERA,DelistedL
33,SIA/OR/IND2/27527/2018,27527/447-IND2/06-2018,Kendua Outstill Main Shop,Orissa,Mayurbhanj,Khunta,12 Jun 2018, TOR Not Granted Yet,Industrial Projects - 2,PARAMESWAR SAHU,Rejection Letter GrantedL
34,SIA/OR/IND2/27525/2018,27525/446-IND2/06-2018,Puruna Baripada O S Shop,Orissa,Mayurbhanj,Udala,12 Jun 2018, TOR Not Granted Yet,Industrial Projects - 2,RAJESH KUMAR BEHERA,Rejection Letter GrantedL
35,SIA/OR/IND2/27524/2018,27524/445-IND2/06-2018,Kathasirsi O S Shop,Orissa,Mayurbhanj,Suliapada,11 Jun 2018, TOR Not Granted Yet,Industrial Projects - 2,UPENDRA  SINGH,Rejection Letter GrantedL
36,SIA/OR/IND2/26044/2018,To be assigned,"Mahua Flower Based Country Liquor Manufacturing unit with Combined Licensed Deck capacity of 21330 Liters (Consisting of 9 numbers of 1620 Liters, 2 numbers of 1485 Liters and 2 numbers of 1890 Liters capacity Stills) of Kuarmunda OS Shop and Rourkela OS Shop.",Orissa,Sundargarh,Biramitrapur,11 Jun 2018, TOR Not Granted Yet,Industrial Projects - 2,ROURKELA O.S. SHOP WITH DIST. CENT.,DelistedD
37,SIA/OR/MIS/27714/2018,27714/22-MIS/06-2018,"Establishment of Common Hazardous Waste Treatment, Storage and Disposal Facility (CHWTSDF)",Orissa,Debagarh,Debagarh,09 Jun 2018,12 Sep 2018,INFRA-2,WESTERN INTEGRATED WASTE MANAGEMENT FACILITY PVT LTD,TOR GrantedL
38,SIA/OR/IND2/27689/2018,27689/444-IND2/06-2018,"Production of 0.81 KLD Mahua Flower Based Country Liquor Manufacturing Unit ,Main Out Still Liquor Shop Sunger, at Sunger, Mouza-Sunger, Tahasil- Kasipur, Dist-Rayagada",Orissa,Rayagada,Kashipur,07 Jun 2018, TOR Not Granted Yet,Industrial Projects - 2,MS SHIW PRASAD SAHU AND SONS,Rejection Letter GrantedL
39,SIA/OR/IND2/27688/2018,27688/443-IND2/06-2018,"Production of 0.81 KLD Mahua Flower Based Country Liquor Manufacturing Unit, Sikarpai Main Out Still Shop at Sikarpai, Mouza- Sikarpai, Tahasil- K.Singpur, Dist-Rayagada",Orissa,Rayagada,Kalyanasingpur,07 Jun 2018, TOR Not Granted Yet,Industrial Projects - 2,MS SHIW PRASAD SAHU AND SONS,Rejection Letter GrantedL
40,SIA/OR/IND2/27687/2018,27687/442-IND2/06-2018,Gandabahali Out Still Shop,Orissa,Nuapada,Khariar,06 Jun 2018, TOR Not Granted Yet,Industrial Projects - 2,RAJESHKUMAR SAHU,Rejection Letter GrantedL
41,SIA/OR/IND2/27684/2018,27684/441-IND2/06-2018,Nilji Out Still Shop,Orissa,Nuapada,Sinapali,06 Jun 2018, TOR Not Granted Yet,Industrial Projects - 2,RAJESHKUMAR SAHU,Rejection Letter GrantedL
42,SIA/OR/MIN/26272/2018,26272 /11-MIN-V/06-2018,"Bhagabanpur Decorative Stone Mine Stone (ML Area: 31.808 ha) with Production Capacity of 30,000 m3 Per Annum  At Village- Bhagabanpur, Tehsil–Berhampur, District–Ganjam (Odisha).",Orissa,Ganjam,Brahmapur Sadar,06 Jun 2018,01 Nov 2019,Non-Coal Mining,AMARJOTHI GRANITES INDIA PVT LTD,TOR GrantedL
43,SIA/OR/IND2/27681/2018,27681/440-IND2/06-2018,Gorla Out Still Shop,Orissa,Nuapada,Sinapali,06 Jun 2018, TOR Not Granted Yet,Industrial Projects - 2,RAJESHKUMAR SAHU,Rejection Letter GrantedL
44,SIA/OR/IND2/27679/2018,27679/439-IND2/06-2018,Hatibandha O.S. liquor Shop,Orissa,Nuapada,Sinapali,05 Jun 2018, TOR Not Granted Yet,Industrial Projects - 2,RAJESHKUMAR SAHU,Rejection Letter GrantedL
45,SIA/OR/IND2/27678/2018,27678/438-IND2/06-2018,Binapur Out Still Shop,Orissa,Nuapada,Boden,05 Jun 2018, TOR Not Granted Yet,Industrial Projects - 2,RAJESHKUMAR SAHU,Rejection Letter GrantedL
46,SIA/OR/IND2/26924/2018,To be assigned,Gorla O.S. liquor Shop,Orissa,Nuapada,Sinapali,05 Jun 2018, TOR Not Granted Yet,Industrial Projects - 2,RAJESHKUMAR SAHU,DelistedD
47,SIA/OR/IND2/27669/2018,27669/437-IND2/06-2018,Sinapali Out Still Shop,Orissa,Nuapada,Sinapali,04 Jun 2018, TOR Not Granted Yet,Industrial Projects - 2,RAJESHKUMAR SAHU,Rejection Letter GrantedL
48,SIA/OR/IND2/26868/2018,To be assigned,Gandabahali Out Still Shop,Orissa,Nuapada,Khariar,04 Jun 2018, TOR Not Granted Yet,Industrial Projects - 2,RAJESHKUMAR SAHU,DelistedD
49,SIA/OR/MIN/26276/2018,26276 /10-MIN-V/06-2018,Dakhinpur Decorative Stone Deposit,Orissa,Ganjam,Brahmapur Sadar,04 Jun 2018, TOR Not Granted Yet,Non-Coal Mining,MSS AJJAX PETRO,DelistedL
50,SIA/OR/IND2/26139/2018,26139/436-IND2/06-2018,"PRODUCTION OF 1.080 KLD MAHUA FLOWER BASED COUNTRY LIQUOR MANUFACTURE UNIT, TELEIMAL MAIN O S LIQUOR SHOP AT-TELEIMAL, DIST. - BOUDH",Orissa,Boudh,Kantamal,03 Jun 2018, TOR Not Granted Yet,Industrial Projects - 2,KRUSHNA CHANDRA SAHU,Rejection Letter GrantedL
51,SIA/OR/IND2/27518/2018,27518/435-IND2/06-2018,474 liters per day production capacity Jangalpadu Main Out Still Shop,Orissa,Gajapati,Parlakhemundi,02 Jun 2018, TOR Not Granted Yet,Industrial Projects - 2,SRI MADHAB PATRO,Rejection Letter GrantedL
52,SIA/OR/MIN/26224/2018,26224/1989-NCM/06-2018,BAHINIPATI KERADA SAND QUARRY,Orissa,Rayagada,Rayagada,01 Jun 2018, TOR Not Granted Yet,Non-Coal Mining,B RAGHURAM,MoveToTORtoECL
53,SIA/OR/MIN/26176/2018,26176/1988-NCM/05-2018,Anandapur Sand Bed,Orissa,Bhadrak,Dhamanagar,31 May 2018, TOR Not Granted Yet,Non-Coal Mining,MURLIDHARA MAJHI,DelistedL
54,SIA/OR/MIN/25964/2018,25964/1985-NCM/05-2018,CHHOTAGUDA STONE QUARRY,Orissa,Nabarangpur,Umarkote,25 May 2018, TOR Not Granted Yet,Non-Coal Mining,MUKESH KUMAR GUPTA,DelistedL
55,SIA/OR/IND2/26095/2018,26095/434-IND2/05-2018,AMBAPALASH OUT STILL LIQUOR MAIN SHOP,Orissa,Dhenkanal,Parajang,24 May 2018, TOR Not Granted Yet,Industrial Projects - 2,PRAKASH KUMAR SAHOO,MoveToTORtoECL
56,SIA/OR/IND2/26177/2018,26177/433-IND2/05-2018,2748 LITRES DAILY PRODUCTION CAPACITY MAHUA FLOWER BASED NOLIA NUAGAON  OS SHOP,Orissa,Ganjam,Chhatrapur,24 May 2018, TOR Not Granted Yet,Industrial Projects - 2,NIRANJAN BEHERA,MoveToTORtoECL
57,SIA/OR/IND2/26180/2018,26180/432-IND2/05-2018,1872 LITRES DAILY PRODUCTION CAPACITY MAHUA FLOWER BASED DEBABHUMI CHHACK MAIN OUT STILL SHOP,Orissa,Ganjam,Asika,24 May 2018, TOR Not Granted Yet,Industrial Projects - 2,MR MAHESWAR PRADHAN,MoveToTORtoECL
