"","ID","Dist_Nam_1","Tehsil","tuid","POP_ALIGNED","AREA_ALIGNED","TOT_POP","Area","No_Villages","Per_Pop_Aligned","Per_Area_Aligned"
"232",232,"Koraput","Narayanpatna",2107,38106,492186914.570385,38106,492186914.570385,117,1,1
"233",233,"Koraput","Lakshmipur",2103,63703,483186787.811449,63900,495240949.797397,118,0.996917057902973,0.975660005516748
"234",234,"Keonjhar","Champua",1905,111137,361150453.56837,112362,371450036.426379,148,0.989097737669319,0.972271956257972
"235",235,"Keonjhar","Saharpada",19013,91893,399935610.640631,91893,399935610.640631,154,1,1
"236",236,"Mayurbhanj","Thakurmunda",4025,110070,967359549.32492,110070,967359549.32492,181,1,1
"237",237,"Keonjhar","Anandapur",1901,159964,666013505.613991,159964,666013505.613991,143,1,1
"238",238,"Kendrapara","Rajanagar",1808,157072,538204712.164794,157072,538204712.164794,293,1,1
"239",239,"Kendrapara","Garadapur",1806,97178,141425169.609205,97178,141425169.609205,119,1,1
"240",240,"Kendrapara","Derabish",1804,192801,229156973.187207,192801,229156973.187207,234,1,1
"241",241,"Kandhamal","Raikia",1709,51559,563539305.882976,51559,563539305.882976,157,1,1
"242",242,"Kalahandi","Koksara",16011,93304,426751489.080315,93304,426751489.080315,51,1,1
"243",243,"Kalahandi","Th. Rampur",1603,93092,1040414415.0297,94419,1047241499.38414,222,0.98594562535083,0.993480888258864
"244",244,"Kalahandi","Jaipatana",16010,59980,310716952.90643,59980,310716952.90643,50,1,1
"245",245,"Kalahandi","Lanjigarh",1602,87233,925097608.551301,90632,959721844.791629,501,0.962496689910848,0.963922634012936
"246",246,"Jajpur","Dhramasala",1406,219678,332995309.156113,219678,332995309.156113,323,1,1
"247",247,"Jajpur","Barchana",1404,217701,369057288.122523,217701,369057288.122523,246,1,1
"248",248,"Jajpur","Bari",1407,155032,189994948.979286,155032,189994948.979286,111,1,1
"249",249,"Jajpur","Jajpur",1401,243042,245265657.519047,243042,245265657.519047,221,1,1
"250",250,"Sundargarh","Lathikata",3005,30009,135453934.098419,119915,471305549.129073,79,0.25025226201893,0.287401526141003
"251",250,"Sundargarh","Rourkela",3003,515138,98523973.3299327,542517,158583242.984425,40,0.949533378677535,0.621276065968766
"252",251,"Sundargarh","Koira",30016,5614,12637809.4564309,86385,761515275.220694,116,0.0649881345140939,0.0165956086078094
"253",252,"Ganjam","Chikiti",1202,139092,352262766.44263,139092,352262766.44263,147,1,1
"254",253,"Ganjam","Khalikote",12010,169839,425885095.90806,169839,425885095.90806,213,1,1
"255",254,"Ganjam","Kodala",1209,136458,223263973.036379,136458,223263973.036379,173,1,1
"256",255,"Ganjam","Patrapur",1205,111990,492787377.112045,112485,513212831.835888,344,0.995599413255101,0.960200810547202
"257",256,"Ganjam","Berhampur",1201,11697,10905074.8785906,11697,10905074.8785906,5,1,1
"258",257,"Ganjam","Kanisi",1204,166524,229848366.56839,166524,229848366.56839,81,1,1
"259",257,"Ganjam","Kukudakhandi",1207,451950,230721662.522211,451950,230721662.522211,73,1,1
"260",258,"Ganjam","Purusottampur",12011,180430,244695594.081714,180430,244695594.081714,124,1,1
"261",259,"Ganjam","Surada",12019,151583,890527032.635211,158575,910363450.911692,285,0.955907299385149,0.978210440833697
"262",260,"Ganjam","Dharakote",12022,61817,105964847.481398,143064,513910396.817096,249,0.432093328859811,0.206193235508935
"263",261,"Ganjam","Sanakhemundi",1206,25087,27658196.2651711,167144,332716173.184621,171,0.150092136122146,0.0831284995870152
"264",262,"Ganjam","Digapahandi",1203,162280,499950965.077008,173952,529258087.388295,282,0.932901030169242,0.944626028378881
"265",263,"Gajapati","R. Udayagiri",1103,0,17369412.4689893,64208,651278543.830625,246,0,0.0266697139549963
"266",264,"Kalahandi","Bhawanipatna",1601,69689,360698739.831283,212497,650002250.754677,262,0.327952865216921,0.554919216683478
"267",265,"Kandhamal","Kotagarh",1705,53492,834946464.331545,53492,834946464.331545,152,1,1
"268",266,"Kandhamal","Baliguda",1701,75698,834116555.962654,75698,834116555.962654,282,1,1
"269",267,"Kandhamal","Phulbani",17010,75285,435775202.420365,75285,435775202.420365,220,1,1
"270",268,"Kandhamal","Daringbadi",1703,105359,1290667115.5497,105359,1290667115.5497,310,1,1
"271",269,"Koraput","Koraput",2101,33155,148787378.086175,33155,148787378.086175,28,1,1
"272",270,"Koraput","Koraput",2101,90496,427457916.325147,90496,427457916.325147,80,1,1
"273",271,"Koraput","Dasamanthpur",2102,82132,967287782.364145,82132,967287782.364145,210,1,1
"274",272,"Koraput","Semiliguda",2109,125307,519103431.770379,125307,519103431.770379,99,1,1
"275",273,"Koraput","Kotpad",21012,111880,498938014.774052,112802,503071695.177975,117,0.991826386056985,0.991783118701479
"276",274,"Malkangiri","Kudumulaguma",2207,52493,996183308.214197,52493,996183308.214197,252,1,1
"277",275,"Keonjhar","Hatadihi",1902,160411,439343171.772499,160411,439343171.772499,215,1,1
"278",276,"Bhadrak","Tihidi",507,97228,196859050.993272,192104,317967094.53146,154,0.506121684087786,0.619117683492858
"279",277,"Bhadrak","Chandabali",502,261528,610522667.186488,263380,615111984.950946,310,0.992968334725492,0.99253905325089
"280",278,"Balasore","Remuna",202,155038,245814469.957495,174714,274702758.876094,253,0.88738166374761,0.894838009502374
"281",279,"Mayurbhanj","Badasahi",4012,9923,13658973.5561144,161110,355120939.004111,266,0.0615914592514431,0.0384628785743222
"282",280,"Jagatsinghpur","Kujanga",1304,225772,268610334.435397,225772,268610334.435397,156,1,1
"283",281,"Kendrapara","Mahakalapada",1809,190343,466799961.888505,190343,466799961.888505,220,1,1
"284",282,"Jagatsinghpur","Raghunathpur",1302,94122,109015011.063287,94122,109015011.063287,111,1,1
"285",283,"Angul","Talcher",104,156573,296518584.637146,156573,296518584.637146,182,1,1
"286",284,"Kandhamal","Phiringia",17012,84535,1138743591.11409,84535,1138743591.11409,474,1,1
"287",285,"Kalahandi","Karlamunda",1606,34152,150539437.119483,34152,150539437.119483,42,1,1
"288",286,"Bargarh","Sohella",3010,134274,555771261.868981,134274,555771261.868981,127,1,1
"289",287,"Subarnapur","Dungripali",2903,119058,301291937.323978,120132,306642515.232999,116,0.991059834182399,0.982551089156846
"290",288,"Sundargarh","Lephripara",30010,0,0,67973,583769167.918579,113,0,0
"291",289,"Sambalpur","Rengali",2802,6684,73228641.3403986,83922,508703946.792115,84,0.0796453850003575,0.143951392164692
"292",290,"Sundargarh","Baragaon",30013,0,0,73973,423501465.254536,80,0,0
"293",291,"Sundargarh","Lahunipara",30018,0,0,100714,804396848.972456,228,0,0
"294",292,"Gajapati","Mohana",1104,1206,17950084.7742508,128359,1444681783.14718,482,0.00939552349270406,0.0124249402073495
"295",293,"Dhenkanal","Hindol",1004,174081,805760036.920027,174081,805760036.920027,190,1,1
"296",294,"Puri","Satyabadi",26010,112881,152566217.116077,126365,172023136.402896,113,0.893293237842757,0.886893590631618
"297",295,"Mayurbhanj","Muruda",4015,94169,302285983.688023,101851,330470515.899963,166,0.924576096454625,0.91471392800297
"298",296,"Balasore","Soro",206,172418,253499617.366769,172418,253499617.366769,172,1,1
"299",297,"Kandhamal","K. Nuagaon",1706,52140,616448736.809968,52140,616448736.809968,216,1,1
"300",298,"Dhenkanal","Odapada",1003,145396,355871185.892815,145396,355871185.892815,155,1,1
"301",299,"Dhenkanal","Parjang",1007,132840,545920703.936303,132840,545920703.936303,100,1,1
"302",300,"Cuttack","Baramba",8011,164136,372497627.949355,164136,372497627.949355,150,1,1
"303",301,"Cuttack","Narsinghpur",8012,184498,672951369.623408,184498,672951369.623408,293,1,1
"304",302,"Cuttack","Banki",8014,112273,235703912.78691,112273,235703912.78691,109,1,1
"305",303,"Cuttack","Banki-Dampara",8015,128031,305986766.123215,128031,305986766.123215,70,1,1
"306",304,"Cuttack","Cuttack Sadar",801,809640,327859613.665312,816659,336317852.390066,136,0.99140522543681,0.974850461655113
