,Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
3,2113,SIA/OR/MIN/50958/2016,50958/1501-NCM/03-2016,"Kapilash Sand Quarry over an area of 5.518 ha in village Kapilash, Tahasil- Dharakote in Ganjam district of Odisha",CHIRANJIBI DASH,EC Granted - Processed offline,EC,
4,2114,SIA/OR/IND2/20883/2017,20883/61-IND2/11-2017,1788 Litres per day Mahua flower based country Liquor Manufacturing unit of Podamari Main Out Still Liquor shop at- Podamari Dist- Ganjam.,TRINATH SAHU,EC Granted,EC,
5,2115,SIA/OR/IND2/22046/2018,22046/173-IND2/02-2018,"Production of 0.888 KLD Mahua Flower Based Country Liquor Manufacturing Unit, Amthi Main Out Still Shop at Amthi, Tahasil- Jharbandh, Dist- Bargarh",PRABHASH KUMAR SAHU,EC Granted,EC,
6,2116,SIA/OR/MIN/60363/2016,60363/1738-NCM/11-2016,"BALANGA SAND BED,MAHUPURA",KRUPASINDHU SINGH,EC Granted,EC,
7,2117,SIA/OR/MIN/50814/2016,50814/1545-NCM/03-2016,"Kurulu Nadi Sand Bed Over lease area of 5.135 ha/12.724 acres located at Village- Heruguda & Kadalimunda, Tahasil- Kundra, District- Koraput",NARENDRAA KUMAR PRADHAN,EC Granted,EC,
8,2118,SIA/OR/MIN/49868/2016,,Balanda Stone Quarry,PRASAD KUMAR SAHOO,Delisted,EC,
9,2119,SIA/OR/MIN/416435/2023,416435/920-MINB2/04-2023,Proposal for Fresh Environmental Clearance of Bhutiarbahal Stone Quarry-B over an area of 3.00 Acres or 1.214 Hectares in village Bhutiarbahal under Balangir tahasil of Balangir district.,NIRAJ AGRAWAL,Under examination of SEAC,EC,
10,2120,SIA/OR/IND2/25750/2018,25750/383-IND2/04-2018,HATADIHI OS SHOP,INDUDEVI GUPTA,EC Granted,EC,
1,2121,SIA/OR/MIN/428951/2023,,APPLICATION FOR FRESH ENVIRONMENTAL CLEARANCE FOR BICHHAKHANDI BLACK STONE QUARRY-20 OVER AN AREA 4.50 AC OR 1.821 HA. IN VILLAGE BICHHAKHANDI  UNDER DHARMASALA TAHASIL OF JAJPUR DISTRICT OF ODISHA,SUMANTA MOHANTY,Under examination of SEIAA,EC,
2,2122,SIA/OR/MIN/402094/2022,,"PROPOSAL FOR TRANSFER OF EC OF GOPINATHPUR - NUAGAON STONE QUARRY OVER AN AREA OF 5.00 ACRES / 2.023 HECTARES IN VILLAGE GOPINATHPUR - NUAGAON UNDER KEONJHAR TAHASIL, KEONJHAR, ODISHA",PRAMOD SAHOO,WithdrawEC,EC,
3,2123,SIA/OR/IND2/23158/2018,23158/317-IND2/03-2018,Tuliudar O S Shop,ANIL KUMAR SAHU AND RAM MURTY PRASAD,EC Granted,EC,
4,2124,SIA/OR/MIN/405402/2022,405402/877-MINB2/03-2023,Jhadgan Stone Quarry  Over an area of 3.61 Acre or 1.460 Hectares in village Jhadagan  under Bahalda Tahasil of Mayurbhanj District of Odisha.,TAHASILDAR BAHALDA,Under examination of SEAC,EC,
5,2125,SIA/OR/MIN/75051/2018,75051/1992-NCM/06-2018,"Stone Quarry Project (7650 cum), BSQ No. 3, Q.L Area 7.50 Acre or 3.035 ha., Near Village: Sahanidiha, Tehsil- Dharmasala, District- Jajpur (Odisha) M/s. Premier Rock Products Pvt. Ltd.","M/S PREMIER ROCK PRODUCTS  PVT. LTD. PROPOSE  STONE QUARRY MINING PROJECT,",Delisted,EC,
6,2126,SIA/OR/MIN/38995/2016,SEIAA/38995/1092-NCM/01-2016,KANDHAKALAPADA STONE QUARRY,ABDUL RAJAK KHAN,Delisted,EC,
7,2127,SIA/OR/MIN/50290/2016,,DHANIA WEST (GHA) STONE QUARRY,NARESH KUMAR PATRA,Delisted,EC,
