,Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
10,440,SIA/OR/MIN/273937/2022,273937/282-MINB2/05-2022,Sartaguda Sand Source over an area of 6.178 acre or 2.500 hectare in village Sartaguda under Khondamals Tahasil of Kandhamal District of Odisha.,DINAMANI NAIK,EC Granted,EC,
1,441,SIA/OR/MIN/247371/2021,247371/161-MINB2/12-2021,Jodida Stone Quarry over an area of 3.27 Acre or 1.32 Hectares in village Jodida under Kusumi Tahasil of Mayurbhanj District of Odisha.,TAHASIILDARKUSUMIMAYURBHANJ,EC Granted,EC,
2,442,SIA/OR/MIN/246135/2021,246135/143-MINB2/12-2021,Proposal for grant of Environmental Clearance of Sarasmal-Siletkani Sand Quarry over an area of 12.35 Acres or 5.00 Hectares in village Sarasmal-Siletkani under Deogaon Tahasil of Balangir District.,TAHASILDAR DEOGAON,EC Granted,EC,
3,443,SIA/OR/MIS/247045/2021,247045/70-MIS/01-2022,"Proposed housing Project for Environment Clearance for LB+ UB+LG+UG+21 commercial and  residential  buildings for M/s Grand Bazaar Developers LLP at  mouza Bidyadharpur-6, tahasil Cuttack Sadar, dist-Cuttack, Odisha.",M/S GRAND BAZAAR DEVELOPERS,Delisted,EC,
4,444,SIA/OR/MIN/253896/2022,253896/214-MINB2/01-2022,"Sasanga Sand Quarry 2, Sasanga over an area of 12.00 ac or 4.856 ha in village Sasanga of Champua Tahasil of Keonjhar district, Odisha.",TAHASILDAR CHAMPUA KEONJHAR,EC Granted,EC,
5,445,SIA/OR/MIS/152489/2020,152489/23-MIS/05-2020,ODISHA BIOTECH PARK,ODISHA BIOTECH PARK PRIVATE LIMITED,EC Granted,EC,
6,446,SIA/OR/MIN/247568/2021,247568/544-MINB2/02-2022,MARADA STONE QUARRY OVER AN AREA OF 4.957 HA UNDER BHAPUR TAHASIL OF NAYAGARH DISTRICT ODISHA,BENUDHAR  PRADHAN,EC Granted,EC,
7,447,SIA/OR/MIS/263754/2022,263754/79-MIS/03-2022,Residential Project,HARSHPRIYA NEELACHALA,WithdrawEC,EC,
8,448,SIA/OR/MIN/281241/2022,281241/321-MINB2/07-2022,"PROPOSAL FOR FRESH EC OF JANIBILLI STONE QUARRY OVER AN AREA OF 2.780 ACRES OR 1.125 HECTARES AT VILLAGE JANIBILLI UNDER DHARAKOTE TAHASIL OF GANJAM DISTRICT, ODISHA","TAHASILDAR, DHARAKOTE",EC Granted,EC,
9,449,SIA/OR/IND/29765/2018,29765/08-IND/09-2019,"Proposed Cement Grinding Unit capacity 2X1.0 MTPA (PPC, PSC, OPC & GGBS) at Kalinganagar Industrial Complex, District- Jajpur, Odisha of M/s Chettinad Cement Corporation Private Limited",CHETTINAD CEMENT CORPORATION LIMITED,EC Granted,EC,
10,450,SIA/OR/MIN/257371/2022,257371/736-MINB2/05-2022,"Proposal for grant of EC of DHARIGUDA STONE QUARRY-B over an area 10.42 acre or 4.219 hec in Dhariguda village of Malkangiri tahasil in Malkangiri district, Odisha",DIGAVALLI RAO,EC Granted,EC,
1,451,SIA/OR/MIN/259039/2022,259039/666-MINB2/04-2022,Badabara Sand Quarry over an area of 4.957 Ha under Bhapur Tahasil of Nayagarh District Odisha,SACHIN SAHOO,EC Granted,EC,
2,452,SIA/OR/MIN/258472/2022,258472/669-MINB2/04-2022,Proprosal for grant of EC of DUMERTA 1 STONE QUARRY over an area 6.00acre or 2.428hac.in Dumerta village of Bisra Tahasil in Sundargarh District Odisha.,TAHASILDAR BISRA,EC Granted,EC,
3,453,SIA/OR/MIS/275499/2022,275499/93-MIS/06-2022,Proposal for Environment Clearance of Proposed Residential Cum Commercial Apartment [Integrated envelope 3B + GF (commercial) upper stilt +First Floor (Amenity Floor)+ SF (service floor)+ 4 towers of  22 multi storied residential apartment building o,RIVER FRONT DEVELOPERS PRIVATE LIMITED,EC Granted,EC,
4,454,SIA/OR/MIN/44779/2019,44779/74-MINB1/01-2022,"Bankia Quartz and Gemstone Mines over an area of 21.092 Ha at Village Bankia, Tehsil- Biramaharajpur, Dist- Sonepur, Odisha of M/s Manikeswari Minerals",MANIKESWARI MINERALS,EC Granted,EC,
5,455,SIA/OR/MIN/247164/2021,,"Proposal for grant of Environmental Clearance of LAKHNA-V STONE QUARRY over an area 5.00Acre or 2.023 Hectre in village of Lakhna under Komna Tahasil in Nuapada district, Odisha",TAHASILDAR KOMNA,Delisted,EC,
6,456,SIA/OR/MIN/246842/2021,246842/898-MINB2/03-2023,Dantia Laterite Stone Quarry Over an area of 0.70 Acre or 0.283 Hectares in village Dantia under Ghasipura Tahasil of Keonjhar District of Odisha.,SIBA CHARAN ROUT,Under examination of SEAC,EC,
7,457,SIA/OR/MIN/246559/2021,246559/394-MINB2/08-2022,GUNTHAPADA STONE QUARRY,TEHASILDAR ASKA,EC Granted,EC,
8,458,SIA/OR/MIN/57372/2020,57372/81-MINB1/03-2022,"Khemabeda Decorative Stone M.L. 56 (dolerite/ black granite) Mines deposit over an area of 8.353 hectares/ 20.64 Acres located in Village Khemabeda no.200, Tahasil: Boipariguda, District: Koraput",DEVARA LATHA,EC Granted,EC,
9,459,SIA/OR/MIN/251675/2022,251675/572-MINB2/02-2022,Amrutamanohi Brahmani Nadi Sand,TAHASILDAR PATTAMUNDAI,EC Granted,EC,
10,460,SIA/OR/MIN/254484/2022,254484/222-MINB2/02-2022,Proposal for grant of Environmental Clearance of Matikod Sand Quarry over an Area of 12.355 Acres or 5.00 Hect. in Matikod Village under Sonepur Tahasil of Subarnapur District,TAHASILDAR  SONEPUR,EC Granted,EC,
1,461,SIA/OR/MIN/63373/2021,,,CHINTAMANI SAMAL,Delisted,EC,
2,462,SIA/OR/MIN/285749/2022,285749/281-MINB1/08-2022,Balanda Stone Quarry 10 over an area of 4.856 ha under cluster approach with total cluster area 37.915 ha,PREM SAHU,EC Granted,EC,
3,463,SIA/OR/MIN/34513/2017,34513/03-MINB1/04-2019,Anjira Stone quarry,SHRI TAPAN KUMAR NAYAK,Delisted,EC,
4,464,SIA/OR/MIN/54276/2020,54276/95-MINB1/02-2021,"Environmental Clearance for Sand Mining with production capacity 94120 Cum/Annum over Baideswar Sand Ghat (ML area 13.355 ha), village Patugadadharpur,Tahsil Banki, Cuttack,Odisha by Minakshi Pradhan, at Samantrapur,Dist Khurda,Odisha",MINAKSHI PRADHAN,EC Granted,EC,
5,465,SIA/OR/MIN/228571/2021,228571/21-MINB2/09-2021,NEW PROPOSAL FOR GTANT OF EC OF HATIA NEW BUILDING STONE QUARRY (JA) OVER 2.43 HA. IN VILLAGE NIJAGADA TAPANGA OF TAHASIL AND DISTRICT KHORDHA BY SASMITA ROUTRAY,SMT. SASMITA ROUTRAY,EC Granted,EC,
6,466,SIA/OR/MIN/245050/2021,245050/303-MINB2/06-2022,"Proposal for Fresh EC of Jatamundia Sand Quarry over an area of 12.35 Acres or 4.990 Hectares in village Jatamundia under Damapada Tahasil of Cuttack district, Odisha",TAHASILDAR DAMAPADA,EC Granted,EC,
7,467,SIA/OR/MIN/58313/2020,58313/177-MINB1/12-2021,Gunupur Sand Bed - II,TAHSILDAR GUNUPUR,EC Granted,EC,
8,468,SIA/OR/MIN/70222/2021,70222/65-MINB1/12-2021,"Sukhapada Decorative Stone Mine over an area of 46.159 Ha or 114.062 Acres at Village- Bandareswar & Kesharaipur, Tahasil- Darpan, District- Jajpur of the Odisha Mining Corporation Ltd",THE ODISHA MINING CORPORATION LTD.,EC Granted,EC,
9,469,SIA/OR/MIN/265280/2022,265280/247-MINB2/03-2022,Bholadanga Morrum Quarry Over an area of 11.735 Acre or 4.694 Hectares in village Bholadanga under Nilgiri Tahasil of Balasore District of Odisha.,TAHASILDAR NILGIRI,EC Granted,EC,
10,470,SIA/OR/MIN/266112/2022,266112/620-MINB2/04-2022,Proposal for EC Niljee Sand Quarry over an area 11.90 acre or 4.815 hectare in Niljee village of Sinapali Tahasil in Nuapada district Odisha,TAHASILDAR SINAPALI,Delisted,EC,
1,471,SIA/OR/MIN/251640/2022,251640/571-MINB2/02-2022,Alapua Brahmani Nadi Sand,TAHASILDAR PATTAMUNDAI,EC Granted,EC,
2,472,SIA/OR/MIS/254602/2022,254602/74-MIS/02-2022,"Expansion of Residential Apartment Project located at Plot No. 552, Khata No. 313, Mouza- Sipasarubali, Puri, Odisha by M/s Evos Buildcon Pvt Ltd.",EVOS BUILDCON PRIVATE LIMITED,EC Granted,EC,
3,473,SIA/OR/MIN/279256/2022,,Proposal for grant of EC of LAMBARUPALI STONE QUARRY over an area of 0.60ac or 0.243ha in Lambarupali village under Sohela tahasil of Bargarh district Odisha,KANHAIYA AGRAWAL,Delisted,EC,
4,474,SIA/OR/MIN/277608/2022,277608/294-MINB2/06-2022,Gopinathpur Nuagaon stone quarry over an area of 5.00 acres or 2.023 Hectares in village Gopinathpur Nuagaon sadar tahasil Keonjhar,"OFICE OF THE TAHASILDAR, KEONJHAR",EC Granted,EC,
5,475,SIA/OR/MIN/244998/2021,244998/128-MINB2/12-2021,Baradungri Stone Quarry over an area of 3.80 Acres or 1.53 Hectares in Village- Baradungri under Rengali Tahasil of Sambalpur District of Odisha,NAVVIN MISHRA,EC Granted,EC,
6,476,SIA/OR/MIN/245651/2021,245651/306-MINB2/06-2022,"Lunguri Stone Quarry over an area of 2.500 acres or 1.011 hectares bearing Khata no. 69, Plot No. 775 in Lunguri village of Semiliguda Tahasil, District- Koraput State Odisha.",TAHASILDAR SEMILIGUDA,EC Granted,EC,
7,477,SIA/OR/MIN/245692/2021,245692/595-MINB2/03-2022,"Mania (Upper Mania) Stone Quarry over an area of 2.00 Acers or 0.809 Hectares having Khata no. 65, Plot No. 210/887 in the village Mania, Tahasil- Semiliguda, District- Koraput, State Odisha.",TAHASILDAR SEMILIGUDA,EC Granted,EC,
8,478,SIA/OR/MIN/245741/2021,245741/307-MINB2/06-2022,"Mania (Upper Mania) Stone Quarry over an area of 2.50 Acers or 1.011 Ha having Khata No.65, Plot No. 760 in the village Mania, Tahasil Semiliguda in district Koraput, State Odisha.",TAHASILDAR SEMILIGUDA,EC Granted,EC,
9,479,SIA/OR/MIN/270401/2022,270401/717-MINB2/04-2022,"Jyotipur Sand Quarry over an area of 8.00 ac or 3.24 ha in village Jyotipur of Champua Tahasil of Keonjhar district, Odisha.",TAHASILDAR CHAMPUA KEONJHAR,EC Granted,EC,
10,480,SIA/OR/MIN/64155/2021,64155/270-MINB1/07-2022,"New proposed project of Basupali Stone Quarry -4 with proposed excavation of 5000 CUM/year of stone of Tahasildar Balangir having an area of 2.023 Ha. Located at Khata No. 14 Plot No.79, At Basupali under Balangir Tahasil of Balangir District, Odisha (Under Cluster approach for Basupali Cluster Stone Quarry over an area of 9.67 Ha with 5 individual mines)",TAHASILDAR BALANGIR,Rejection Letter Granted,EC,
1,481,SIA/OR/MIS/105266/2019,105266/04-MIS/06-2019,"Construction of (S+12) multi-storied residential apartments at Ransinghpur (Ph-II), Bhubaneswar by Odisha State Housing Board.",ODISSA STATE HOUSING BOARD,EC Granted,EC,
2,482,SIA/OR/MIN/252184/2022,252184/199-MINB2/01-2022,Ghumal Sand Bed Over an area of 12.35 Acres or 4.99 hectares in village Ghumal under Jamda Tahasil of Mayurbhanj District of Odisha.,TAHASILDARJAMDAMAYURBHANJ,EC Granted,EC,
3,483,SIA/OR/MIN/59702/2021,59702/186-MINB1/01-2022,"Krushnachandrapur stone quarry No. 3 over 5.63 Ac. or 2.278 Ha. located in Village: Krushnachandrapur, Tahasil: Banarpal, Dist: Angul (Under Cluster approach of Krushnachandrapur building stone cluster, area 17.18 Ha. or 42.44 Acres)",JAGANNATH CORPORATION PROJECTS PRIVATE LIMITED,EC Granted,EC,
4,484,SIA/OR/MIN/275848/2022,275848/768-MINB2/06-2022,Patpur Brick Earth Quarry Over an area of 1.05 Acres or 0.424 hectares in village Patpurl under Betnoti Tahasil of Mayurbhanj District of Odisha.,INDRA SAHU,Delisted,EC,
5,485,SIA/OR/MIN/276850/2022,276850/419-MINB2/08-2022,Rangamatia Stone Quarry Over an area of 0.90 Acre or 0.364 Hectares in village Rangamatia under Raruan Tahasil of Mayurbhanj District of Odisha.,SATYA ROUT,EC Granted,EC,
6,486,SIA/OR/MIN/276163/2022,276163/754-MINB2/06-2022,"Sundipalli Sand Quarry over an area of 6.358acres or 2.573ha bearing Khata no. - 545, Plot no. - 389 in village Sundipalli, Tahasil Sanakhemundi, district Ganjam, State Odisha.",SRI ABHAYA KUMAR NAHAK,Delisted,EC,
7,487,SIA/OR/MIN/248162/2021,248162/504-MINB2/12-2021,Proposal for Grant of Environmental Clearance of Rugudipali Stone Quarry over an area of 2.260 Acres or 0.914 Hects. of Village  Ragudipali under Sonepur Tahasil in Subarnapur District.,TAHASILDAR SONEPUR,EC Granted,EC,
8,488,SIA/OR/MIN/271286/2022,271286/412-MINB2/08-2022,NEW PROPOSAL FOR GRANT OF EC OF BALIBARENI LATERITE QUARRY OVER 8.50 AC OR 3.44 HA IN BALIBARENI VILLAGE UNDER BEGUNIA TAHASIL OF KHORDHA DISTRICT ODISHA,RAJA DASH,ADS by SEAC,EC,
9,489,SIA/OR/MIS/37224/2018,37224/01-MIS/06-2019,"Establishment of Common Hazardous Waste Treatment, Storage and Disposal Facility (CHWTSDF) at Village- Banjari, District- Deogarh,Odisha",WESTERN INTEGRATED WASTE MANAGEMENT FACILITY PVT LTD,Delisted,EC,
10,490,SIA/OR/MIN/59349/2020,59349/180-MINB1/01-2022,"Raichanda Sand Bed mine on river Brahmani over an area of 8.093 Ha or 20.00 Acre in village Raichanda, under Dharmasala Tahasil of Jajpur District, Odisha",SRI SRIBASH JENA,EC Granted,EC,
1,491,SIA/OR/MIN/237304/2021,237304/84-MINB2/11-2021,NEW PROPOSAL FOR ENVIRONMENT CLEARANCE FOR BAITARANI RIVER SAND OVER AN AREA OF 4.856 HECTARE OR 12.00 ACRES IN VILLAGE GIRIGAON UNDER HATADIHI TAHASIL OF KEONJHAR DISTRICT OF ODISHA.ARANCE,TAPAN KUMAR PANDA,EC Granted,EC,
2,492,SIA/OR/MIN/258199/2022,258199/592-MINB1/03-2022,DANKARI BLACK STONE QUARRY NO 712 OVER 12.50 ACRES OR 5.058 HECT IN VILLAGE DANKARI UNDER DHARMASALA TAHSIL OF JAJPUR DISTRICT ODISHA.,NARAYAN ROUT,EC Granted,EC,
