,Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
3,663,SIA/OR/IND2/23143/2018,23143/315-IND2/03-2018,Athgaon OS Shop,ANIL KUMAR SAHU AND RAM MURTY PRASAD,MoveToTORtoEC,TOR,
4,664,SIA/OR/IND2/23158/2018,23158/317-IND2/03-2018,Tuliudar O S Shop,ANIL KUMAR SAHU AND RAM MURTY PRASAD,MoveToTORtoEC,TOR,
5,665,SIA/OR/IND2/23156/2018,23156/316-IND2/03-2018,Baghala OS Shop,ANIL KUMAR SAHU AND RAM MURTY PRASAD,MoveToTORtoEC,TOR,
6,666,SIA/OR/IND2/23162/2018,23162/340-IND2/03-2018,Laimura O.S. Shop,SRI BHIKARI CHARAN SAHU,MoveToTORtoEC,TOR,
7,667,SIA/OR/IND2/23163/2018,23163/320-IND2/03-2018,Teleibani (Bindpur) OS Shop,SRI BHIKARI CHARAN SAHU,MoveToTORtoEC,TOR,
8,668,SIA/OR/IND2/23164/2018,23164/322-IND2/03-2018,Khari O.S. Shop,AVINASH ANAND,MoveToTORtoEC,TOR,
9,669,SIA/OR/IND2/23165/2018,23165/323-IND2/03-2018,Duduka O.S. Shop,ANIL KUMAR SAHU AND RAM MURTY PRASAD,MoveToTORtoEC,TOR,
10,670,SIA/OR/IND2/23166/2018,23166/324-IND2/03-2018,Ballam O S Shop,SRI RABISANKAR SAHU,MoveToTORtoEC,TOR,
1,671,SIA/OR/MIN/10320/2016,10320/1663-NCM/05-2016,GOUDAGAM RIVER SAND BED,KALU CHARAN BEHERA,TOR Granted,TOR,
2,672,SIA/OR/MIN/10329/2016,10329/1603-NCM/04-2016,MANGALPUR STONE QUARRY,SRI PREMANANDA SWAIN,TOR Granted - Processed offline,TOR,
3,673,SIA/OR/MIN/10334/2016,To be assigned,MATHAKARAGOLA ROAD METAL QUARRY,SAMBIT KUMAR MISHRA,Delisted,TOR,
4,674,SIA/OR/MIN/10349/2016,To be assigned,Badamanjurkupa Stone Quarry,RATANLAL JAIN,Delisted,TOR,
5,675,SIA/OR/MIN/10351/2016,10351/1623-NCM/04-2016,CHUDANGAUR ROAD METAL QUARRY,ABHAYA KUMAR NAHAK,TOR Granted,TOR,
6,676,SIA/OR/MIN/10363/2016,To be assigned,Mundagaon Stone Quarry-I,AMBICA STONE CRUSHER,Delisted,TOR,
7,677,SIA/OR/MIN/10382/2016,To be assigned,Kasili Stone Quarry,RAMESH CHOURASIA,Delisted,TOR,
8,678,SIA/OR/MIN/10383/2016,To be assigned,Kasili Stone Quarry-1,RAMESH CHOURASIA,Delisted,TOR,
9,679,SIA/OR/MIN/10388/2016,To be assigned,Kasili (III) Stone Quarry,RAMANI RANJAN PATI,Delisted,TOR,
10,680,SIA/OR/MIN/10401/2016,To be assigned,Bautiragada Road Metal Quarry No.1,DUSASAN BHUTIA,Delisted,TOR,
1,681,SIA/OR/MIN/10349/2016,To be assigned,Badamanjurkupa Stone Quarry,RATANLAL JAIN,Delisted,TOR,
2,682,SIA/OR/MIN/10351/2016,10351/1623-NCM/04-2016,CHUDANGAUR ROAD METAL QUARRY,ABHAYA KUMAR NAHAK,TOR Granted,TOR,
3,683,SIA/OR/MIN/10363/2016,To be assigned,Mundagaon Stone Quarry-I,AMBICA STONE CRUSHER,Delisted,TOR,
4,684,SIA/OR/IND2/21275/2017,21275/97-IND2/01-2018,"Production of 1.08 KLD Mahua Flower Based Country Liquor Unit of Main Out Still Liquor Shop, Papadahandi, at Papadahandi,  Tahasil-Papadahandi, Dist-Nabarangpur",NALANIKANTA MOHANTY,MoveToTORtoEC,TOR,
5,685,SIA/OR/MIN/21498/2018,To be assigned,Mukuna Sand Bed,KAMALA KANTA MAHANTA,Delisted,TOR,
6,686,SIA/OR/IND2/21632/2018,21632/84-IND2/01-2018,"Production of 0.726 KLD Mahua Flower Based Country Liquor Manufacturing Unit, Main Out Still Liquor Shop Boipariguda, at Boipariguda, Mouza- Gunthaguda, Tehsil- Boipariguda,  Dist-Koraput",DILLIP KUMAR GUPTA,MoveToTORtoEC,TOR,
