,proposal_no,file_no,proposal_name,state,district,tehsil,date_submission,tor_approval,project_category,company_proponent,status
1,SIA/OR/IND2/25985/2018,25985/393-IND2/05-2018,BAJARKOTE OUT STILL LIQUOR MAIN SHOP,Orissa,Angul,Athmallik,04 May 2018, TOR Not Granted Yet,Industrial Projects - 2,BIKRAM KISHORE SAHOO,MoveToTORtoECL
2,SIA/OR/IND2/25982/2018,To be assigned,Kadobahal Outstill Shop,Orissa,Bargarh,Attabira,04 May 2018, TOR Not Granted Yet,Industrial Projects - 2,MD. SHAHID HUSSAIN &  MD. RASAT HUSSAIN,DelistedL
3,SIA/OR/IND2/25952/2018,25952/392-IND2/05-2018,KARADAGADIA OUT STILL LIQUOR MAIN SHOP,Orissa,Angul,Banarpal,02 May 2018, TOR Not Granted Yet,Industrial Projects - 2,BIKRAM KISHORE SAHOO,MoveToTORtoECL
4,SIA/OR/IND2/25943/2018,25943/391-IND2/05-2018,Amath O.S. Shop,Orissa,Kalahandi,Kesinga,01 May 2018, TOR Not Granted Yet,Industrial Projects - 2,M/S BALDEV SAHU AND SONS,MoveToTORtoECL
5,SIA/OR/IND2/25941/2018,25941/390-IND2/05-2018,Patharla O.S. Shop,Orissa,Balangir,Titlagarh,01 May 2018, TOR Not Granted Yet,Industrial Projects - 2,RITESHSAHU,MoveToTORtoECL
6,SIA/OR/IND2/25925/2018,25925/386-IND2/04-2018,690 LITRES DAILY PRODUCTION CAPACITY MAHUA FLOWER BASED GOVINDAPUR MAIN OS SHOP,Orissa,Ganjam,Surada,30 Apr 2018, TOR Not Granted Yet,Industrial Projects - 2,SANJAYA PRASAD,MoveToTORtoECL
7,SIA/OR/IND2/25914/2018,25914/387-IND2/04-2018,Sirabahal O.S. Shop,Orissa,Balangir,Tushura,28 Apr 2018, TOR Not Granted Yet,Industrial Projects - 2,BHOLANATH SAHOO,MoveToTORtoECL
8,SIA/OR/IND2/25912/2018,25912/388-IND2/04-2018,Sagunbhandi O.S. Shop,Orissa,Balangir,Bangomunda,28 Apr 2018, TOR Not Granted Yet,Industrial Projects - 2,BINOD KUMAR GUPTA &  ANANT KUMAR GUPTA,MoveToTORtoECL
9,SIA/OR/IND2/25911/2018,25911/389-IND2/04-2018,Khaliapali O.S. Shop,Orissa,Balangir,Loisinga,28 Apr 2018, TOR Not Granted Yet,Industrial Projects - 2,ANIL KUMAR SAHU AND RAM MURTY PRASAD,MoveToTORtoECL
10,SIA/OR/MIN/25803/2018,25803/1976-NCM/04-2018,Tengnabasa Sand Quarry-II,Orissa,Nuapada,Komana,23 Apr 2018, TOR Not Granted Yet,Non-Coal Mining,SEKHAR CHANDRA SENA,MoveToTORtoECL
11,SIA/OR/NCP/22985/2018,22985/08-NCP-V/04-2018,Expansion of Residential Complex,Orissa,Sambalpur,Burla,23 Apr 2018,19 Jan 2020,INFRA-1,JAS CONSTRUCTIONS PVT LTD,TOR GrantedL
12,SIA/OR/IND2/25812/2018,25812/385-IND2/04-2018,"Production of 1.89 KLD Mahua Flower Based Country Liquor Manufacturing Unit, Raighar Main Out Still Shop at Village- Raighar, Tehsil- Raighar, Dist- Nabarangpur",Orissa,Nabarangpur,Raighar,23 Apr 2018, TOR Not Granted Yet,Industrial Projects - 2,ASHOK KUMAR SAHU,MoveToTORtoECL
13,SIA/OR/IND2/25625/2018,25625/384-IND2/04-2018,DHENKA OS SHOP,Orissa,Kendujhar,Nandipada,20 Apr 2018, TOR Not Granted Yet,Industrial Projects - 2,INDUDEVI GUPTA,MoveToTORtoECL
14,SIA/OR/IND2/25750/2018,25750/383-IND2/04-2018,HATADIHI OS SHOP,Orissa,Kendujhar,Nandipada,20 Apr 2018, TOR Not Granted Yet,Industrial Projects - 2,INDUDEVI GUPTA,MoveToTORtoECL
15,SIA/OR/IND2/25663/2018,To be assigned,KARADAGADIA OUT STILL LIQUOR MAIN SHOP,Orissa,Angul,Banarpal,20 Apr 2018, TOR Not Granted Yet,Industrial Projects - 2,SAHOO BIKRAM KISHOR,DelistedD
16,SIA/OR/IND2/25027/2018,25027/382-IND2/04-2018,Burla O.S. Shop,Orissa,Sambalpur,Sadar,20 Apr 2018, TOR Not Granted Yet,Industrial Projects - 2,MD. Q. ZAMAN & MD. MOOSA WARSI,MoveToTORtoECL
17,SIA/OR/IND2/22302/2018,22302/381-IND2/04-2018,Baijamunda O.S. Shop,Orissa,Sambalpur,Sadar,20 Apr 2018, TOR Not Granted Yet,Industrial Projects - 2,MD. Q. ZAMAN & MD. MOOSA WARSI,MoveToTORtoECL
18,SIA/OR/IND2/25756/2018,25756/380-IND2/04-2018,Dangia O.S. Shop,Orissa,Balangir,Kantabanji,20 Apr 2018, TOR Not Granted Yet,Industrial Projects - 2,BINOD KUMAR GUPTA &  ANANT KUMAR GUPTA,MoveToTORtoECL
19,SIA/OR/IND2/24547/2018,To be assigned,HATADIHI OS SHOP,Orissa,Kendujhar,Nandipada,18 Apr 2018, TOR Not Granted Yet,Industrial Projects - 2,HATADIHI OS SHOP,DelistedD
20,SIA/OR/IND2/25640/2018,25640/379-IND2/04-2018,Pankelbahal O.S. Shop,Orissa,Balangir,Balangir,17 Apr 2018, TOR Not Granted Yet,Industrial Projects - 2,ANIL KUMAR SAHU AND RAM MURTY PRASAD,MoveToTORtoECL
21,SIA/OR/IND2/25639/2018,25639/378-IND2/04-2018,Dudukasira O.S. Shop,Orissa,Balangir,Balangir,17 Apr 2018, TOR Not Granted Yet,Industrial Projects - 2,ANIL KUMAR SAHU AND RAM MURTY PRASAD,MoveToTORtoECL
22,SIA/OR/IND2/25506/2018,25506/377-IND2/04-2018,"PRODUCTION OF 0.810 KLD MAHUA FLOWER BASED COUNTRY LIQUOR MANUFACTURE UNIT, KATINGPADAR MAIN O S LIQUOR SHOP AT KATINGPADAR, DIST. KALAHANDI",Orissa,Kalahandi,Junagarh,14 Apr 2018, TOR Not Granted Yet,Industrial Projects - 2,SHYAM PRASAD SAHU,MoveToTORtoECL
23,SIA/OR/MIN/24135/2018,24135/07-MIN-V/04-2018,Nischinta Quartz & Quartzite Mines,Orissa,Mayurbhanj,Bangiriposi,13 Apr 2018, TOR Not Granted Yet,Non-Coal Mining,SHANTANU KUMAR BEHERA,DelistedL
24,SIA/OR/MIN/25136/2018,To be assigned,Rajsitapur Decorative Stone Deposit,Orissa,Ganjam,Brahmapur Sadar,13 Apr 2018, TOR Not Granted Yet,Non-Coal Mining,SMT RASHMI JAIN,DelistedD
25,SIA/OR/MIN/25120/2018,25120/06-MIN-V/04-2018,Menkamunda Graphite Mines,Orissa,Bargarh,Paikamal,13 Apr 2018,24 May 2021,Non-Coal Mining,SRI PRABHAS CHANDRA AGRAWAL,TOR GrantedL
26,SIA/OR/IND2/22675/2018,22675/376-IND2/04-2018,Bangiriposi O.S. Shop,Orissa,Mayurbhanj,Bangiriposi,13 Apr 2018,25 Sep 2018,Industrial Projects - 2,RITESHSAHU,TOR GrantedL
