Sl_No,Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
1750,SIA/OR/MIN/5413/2015,SEIAA/5413/979-NCM/12-2015,Orissa,Ganjam,Purusottampur,Date of Submission : 24 Dec 2015,Date of TOR Granted : 30 Jan 2016,Non-Coal Mining,R JAGDISH MURTY,TOR Granted - Processed offline
1751,SIA/OR/MIN/5414/2015,SEIAA/5414/964-NCM/12-2015,Orissa,Nuapada,Khariar,Date of Submission : 23 Dec 2015,Date of TOR Granted : 30 Jan 2016,Non-Coal Mining,NARESH KUMAR BOHIDAR,TOR Granted - Processed offline
1752,SIA/OR/MIN/5417/2015,SEIAA/5417/981-NCM/12-2015,Orissa,Ganjam,Purusottampur,Date of Submission : 25 Dec 2015,Date of TOR Granted : 30 Jan 2016,Non-Coal Mining,KRUPASINGHU MUDULI,TOR Granted - Processed offline
1753,SIA/OR/MIN/5438/2015,5438/1306-NCM/01-2016,Orissa,Kalahandi,Sadar,Date of Submission : 27 Jan 2016,No Date,Non-Coal Mining,ROJANAGUDA STONE QUARRY,Delisted
1754,SIA/OR/MIN/4533/2015,4533/1423-NCM/02-2016,Orissa,Cuttack,Tigiria,Date of Submission : 05 Feb 2016,No Date,Non-Coal Mining,VEJIA BAIJHALI BLACK STONE QUARRY,Delisted
1755,SIA/OR/MIN/10159/2016,To be assigned,Orissa,Kalahandi,Kesinga,Date of Submission : 04 Mar 2016,No Date,Non-Coal Mining,SANTOSH KUMAR NAYAK,Delisted
1756,SIA/OR/MIN/10162/2016,10162/1529-NCM/03-2016,Orissa,Kalahandi,Thuamul Rampur,Date of Submission : 11 Mar 2016,Date of TOR Granted : 26 Apr 2016,Non-Coal Mining,SANTOSH KUMAR NAYAK,TOR Granted - Processed offline
1757,SIA/OR/MIN/10163/2016,10163/1502-NCM/03-2016,Orissa,Kalahandi,Thuamul Rampur,Date of Submission : 04 Mar 2016,Date of TOR Granted : 26 Apr 2016,Non-Coal Mining,SANTOSH KUMAR NAYAK,TOR Granted - Processed offline
1758,SIA/OR/MIN/5117/2015,SEIAA/5117/909-NCM/12-2015,Orissa,Jajpur,Dharmasala,Date of Submission : 14 Dec 2015,No Date,Non-Coal Mining,RAHADAPUR BLACK STONE QUARRY SIX,Delisted
1759,SIA/OR/MIN/5122/2015,SEIAA/5122/910-NCM/12-2015,Orissa,Mayurbhanj,Baripada Town,Date of Submission : 14 Dec 2015,Date of TOR Granted : 30 Jan 2016,Non-Coal Mining,MAHULKARKACHIA STONE QUARRY C,TOR Granted - Processed offline
