Sl_No,Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
0,SIA/OR/IND2/20825/2017,20825/50-IND2/10-2017,Orissa,Ganjam,Chhatrapur,Date of Submission : 27 Oct 2017,No Date,Industrial Projects - 2,KAILASH MAHAPATRA,Delisted
1,SIA/OR/MIN/52168/2020,To be assigned,Orissa,Cuttack,Banki,Date of Submission : 27 Mar 2020,No Date,Non-Coal Mining,ABHISEK MOHANTY,Delisted
2,SIA/OR/MIN/52175/2020,52175/21-MINB1/03-2020,Orissa,Ganjam,Kodala,Date of Submission : 07 Mar 2020,Date of TOR Granted : 01 Jan 1900,Non-Coal Mining,SRI SOBHAN KUMAR MAHAPATRA,TOR Granted
3,SIA/OR/IND2/20861/2017,To be assigned,Orissa,Ganjam,Digapahandi,Date of Submission : 03 Nov 2017,No Date,Industrial Projects - 2,PODAMARI MAIN OUT STILL LIQUOR SHOP,Delisted
4,SIA/OR/MIN/52602/2020,52602/10-MINB1/03-2020,Orissa,Jajpur,Dharmasala,Date of Submission : 20 Mar 2020,Date of TOR Granted : 01 Jan 1900,Non-Coal Mining,DHARMASALA TAHASIL,TOR Granted
5,SIA/OR/IND2/20891/2017,20891/52-IND2/11-2017,Orissa,Ganjam,Purusottampur,Date of Submission : 03 Nov 2017,No Date,Industrial Projects - 2,PREMANADA SAHU,MoveToTORtoEC
6,SIA/OR/IND2/20898/2017,20898/53-IND2/11-2017,Orissa,Ganjam,Bhanjanagar,Date of Submission : 03 Nov 2017,No Date,Industrial Projects - 2,SANJAYA PRASAD,MoveToTORtoEC
7,SIA/OR/MIN/20913/2017,20913/1943-NCM/01-2018,Orissa,Balangir,Titlagarh,Date of Submission : 02 Jan 2018,Date of TOR Granted : 21 Dec 2018,Non-Coal Mining,AMBAJI ROCKS AND MINERALS,TOR Granted - Processed offline
8,SIA/OR/MIN/50636/2020,50636/05-MINB1/03-2020,Orissa,Cuttack,Cuttack Sadar,Date of Submission : 16 Mar 2020,Date of TOR Granted : 01 Jan 1900,Non-Coal Mining,PRANAKRUSHNA NAYAK,TOR Granted
9,SIA/OR/MIN/52455/2020,52455/08-MINB1/03-2020,Orissa,Jajpur,Dharmasala,Date of Submission : 19 Mar 2020,Date of TOR Granted : 01 Jan 1900,Non-Coal Mining,DHARMASALA TAHASIL,TOR Granted
10,SIA/OR/MIN/52472/2020,52472/07-MINB1/03-2020,Orissa,Jajpur,Dharmasala,Date of Submission : 19 Mar 2020,Date of TOR Granted : 01 Jan 1900,Non-Coal Mining,DHARMASALA TAHASIL,TOR Granted
11,SIA/OR/IND2/19620/2017,19620/27-IND2/06-2017,Orissa,Ganjam,Brahmapur Sadar,Date of Submission : 29 Jun 2017,Date of TOR Granted : 20 Apr 2018,Industrial Projects - 2,M TULASAYA,TOR Granted - Processed offline
12,SIA/OR/IND2/19627/2017,19627/30-IND2/07-2017,Orissa,Ganjam,Brahmapur Sadar,Date of Submission : 03 Jul 2017,Date of TOR Granted : 20 Apr 2018,Industrial Projects - 2,B MOHAN,TOR Granted - Processed offline
13,SIA/OR/IND2/19634/2017,19634/39-IND2/07-2017,Orissa,Ganjam,Golanthara,Date of Submission : 10 Jul 2017,No Date,Industrial Projects - 2,SHYAMAGHANA SAHU,Delisted
14,SIA/OR/IND2/19635/2017,19635/24-IND2/06-2017,Orissa,Ganjam,Brahmapur Sadar,Date of Submission : 28 Jun 2017,Date of TOR Granted : 13 Sep 2017,Industrial Projects - 2,DUSMANTHA POLAI,TOR Granted
15,SIA/OR/IND2/19639/2017,19639/19-IND2/06-2017,Orissa,Ganjam,Brahmapur Sadar,Date of Submission : 23 Jun 2017,Date of TOR Granted : 13 Sep 2017,Industrial Projects - 2,SMT TOPAI MALLIK,TOR Granted
16,SIA/OR/MIN/19640/2017,19640/1885-NCM/06-2017,Orissa,Jajpur,Jajapur   ,Date of Submission : 30 Jun 2017,No Date,Non-Coal Mining,RASULPUR TAHASILDAR,MoveToTORtoEC
17,SIA/OR/IND2/19641/2017,19641/28-IND2/07-2017,Orissa,Ganjam,Brahmapur Sadar,Date of Submission : 03 Jul 2017,No Date,Industrial Projects - 2,T JAGANAIKULU,Delisted
18,SIA/OR/MIN/19643/2017,19643/1884-NCM/06-2017,Orissa,Jajpur,Jajapur   ,Date of Submission : 30 Jun 2017,No Date,Non-Coal Mining,RASULPUR TAHASILDAR,MoveToTORtoEC
19,SIA/OR/MIN/19644/2017,19644/1886-NCM/06-2017,Orissa,Jajpur,Jajapur   ,Date of Submission : 30 Jun 2017,No Date,Non-Coal Mining,RASULPUR TAHASILDAR,MoveToTORtoEC
20,SIA/OR/IND2/19649/2017,19649/11-IND2/06-2017,Orissa,Ganjam,Hinjili,Date of Submission : 19 Jun 2017,Date of TOR Granted : 13 Sep 2017,Industrial Projects - 2,SALMA KHAN,TOR Granted
21,SIA/OR/IND2/19657/2017,19657/12-IND2/06-2017,Orissa,Ganjam,Purusottampur,Date of Submission : 19 Jun 2017,Date of TOR Granted : 13 Sep 2017,Industrial Projects - 2,RAMESH CHANDRA SAHU,TOR Granted
22,SIA/OR/IND2/19669/2017,19669/16-IND2/06-2017,Orissa,Ganjam,Digapahandi,Date of Submission : 20 Jun 2017,Date of TOR Granted : 13 Sep 2017,Industrial Projects - 2,SIMANCHAL SAHU,TOR Granted
23,SIA/OR/MIN/19674/2017,19674/12-NCM/06-2017,Orissa,Balangir,Belpara,Date of Submission : 27 Jun 2017,Date of TOR Granted : 01 Sep 2017,Non-Coal Mining,MSSS RRKKK INNDUUSTRIES,TOR Granted
24,SIA/OR/IND2/19686/2017,19686/26-IND2/06-2017,Orissa,Ganjam,Brahmapur Sadar,Date of Submission : 28 Jun 2017,Date of TOR Granted : 13 Sep 2017,Industrial Projects - 2,RANGA HEREMBAA REDDY,TOR Granted
25,SIA/OR/MIN/57590/2020,57590/38-MINB1/10-2020,Orissa,Kalahandi,Lanjigarh,Date of Submission : 19 Oct 2020,Date of TOR Granted : 01 Jan 1900,Non-Coal Mining,JAY MINERALS,TOR Granted
26,SIA/OR/MIN/57605/2020,57605/39-MINB1/10-2020,Orissa,Kalahandi,Lanjigarh,Date of Submission : 20 Oct 2020,Date of TOR Granted : 01 Jan 1900,Non-Coal Mining,JAY MINERALS,TOR Granted
27,SIA/OR/IND3/58769/2020,To be assigned,Orissa,Bargarh,Bijepur,Date of Submission : 01 Dec 2020,No Date,Industrial Projects - 3,BARGARH BIO FUELS DEVELOPMENT FOUNDATION,Delisted
28,SIA/OR/IND2/21692/2018,21692/91-IND2/01-2018,Orissa,Balangir,Patnagarh,Date of Submission : 18 Jan 2018,No Date,Industrial Projects - 2,SANJAAY KUMAR SAHU,MoveToTORtoEC
29,SIA/OR/IND2/21694/2018,21694/92-IND2/01-2018,Orissa,Balangir,Patnagarh,Date of Submission : 18 Jan 2018,No Date,Industrial Projects - 2,SANJAAY KUMAR SAHU,MoveToTORtoEC
30,SIA/OR/IND2/19384/2017,19384/21-IND2/06-2017,Orissa,Ganjam,Khalikote,Date of Submission : 27 Jun 2017,Date of TOR Granted : 13 Sep 2017,Industrial Projects - 2,BISHNU PRASAD DALAI,TOR Granted
31,SIA/OR/MIN/19410/2017,19410/1858-NCM/05-2017,Orissa,Dhenkanal,Dhenkanal Sadar,Date of Submission : 22 May 2017,Date of TOR Granted : 27 Jul 2017,Non-Coal Mining,SUNEET JENAA,TOR Granted
32,SIA/OR/MIN/19413/2017,19413/1858-NCM/05-2017,Orissa,Dhenkanal,Dhenkanal Sadar,Date of Submission : 22 May 2017,Date of TOR Granted : 24 Jul 2017,Non-Coal Mining,SUNEET JENAA,TOR Granted
33,SIA/OR/MIN/19420/2017,19420/1859-NCM/05-2017,Orissa,Jharsuguda,Lakhanpur,Date of Submission : 20 May 2017,No Date,Non-Coal Mining,MS SHREE BALAJI ENGICONS PVT LTD,Delisted
34,SIA/OR/MIN/19433/2017,19433/1864-NCM/05-2017,Orissa,Balangir,Belpara,Date of Submission : 30 May 2017,Date of TOR Granted : 24 Aug 2017,Non-Coal Mining,RAJESH RANJAN PATRA,TOR Granted
35,SIA/OR/IND2/19456/2017,19456/09-IND2/05-2017,Orissa,Ganjam,Rambha,Date of Submission : 29 May 2017,Date of TOR Granted : 20 Apr 2018,Industrial Projects - 2,T SRIDEVI PATRO,TOR Granted - Processed offline
36,SIA/OR/IND2/21779/2018,21779/110-IND2/01-2018,Orissa,Kalahandi,Kesinga,Date of Submission : 27 Jan 2018,No Date,Industrial Projects - 2,DURGA PRASAD SAHU,MoveToTORtoEC
37,SIA/OR/IND2/21780/2018,21780/111-IND2/01-2018,Orissa,Kalahandi,Kesinga,Date of Submission : 27 Jan 2018,No Date,Industrial Projects - 2,DURGA PRASAD SAHU,MoveToTORtoEC
38,SIA/OR/IND2/21781/2018,21781/112-IND2/01-2018,Orissa,Kalahandi,Narala,Date of Submission : 27 Jan 2018,No Date,Industrial Projects - 2,DURGA PRASAD SAHU,MoveToTORtoEC
39,SIA/OR/IND2/21782/2018,21782/113-IND2/01-2018,Orissa,Kalahandi,Dharamgarh,Date of Submission : 27 Jan 2018,No Date,Industrial Projects - 2,LAXMI NARAYAN MANMOHNLAL,MoveToTORtoEC
40,SIA/OR/IND2/20909/2017,To be assigned,Orissa,Ganjam,Surada,Date of Submission : 05 Nov 2017,No Date,Industrial Projects - 2,RAJENDRA KUMAR SAHU,Delisted
41,SIA/OR/MIN/20910/2017,20910/1925-NCM/11-2017,Orissa,Nayagarh,Khandapada,Date of Submission : 06 Nov 2017,No Date,Non-Coal Mining,SRI KAILASH CHANDRA PANDA,MoveToTORtoEC
42,SIA/OR/MIN/52571/2020,52571/09-MINB1/03-2020,Orissa,Jajpur,Dharmasala,Date of Submission : 20 Mar 2020,Date of TOR Granted : 01 Jan 1900,Non-Coal Mining,DHARMASALA TAHASIL,TOR Granted
43,SIA/OR/MIN/21253/2017,21253/1942-NCM/01-2018,Orissa,Sundargarh,Sundargarh,Date of Submission : 01 Jan 2018,No Date,Non-Coal Mining,CHANDRA GUPTA SAHU,Delisted
44,SIA/OR/MIN/52615/2020,52615/11-MINB1/03-2020,Orissa,Jajpur,Dharmasala,Date of Submission : 20 Mar 2020,Date of TOR Granted : 01 Jan 1900,Non-Coal Mining,DHARMASALA TAHASIL,TOR Granted
45,SIA/OR/MIN/52644/2020,52644/12-MINB1/03-2020,Orissa,Jajpur,Dharmasala,Date of Submission : 21 Mar 2020,Date of TOR Granted : 01 Jan 1900,Non-Coal Mining,DHARMASALA TAHASIL,TOR Granted
46,SIA/OR/MIN/52667/2020,52667/13-MINB1/03-2020,Orissa,Jajpur,Dharmasala,Date of Submission : 21 Mar 2020,Date of TOR Granted : 01 Jan 1900,Non-Coal Mining,DHARMASALA TAHASIL,TOR Granted
47,SIA/OR/MIN/21290/2017,21290/17-NCMB1/12-2017,Orissa,Ganjam,Chhatrapur,Date of Submission : 08 Dec 2017,Date of TOR Granted : 03 Mar 2018,Non-Coal Mining,MS ILIYAS GRANITES,TOR Granted - Processed offline
48,SIA/OR/NCP/18067/2016,18067/17-NCP/01-2017,Orissa,Khordha,Khandagiri,Date of Submission : 13 Jan 2017,No Date,INFRA-1,SPRING VILLE GREENS PRIVATE LIMITED,MoveToTORtoEC
49,SIA/OR/MIN/16999/2016,16999/1709-NCM/09-2016,Orissa,Ganjam,Kodala,Date of Submission : 23 Sep 2016,Date of TOR Granted : 26 Dec 2016,Non-Coal Mining,GANAPATI BHUYAN,TOR Granted
50,SIA/OR/IND2/21617/2018,To be assigned,Orissa,Kalahandi,Junagarh,Date of Submission : 15 Jan 2018,No Date,Industrial Projects - 2,HABASPUR OUT STILL SHOP,Delisted
51,SIA/OR/IND2/21626/2018,21626/80-IND2/01-2018,Orissa,Koraput,Jeypore,Date of Submission : 13 Jan 2018,No Date,Industrial Projects - 2,MS LAXMI NARAYAN MAN MOHAN LAL,MoveToTORtoEC
52,SIA/OR/IND2/21643/2018,21643/102-IND2/01-2018,Orissa,Balangir,Tushura,Date of Submission : 24 Jan 2018,No Date,Industrial Projects - 2,SANJAAY KUMAR SAHU,MoveToTORtoEC
53,SIA/OR/IND2/21204/2017,21204/65-IND2/11-2017,Orissa,Malkangiri,Mathili,Date of Submission : 29 Nov 2017,No Date,Industrial Projects - 2,DEEPAK KUMAR SAHU,MoveToTORtoEC
54,SIA/OR/IND2/21203/2017,21203/64-IND2/11-2017,Orissa,Nabarangpur,Nabarangapur,Date of Submission : 29 Nov 2017,No Date,Industrial Projects - 2,MAYANK JAISWAL,MoveToTORtoEC
55,SIA/OR/IND2/21785/2018,21785/116-IND2/01-2018,Orissa,Kalahandi,Sadar,Date of Submission : 27 Jan 2018,No Date,Industrial Projects - 2,LAXMI NARAYAN MANMOHNLAL,MoveToTORtoEC
56,SIA/OR/IND2/21786/2018,21786/117-IND2/01-2018,Orissa,Kalahandi,Junagarh,Date of Submission : 27 Jan 2018,No Date,Industrial Projects - 2,LAXMI NARAYAN MANMOHNLAL,MoveToTORtoEC
57,SIA/OR/IND2/21787/2018,21787/119-IND2/01-2018,Orissa,Kalahandi,Kesinga,Date of Submission : 27 Jan 2018,No Date,Industrial Projects - 2,LAXMI NARAYAN MANMOHNLAL,MoveToTORtoEC
58,SIA/OR/IND2/21804/2018,21804/153-IND2/02-2018,Orissa,Sonapur,Binika,Date of Submission : 07 Feb 2018,No Date,Industrial Projects - 2,PRASANT KUMAR SAHU,MoveToTORtoEC
59,SIA/OR/IND2/21801/2018,21801/152-IND2/02-2018,Orissa,Sonapur,Binika,Date of Submission : 07 Feb 2018,No Date,Industrial Projects - 2,PRASANT KUMAR SAHU,MoveToTORtoEC
60,SIA/OR/MIN/21811/2018,21811/1957-NCM/01-2018,Orissa,Dhenkanal,Dhenkanal Sadar,Date of Submission : 30 Jan 2018,No Date,Non-Coal Mining,ANTARYAMI PANDA,MoveToTORtoEC
61,SIA/OR/MIN/58709/2020,58709/45-NCMB1/12-2020,Orissa,Sundargarh,Koida,Date of Submission : 18 Dec 2020,Date of TOR Granted : 16 Jul 2021,Non-Coal Mining,JSW STEEL LTD,TOR Granted
62,SIA/OR/MIS/66697/2021,66697/09-MIS-V/03-2022,Orissa,Khordha,Bhubaneswar,Date of Submission : 21 Mar 2022,Date of TOR Granted : 02 Aug 2022,INFRA-2,UTKAL BUILDERS LTD,TOR Granted
63,SIA/OR/IND2/20794/2017,To be assigned,Orissa,Ganjam,Kodala,Date of Submission : 23 Nov 2017,No Date,Industrial Projects - 2,KODALA MAIN OS LIQUOR SHOP,Delisted
64,SIA/OR/MIN/20729/2017,20729/1922-NCM/10-2017,Orissa,Nayagarh,Fategarh,Date of Submission : 25 Oct 2017,Date of TOR Granted : 04 Jan 2018,Non-Coal Mining,RAJESH KUMAR PRADHAN,TOR Granted
65,SIA/OR/IND2/21874/2018,21874/127-IND2/02-2018,Orissa,Ganjam,Asika,Date of Submission : 03 Feb 2018,No Date,Industrial Projects - 2,PUSPANJALI SAHU,MoveToTORtoEC
66,SIA/OR/IND2/21881/2018,21881/130-IND2/02-2018,Orissa,Angul,Anugul,Date of Submission : 05 Feb 2018,No Date,Industrial Projects - 2,AMAN RAJ,MoveToTORtoEC
67,SIA/OR/IND2/21882/2018,21882/132-IND2/02-2018,Orissa,Angul,Jarapada,Date of Submission : 05 Feb 2018,No Date,Industrial Projects - 2,AMAN RAJ,MoveToTORtoEC
68,SIA/OR/IND2/21880/2018,21880/128-IND2/02-2018,Orissa,Angul,Talcher Sadar,Date of Submission : 05 Feb 2018,No Date,Industrial Projects - 2,AMAN RAJ,MoveToTORtoEC
69,SIA/OR/IND2/21792/2018,21792/129-IND2/02-2018,Orissa,Balangir,Belpara,Date of Submission : 05 Feb 2018,No Date,Industrial Projects - 2,SUBASH CHANDRA AGRAWAL,MoveToTORtoEC
70,SIA/OR/IND2/21793/2018,21793/151-IND2/02-2018,Orissa,Sonapur,Rampur,Date of Submission : 07 Feb 2018,No Date,Industrial Projects - 2,PRASANT KUMAR SAHU,MoveToTORtoEC
71,SIA/OR/IND2/21889/2018,21889/136-IND2/02-2018,Orissa,Rayagada,Rayagada,Date of Submission : 05 Feb 2018,No Date,Industrial Projects - 2,SUBASH CHANDRA AGRAWAL,MoveToTORtoEC
72,SIA/OR/IND2/21887/2018,21887/131-IND2/02-2018,Orissa,Balangir,Belpara,Date of Submission : 05 Feb 2018,No Date,Industrial Projects - 2,SUBASH CHANDRA AGRAWAL,MoveToTORtoEC
73,SIA/OR/IND2/21883/2018,21883/133-IND2/02-2018,Orissa,Angul,Banarpal,Date of Submission : 05 Feb 2018,No Date,Industrial Projects - 2,AMAN RAJ,MoveToTORtoEC
74,SIA/OR/IND2/21732/2018,21732/98-IND2/01-2018,Orissa,Kalahandi,Thuamul Rampur,Date of Submission : 24 Jan 2018,No Date,Industrial Projects - 2,SHYAM PRASAD SAHU,Delisted
75,SIA/OR/IND2/21734/2018,21734/118-IND2/01-2018,Orissa,Kalahandi,Kesinga,Date of Submission : 27 Jan 2018,No Date,Industrial Projects - 2,SHYAM PRASAD SAHU,Delisted
76,SIA/OR/IND2/21747/2018,21747/101-IND2/01-2018,Orissa,Kalahandi,Thuamul Rampur,Date of Submission : 24 Jan 2018,No Date,Industrial Projects - 2,SHYAM PRASAD SAHU,Delisted
77,SIA/OR/IND2/21748/2018,21748/104-IND2/01-2018,Orissa,Rayagada,Gudari,Date of Submission : 24 Jan 2018,No Date,Industrial Projects - 2,SANJAAY KUMAR SAHU,MoveToTORtoEC
78,SIA/OR/IND2/21749/2018,21749/105-IND2/01-2018,Orissa,Koraput,Pottangi,Date of Submission : 25 Jan 2018,No Date,Industrial Projects - 2,SANJAAY KUMAR SAHU,MoveToTORtoEC
79,SIA/OR/IND2/21897/2018,21897/141-IND2/02-2018,Orissa,Kalahandi,Sadar,Date of Submission : 05 Feb 2018,No Date,Industrial Projects - 2,LAXMI NARAYAN MANMOHNLAL,MoveToTORtoEC
80,SIA/OR/IND2/21898/2018,21898/142-IND2/02-2018,Orissa,Kalahandi,Sadar,Date of Submission : 05 Feb 2018,No Date,Industrial Projects - 2,LAXMI NARAYAN MANMOHNLAL,MoveToTORtoEC
81,SIA/OR/IND2/21899/2018,To be assigned,Orissa,Kalahandi,Sadar,Date of Submission : 05 Feb 2018,No Date,Industrial Projects - 2,LAXMI NARAYAN MANMOHNLAL,Delisted
82,SIA/OR/IND2/21900/2018,21900/143-IND2/02-2018,Orissa,Kalahandi,Sadar,Date of Submission : 05 Feb 2018,No Date,Industrial Projects - 2,LAXMI NARAYAN MANMOHNLAL,MoveToTORtoEC
83,SIA/OR/IND2/21901/2018,21901/144-IND2/02-2018,Orissa,Kalahandi,Sadar,Date of Submission : 05 Feb 2018,No Date,Industrial Projects - 2,LAXMI NARAYAN MANMOHNLAL,MoveToTORtoEC
84,SIA/OR/IND2/21902/2018,21902/145-IND2/02-2018,Orissa,Kalahandi,Lanjigarh,Date of Submission : 05 Feb 2018,No Date,Industrial Projects - 2,LAXMI NARAYAN MANMOHNLAL,MoveToTORtoEC
85,SIA/OR/IND2/21903/2018,21903/146-IND2/02-2018,Orissa,Kalahandi,Sadar,Date of Submission : 05 Feb 2018,No Date,Industrial Projects - 2,LAXMI NARAYAN MANMOHNLAL,MoveToTORtoEC
86,SIA/OR/IND2/21907/2018,21907/148-IND2/02-2018,Orissa,Bargarh,Paikamal,Date of Submission : 06 Feb 2018,No Date,Industrial Projects - 2,RAM NIWAS AGRAWAL,MoveToTORtoEC
87,SIA/OR/IND2/21908/2018,21908/149-IND2/02-2018,Orissa,Koraput,Boriguma,Date of Submission : 06 Feb 2018,No Date,Industrial Projects - 2,SUBASH CHANDRA AGRAWAL,MoveToTORtoEC
88,SIA/OR/IND2/20922/2017,20922/56-IND2/11-2017,Orissa,Ganjam,Surada,Date of Submission : 07 Nov 2017,No Date,Industrial Projects - 2,RAJENDRA KUMAR SAHU,Delisted
89,SIA/OR/IND2/18232/2017,18232/19-IND2/01-2017,Orissa,Ganjam,Kodala,Date of Submission : 11 Jan 2017,Date of TOR Granted : 13 Sep 2017,Industrial Projects - 2,MAIN OUT STILL LIQUOR SHOP,TOR Granted
90,SIA/OR/MIN/18246/2017,18246/1785-NCM/01-2017,Orissa,Kendujhar,Anandapur,Date of Submission : 20 Jan 2017,Date of TOR Granted : 16 Mar 2017,Non-Coal Mining,MS GAYATRI PROJECTS LIMITED BANDHA,TOR Granted - Processed offline
91,SIA/OR/IND2/21884/2018,21884/134-IND2/02-2018,Orissa,Kalahandi,Madanpur Rampur,Date of Submission : 05 Feb 2018,No Date,Industrial Projects - 2,AMAN RAJ,MoveToTORtoEC
92,SIA/OR/IND2/19523/2017,19523/34-IND2/07-2017,Orissa,Ganjam,Buguda,Date of Submission : 09 Jul 2017,No Date,Industrial Projects - 2,RAJANARAYAN PATTANAIK,MoveToTORtoEC
93,SIA/OR/MIN/19526/2017,19526/1871-NCM/06-2017,Orissa,Gajapati,Parlakhemundi,Date of Submission : 07 Jun 2017,No Date,Non-Coal Mining,D JAGANNATH RAJU,Rejection Letter Granted
94,SIA/OR/MIN/19531/2017,To be assigned,Orissa,Ganjam,Digapahandi,Date of Submission : 09 Jun 2017,No Date,Non-Coal Mining,CHAKATENTULI ROAD METAL QUARRY,Delisted
95,SIA/OR/IND2/19541/2017,To be assigned,Orissa,Ganjam,Brahmapur Sadar,Date of Submission : 09 Jun 2017,No Date,Industrial Projects - 2,HARIPUR MAIN OUT STILL LIQUOR SHOP,Delisted
96,SIA/OR/IND2/19542/2017,To be assigned,Orissa,Ganjam,Khalikote,Date of Submission : 10 Jun 2017,No Date,Industrial Projects - 2,KHALLIKOTE MAIN OUT STILL LIQUOR SHOP,Delisted
97,SIA/OR/MIN/19550/2017,19550/1873-NCM/06-2017,Orissa,Nuapada,Sinapali,Date of Submission : 10 Jun 2017,Date of TOR Granted : 24 Aug 2017,Non-Coal Mining,SUBHASH CHANDRA AGRAWAL,TOR Granted
98,SIA/OR/IND2/19562/2017,To be assigned,Orissa,Ganjam,Rambha,Date of Submission : 10 Jun 2017,No Date,Industrial Projects - 2,KALABADA DHANAGHARA SURANGI MAIN OUT STILL LIQUOR SHOP,Delisted
99,SIA/OR/IND2/19567/2017,To be assigned,Orissa,Ganjam,Digapahandi,Date of Submission : 10 Jun 2017,No Date,Industrial Projects - 2,DIGAPAHANDI MAIN OUT STILL LIQUOR SHOP,Delisted
100,SIA/OR/IND2/19581/2017,To be assigned,Orissa,Ganjam,Brahmapur Sadar,Date of Submission : 10 Jun 2017,No Date,Industrial Projects - 2,MOHUDA MAIN OUT STILL LIQUOR SHOP,Delisted
101,SIA/OR/IND2/19586/2017,To be assigned,Orissa,Ganjam,Brahmapur Sadar,Date of Submission : 11 Jun 2017,No Date,Industrial Projects - 2,DENGAPADAR MAIN OUT STILL LIQUOR SHOP,Delisted
102,SIA/OR/IND2/19605/2017,To be assigned,Orissa,Ganjam,Golanthara,Date of Submission : 15 Jun 2017,No Date,Industrial Projects - 2,RANGA HERAMBA REDDY,Delisted
103,SIA/OR/IND2/19618/2017,To be assigned,Orissa,Ganjam,Brahmapur Sadar,Date of Submission : 15 Jun 2017,No Date,Industrial Projects - 2,HATIPADA MAIN O S LIQUOR SHOP,Delisted
104,SIA/OR/IND2/19619/2017,To be assigned,Orissa,Ganjam,Brahmapur Sadar,Date of Submission : 16 Jun 2017,No Date,Industrial Projects - 2,HARIPUR MAIN OS LIQUOR SHOP,Delisted
105,SIA/OR/MIN/21407/2017,21407/1941-NCM/12-2017,Orissa,Kalahandi,Narala,Date of Submission : 20 Dec 2017,Date of TOR Granted : 27 Feb 2018,Non-Coal Mining,ARJUN PADHAN,TOR Granted
106,SIA/OR/MIN/58313/2020,58313/44-MINB1/11-2020,Orissa,Rayagada,Gunupur,Date of Submission : 13 Nov 2020,Date of TOR Granted : 18 Jan 2021,Non-Coal Mining,TAHSILDAR GUNUPUR,TOR Granted
107,SIA/OR/MIN/18726/2017,18726/1808-NCM/03-2017,Orissa,Gajapati,Kashinagara,Date of Submission : 04 Mar 2017,Date of TOR Granted : 17 Apr 2017,Non-Coal Mining,MEDIBOINA PRAVEEN KUMAR,TOR Granted - Processed offline
108,SIA/OR/IND2/21885/2018,21885/135-IND2/02-2018,Orissa,Kalahandi,Madanpur Rampur,Date of Submission : 05 Feb 2018,No Date,Industrial Projects - 2,AMAN RAJ,MoveToTORtoEC
109,SIA/OR/IND2/21894/2018,21894/138-IND2/02-2018,Orissa,Balangir,Belpara,Date of Submission : 05 Feb 2018,No Date,Industrial Projects - 2,RAM NIWAS AGRAWAL,MoveToTORtoEC
110,SIA/OR/IND2/21895/2018,21895/139-IND2/02-2018,Orissa,Balangir,Khaprakhol,Date of Submission : 05 Feb 2018,No Date,Industrial Projects - 2,RAM NIWAS AGRAWAL,MoveToTORtoEC
111,SIA/OR/IND2/21815/2018,21815/126-IND2/01-2018,Orissa,Balangir,Patnagarh,Date of Submission : 31 Jan 2018,No Date,Industrial Projects - 2,SANJAAY KUMAR SAHU,MoveToTORtoEC
112,SIA/OR/IND2/21821/2018,21821/155-IND2/02-2018,Orissa,Sonapur,Binika,Date of Submission : 07 Feb 2018,No Date,Industrial Projects - 2,PRASANT KUMAR SAHU,MoveToTORtoEC
113,SIA/OR/IND2/21822/2018,21822/156-IND2/02-2018,Orissa,Sonapur,Rampur,Date of Submission : 07 Feb 2018,No Date,Industrial Projects - 2,PRASANT KUMAR SAHU,MoveToTORtoEC
114,SIA/OR/IND2/21823/2018,21823/157-IND2/02-2018,Orissa,Sonapur,Biramaharajpur,Date of Submission : 07 Feb 2018,No Date,Industrial Projects - 2,SARJAN SAHU,MoveToTORtoEC
115,SIA/OR/IND2/21828/2018,21828/166-IND2/02-2018,Orissa,Sonapur,Ulunda,Date of Submission : 07 Feb 2018,No Date,Industrial Projects - 2,SARJAN SAHU,MoveToTORtoEC
116,SIA/OR/IND2/21829/2018,21829/158-IND2/02-2018,Orissa,Sonapur,Biramaharajpur,Date of Submission : 07 Feb 2018,No Date,Industrial Projects - 2,SARJAN SAHU,MoveToTORtoEC
117,SIA/OR/IND2/21830/2018,21830/159-IND2/02-2018,Orissa,Sonapur,Sonapur,Date of Submission : 07 Feb 2018,No Date,Industrial Projects - 2,SARJAN SAHU,MoveToTORtoEC
118,SIA/OR/MIN/58503/2020,58503/56-MINB1/11-2020,Orissa,Rayagada,Gunupur,Date of Submission : 21 Nov 2020,Date of TOR Granted : 28 Feb 2021,Non-Coal Mining,J. VENKATE RAO,TOR Granted
119,SIA/OR/IND/66775/2021,To be assigned,Orissa,Jajpur,Badachana,Date of Submission : 19 Aug 2021,No Date,Industrial Projects - 1,MY HOME INDUSTRIES PRIVATE LIMITED,WithdrawTOR
120,SIA/OR/MIS/66777/2021,66777/09-MIS/08-2020,Orissa,Balasore,soro,Date of Submission : 08 Sep 2021,Date of TOR Granted : 02 Mar 2022,INFRA-2,M/S UTKAL ENVIROCARE,TOR Granted
121,SIA/OR/IND/66782/2021,66782/22-IND/08-2021,Orissa,Jajpur,Badachana,Date of Submission : 25 Oct 2021,Date of TOR Granted : 27 Dec 2021,Industrial Projects - 1,MY HOME INDUSTRIES PRIVATE LIMITED,TOR Granted
122,SIA/OR/IND/19448/2017,19448/31-IND/05-2017,Orissa,Jajpur,Dharmasala,Date of Submission : 23 May 2017,Date of TOR Granted : 26 Oct 2017,Industrial Projects - 1,M Srinivasan,TOR Granted
123,SIA/OR/IND2/19514/2017,To be assigned,Orissa,Ganjam,Chhatrapur,Date of Submission : 16 Jun 2017,No Date,Industrial Projects - 2,MAIN OUT STILL LIQUOR SHOP RAGHUNATHPUR (ANANTAPUR) & KARAPADA,Delisted
