,Proposal.No.
1129,SIA/OR/IND2/22676/2018
1130,SIA/OR/MIN/402711/2022
1131,SIA/OR/MIN/35661/2015
1132,SIA/OR/MIN/405805/2022
1133,SIA/OR/IND/28741/2017
1134,SIA/OR/IND2/28184/2018
1135,SIA/OR/MIN/403052/2022
1136,SIA/OR/MIN/42975/2016
1137,SIA/OR/MIN/37745/2016
1138,SIA/OR/MIN/60465/2016
1139,SIA/OR/MIN/37824/2016
1140,SIA/OR/MIN/75894/2018
1141,SIA/OR/MIN/20910/2017
1142,SIA/OR/IND2/26123/2018
1143,SIA/OR/IND2/28270/2018
1144,SIA/OR/IND2/21206/2017
1145,SIA/OR/MIN/49297/2016
1146,SIA/OR/MIN/50695/2016
1147,SIA/OR/MIN/403071/2022
1148,SIA/OR/MIN/65190/2017
1149,SIA/OR/MIN/51925/2016
1150,SIA/OR/MIN/405261/2022
1151,SIA/OR/MIN/35638/2015
1152,SIA/OR/IND2/23226/2018
1153,SIA/OR/MIN/61188/2016
1154,SIA/OR/NCP/54923/2016
1155,SIA/OR/MIN/38263/2016
1156,SIA/OR/MIN/422822/2023
1157,SIA/OR/MIN/59309/2016
1158,SIA/OR/MIN/73310/2018
1159,SIA/OR/MIN/400290/2022
1160,SIA/OR/MIN/37825/2016
1161,SIA/OR/IND2/28784/2017
1162,SIA/OR/MIN/49883/2016
1163,SIA/OR/IND2/23873/2018
1164,SIA/OR/MIN/39132/2016
1165,SIA/OR/MIN/403663/2022
1166,SIA/OR/MIN/75609/2018
1167,SIA/OR/IND2/22324/2018
1168,SIA/OR/IND2/26067/2018
1169,SIA/OR/MIN/72347/2018
1170,SIA/OR/MIN/61780/2017
1171,SIA/OR/MIN/84160/2018
1172,SIA/OR/MIN/38622/2016
1173,SIA/OR/MIN/42201/2016
1174,SIA/OR/MIN/42363/2016
1175,SIA/OR/MIN/429004/2023
1176,SIA/OR/MIN/418635/2023
1177,SIA/OR/MIN/425326/2023
1178,SIA/OR/MIN/49889/2016
1179,SIA/OR/MIN/70950/2017
1180,SIA/OR/MIN/11068/2012
1181,SIA/OR/MIN/422188/2023
1182,SIA/OR/MIN/37845/2016
1183,SIA/OR/MIN/39051/2016
1184,SIA/OR/IND2/17336/2016
1185,SIA/OR/MIN/42894/2016
1186,SIA/OR/MIN/39072/2016
1187,SIA/OR/MIN/414047/2023
1188,SIA/OR/MIN/41359/2016
1189,SIA/OR/MIN/60132/2016
1190,SIA/OR/IND2/22527/2018
1191,SIA/OR/MIN/427394/2023
1192,SIA/OR/IND2/72551/2018
1193,SIA/OR/IND2/21821/2018
1194,SIA/OR/MIN/38594/2016
1195,SIA/OR/MIN/56307/2016
1196,SIA/OR/MIN/42961/2016
1197,SIA/OR/MIN/35620/2015
1198,SIA/OR/MIN/418856/2023
1199,SIA/OR/MIN/418920/2023
1200,SIA/OR/RIV/86550/2018
1201,SIA/OR/IND2/27910/2018
1202,SIA/OR/MIN/62664/2017
1203,SIA/OR/MIN/49971/2016
1204,SIA/OR/IND2/415084/2023
1205,SIA/OR/IND2/21754/2018
1206,SIA/OR/MIN/65601/2017
1207,SIA/OR/IND2/23286/2018
1208,SIA/OR/MIN/72156/2018
1209,SIA/OR/IND2/29046/2018
1210,SIA/OR/MIN/39898/2016
1211,SIA/OR/INFRA2/422590/2023
1212,SIA/OR/MIS/25955/2018
1213,SIA/OR/MIN/51593/2016
1214,SIA/OR/MIN/63729/2017
1215,SIA/OR/MIN/42375/2016
1216,SIA/OR/MIN/421619/2023
1217,SIA/OR/IND2/25756/2018
1218,SIA/OR/MIN/416336/2023
1219,SIA/OR/MIN/404298/2022
1220,SIA/OR/MIN/53339/2016
1221,SIA/OR/IND2/72549/2018
1222,SIA/OR/IND2/22687/2018
1223,SIA/OR/MIN/419961/2023
1224,SIA/OR/IND2/23167/2018
1225,SIA/OR/MIN/405458/2022
1226,SIA/OR/MIN/50830/2016
1227,SIA/OR/MIN/65665/2017
1228,SIA/OR/IND2/23085/2018
1229,SIA/OR/IND2/21205/2017
1230,SIA/OR/MIN/64314/2017
1231,SIA/OR/IND2/21750/2018
1232,SIA/OR/MIN/64561/2017
1233,SIA/OR/MIN/48698/2016
1234,SIA/OR/MIN/31770/2015
1235,SIA/OR/NCP/77618/2018
1236,SIA/OR/IND/18843/2016
1237,SIA/OR/IND2/22730/2018
1238,SIA/OR/MIN/71277/2017
1239,SIA/OR/MIN/404641/2022
1240,SIA/OR/MIN/70431/2017
1241,SIA/OR/MIN/419490/2023
1242,SIA/OR/MIN/429149/2023
1243,SIA/OR/MIN/50490/2016
1244,SIA/OR/INFRA2/405252/2022
1245,SIA/OR/MIN/35645/2015
1246,SIA/OR/IND2/72546/2018
1247,SIA/OR/MIN/423617/2023
1248,SIA/OR/IND2/22722/2018
1249,SIA/OR/MIN/409033/2022
1250,SIA/OR/IND2/21712/2018
1251,SIA/OR/IND2/21837/2018
1252,SIA/OR/IND2/29867/2018
1253,SIA/OR/IND2/21203/2017
1254,SIA/OR/MIN/48446/2016
1255,SIA/OR/MIN/418074/2023
1256,SIA/OR/MIN/48010/2016
1257,SIA/OR/MIN/424396/2023
1258,SIA/OR/IND2/22627/2018
1259,SIA/OR/MIN/64214/2017
1260,SIA/OR/MIN/50945/2016
1261,SIA/OR/MIN/404296/2022
1262,SIA/OR/MIN/20720/2017
1263,SIA/OR/MIN/69672/2017
1264,SIA/OR/MIN/423513/2023
1265,SIA/OR/MIN/411375/2022
1266,SIA/OR/MIN/49764/2016
1267,SIA/OR/IND2/27896/2018
1268,SIA/OR/MIN/416765/2023
1269,SIA/OR/IND2/23252/2018
1270,SIA/OR/IND2/22472/2018
1271,SIA/OR/MIN/403737/2022
1272,SIA/OR/MIN/72439/2018
1273,SIA/OR/MIN/41770/2016
1274,SIA/OR/IND2/29027/2018
1275,SIA/OR/IND2/21643/2018
1276,SIA/OR/MIN/42357/2016
1277,SIA/OR/MIN/58089/2016
1278,SIA/OR/MIN/426559/2023
1279,SIA/OR/IND2/23182/2018
1280,SIA/OR/NCP/30018/2018
1281,SIA/OR/NCP/67867/2017
1282,SIA/OR/IND2/21823/2018
1283,SIA/OR/IND2/23835/2018
1284,SIA/OR/MIN/57086/2016
1285,SIA/OR/MIN/404032/2022
1286,SIA/OR/IND2/29206/2018
1287,SIA/OR/MIN/411244/2022
1288,SIA/OR/MIN/50656/2016
1289,SIA/OR/MIN/403618/2022
1290,SIA/OR/MIN/57550/2016
1291,SIA/OR/MIN/405360/2022
1292,SIA/OR/MIN/35457/2015
1293,SIA/OR/MIN/417367/2023
1294,SIA/OR/MIN/57555/2016
1295,SIA/OR/MIN/411733/2023
1296,SIA/OR/MIN/39256/2016
1297,SIA/OR/MIN/414915/2023
1298,SIA/OR/IND2/28984/2018
1299,SIA/OR/MIN/407364/2022
1300,SIA/OR/MIN/50955/2016
1301,SIA/OR/MIN/68739/2017
1302,SIA/OR/MIN/406018/2022
1303,SIA/OR/MIN/422257/2023
1304,SIA/OR/IND2/28819/2018
1305,SIA/OR/MIN/425823/2023
1306,SIA/OR/IND2/21748/2018
1307,SIA/OR/MIN/406595/2022
1308,SIA/OR/IND2/21814/2018
1309,SIA/OR/MIN/85127/2018
1310,SIA/OR/IND2/21804/2018
1311,SIA/OR/MIN/42246/2016
1312,SIA/OR/IND2/22400/2018
1313,SIA/OR/MIN/38986/2016
1314,SIA/OR/MIN/53794/2016
1315,SIA/OR/IND2/22255/2018
1316,SIA/OR/MIN/75511/2018
1317,SIA/OR/IND2/22591/2018
1318,SIA/OR/MIN/419424/2023
1322,SIA/OR/MIN/50688/2016
1323,SIA/OR/MIN/60440/2016
1324,SIA/OR/MIN/41182/2016
1325,SIA/OR/IND2/25027/2018
1326,SIA/OR/MIN/403495/2022
1327,SIA/OR/MIN/49885/2016
1328,SIA/OR/IND2/29136/2018
1329,SIA/OR/MIN/41054/2016
1330,SIA/OR/IND2/72544/2018
1331,SIA/OR/MIN/21426/2017
1333,SIA/OR/MIN/61816/2017
1334,SIA/OR/MIN/406336/2022
1335,SIA/OR/IND2/29038/2018
1336,SIA/OR/NCP/38208/2016
1337,SIA/OR/MIN/419224/2023
1338,SIA/OR/IND2/23262/2018
1339,SIA/OR/INFRA2/428068/2023
1340,SIA/OR/MIN/406856/2022
1341,SIA/OR/IND2/22314/2018
1342,SIA/OR/MIN/423782/2023
1343,SIA/OR/IND2/28968/2018
1344,SIA/OR/IND2/26006/2018
1345,SIA/OR/IND/29913/2017
1346,SIA/OR/MIN/404480/2022
1347,SIA/OR/IND2/26147/2018
1348,SIA/OR/MIN/48575/2016
1355,SIA/OR/IND2/28061/2018
1356,SIA/OR/IND2/20314/2017
1357,SIA/OR/MIN/41963/2016
1358,SIA/OR/MIN/50495/2016
1359,SIA/OR/MIN/405647/2022
1360,SIA/OR/IND2/21929/2018
1361,SIA/OR/IND2/22151/2018
1362,SIA/OR/MIN/48053/2016
1363,SIA/OR/MIN/50513/2016
1364,SIA/OR/MIN/71840/2017
1365,SIA/OR/MIN/41207/2016
1366,SIA/OR/IND2/21812/2018
1367,SIA/OR/IND2/26026/2018
1368,SIA/OR/MIN/41485/2016
1369,SIA/OR/MIN/414527/2023
1370,SIA/OR/MIN/63251/2017
1371,SIA/OR/MIN/417331/2023
1372,SIA/OR/MIN/404468/2022
1373,SIA/OR/MIN/48695/2016
1374,SIA/OR/IND2/21651/2018
1375,SIA/OR/MIN/50812/2016
1376,SIA/OR/MIN/422488/2023
1377,SIA/OR/MIN/53083/2016
1378,SIA/OR/IND2/26180/2018
1379,SIA/OR/IND2/61634/2017
1380,SIA/OR/MIN/402663/2022
1381,SIA/OR/MIN/41241/2016
1382,SIA/OR/MIN/42783/2016
1383,SIA/OR/IND2/23818/2018
1384,SIA/OR/MIN/424915/2023
1385,SIA/OR/MIN/76961/2018
1386,SIA/OR/IND2/22718/2018
1387,SIA/OR/MIN/49890/2016
1388,SIA/OR/MIN/404022/2022
1389,SIA/OR/IND2/22397/2018
1390,SIA/OR/MIN/53081/2016
1391,SIA/OR/MIN/424901/2023
1392,SIA/OR/IND2/72542/2018
1393,SIA/OR/IND2/22131/2018
1394,SIA/OR/MIN/42297/2016
1395,SIA/OR/IND2/21816/2018
1396,SIA/OR/IND2/21889/2018
1397,SIA/OR/IND2/22648/2018
1398,SIA/OR/MIN/48997/2016
1399,SIA/OR/MIN/39116/2016
1400,SIA/OR/IND2/22641/2018
1401,SIA/OR/MIN/34278/2015
1402,SIA/OR/MIN/18637/2017
1403,SIA/OR/INFRA2/413593/2023
1404,SIA/OR/MIN/42015/2016
1405,SIA/OR/MIN/403976/2022
1406,SIA/OR/INFRA2/401996/2022
1407,SIA/OR/MIN/34931/2015
1408,SIA/OR/IND2/22550/2018
1409,SIA/OR/MIN/404581/2022
1410,SIA/OR/IND2/22731/2018
1411,SIA/OR/IND2/21901/2018
1412,SIA/OR/NCP/75805/2018
1413,SIA/OR/IND2/26095/2018
1414,SIA/OR/MIN/411645/2022
1415,SIA/OR/MIN/403437/2022
