,proposal_no,file_no,proposal_name,state,district,tehsil,date_submission,tor_approval,project_category,company_proponent,status
1,SIA/OR/MIN/62078/2021,62078/129-MINB1/03-2021,"Purnapani Sand Quarry is a sand mining project over an area of 12.50 acres/ 5.059 Ha. located in village – Purnapani, Tahasil - Kuchinda in District - Sambalpur of Odisha",Orissa,Sambalpur,Kochinda,21 Mar 2021,27 Aug 2021,Non-Coal Mining,SRI RAJKUMAR AGASTY,TOR GrantedL
2,SIA/OR/MIN/61741/2021,61741/127-MINB1/03-2021,"Ramial River Sand, Hatuari is over an area of 14.41 acres/ 5.831 Ha. located in village - Hatuari, Tahasil - Kamakhyanagar in District - Dhenkanal of Odisha",Orissa,Dhenkanal,Kamakshyanagar,19 Mar 2021,27 Aug 2021,Non-Coal Mining,TAHASILDAR KAMAKHYANAGAR,TOR GrantedL
3,SIA/OR/MIN/58867/2020,58867/107-MINB1/02-2021,"SIKHAR DEVI RIVER SAND QUARRY, PLOTNO.1482(p), AT- SIKHAR, TAHASIL-  NAUGAON, DIST- JAGATSINGHPUR",Orissa,Jagatsinghapur,Naugaon,19 Mar 2021,08 Jul 2021,Non-Coal Mining,TAHASILDAR NAUGAON,TOR GrantedL
4,SIA/OR/MIN/58822/2020,58822/106-MINB1/02-2021,"ERADA DEVI RIVER SAND QUARRY, PLOT NO.969(p), 6.070 HA.  AT- ERADA, TAHASIL- NAUGAON, DIST- JAGATSINGHPUR.",Orissa,Jagatsinghapur,Naugaon,19 Mar 2021,08 Jul 2021,Non-Coal Mining,TAHASILDAR NAUGAON,TOR GrantedL
5,SIA/OR/MIN/61952/2021,61952/128-MINB1/03-2021,MARTHAPUR SAND QUARRY OVER AN AREA OF 12.50 ACRES OR 5.058 HECTARES IN VILLAGE MARTHAPUR OF TAHASIL BHUBAN UNDER DHENKANAL DISTRICT,Orissa,Dhenkanal,Bhuban,17 Mar 2021,27 Aug 2021,Non-Coal Mining,SRI SUBRAT KUMAR SAHOO,TOR GrantedL
6,SIA/OR/MIN/54793/2020,To be assigned,Sekharai Cluster Sand Bed in Villages: Seksharai  and Mahamadnagar Patna   Tahasil: Jaleswar of district Balasore  State: Odisha,Orissa,Balasore,Jaleswar,12 Mar 2021, TOR Not Granted Yet,Non-Coal Mining,SOUMYADIP CHAKRABARTY,DelistedL
7,SIA/OR/MIN/60083/2021,60083/104-MINB1/01-2021,Krushnandapur Mahanadi Sand Sairat over 12.60 acre or 5.10 hectare in village Krushnandapur under Tirtol Tahasil of Jagatsinghpur District,Orissa,Jagatsinghapur,Tirtol,11 Mar 2021,08 Jul 2021,Non-Coal Mining,HRUDAYANIDHI MOHANTY,TOR GrantedL
8,SIA/OR/MIN/61735/2021,61735/139-MINB1/03-2021,Badaro Devi Nadi Sand Quarry over 5.10 hectare under Jagatsinghpur of Jagatsinghpur District,Orissa,Jagatsinghapur,Jagatsinghapur,11 Mar 2021,04 Oct 2021,Non-Coal Mining,"TAHASILDAR, JAGATSINGHPUR",TOR GrantedL
9,SIA/OR/MIN/61543/2021,61543/47-NCMB1/03-2021,"Khandbandh Iron Ore Mines(35.774 Ha) of Sree Metaliks Ltd. for enhancement in production capacity from 0.702 MTPA to 1.50 with crushing & screening plants located in Baitarani Reserve Forest near village Khnadbandh under Barbil Tahasil of Keonjhar District, Odisha",Orissa,Kendujhar,Barbil,09 Mar 2021,03 Apr 2021,Non-Coal Mining,SREE METALIKS LTD.,TOR GrantedL
10,SIA/OR/MIN/61298/2021,61298/102-MINB1/02-2021,"NARASINGHPUR MORRUM QUARRY, OVER AN AREA 12.303HA. KHATA NO: 666, PLOT NO:1503,1511,1515 AT: NARASINGHPUR, TAHASIL: CHATRAPUR, DIST: GANJAM.",Orissa,Ganjam,Chhatrapur,09 Mar 2021,11 May 2021,Non-Coal Mining,TAHASILDAR CHHATRAPUR,TOR GrantedL
