,proposal_no,file_no,proposal_name,state,district,tehsil,date_submission,tor_approval,project_category,company_proponent,status
1,SIA/OR/IND2/23126/2018,23126/312-IND2/03-2018,Khairkhunt OS. Shop,Orissa,Balangir,Titlagarh,30 Mar 2018, TOR Not Granted Yet,Industrial Projects - 2,RITESHSAHU,MoveToTORtoECL
2,SIA/OR/IND2/23117/2018,23117/311-IND2/03-2018,Ichgaon OS Shop,Orissa,Balangir,Titlagarh,30 Mar 2018, TOR Not Granted Yet,Industrial Projects - 2,RITESHSAHU,MoveToTORtoECL
3,SIA/OR/IND2/23085/2018,23085/310-IND2/03-2018,Badatentulikhunti O.S. Shop,Orissa,Balangir,Titlagarh,30 Mar 2018, TOR Not Granted Yet,Industrial Projects - 2,RITESHSAHU,MoveToTORtoECL
4,SIA/OR/IND2/22718/2018,22718/309-IND2/03-2018,Sarasbahal O.S. Shop,Orissa,Balangir,Tushura,28 Mar 2018, TOR Not Granted Yet,Industrial Projects - 2,BHOLANATH SAHOO,MoveToTORtoECL
5,SIA/OR/IND2/22731/2018,22731/307-IND2/03-2018,Rajamara O.S. Shop,Orissa,Balangir,Kantabanji,28 Mar 2018, TOR Not Granted Yet,Industrial Projects - 2,BINOD KUMAR GUPTA &  ANANT KUMAR GUPTA,MoveToTORtoECL
6,SIA/OR/IND2/22730/2018,22730/306-IND2/03-2018,Fundelpadar O.S. Shop,Orissa,Balangir,Kantabanji,28 Mar 2018, TOR Not Granted Yet,Industrial Projects - 2,BINOD KUMAR GUPTA &  ANANT KUMAR GUPTA,MoveToTORtoECL
7,SIA/OR/IND2/22729/2018,22729/305-IND2/03-2018,Bongamunda O.S. Shop,Orissa,Balangir,Bangomunda,28 Mar 2018, TOR Not Granted Yet,Industrial Projects - 2,BINOD KUMAR GUPTA &  ANANT KUMAR GUPTA,MoveToTORtoECL
8,SIA/OR/IND2/22402/2018,22402/304-IND2/03-2018,2746.9 LITRES DAILY PRODUCTION CAPACITY MAHUA FLOWER BASED KANAMANA OS SHOP,Orissa,Ganjam,Chhatrapur,28 Mar 2018, TOR Not Granted Yet,Industrial Projects - 2,PRASANT KUMAR BISOI,MoveToTORtoECL
9,SIA/OR/IND2/22724/2018,22724/303-IND2/03-2018,Tuanla O.S. Shop,Orissa,Balangir,Belpara,27 Mar 2018, TOR Not Granted Yet,Industrial Projects - 2,BINOD KUMAR GUPTA,MoveToTORtoECL
10,SIA/OR/IND2/22723/2018,22723/302-IND2/03-2018,Mahulbahali O.S. Shop,Orissa,Balangir,Kantabanji,27 Mar 2018, TOR Not Granted Yet,Industrial Projects - 2,BINOD KUMAR GUPTA,MoveToTORtoECL
11,SIA/OR/IND2/22722/2018,22722/301-IND2/03-2018,Dakara O.S. Shop,Orissa,Balangir,Belpara,27 Mar 2018, TOR Not Granted Yet,Industrial Projects - 2,BINOD KUMAR GUPTA,MoveToTORtoECL
