,proposal_no,file_no,proposal_name,state,district,tehsil,date_submission,tor_approval,project_category,company_proponent,status
1,SIA/OR/IND2/22411/2018,22411/212-IND2/03-2018,Kanika O.S. Shop,Orissa,Sundargarh,Hemgir,17 Mar 2018, TOR Not Granted Yet,Industrial Projects - 2,MOIN UDDIN AHMAD,Rejection Letter GrantedL
2,SIA/OR/IND2/22409/2018,22409/211-IND2/03-2018,Bhoipali O.S. Shop,Orissa,Sundargarh,Baragaon,17 Mar 2018, TOR Not Granted Yet,Industrial Projects - 2,MOIN UDDIN AHMAD,Rejection Letter GrantedL
3,SIA/OR/IND2/22393/2018,22393/210-IND2/03-2018,Prakashpur O.S. Shop,Orissa,Bargarh,Ambabhona,17 Mar 2018,15 Nov 2018,Industrial Projects - 2,M AHMAD AND I AHMAD,TOR GrantedL
4,SIA/OR/IND2/22348/2018,22348/209-IND2/03-2018,Barpali O.S.Shop,Orissa,Bargarh,Barapali,17 Mar 2018, TOR Not Granted Yet,Industrial Projects - 2,M AHMAD AND I AHMAD,MoveToTORtoECL
5,SIA/OR/IND2/22336/2018,To be assigned,Dehuripada O.S. Shop,Orissa,Sambalpur,Govindpur,17 Mar 2018, TOR Not Granted Yet,Industrial Projects - 2,DEHURIPADA OUTSTILL SHOP,DelistedD
6,SIA/OR/IND2/22397/2018,22397/208-IND2/03-2018,3777 LITRES DAILY PRODUCTION CAPACITY MAHUA FLOWER BASED CHATRAPUR OS SHOP,Orissa,Ganjam,Chhatrapur,17 Mar 2018, TOR Not Granted Yet,Industrial Projects - 2,DAMBURUDHAR SAHU,MoveToTORtoECL
7,SIA/OR/IND2/22337/2018,To be assigned,Sagjori Outstill Shop,Orissa,Sambalpur,Rairakhol,14 Mar 2018, TOR Not Granted Yet,Industrial Projects - 2,SAGJORI OUTSTILL SHOP,DelistedD
8,SIA/OR/IND2/22328/2018,22328/206-IND2/03-2018,Jujumura O.S. Shop,Orissa,Sambalpur,Jujomura,12 Mar 2018, TOR Not Granted Yet,Industrial Projects - 2,BALDEV SAHU AND SONS,MoveToTORtoECL
9,SIA/OR/IND2/22327/2018,22327/207-IND2/03-2018,Gulundipali O.S. Shop,Orissa,Sambalpur,Sadar,12 Mar 2018, TOR Not Granted Yet,Industrial Projects - 2,BALDEV SAHU AND SONS,MoveToTORtoECL
10,SIA/OR/IND2/22326/2018,22326/205-IND2/03-2018,Danipali O.S. Shop & Jamda O.S.Shop,Orissa,Sambalpur,Dhanupali,12 Mar 2018, TOR Not Granted Yet,Industrial Projects - 2,BALDEV SAHU AND SONS,Rejected - Processed offlineL
