,proposal_no,file_no,proposal_name,state,district,tehsil,date_submission,tor_approval,project_category,company_proponent,status
1,SIA/OR/IND/76325/2022,To be assigned,6 MTPA Iron ore Grinding & Desliming Unit including Slurry Transportation System,Orissa,,,30 Apr 2022, TOR Not Granted Yet,Industrial Projects - 1,ARCELORMITTAL INDIA PRIVATE LIMITED,DelistedD
2,SIA/OR/MIN/76326/2022,76326/247-MINB1/04-2022,"Hansapur Sand Quarry (under total cluster area – 17.047ha.) is a sand mining project over an area of 12.625acres/ 5.109Ha. located in village - Hansapur, Tahasil - Chatrapur in District - Ganjam  of Odisha",Orissa,,,30 Apr 2022,28 Jul 2022,Non-Coal Mining,PRAKASH MISHRA,TOR GrantedL
3,SIA/OR/MIN/76323/2022,76323/246-MINB1/04-2022,"Potlampur  Sand quarry is a sand mining project over an area of 15.00acres/ 6.070 Ha. located in village - Potlampur , Tahasil - Chatrapur in District - Ganjam of Odisha",Orissa,,,29 Apr 2022,28 Jul 2022,Non-Coal Mining,PRAKASH MISHRA,TOR GrantedL
4,SIA/OR/MIN/76228/2022,76228/240-MINB1/04-2022,"Alliabad Sand Bed is a sand mining project over an area of 12.50acres/ 5.058Ha. located in village - Alliabad, Tahasil - Ganjam in District - Ganjam of Odisha.",Orissa,,,28 Apr 2022,01 Jan 1900,Non-Coal Mining,KRUPA MUDULI,TOR GrantedL
5,SIA/OR/MIN/73400/2022,73400/86-MINB1/04-2022,"Khemabeda Decorative Stone Mines over an area of 4.755 ha in village Khemabeda under boipariguda tahasil of Koraput district, Odisha under cluster approach (cluster area 9.696 ha)",Orissa,,,27 Apr 2022,02 Aug 2022,Non-Coal Mining,VENKATESH HOTHA,TOR GrantedL
6,SIA/OR/MIS/76188/2022,76188/83-MIS/04-2022,"Proposal for Environment clearance for Expansion with Modification of “ARIANA”, Multistoried Residential complex at Mouza- Sankarpur, Bhubaneswar, Odisha td. at Mouza- Patia, of Bhubaneswar Municipal Corporation in the Development plan area of Bhubaneswar District Khorda, State Odisha",Orissa,,,27 Apr 2022,29 Apr 2022,INFRA-2,KRIDAY REALTY PRIVATE LIMITED,TOR GrantedL
7,SIA/OR/MIN/74953/2022,74953/85-MINB1/04-2022,Production of 1.0 MTPA Iron Ore along with 750 TPH crushing unit and 600 TPH screening unit within Netrabandha Pahar (West) Iron Ore block over an area of 74.370 ha by Raga Tradecon Pvt Ltd,Orissa,,,27 Apr 2022,19 Jul 2022,Non-Coal Mining,RAGA TRADECON PRIVATE LIMITED,TOR GrantedL
8,SIA/OR/MIN/76176/2022,76176/241-MINB1/04-2022,"Baranga Sand quarry is a sand mining project over an area of 15.00acres/ 6.070 Ha. located in village - Baranga, Tahasil - Chatrapur in District - Ganjam of Odisha",Orissa,,,27 Apr 2022,01 Jan 1900,Non-Coal Mining,PRAKASH MISHRA,TOR GrantedL
9,SIA/OR/MIN/76144/2022,76144/242-MINB1/04-2022,"Badamadhapur Sand quarry is a sand mining project over an area of 15.00acres/ 6.070 Ha. located in village - Badamadhapur, Tahasil - Chatrapur in District - Ganjam of Odisha",Orissa,,,26 Apr 2022,01 Jan 1900,Non-Coal Mining,PRAKASH MISHRA,TOR GrantedL
10,SIA/OR/MIN/76111/2022,76111/243-MINB1/04-2022,"Bahalpur Sand Bed (under total cluster area – 17.047ha.) is a sand mining project over an area of 12.50acres/ 5.058Ha. located in village - Bahalpur, Tahasil - Ganjam in District - Ganjam of Odisha",Orissa,,,25 Apr 2022,19 May 2022,Non-Coal Mining,SARAT BEHERA,TOR GrantedL
