,Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
54,SIA/AS/MIN/238335/2021,SEIAA. 3174/2022,Assam,Karimganj,Ramkrishna Nagar,Date of Submission for EC: 26 Oct 2022 ,Date of Ec Granted : 26 Dec 2022,Non-Coal Mining,SRI. RAMENDRA DEY,EC Granted
55,SIA/AS/MIN/62644/2019,SEIAA.955/2019,Assam,Cachar,Katigora,Date of Submission for EC: 02 Jun 2021 ,Date of Ec Granted : 23 Nov 2021,Non-Coal Mining,ROFIQUE AHMED,EC Granted
56,SIA/AS/MIN/230362/2021,SEIAA.1859/2021,Assam,Cachar,Udarbond,Date of Submission for EC: 19 Nov 2021 ,Date of Ec Granted : 20 Jan 2022,Non-Coal Mining,SRI. ANJAN MALAKAR,EC Granted
57,SIA/AS/MIN/251998/2022,SEIAA. 2057/2022,Assam,Jorhat,Jorhat East,Date of Submission for EC: 24 Jun 2022 ,Date of Ec Granted : 09 Sep 2022,Non-Coal Mining,MUHIM DAS,EC Granted
58,SIA/AS/MIN/179565/2020,SEIAA.1585/2021,Assam,Sibsagar,Sibsagar,Date of Submission for EC: 08 Dec 2020 ,Date of Ec Granted : 23 Mar 2021,Non-Coal Mining,M/S GANNON DUNKERLEY & COM LTD,EC Granted
59,SIA/AS/MIN/179616/2020,SEIAA.1555/2021,Assam,Sibsagar,Sibsagar,Date of Submission for EC: 05 Jan 2021 ,Date of Ec Granted : 23 Mar 2021,Non-Coal Mining,GANNON DUNKERLEY & COMP. LTD.,EC Granted
60,SIA/AS/MIN/46378/2019,,Assam,Kamrup,North Guwahati,Date of Submission for EC: 13 Nov 2019 ,Date of Ec Granted : 15 Feb 2020,Non-Coal Mining,NAYAN BORO,EC Granted - Processed offline
61,SIA/AS/MIN/130894/2019,,Assam,Kamrup,North Guwahati,Date of Submission for EC: 19 Dec 2019 ,Date of Ec Granted : 29 Feb 2020,Non-Coal Mining,JAGANNATH DAS,EC Granted - Processed offline
62,SIA/AS/MIS/125917/2019,SEIAA.999/2019,Assam,Dibrugarh,Tengakhat,Date of Submission for EC: 18 Nov 2019 ,Date of Ec Granted : 25 Feb 2021,INFRA-2,MS TINGRAI CHARIALI BRICKS,EC Granted
63,SIA/AS/MIN/177445/2020,,Assam,Dhubri,Chapar,Date of Submission for TOR: ,Date of Submission for EC: 04 Oct 2020 ,Non-Coal Mining,M/S MAHASAKTI TRADERS,Delisted
64,SIA/AS/MIN/183423/2020,SEIAA.1472/2020,Assam,Kamrup,Hajo,Date of Submission for EC: 16 Nov 2020 ,Date of Ec Granted : 07 Jan 2021,Non-Coal Mining,BANAMALI SARMA,EC Granted
65,SIA/AS/MIN/224925/2021,SEIAA.1836/2021,Assam,Dibrugarh,Moran,Date of Submission for TOR: ,Date of Submission for EC: 16 Aug 2021 ,Non-Coal Mining,M/S SONU BRICK FIELD,Delisted
66,SIA/AS/MIS/115622/2019,,Assam,Karbi Anglong,Phuloni,Date of Submission for TOR: ,Date of Submission for EC: 25 Aug 2019 ,INFRA-2,SIMPLEX INFRASTRUCTURE LIMITED,Delisted
67,SIA/AS/MIS/116648/2019,,Assam,Karbi Anglong,Diphu,Date of Submission for TOR: ,Date of Submission for EC: 03 Sep 2019 ,INFRA-2,TASADUK ARIFUL HUSSAIN RQP,WithdrawEC
68,SIA/AS/MIN/126716/2019,,Assam,West Karbi Anglong,Donka,Date of Submission for EC: 22 Nov 2019 ,Date of Ec Granted : 12 Feb 2020,Non-Coal Mining,NC DAS ALLEDINFRAJV,EC Granted - Processed offline
69,SIA/AS/MIS/127116/2019,SEIAA.1097/2020,Assam,Dibrugarh,Dibrugarh East,Date of Submission for EC: 23 Nov 2019 ,Date of Ec Granted : 10 Dec 2020,INFRA-2,JKM,EC Granted
70,SIA/AS/MIN/134305/2019,,Assam,Kamrup,Kamalpur,Date of Submission for EC: 31 Dec 2019 ,Date of Ec Granted : 07 Feb 2020,Non-Coal Mining,MANABENDRA KALITA,EC Granted - Processed offline
71,SIA/AS/MIN/185160/2020,SEIAA.1609/2021,Assam,Nagaon,Koliabor,Date of Submission for EC: 26 Nov 2020 ,Date of Ec Granted : 08 Sep 2021,Non-Coal Mining,M/S BHUYAN CORPORATION,EC Granted
72,SIA/AS/MIN/178080/2020,SEIAA.1437/2020,Assam,Chirang,No Data,Date of Submission for EC: 21 Aug 2021 ,Date of Ec Granted : 30 Sep 2021,Non-Coal Mining,LOK BDR. CHETRY,EC Granted
73,SIA/AS/MIN/237685/2021,SEIAA. 3145/2022,Assam,Chirang,bijini,Date of Submission for EC: 07 Oct 2022 ,Date of Ec Granted : 23 Dec 2022,Non-Coal Mining,SRI. PARMESWAR BASUMATARY,EC Granted
74,SIA/AS/MIS/141985/2020,,Assam,Sibsagar,Amguri,Date of Submission for TOR: ,Date of Submission for EC: 03 Feb 2021 ,INFRA-2,SUNIL DAS1,Delisted
75,SIA/AS/MIN/250607/2022,SEIAA.1976/2021,Assam,Sibsagar,Sonari,Date of Submission for EC: 08 Jan 2022 ,Date of Ec Granted : 07 Mar 2022,Non-Coal Mining,SRI RANJAN DUTTA,EC Granted
