,Proposal.No.,File_No,Proposal Name,State,District,Tehsil,Date_1,Date_2,Category,Company,Status,Link,Timeline
931,SIA/KA/MIN/188984/2020,SEIAA 441 MIN 2020,Laterite Stone Quarry,Karnataka,Dakshina Kannada,Mangalore,Date of Submission for EC: 19 Dec 2020 ,Date of Ec Granted : 28 Jun 2021,Non-Coal Mining,M/S. ODDOOR BIO PRODUCTS,EC Granted - Processed offline,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Karnataka&pno=SIA/KA/MIN/188984/2020&pid=149217,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KA/MIN/188984/2020&type=EC&ID=149217
932,SIA/KA/MIN/189703/2020,,ATHIMAGE BUILDING STONE QUARRY,Karnataka,Chitradurga,Hosdurga,Date of Submission for TOR: ,Date of Submission for EC: 27 Dec 2020 ,Non-Coal Mining,SRINIVASA ANIL,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Karnataka&pno=SIA/KA/MIN/189703/2020&pid=152385,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KA/MIN/189703/2020&type=EC&ID=152385
933,SIA/KA/MIN/63742/2017,,"Expansion of Validity of EC for River Sand Block in an extent of 26.25 acres (10.62 Ha.) in Block No. 7 along Shambhavi river at Mundkuru Village, Karkala Taluk, Udupi",Karnataka,Udupi,Karkala,Date of Submission for TOR: ,Date of Submission for EC: 05 Apr 2017 ,Non-Coal Mining,V KODANDARAMMAIH,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Karnataka&pno=SIA/KA/MIN/63742/2017&pid=34826,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KA/MIN/63742/2017&type=EC&ID=34826
934,SIA/KA/MIN/63746/2017,,"Expansion of Validity of EC for River Sand Block in an extent of 12.50 acres (5.05 Ha.) in Block No. 11 along Shambhavi river at Inna Village, Karkala Taluk, Udupi",Karnataka,Udupi,Karkala,Date of Submission for TOR: ,Date of Submission for EC: 05 Apr 2017 ,Non-Coal Mining,V KODANDARAMMAIH,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Karnataka&pno=SIA/KA/MIN/63746/2017&pid=34830,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KA/MIN/63746/2017&type=EC&ID=34830
935,SIA/KA/NCP/17081/2016,SEIAA 133 CON 2016,H M Capital,Karnataka,Bangalore Urban,Bangalore East,Date of Submission for EC: 05 Apr 2017 ,Date of Ec Granted : 28 Apr 2017,INFRA-1,H M CONSTRUCTIONS,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Karnataka&pno=SIA/KA/NCP/17081/2016&pid=34841,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KA/NCP/17081/2016&type=EC&ID=34841
936,SIA/KA/MIN/41912/2016,SEIAA 88 MIN 2016,Building Stone Quarry,Karnataka,Chikkaballapura,Chikkaballapura,Date of Submission for TOR: ,Date of Submission for EC: 21 Jan 2016 ,Non-Coal Mining,VINAYAKA ENTERPRISES,TransferToDEIAA,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Karnataka&pno=SIA/KA/MIN/41912/2016&pid=10675,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KA/MIN/41912/2016&type=EC&ID=10675
937,SIA/KA/MIN/3102/2015,SEIAA 1379 MIN 2015,"“Shahabad Stone Quarry” of  Sri. Siddram Reddy at  Sy No: 71/6,  Kadboor Village, Chittapur Taluk, Kalburgi District, Karnataka 1-15 Acres",Karnataka,kalaburagi,Chitapur,Date of Submission for EC: 04 Nov 2015 ,Date of Ec Granted : 08 Jan 2016,Non-Coal Mining,SIDDRAM REDDY,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Karnataka&pno=SIA/KA/MIN/3102/2015&pid=24666,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KA/MIN/3102/2015&type=EC&ID=24666
938,SIA/KA/MIN/1996/2015,SEIAA 1119 MIN 2015,"“Building Stone Quarry” of  Smt Hemalatha at Sy No: 59,  Sulivara Village, Bengaluru South Taluk, Bengaluru Urban District, Karnataka.",Karnataka,Bangalore Urban,Bangalore South,Date of Submission for EC: 10 Sep 2015 ,Date of Ec Granted : 01 Jan 2016,Non-Coal Mining,HEMALATHA,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Karnataka&pno=SIA/KA/MIN/1996/2015&pid=25046,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KA/MIN/1996/2015&type=EC&ID=25046
939,SIA/KA/IND2/158438/2020,SEIAA 01 IND 2019,M/s Corvine Chemicals & Pharmaceuticals Ltd,Karnataka,Bidar,Bidar,Date of Submission for EC: 25 Jun 2020 ,Date of Ec Granted : 05 Aug 2020,Industrial Projects - 2,"M/S. CORVINE CHEMICALS & PHARMACEUTICALS LTD.,",EC Granted - Processed offline,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Karnataka&pno=SIA/KA/IND2/158438/2020&pid=113033,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KA/IND2/158438/2020&type=EC&ID=113033
940,SIA/KA/MIN/160000/2020,SEIAA 233 MIN 2020,KOLHAR BUILDING STONE QUARRY,Karnataka,Bijapur,Basavana Bagevadi,Date of Submission for EC: 23 Jun 2020 ,Date of Ec Granted : 04 Sep 2020,Non-Coal Mining,MOHAMMEDSAB VANDAL,EC Granted - Processed offline,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Karnataka&pno=SIA/KA/MIN/160000/2020&pid=114261,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KA/MIN/160000/2020&type=EC&ID=114261
