,Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
10,4190,SIA/KA/INFRA2/437253/2023,SEIAA 145 CON 2023,"Proposed modification and expansion of Commercial Development with Hospital namely “Bengaluru Life Sciences Park""",LABZONE - ELECTRONICS CITY PRIVATE LIMITED,EC Granted,EC,
1,4191,SIA/KA/MIN/436698/2023,SEIAA 319 MIN 2023,"Building Stone Quarry ""Sri. Krishna""",KRISHNA,EC Granted,EC,
2,4192,SIA/KA/MIN/436423/2023,SEIAA 323 MIN 2023,Pink Granite Quarry of United Exports,UNITED EXPORTS,EC Granted,EC,
3,4193,SIA/KA/MIN/3021/2015,SEIAA 1243 MIN 2015,"“Building Stone Quarry” of  M.D. Sanjeev at Panakanakallu Village, Magadi Taluk, Ramanagara District,",M DSANJEEV,EC Granted,EC,
4,4194,SIA/KA/MIN/3013/2015,SEIAA 1259 MIN 2015,"“Building Stone Quarry” of  Sri R Gangadharaiah at Konthihalli Village, Tumkur  Taluk , Tumkur District",R GANGADHARAIAH,EC Granted,EC,
5,4195,SIA/KA/MIN/420267/2023,SEIAA 123 MIN 2023,“Sand Quarrying Block” of Sri. Taniyappa,THANIYAPPA,EC Granted,EC,
6,4196,SIA/KA/INFRA2/438428/2023,,Proposed Affordable Housing Project (Shear wall technology/Fast track) and Infrastructure development,"M/S. RAJIVGANDHI HOUSING CORPORATION LTD.,",Pending at PP due to eds,EC,
7,4197,SIA/KA/MIN/439092/2023,SEIAA 114 MIN 2021,M/s. Ashritha Stone Crusher M-Sand (Building Stone Quarry),M/S ASHRITHA STONE CRUSHER,EC Granted,EC,
8,4198,SIA/KA/MIN/439226/2023,SEIAA 180 MIN 2022,Pink Granite Quarry by M/s Jayamal International,SWAPNIL BORA,EC Granted,EC,
9,4199,SIA/KA/MIN/89413/2018,SEIAA 79 MIN 2018,"Ontihala Ordinary Sand Quarry over an extent 6-00 Acres (2.428 Hectares) in Patta Land at Sy. No. 3/2P1 & 3/2P2 of Ontihala Village, Davanagere",SRI S VENKATESH,EC Granted,EC,
10,4200,SIA/KA/IND2/156944/2020,SEIAA 35 IND 2020,M/s. Gomti Research and Pharmachem Pvt. Ltd,GOMTI RESEARCH AND PHARMACHEM PVT LTD,EC Granted - Processed offline,EC,
1,4201,SIA/KA/MIS/157224/2020,SEIAA 85 CON 2020,Proposed Residential apartment project by Sri. V Mohamed Shafiulla and Sri. Suresh Salariya,SRI. V MOHAMED SHAFIULLA AND SRI. SURESH SALARIYA,EC Granted - Processed offline,EC,
2,4202,SIA/KA/IND2/60018/2021,,,SAMARTH BIOLOGICALS,Delisted,EC,
3,4203,SIA/KA/MIN/193596/2021,SEIAA 26 MIN 2021,“Ordinary Sand Mining “of Sri. Neelesh G Madarakhandi,“ORDINARY SAND MINING “OF SRI. NEELESH G MADARAKHANDI,Delisted,EC,
4,4204,SIA/KA/MIN/193661/2021,SEIAA 18 MIN 2021,"“Building Stone Quarry” of M/s. Vishwas Enterprises,",M/S. VISHWAS ENTERPRISES,EC Granted - Processed offline,EC,
5,4205,SIA/KA/MIS/61240/2021,SEIAA 26 CON 2021,"M/s. Embassy East Business Park Pvt. Ltd.,","M/S. EMBASSY EAST BUSINESS PARK PVT. LTD.,",EC Granted,EC,
6,4206,SIA/KA/MIN/231580/2021,SEIAA 535 MIN 2021,“Ordinary Sand Quarry” of Sri. Ravi. B. Mugali,SRI. RAVI. B. MUGALI,EC Granted,EC,
7,4207,SIA/KA/MIN/250167/2022,SEIAA 08 MIN 2022,"M/s. Shivam Stone Crusher, Building Stone Quarry",SHIVAM STONE CRUSHER,EC Granted,EC,
8,4208,SIA/KA/MIN/272317/2022,SEIAA 229 MIN 2022,“Building Stone Quarry”of Sri. M. Chandrappa,CHANDRAPPA,EC Granted,EC,
